# _root_ The explosion sent shards of metal flying , severing the DC-10 's hydraulic or control systems , and led to the crash that killed 112 people .
#goldHeads=2,18,18,7,4,5,3,3,3,11,16,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
#predictedHeads=2,18,18,3,4,5,3,18,18,11,9,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
(7,19),(19,4),(19,3),-0.143839 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,4),(19,2),-0.147956 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,4),(19,-1),-0.162815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,3),(19,2),-0.145197 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,3),(19,-1),-0.14227 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,2),(19,-1),-0.162819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,20),(20,21),-0.0435267 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,22),0.0675059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,24),-0.0462837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,26),0.0746669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,28),-0.106736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,20),(20,21),(20,22),-0.0197142 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,21),(20,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,21),(20,26),-0.0197142 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,21),(20,28),-0.0357302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,22),(20,24),-0.0212358 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,22),(20,26),-0.038997 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,22),(20,28),0.0546279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,24),(20,26),-0.0261346 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,24),(20,28),-0.038894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,26),(20,28),0.0617108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,20),(20,-1),0.125364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,27),(27,27),(27,28),-0.00723194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,27),(27,27),(27,-1),0.0191395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,10),-0.0215147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,11),-0.0240991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,12),-0.0313961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,13),-0.0213857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,14),-0.0235348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,15),-0.0240991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,16),-0.0240991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,17),-0.0194623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,18),-0.0245593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,19),-0.031076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,20),-0.0292884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,28),-0.026042 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,10),(9,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,17),-0.0197795 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,28),-0.0210537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,11),(9,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,13),-0.0194412 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,15),-0.0194528 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,16),-0.0194528 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,20),0.00158231 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,28),-0.0450613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,12),(9,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,28),-0.0341219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,13),(9,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,28),-0.0213453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,14),(9,15),0.0321724 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,16),0.0672923 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,17),0.189815 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,18),0.0739332 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,19),0.0823348 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,20),0.00615188 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,27),0.0067574 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,28),-0.0235348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,15),(9,16),-0.0194528 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,20),0.00158231 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,28),-0.0450613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,16),(9,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,20),0.00158231 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,28),-0.0450613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,17),(9,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,17),(9,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,17),(9,20),-0.0194623 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,17),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,17),(9,28),-0.0198925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,18),(9,19),0.0823348 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,18),(9,20),0.00614149 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,18),(9,27),0.0067574 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,18),(9,28),-0.0245593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,19),(9,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,19),(9,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,19),(9,28),-0.0337983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,20),(9,27),-0.0205299 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,20),(9,28),-0.00148337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,27),(9,28),-0.0205343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,8),0.107411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,-1),-0.221314 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,8),(9,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,-1),-0.146831 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,6),(9,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,6),(9,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,6),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,6),(9,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,5),(9,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,5),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,5),(9,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,4),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,4),(9,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,3),(9,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,3),(3,4),0.157022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,5),-0.0399974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,6),0.157022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,7),0.138037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,8),0.111992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,9),-0.135038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,12),-0.135264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,13),-0.158974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,14),-0.150939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,17),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,18),-0.166243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,19),-0.135043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,24),-0.13504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,28),-0.238111 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,4),(3,5),0.209487 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,6),0.0983757 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,7),0.104629 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,8),0.100931 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,9),-0.143839 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,12),-0.143839 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,13),-0.145005 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,14),-0.145427 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,17),-0.147788 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,18),-0.145897 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,19),-0.143839 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,24),-0.143841 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,28),-0.164607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,5),(3,6),0.105113 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,7),0.109412 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,8),0.0638086 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,9),-0.146371 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,12),-0.14646 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,13),-0.144859 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,14),-0.147335 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,17),-0.146036 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,18),-0.147985 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,19),-0.146371 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,24),-0.146371 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,28),-0.146064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,6),(3,7),0.104629 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,8),0.100931 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,9),-0.143839 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,12),-0.143839 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,13),-0.145005 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,14),-0.145427 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,17),-0.147788 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,18),-0.145897 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,19),-0.143839 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,24),-0.143841 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,28),-0.164607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,7),(3,8),0.192604 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,9),-0.145075 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,12),-0.145083 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,13),-0.145245 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,14),-0.144729 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,17),-0.146214 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,18),-0.144757 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,19),-0.145075 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,24),-0.145075 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,28),-0.142686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,8),(3,9),-0.160163 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,12),-0.160213 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,13),-0.145198 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,14),-0.149773 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,18),-0.15206 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,19),-0.160163 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,24),-0.160163 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,8),(3,28),-0.118076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,9),(3,12),-0.145083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,13),-0.145245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,14),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,17),-0.146214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,18),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,19),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,24),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,27),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,28),-0.142271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,12),(3,13),-0.145245 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,14),-0.144739 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,17),-0.146215 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,18),-0.144767 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,19),-0.145075 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,24),-0.145075 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,28),-0.136575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,13),(3,14),-0.144775 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,17),-0.144718 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,18),-0.14477 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,19),-0.145601 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,24),-0.145601 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,28),-0.126726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,14),(3,17),-0.040431 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,14),(3,18),0.0032426 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,14),(3,19),0.00852549 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,14),(3,24),-0.0184828 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,14),(3,27),-0.114339 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,14),(3,28),-0.186157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,17),(3,18),-0.15206 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,17),(3,19),-0.160163 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,17),(3,24),-0.160163 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,17),(3,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,17),(3,28),-0.118076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,18),(3,19),0.0084716 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,18),(3,24),-0.0185367 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,18),(3,27),-0.114339 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,18),(3,28),-0.206574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,19),(3,24),-0.145075 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,19),(3,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,19),(3,28),-0.142356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,24),(3,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,24),(3,28),-0.143704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,27),(3,28),-0.142848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,3),(3,2),0.0464034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,1),-0.0315153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,-1),0.083407 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,2),(3,1),-0.0221733 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,2),(3,-1),-0.0229713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,1),(3,-1),-0.0347595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,5),0.12884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,6),0.0239125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,7),0.131335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,8),0.0499275 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,9),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,11),-0.0538671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,13),-0.155976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,17),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,18),-0.140739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,24),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,28),-0.184312 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,5),(4,6),0.113451 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,7),0.112193 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,8),0.0786703 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,9),-0.141433 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,11),-0.145853 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,13),-0.146345 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,17),-0.149429 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,18),-0.1418 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,24),-0.141433 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,28),-0.0633154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,6),(4,7),0.129858 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,8),0.139955 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,9),-0.145067 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,11),-0.139044 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,13),-0.145686 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,17),-0.158908 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,18),-0.145518 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,24),-0.145067 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,28),-0.114437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,7),(4,8),0.158902 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,9),-0.142049 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,11),-0.142064 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,13),-0.144892 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,17),-0.161397 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,18),-0.144786 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,24),-0.142049 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,28),-0.137726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,8),(4,9),-0.159637 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,8),(4,11),-0.16103 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,8),(4,13),-0.146717 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,8),(4,17),-0.144812 # DEPENDENCYPART_GRANDSIBL
