# _root_ With the golden share as protection , Jaguar officials have rebuffed Ford 's overtures , and moved instead to forge an alliance with GM .
#goldHeads=10,4,4,1,4,5,10,9,10,0,16,14,12,11,16,10,16,17,20,17,22,20,22,23,10,
#predictedHeads=10,4,4,1,4,5,10,9,10,16,10,14,12,11,16,0,16,17,20,17,22,20,22,23,16,
(16,10),(10,20),(10,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,20),(10,26),-0.0407042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,25),(10,26),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,10),(10,9),0.00121602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,8),0.00282374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,7),-0.045174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,6),0.00403996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,5),-0.0517101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,4),-0.00088506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,3),-0.0276319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,1),-0.0541585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,-1),0.177224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,9),(10,8),-0.00680532 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,7),-0.00445978 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,6),-0.00680544 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,5),-0.0707439 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,4),-0.00680532 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,3),-0.0201624 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,1),-0.0556161 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,-1),0.00733753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,8),(10,7),-0.00831713 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,6),-0.00680544 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,5),-0.070084 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,4),-0.00680532 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,3),-0.0201624 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,1),-0.0549563 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,-1),0.0071726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,7),(10,6),0.0162153 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,5),-0.0101429 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,4),0.0162152 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,3),-0.0263793 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,1),-0.0136108 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,-1),-0.032144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,6),(10,5),-0.0700844 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,6),(10,4),-0.00681006 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,6),(10,3),-0.0201624 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,6),(10,1),-0.0549566 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,6),(10,-1),0.00800116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,5),(10,4),-0.0142432 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,5),(10,3),-0.0183735 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,5),(10,1),-0.00856714 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,5),(10,-1),-0.0837572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,4),(10,3),-0.0201624 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,4),(10,1),-0.0550691 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,4),(10,-1),0.00369468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,3),(10,1),-0.00278112 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,3),(10,-1),-0.00285736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,1),(10,-1),-0.0787584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,11),(11,12),0.23953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,14),0.241599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,15),0.0877426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,16),-0.166252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,17),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,18),-0.148871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,19),-0.146707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,20),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,22),-0.0962775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,23),-0.140329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,26),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,12),(11,14),0.0911619 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,15),0.063259 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,16),-0.147235 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,17),-0.149107 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,18),-0.146191 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,19),-0.144932 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,20),-0.149107 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,22),-0.147568 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,23),-0.165308 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,25),-0.144792 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,26),-0.0710932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,14),(11,15),0.063259 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,16),-0.147235 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,17),-0.149107 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,18),-0.146191 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,19),-0.144932 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,20),-0.149107 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,22),-0.147568 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,23),-0.165308 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,25),-0.144792 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,26),-0.0690379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,15),(11,16),-0.148938 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,17),-0.153537 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,18),-0.146105 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,19),-0.145051 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,20),-0.153537 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,22),-0.147035 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,23),-0.158428 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,26),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,16),(11,17),0.0776315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,18),0.0131719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,19),0.0322331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,20),0.0475424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,22),-0.0168334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,23),-0.195473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,25),-0.0166083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,26),-0.117114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,17),(11,18),-0.144742 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,17),(11,19),-0.144714 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,17),(11,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,17),(11,22),-0.144969 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,17),(11,23),-0.145612 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,17),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,17),(11,26),-0.0550534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,18),(11,19),-0.144717 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,18),(11,20),-0.146184 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,18),(11,22),-0.148407 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,18),(11,23),-0.146871 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,18),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,18),(11,26),-0.100207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,19),(11,20),-0.145293 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,22),-0.145061 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,23),-0.146711 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,25),-0.144722 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,26),-0.0720815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,20),(11,22),-0.144969 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,20),(11,23),-0.145612 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,20),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,20),(11,26),-0.0553986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,22),(11,23),-0.165308 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,22),(11,25),-0.144792 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,22),(11,26),-0.0690431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,23),(11,25),-0.145894 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,23),(11,26),-0.0679976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,25),(11,26),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,11),(11,10),0.0429089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,9),-0.025396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,8),-0.0237883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,7),-0.0443473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,5),-0.0506566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,4),-0.0274971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,1),-0.053105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,-1),0.196091 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,10),(11,9),-0.00688594 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,8),-0.0119849 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,7),-0.033443 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,5),-0.0206049 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,4),-0.0119849 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,1),-0.0204879 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,-1),0.090545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,9),(11,8),-0.00612935 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,9),(11,7),-0.0035038 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,9),(11,5),-0.0784297 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,9),(11,4),-0.00612935 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,9),(11,1),-0.063302 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,9),(11,-1),-0.0144061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,8),(11,7),-0.00736114 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,8),(11,5),-0.0777698 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,8),(11,4),-0.00612935 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,8),(11,1),-0.0626421 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,8),(11,-1),-0.014571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,7),(11,5),-0.0143128 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,7),(11,4),0.0167854 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,7),(11,1),-0.0177807 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,7),(11,-1),-0.0292307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,5),(11,4),-0.01358 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,5),(11,1),-0.00839351 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,5),(11,-1),-0.0900596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,4),(11,1),-0.062755 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,4),(11,-1),-0.0180489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,1),(11,-1),-0.0850608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,12),(12,13),0.159582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,14),0.0411618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,15),0.234255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,16),-0.150001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,17),-0.150747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,26),-0.025778 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,13),(12,14),0.0979732 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,13),(12,15),0.108533 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,13),(12,16),-0.144725 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,13),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,13),(12,26),-0.100887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,14),(12,15),0.0988774 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,14),(12,16),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,14),(12,17),-0.144804 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,14),(12,26),-0.159916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,15),(12,16),-0.149799 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,15),(12,17),-0.147591 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,15),(12,26),-0.145964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,16),(12,17),0.078442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,16),(12,26),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,17),(12,26),-0.16989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,12),(12,11),-0.0956376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,9),-0.0381655 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,8),-0.0382804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,-1),0.178507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,11),(12,9),-0.0331287 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,11),(12,8),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,11),(12,-1),-0.0062182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,9),(12,8),-0.0058574 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,9),(12,-1),0.00110481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,8),(12,-1),0.00419772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,15),0.230971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,16),-0.150001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,17),-0.150747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,18),-0.140619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,19),-0.146686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,20),-0.150747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,22),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,26),-0.0192466 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,15),(14,16),-0.149799 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,17),-0.147591 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,18),-0.144714 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,19),-0.144739 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,20),-0.147591 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,22),-0.157847 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,26),-0.14924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,16),(14,17),0.078442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,18),0.0132065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,19),0.0322342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,20),0.0483528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,22),-0.020783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,26),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,17),(14,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,22),-0.145741 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,26),-0.169888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,18),(14,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,20),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,22),-0.144773 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,26),-0.173397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,19),(14,20),-0.144745 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,22),-0.144707 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,26),-0.180814 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,20),(14,22),-0.145741 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,26),-0.169888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,22),(14,26),-0.159889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,13),-0.0516646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,12),-0.0376802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,11),-0.0956376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,9),-0.0377181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,8),-0.037833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,6),-0.0381253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,-1),0.180862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,13),(14,12),-0.0231553 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,9),-0.0231553 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,8),-0.0231553 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,6),-0.0231553 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,-1),-0.0428254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,12),(14,11),-0.0179366 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,9),-0.00585656 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,8),-0.00584777 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,6),-0.00693772 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,-1),0.0024868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,11),(14,9),-0.0331287 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,8),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,6),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,-1),-0.0062182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,9),(14,8),-0.0058574 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,6),-0.00694735 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,-1),0.00155223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,8),(14,6),-0.00693965 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,8),(14,-1),0.00464514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,6),(14,-1),0.00141499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,26),-0.0464494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,15),(15,-1),0.0694301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,17),(17,18),0.0258021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,19),-0.0503958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,20),0.0385061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,22),-0.0228222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,23),-0.0532639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,25),-0.0235284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,26),0.197891 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,18),(17,19),0.0169859 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,20),-0.0266383 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,22),-0.0400198 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,23),-0.0118873 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,25),-0.0198099 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,26),-0.0051511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,19),(17,20),0.00128422 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,22),-0.0549901 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,23),0.00270304 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,25),-0.0199863 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,26),0.00903831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,20),(17,22),-0.0119845 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,20),(17,23),-0.0202538 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,20),(17,25),-0.0218966 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,20),(17,26),0.0876067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,22),(17,23),-0.0626421 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,25),-0.0249677 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,26),-0.0136031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,23),(17,25),-0.0204279 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,23),(17,26),-0.0852196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,25),(17,26),-0.0429407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,14),-0.0962776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,-1),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,14),(17,-1),-0.0704537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,18),(18,18),(18,19),-0.0178919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,20),-0.0489094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,22),-0.0250469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,23),0.0187375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,26),0.0105287 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,18),(18,19),(18,20),-0.0194896 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,22),-0.0203984 # DEPENDENCYPART_GRANDSIBL
