# _root_ Most Wall Street firms , in pulling back , have merely stopped such trading for their own accounts .
#goldHeads=4,4,4,10,10,10,6,7,10,0,12,10,12,13,12,18,18,15,10,
#predictedHeads=4,4,4,10,10,10,6,7,10,0,10,10,12,13,14,18,18,15,10,
(11,4),(4,10),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,10),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,10),(4,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,10),(4,20),-0.122197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,11),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,20),-0.144689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,4),(4,12),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,12),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,12),(4,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,12),(4,20),-0.120995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,13),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,13),(4,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,13),(4,20),-0.114156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,14),(4,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,14),(4,20),-0.121004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,19),(4,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,4),(4,3),-0.058026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,2),-0.0595217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,1),-0.0426467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,-1),-0.081909 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,4),(4,3),(4,2),-0.0359837 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,3),(4,1),-0.0298767 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,3),(4,-1),-0.0769761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,2),(4,1),-0.0298767 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,2),(4,-1),-0.0784719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,1),(4,-1),-0.00252633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,6),0.119154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,7),0.118706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,20),-0.156766 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,6),(5,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,20),-0.124895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,7),(5,20),-0.125343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,-1),-0.0639333 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,9),(9,20),-0.156766 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,9),(9,8),-0.0494628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),-0.0639333 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,-1),-0.0489966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.125004 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,12),-0.125525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,13),-0.126645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,14),-0.125525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,15),-0.125714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,18),-0.126685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,20),-0.193382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,12),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,14),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,20),-0.147774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,12),(10,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,15),-0.12491 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,20),-0.13678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,13),(10,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,15),-0.124889 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,20),-0.133162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,14),(10,15),-0.12491 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,20),-0.13678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,15),(10,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,20),-0.0286374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,18),(10,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,18),(10,20),-0.168438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,19),(10,20),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),-0.0437358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,8),-0.0317442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,7),-0.0581627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,6),-0.0436135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,5),-0.0437358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,4),-0.0795628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,3),-0.0795628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,2),-0.0795628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,1),-0.0531323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),0.0825274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,8),-0.0427534 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,7),-0.0460963 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,6),-0.0452689 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,5),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,4),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,3),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,2),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,1),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,-1),-0.0223371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,8),(10,7),-0.0416622 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,6),-0.0468138 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,5),-0.0420229 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,4),-0.044334 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,3),-0.044334 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,2),-0.044334 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,1),-0.040475 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),-0.0418661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,7),(10,6),-0.0425818 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,5),-0.0420796 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,4),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,3),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,2),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,1),-0.0421857 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,-1),-0.0231174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,6),(10,5),-0.0443005 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,4),-0.0425567 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,3),-0.0425567 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,2),-0.0425567 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,1),-0.0420151 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,-1),-0.0732806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,5),(10,4),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,3),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,2),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,1),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,-1),-0.0223371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,4),(10,3),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,2),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,1),-0.0420585 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,-1),-0.072821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,3),(10,2),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,3),(10,1),-0.0420585 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,3),(10,-1),-0.072821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,2),(10,1),-0.0420585 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,2),(10,-1),-0.072821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,1),(10,-1),-0.064503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,13),-0.0526898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,14),-0.0558007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,15),-0.0464543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,18),-0.0784343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,20),0.0831104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,13),(12,14),-0.0372027 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,15),-0.0400318 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,19),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,20),-0.0640533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,14),(12,15),-0.0424435 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,18),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,20),-0.0210155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,15),(12,18),-0.0425639 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,19),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,20),-0.0715075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,18),(12,19),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,18),(12,20),-0.0717321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,19),(12,20),-0.047371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,11),0.130155 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,12),(12,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,8),-0.125004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,7),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,6),-0.125768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,4),-0.126649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,2),-0.126649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,-1),-0.192427 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,11),(12,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,7),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,-1),-0.147422 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,9),(12,8),-0.125233 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,9),(12,7),-0.125465 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,9),(12,6),-0.127156 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,9),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,9),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,9),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,9),(12,-1),-0.119002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,8),(12,7),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,8),(12,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,8),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,8),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,8),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,8),(12,-1),-0.147445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,7),(12,6),-0.12491 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,-1),-0.136713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,6),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,6),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,6),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,6),(12,-1),-0.0302946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,5),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,5),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,5),(12,-1),-0.119002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,4),(12,2),-0.124902 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,4),(12,-1),-0.168394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,2),(12,-1),-0.168392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,14),-0.0565056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,15),-0.0724285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,17),-0.0435496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,18),-0.0473011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,20),0.0128893 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,14),(13,15),-0.0423134 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,18),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,20),-0.0579412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,15),(13,17),-0.0420025 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,18),-0.0424086 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,20),-0.0731205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,17),(13,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,20),-0.0428603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,18),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,20),-0.048202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,19),(13,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,11),0.0852597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,8),-0.12491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,6),-0.125055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,-1),-0.12993 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,11),(13,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,-1),-0.147761 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,9),(13,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,-1),-0.126143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,8),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,-1),-0.147511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,6),(13,-1),-0.108681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,15),-0.0469253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,17),-0.0529061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,18),-0.0780325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,20),0.0811929 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,15),(14,17),-0.0420079 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,18),-0.0425639 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,19),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,20),-0.0719792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,17),(14,18),-0.0420038 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,19),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,20),-0.0645005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,18),(14,19),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,20),-0.0708747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,19),(14,20),-0.047371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,13),0.113623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,12),0.110926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,10),-0.125505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,6),-0.125768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,4),-0.126649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,-1),-0.189859 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,13),(14,12),0.119164 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,6),-0.124889 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,-1),-0.133162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,12),(14,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,6),-0.12491 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,-1),-0.136714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,10),(14,6),-0.12491 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,-1),-0.136797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,6),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,6),(14,-1),-0.0369244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,4),(14,-1),-0.167661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,15),(15,16),-0.0630091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,17),-0.0389881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,18),-0.0628622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,20),0.0102179 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,16),(15,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,18),-0.04223 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,20),-0.0625467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,17),(15,18),-0.0426127 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,20),-0.0337289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,18),(15,19),-0.0420013 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,20),-0.107762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,19),(15,20),-0.0445256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,15),(15,14),0.1254 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,13),0.118901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,-1),-0.00944796 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,14),(15,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,-1),-0.118528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,13),(15,-1),-0.12347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,18),(18,19),-0.0433719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,20),-0.083939 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
