# _root_ And some carriers are facing other unexpected headaches : USAir , for example , blamed some of its loss on merger expenses and on disruptions caused by Hurricane Hugo last month .
#goldHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
#predictedHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
(23,10),(10,15),(10,20),0.0936803 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,15),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,15),(10,32),-0.144761 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,15),(10,33),-0.169888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,17),(10,19),0.109048 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,17),(10,20),0.0927117 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,17),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,17),(10,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,17),(10,33),0.0240667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,19),(10,20),0.0972345 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,19),(10,23),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,19),(10,32),-0.144707 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,19),(10,33),-0.161593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,20),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,20),(10,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,20),(10,33),-0.0346638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,23),(10,32),0.0869298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,10),(10,23),(10,33),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,10),(10,32),(10,33),-0.14706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,10),(10,9),-0.0407998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,10),(10,10),(10,8),-0.0376795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,10),(10,10),(10,7),0.0159981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,10),(10,10),(10,6),0.0146123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,10),(10,10),(10,2),0.0386563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,10),(10,10),(10,-1),0.183498 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,10),(10,9),(10,8),-0.0261217 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,9),(10,7),-0.0196942 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,9),(10,6),-0.0196942 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,9),(10,2),-0.0199905 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,9),(10,-1),-0.02371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,8),(10,7),-0.0319298 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,8),(10,6),-0.0361556 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,8),(10,2),-0.0185329 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,8),(10,-1),0.00176382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,7),(10,6),-0.00968201 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,7),(10,2),-0.0729476 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,7),(10,-1),0.0402077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,6),(10,2),-0.0765773 # DEPENDENCYPART_GRANDSIBL
(23,10),(10,6),(10,-1),0.0397574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,10),(10,2),(10,-1),0.00811488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,11),(11,12),0.102952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,33),-0.0464494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,11),(11,12),(11,33),-0.15129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,11),(11,-1),0.0694301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,12),(12,13),0.0627927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,14),0.14339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,15),0.104037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,33),-0.0596166 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,13),(12,14),0.103144 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,13),(12,15),0.109352 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,13),(12,33),-0.168241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,14),(12,15),0.109195 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,33),-0.0841363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,15),(12,33),-0.15531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,12),(12,11),-0.00357167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,-1),-0.121129 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,11),(12,-1),0.0454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,13),(13,14),0.2306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,15),0.0954456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,16),0.0695986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,17),0.201653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,19),0.0394842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,22),0.0411885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,33),-0.0256201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,13),(13,14),(13,15),0.158695 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,16),0.107063 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,17),0.101514 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,19),0.112993 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,22),0.112995 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,33),-0.149615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,15),(13,16),0.109652 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,17),0.0917885 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,19),0.120625 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,22),0.120602 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,33),-0.169892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,16),(13,17),0.10164 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,19),0.117416 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,22),0.117416 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,33),-0.135762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,17),(13,19),0.109048 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,17),(13,22),0.109048 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,17),(13,33),0.0240627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,19),(13,22),0.177976 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,19),(13,33),-0.161593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,22),(13,33),-0.159913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,13),(13,12),-0.0479435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,11),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,10),-0.0376811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,8),-0.0376811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,6),0.0146123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,4),-0.105827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,-1),0.17427 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,13),(13,12),(13,11),-0.0180811 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,10),-0.0321861 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,8),-0.0321861 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,6),-0.022087 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,4),-0.00568059 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,-1),-0.0886857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,11),(13,10),0.0398725 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,8),0.0398725 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,6),-0.0417191 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,4),-0.0125268 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,-1),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,10),(13,8),-0.00584777 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,10),(13,6),-0.0361556 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,10),(13,4),-0.0179578 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,10),(13,-1),0.00176149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,8),(13,6),-0.0361556 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,8),(13,4),-0.0179578 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,8),(13,-1),0.00176149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,6),(13,4),-0.0105376 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,6),(13,-1),0.0397574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,4),(13,-1),-0.0170898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,14),(14,14),(14,33),-0.0464494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,14),(14,14),(14,-1),0.0694301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,15),(15,15),(15,16),0.11129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,17),0.085439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,19),0.243523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,20),0.0872157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,21),0.240078 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,22),0.24475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,23),-0.166252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,24),-0.140126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,25),-0.0962778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,26),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,27),-0.140141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,30),-0.145055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,31),-0.0962792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,33),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,15),(15,16),(15,17),0.101303 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,19),0.10352 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,20),0.101573 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,21),0.10352 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,22),0.10352 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,23),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,24),-0.144716 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,25),-0.145054 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,27),-0.144716 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,30),-0.14471 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,31),-0.145054 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,33),-0.176593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,17),(15,19),0.0557765 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,20),0.118649 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,21),0.0562138 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,22),0.0562138 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,23),-0.14517 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,24),-0.146313 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,25),-0.150921 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,26),-0.145501 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,27),-0.146307 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,30),-0.144718 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,31),-0.150921 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,32),-0.145894 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,33),-0.0955719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,19),(15,20),0.1351 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,21),0.0911618 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,22),0.0911618 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,23),-0.147235 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,24),-0.164946 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,25),-0.147568 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,26),-0.149107 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,27),-0.166195 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,30),-0.144763 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,31),-0.147568 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,32),-0.144792 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,33),-0.0682765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,20),(15,21),0.0546652 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,22),0.0546652 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,23),-0.14517 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,24),-0.146394 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,25),-0.150934 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,26),-0.145506 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,27),-0.146389 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,30),-0.144718 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,31),-0.150934 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,32),-0.145894 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,33),-0.077752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,21),(15,22),0.0911619 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,23),-0.147235 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,24),-0.164946 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,25),-0.147568 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,26),-0.149107 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,27),-0.166195 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,30),-0.144763 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,31),-0.147568 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,32),-0.144792 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,33),-0.0705585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,22),(15,23),-0.147235 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,24),-0.164946 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,25),-0.147568 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,26),-0.149107 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,27),-0.166195 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,30),-0.144763 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,31),-0.147568 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,32),-0.144792 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,33),-0.0658867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,23),(15,24),0.0646963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,23),(15,25),0.174299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,23),(15,26),0.114276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,23),(15,27),-0.0220074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,23),(15,30),-0.0879676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,23),(15,31),0.105635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,23),(15,32),0.0869298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,23),(15,33),-0.117114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,15),(15,24),(15,25),-0.150934 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,24),(15,26),-0.145506 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,24),(15,27),-0.146389 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,24),(15,30),-0.144718 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,24),(15,31),-0.150934 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,24),(15,32),-0.145894 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,24),(15,33),-0.077752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,25),(15,26),-0.149107 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,25),(15,27),-0.166195 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,25),(15,30),-0.144763 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,25),(15,31),-0.147568 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,25),(15,32),-0.144792 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,25),(15,33),-0.0695499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,26),(15,27),-0.145612 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,26),(15,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,26),(15,31),-0.144969 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,26),(15,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,26),(15,33),-0.0558474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,27),(15,30),-0.144718 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,27),(15,31),-0.150994 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,27),(15,32),-0.145894 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,27),(15,33),-0.0676682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,30),(15,31),-0.14477 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,30),(15,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,30),(15,33),-0.139535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,31),(15,32),-0.144792 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,31),(15,33),-0.0642295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,32),(15,33),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,15),(15,14),-0.0443473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,13),-0.022704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,12),-0.0605693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,11),-0.0443473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,10),-0.0238591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,9),-0.00741199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,8),-0.0226698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,7),-0.023147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,6),-0.0276535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,5),0.0386859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,4),0.047035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,3),-0.0226949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,2),-0.0580232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,1),-0.0108626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,-1),0.196937 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,15),(15,14),(15,13),0.0167842 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,12),-0.00783774 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,11),-0.0206154 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,10),0.0167855 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,8),0.0167855 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,7),-0.0263793 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,6),-0.0263793 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,5),-0.0747127 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,4),-0.0773202 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,3),0.0167855 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,2),-0.0196211 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,1),-0.0452601 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,-1),-0.0292307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,13),(15,12),-0.0882116 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,11),-0.00736114 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,10),-0.00612935 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,9),-0.0137371 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,8),-0.00612935 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,7),-0.0201575 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,6),-0.0205851 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,5),0.0167445 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,4),0.015498 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,3),-0.00613058 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,2),-0.0170166 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,1),-0.038411 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,-1),-0.0134717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,12),(15,11),-0.0347074 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,10),-0.0154996 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,9),-0.0100482 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,8),-0.0154996 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,7),-0.0175022 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,6),-0.0175048 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,5),-0.0161353 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,4),-0.0145732 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,3),-0.0154996 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,2),-0.0195574 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,1),-0.0239263 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,-1),-0.104104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,11),(15,10),0.0167855 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,8),0.0167855 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,7),-0.0263793 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,6),-0.0263793 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,5),-0.0747127 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,4),-0.0773202 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,3),0.0167855 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,2),-0.0196211 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,1),-0.0452601 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,11),(15,-1),-0.0292307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,10),(15,9),-0.0137371 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,10),(15,8),-0.00612935 # DEPENDENCYPART_GRANDSIBL
