# _root_ Directors of Bergen Bank and Den Norske Creditbank , two of Norway 's leading banks , announced they had agreed to the formal merger of the banks .
#goldHeads=17,1,4,5,2,8,8,5,5,5,10,15,12,15,11,5,0,19,17,19,20,24,24,21,24,27,25,17,
#predictedHeads=17,1,4,5,2,8,8,5,8,8,10,15,12,15,11,8,0,19,17,19,20,24,24,21,24,27,25,17,
(8,20),(20,21),(20,27),-0.0264164 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,21),(20,28),-0.0201925 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,21),(20,29),-0.0458251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,22),(20,23),-0.0198143 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,22),(20,24),-0.0205174 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,22),(20,25),-0.024726 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,22),(20,27),-0.0205174 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,22),(20,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,22),(20,29),-0.0159315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,23),(20,24),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,23),(20,25),-0.0323893 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,23),(20,27),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,23),(20,28),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,23),(20,29),0.0225043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,24),(20,25),-0.00374724 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,24),(20,27),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,24),(20,28),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,24),(20,29),-0.0278355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,25),(20,27),-0.0147408 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,25),(20,28),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,25),(20,29),0.00784889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,27),(20,28),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,27),(20,29),-0.0288759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,28),(20,29),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,20),(20,19),0.135132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,17),0.135115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,15),0.134341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,9),0.114399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,-1),-0.0193426 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,20),(20,19),(20,17),0.109439 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,15),0.107566 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,9),0.11442 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,-1),-0.157852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,17),(20,15),0.107496 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,9),0.114422 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,-1),-0.157435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,15),(20,9),0.064657 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,-1),-0.082075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,9),(20,-1),-0.208607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,24),(24,25),0.00760936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,26),-0.00805288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,27),-0.132013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,28),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,29),0.135486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,24),(24,25),(24,26),-0.019452 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,25),(24,27),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,25),(24,28),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,25),(24,29),-0.00940097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,26),(24,27),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,26),(24,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,26),(24,29),-0.00947284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,27),(24,28),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,27),(24,29),0.0258238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,28),(24,29),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,24),(24,23),0.0800057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,22),0.102276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,21),0.163004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,20),0.0929297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,19),0.0926615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,17),0.0926515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,14),0.0803379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,24),(24,24),(24,-1),-0.0176645 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,24),(24,23),(24,22),0.141546 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,23),(24,21),0.106868 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,23),(24,20),0.114 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,23),(24,19),0.113995 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,23),(24,17),0.114 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,23),(24,14),0.118196 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,23),(24,-1),-0.193863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,22),(24,21),0.108889 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,22),(24,20),0.107358 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,22),(24,19),0.107304 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,22),(24,17),0.107358 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,22),(24,14),0.128995 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,22),(24,-1),-0.159263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,21),(24,20),0.1091 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,21),(24,19),0.1091 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,21),(24,17),0.1091 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,21),(24,14),0.109094 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,21),(24,-1),-0.1075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,20),(24,19),0.109245 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,20),(24,17),0.109245 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,20),(24,14),0.108758 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,20),(24,-1),-0.196508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,19),(24,17),0.109246 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,19),(24,14),0.108758 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,19),(24,-1),-0.197885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,17),(24,14),0.108758 # DEPENDENCYPART_GRANDSIBL
(8,24),(24,17),(24,-1),-0.196673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,24),(24,14),(24,-1),-0.193454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,28),(28,28),(28,29),0.00397982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,28),(28,28),(28,25),0.109123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,28),(28,28),(28,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,28),(28,25),(28,-1),-0.145167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,8),0.0876931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,9),0.102629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,10),-0.145883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,11),-0.145495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,13),-0.144808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,15),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,29),-0.282176 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,8),(7,9),0.109194 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,29),-0.138994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,9),(7,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,11),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,15),-0.145604 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,29),-0.151116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,10),(7,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,29),-0.0918178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,11),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,29),-0.152292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,13),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,13),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,13),(7,29),-0.118788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,15),(7,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,15),(7,29),-0.138994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,16),(7,29),-0.151116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,6),-0.0150492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,5),-0.0197139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,4),-0.01505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,3),-0.0150492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,1),-0.0150492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,-1),0.00186033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,6),(7,5),-0.00714835 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,4),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,3),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,1),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,5),(7,4),0.0353458 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,3),0.036743 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,1),0.0411419 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,-1),-0.00536285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,4),(7,3),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,4),(7,1),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,4),(7,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,3),(7,1),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,3),(7,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,1),(7,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,8),(8,9),0.102629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,10),-0.145883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,11),-0.145495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,12),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,13),-0.144808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,15),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,17),-0.145766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,19),-0.145766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,20),-0.145766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,24),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,29),-0.282176 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,9),(8,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,11),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,12),-0.145604 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,15),-0.145604 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,24),-0.145604 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,29),-0.151116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,10),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,29),-0.0918178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,11),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,29),-0.152292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,12),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,29),-0.138994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,13),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,29),-0.118788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,15),(8,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,29),-0.138994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,16),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,16),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,16),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,16),(8,24),-0.145604 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,16),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,16),(8,29),-0.151116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,17),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,17),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,17),(8,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,17),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,17),(8,29),-0.146622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,19),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,19),(8,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,19),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,19),(8,29),-0.146622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,20),(8,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,20),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,20),(8,29),-0.146622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,24),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,24),(8,29),-0.138994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,28),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,8),(8,7),-0.0150492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,6),-0.0150492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,5),-0.0197139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,4),-0.01505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,3),-0.0150492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,-1),0.00186033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,7),(8,6),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,5),-0.00714835 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,4),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,3),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,6),(8,5),-0.00714835 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,4),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,3),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,5),(8,4),0.0353458 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,5),(8,3),0.036743 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,5),(8,-1),-0.00536285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,4),(8,3),-0.0143382 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,4),(8,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,3),(8,-1),-0.0129611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,9),(9,29),-0.092546 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,9),(9,-1),0.0325871 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,11),(11,12),0.0705315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,14),-0.0042602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,15),0.0762376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,21),-0.019648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,29),-0.106913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,12),(11,14),-0.019626 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,15),-0.0253358 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,21),-0.0215972 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,29),0.0605711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,14),(11,15),-0.020332 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,29),-0.00292204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,15),(11,21),-0.0215972 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,29),0.0662772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,21),(11,29),-0.0229621 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,10),0.0957165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,-1),-0.194412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,10),(11,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,-1),-0.155246 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,9),(11,-1),-0.145913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,13),-0.024285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,14),-0.0255905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,15),-0.0150575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,16),-0.0170532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,17),-0.038706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,19),-0.0388508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,29),0.00186033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,13),(12,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,15),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,16),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
