# _root_ Kemper Financial Services Inc. , charging that program trading is ruining the stock market , cut off four big Wall Street firms from doing any of its stock-trading business .
#goldHeads=4,4,4,16,16,16,10,9,10,6,10,14,14,11,16,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
#predictedHeads=4,4,4,16,4,4,10,9,10,6,10,14,14,11,4,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
(16,6),(6,10),(6,23),-0.135105 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,10),(6,24),-0.125127 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,10),(6,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,10),(6,31),-0.123874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,11),(6,14),0.0929971 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,11),(6,15),0.226695 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,11),(6,16),-0.125109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,11),(6,23),-0.134855 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,11),(6,24),-0.125109 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,11),(6,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,11),(6,31),-0.12122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,14),(6,15),0.119778 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,14),(6,16),-0.12319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,14),(6,23),-0.185869 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,14),(6,24),-0.12319 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,14),(6,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,14),(6,31),-0.118521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,15),(6,16),-0.14935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,15),(6,23),-0.175659 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,15),(6,24),-0.14935 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,15),(6,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,15),(6,31),-0.120729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,16),(6,23),-0.134855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,6),(6,16),(6,24),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,6),(6,16),(6,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,6),(6,16),(6,31),-0.121801 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,6),(6,23),(6,24),-0.127176 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,23),(6,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,23),(6,31),-0.118346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,24),(6,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,24),(6,31),-0.118435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,30),(6,31),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,6),(6,5),-0.126507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,6),(6,6),(6,4),0.00756698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,6),(6,6),(6,-1),0.0449981 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,6),(6,5),(6,4),-0.0694627 # DEPENDENCYPART_GRANDSIBL
(16,6),(6,5),(6,-1),0.0830862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,6),(6,4),(6,-1),-0.0808651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,7),(7,31),-0.189788 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,7),(7,7),(7,5),-0.0533491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,-1),0.0435765 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,7),(7,5),(7,-1),-0.048212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,9),(9,10),0.178579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,11),0.18408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,14),0.0557679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,16),-0.0937873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,9),(9,25),-0.132416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,31),-0.150061 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,10),(9,11),0.128149 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,14),0.121038 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,16),-0.122564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,10),(9,25),-0.129337 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,31),-0.0811735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,11),(9,14),0.121605 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,16),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,11),(9,25),-0.129337 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,31),-0.0746995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,14),(9,16),-0.126716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,14),(9,25),-0.120345 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,31),-0.0847565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,16),(9,25),-0.129337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,31),-0.0726058 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,25),(9,31),-0.172835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,9),(9,8),-0.0134041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,7),-0.0900113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,6),-0.0272822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,5),0.0347701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,4),-0.00811808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,3),-0.0111363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,2),-0.00241293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,1),-0.00839541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,-1),0.0680185 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,8),(9,7),-0.0413683 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,6),-0.014954 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,5),-0.0557434 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,4),-0.0459331 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,3),-0.0464427 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,2),-0.0454437 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,1),-0.0459956 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,-1),-0.0336781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,7),(9,6),-0.0468692 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,5),-0.0298755 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,4),-0.0473316 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,3),-0.0473316 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,2),-0.0473316 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,1),-0.0473316 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,-1),0.041004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,6),(9,5),-0.0673693 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,4),-0.0601742 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,3),-0.0573992 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,2),-0.0601738 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,1),-0.0601738 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,-1),-0.0780082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,5),(9,4),-0.0876157 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,3),-0.0895187 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,2),-0.0890527 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,1),-0.089052 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,-1),-0.0290126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,4),(9,3),-0.0462783 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,2),-0.0452793 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,1),-0.0458312 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,-1),-0.0385611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,3),(9,2),-0.047324 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,3),(9,1),-0.0478759 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,3),(9,-1),-0.0336797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,2),(9,1),-0.0434708 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,2),(9,-1),-0.0321095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,1),(9,-1),-0.0332785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,10),(10,11),0.144823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,13),0.197221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,14),0.207881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,15),0.0769297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,16),-0.107787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,10),(10,19),-0.1309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,23),0.0138934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,31),-0.300958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,11),(10,13),0.0877114 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,14),0.0877094 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,15),0.239054 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,16),-0.12511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,11),(10,19),-0.124891 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,23),-0.13682 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,31),-0.141544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,13),(10,14),0.09371 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,13),(10,15),0.142412 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,13),(10,16),-0.124106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,13),(10,19),-0.124981 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,13),(10,23),-0.191854 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,13),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,13),(10,31),-0.105009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,14),(10,15),0.137453 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,14),(10,16),-0.124106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,14),(10,19),-0.124981 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,14),(10,23),-0.192497 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,14),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,14),(10,31),-0.0881176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,15),(10,16),-0.14979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,15),(10,19),-0.125036 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,15),(10,23),-0.177767 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,15),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,15),(10,31),-0.141896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,16),(10,19),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,16),(10,23),-0.13682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,16),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,16),(10,31),-0.142124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,19),(10,23),-0.127324 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,19),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,19),(10,31),-0.108739 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,23),(10,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,23),(10,31),-0.102895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,30),(10,31),-0.146679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,10),(10,9),0.0205634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,8),0.0160484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,7),-0.0177159 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,6),-0.0733161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,5),-0.128793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,4),0.0150797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,3),0.0137875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,-1),0.00103745 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,9),(10,8),-0.00333507 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,7),-0.0601105 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,6),-0.086961 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,5),-0.070744 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,4),-0.00679634 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,3),-0.00705733 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,9),(10,-1),-0.0416036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,8),(10,7),-0.0601174 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,6),-0.0868797 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,5),-0.0674379 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,4),-0.00569659 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,3),-0.00595758 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,8),(10,-1),-0.0365293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,7),(10,6),-0.0507683 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,5),-0.0480829 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,4),-0.0495956 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,3),-0.0495956 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,7),(10,-1),-0.0593116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,6),(10,5),-0.0637658 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,6),(10,4),-0.0704664 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,6),(10,3),-0.0704288 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,6),(10,-1),-0.0536129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,5),(10,4),-0.0648655 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,5),(10,3),-0.0662176 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,5),(10,-1),0.0742647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,4),(10,3),-0.00589739 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,4),(10,-1),-0.0460983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,3),(10,-1),-0.0490884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,11),(11,12),0.0872547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,13),0.166593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,14),0.177254 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,15),0.087631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,16),-0.107336 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,11),(11,19),-0.130751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,20),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,22),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,23),0.0183349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,24),-0.106828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,31),-0.249945 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,12),(11,13),0.115332 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,14),0.115332 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,15),0.11181 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,12),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,20),-0.12489 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,22),-0.12489 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,23),-0.125347 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,12),(11,31),-0.104816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,13),(11,14),0.107207 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,15),0.124738 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,16),-0.12319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,13),(11,19),-0.124976 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,20),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,22),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,23),-0.185226 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,24),-0.12319 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,13),(11,31),-0.133959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,14),(11,15),0.119778 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,16),-0.12319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,14),(11,19),-0.124976 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,20),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,22),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,23),-0.185869 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,24),-0.12319 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,14),(11,31),-0.117068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,15),(11,16),-0.14935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,15),(11,19),-0.125036 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,20),-0.126165 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,22),-0.126165 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,23),-0.175659 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,24),-0.14935 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,15),(11,31),-0.120729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,16),(11,19),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,20),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,22),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,23),-0.134855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,24),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,16),(11,31),-0.1218 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,19),(11,20),-0.124888 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,22),-0.124888 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,23),-0.127004 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,24),-0.125626 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,19),(11,31),-0.124859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,20),(11,22),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,20),(11,23),-0.184052 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,20),(11,24),-0.12319 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,20),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,20),(11,31),-0.126988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,22),(11,23),-0.184055 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,22),(11,24),-0.123192 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,22),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,22),(11,31),-0.111469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,23),(11,24),-0.127176 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,23),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,23),(11,31),-0.11833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,24),(11,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,24),(11,31),-0.118434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,30),(11,31),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,11),(11,10),-0.0684931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,9),0.0179875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,8),0.0134724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,7),-0.0296999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,-1),0.0455293 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,10),(11,9),-0.0675262 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,8),-0.0675338 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,7),-0.0463208 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,10),(11,-1),-0.0800892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,9),(11,8),-0.0036991 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,9),(11,7),-0.0572628 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,9),(11,-1),-0.071182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,8),(11,7),-0.0572697 # DEPENDENCYPART_GRANDSIBL
(16,11),(11,8),(11,-1),-0.0661076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,7),(11,-1),-0.0593307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,12),(12,13),0.114693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,31),-0.293565 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,13),(12,31),-0.128446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,12),(12,-1),-0.0972734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,13),(13,16),-0.0937845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,13),(13,31),-0.153523 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,16),(13,31),-0.0748013 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,13),(13,12),-0.130604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,-1),0.040263 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,12),(13,-1),0.0624522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,15),0.0383966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,16),-0.0937922 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,14),(14,18),-0.129003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
