# _root_ Abby Joseph Cohen , a market strategist at Drexel Burnham Lambert , is n't nearly so sanguine about the market 's chances of surging to new highs anytime soon .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
(11,13),(13,10),(13,-1),-0.0244788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,9),(13,8),-0.145539 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,7),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,6),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,5),-0.145141 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,4),-0.145018 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,-1),-0.0244801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,8),(13,7),-0.144709 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,6),-0.144709 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,5),-0.145557 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,3),-0.144709 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,2),-0.144709 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,1),-0.144709 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,8),(13,-1),-0.235284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,7),(13,6),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,5),-0.145141 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,4),-0.145018 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,-1),-0.0244788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,6),(13,5),-0.145141 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,4),-0.145018 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,-1),-0.0209444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,5),(13,4),-0.144726 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,5),(13,3),-0.14479 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,5),(13,2),-0.14479 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,5),(13,1),-0.14479 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,5),(13,-1),-0.162943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,4),(13,3),-0.144819 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,4),(13,2),-0.144819 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,4),(13,1),-0.144819 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,4),(13,-1),-0.210496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,3),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,3),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,3),(13,-1),-0.0244788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,2),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,2),(13,-1),-0.0244788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,1),(13,-1),-0.0244788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,15),-0.0134439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,16),-0.0275703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,17),-0.0225902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,18),-0.0221449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,20),0.0188234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,22),0.0188281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,23),-0.0148462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,31),0.00357773 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,15),(14,16),-0.0178926 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,17),-0.0175894 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,18),-0.0166548 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,20),-0.0198478 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,22),-0.0198478 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,23),-0.0138371 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,31),-0.0149842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,16),(14,17),-0.0175901 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,18),-0.0166548 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,20),-0.0198478 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,22),-0.0198478 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,23),-0.0138371 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,31),-0.0288714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,17),(14,18),-0.0220941 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,20),-0.0173047 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,22),-0.0173047 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,23),-0.0225238 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,31),0.00197488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,18),(14,20),-0.0305224 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,22),-0.0305141 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,23),-0.0124935 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,31),-0.0245911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,20),(14,22),-0.0198505 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,20),(14,23),-0.0108381 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,20),(14,31),-0.0668567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,22),(14,23),-0.0108334 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,22),(14,31),-0.0668346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,23),(14,31),-0.0110373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,12),0.128374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,11),0.0992294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,8),-0.144836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,7),-0.145509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,3),-0.145509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,-1),-0.250217 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,12),(14,11),0.0945659 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,8),-0.144707 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,7),-0.14614 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,3),-0.14614 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,-1),-0.13495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,11),(14,8),-0.144768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,7),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,3),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,-1),-0.167542 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,8),(14,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,3),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,-1),-0.135435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,7),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,7),(14,3),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,7),(14,-1),-0.167542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,4),(14,3),-0.14614 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,4),(14,-1),-0.13495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,3),(14,-1),-0.167542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,15),(15,16),-0.0275459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,17),-0.0225902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,18),-0.0221794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,20),0.0165988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,22),0.0166035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,23),-0.0148808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,31),0.0400411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,16),(15,17),-0.0175898 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,18),-0.0166548 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,20),-0.0198471 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,22),-0.0198471 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,23),-0.0138371 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,31),-0.0288688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,17),(15,18),-0.0220938 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,20),-0.0173047 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,22),-0.0173047 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,23),-0.0225235 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,31),0.00197514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,18),(15,20),-0.0305224 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,22),-0.0305141 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,23),-0.0124935 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,31),-0.0258961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,20),(15,22),-0.0198505 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,20),(15,23),-0.0108376 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,20),(15,31),-0.0668545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,22),(15,23),-0.0108329 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,22),(15,31),-0.0668325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,23),(15,31),-0.0123422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,15),(15,14),0.0925425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,11),0.0986887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,8),-0.144836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,7),-0.145509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,-1),-0.241972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,14),(15,11),0.108649 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,-1),-0.175828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,11),(15,8),-0.144768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,7),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,-1),-0.169299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,8),(15,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,-1),-0.135426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,7),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,7),(15,-1),-0.169299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,4),(15,-1),-0.134992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,16),(16,17),-0.0226066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,18),-0.0254692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,20),0.0103679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,22),0.0103726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,23),-0.0181705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,31),0.00966397 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,16),(16,17),(16,18),-0.0220938 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,17),(16,20),-0.0173064 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,17),(16,22),-0.0173064 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,17),(16,23),-0.0225235 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,17),(16,31),0.00182819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,18),(16,20),-0.0305233 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,18),(16,22),-0.030515 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,18),(16,23),-0.0124937 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,18),(16,31),-0.0273431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,20),(16,22),-0.0198505 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,20),(16,23),-0.0108636 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,20),(16,31),-0.0752894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,22),(16,23),-0.0108589 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,22),(16,31),-0.0752673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,23),(16,31),-0.0137893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,16),(16,15),0.0962794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,14),0.0962795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,8),-0.144836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,7),-0.145509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,16),(16,16),(16,-1),-0.271652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,16),(16,15),(16,14),0.107305 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,15),(16,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,15),(16,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,15),(16,-1),-0.173948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,14),(16,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,14),(16,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,14),(16,-1),-0.173947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,8),(16,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,16),(16,8),(16,-1),-0.135525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,16),(16,7),(16,-1),-0.167671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,18),(18,19),-0.015754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,20),0.13588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,22),0.112367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,23),-0.0310796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,24),-0.00360514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,25),-0.0351653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,27),0.112054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,28),-0.0552821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,29),-0.0552821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,31),-0.267836 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,18),(18,19),(18,20),-0.023159 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,22),-0.023159 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,23),-0.014725 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,24),-0.0199798 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,27),-0.023159 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,28),-0.0194558 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,29),-0.0194558 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,19),(18,31),0.00240174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,20),(18,22),-0.0512086 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,23),-0.0186278 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,24),-0.0240168 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,25),-0.0215934 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,27),-0.0512086 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,28),-0.0265916 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,29),-0.0265926 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,20),(18,31),0.0793896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,22),(18,23),-0.0166854 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,24),-0.0240167 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,25),-0.0215934 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,27),-0.0512086 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,28),-0.0265905 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,29),-0.0265915 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,22),(18,31),0.0528787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,23),(18,24),-0.0200526 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,23),(18,25),-0.020873 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,23),(18,27),-0.020233 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,23),(18,28),-0.0199419 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,23),(18,29),-0.0199419 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,23),(18,31),-0.0483507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,24),(18,25),-0.0194432 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,24),(18,27),-0.0211593 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,24),(18,28),-0.0196435 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,24),(18,29),-0.0196435 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,24),(18,31),-0.00142135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,25),(18,27),-0.0251146 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,25),(18,28),-0.0208148 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,25),(18,29),-0.0208148 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,25),(18,31),-0.0541481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,27),(18,28),-0.0265905 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,27),(18,29),-0.0265915 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,27),(18,31),0.0525656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,28),(18,29),-0.0122523 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,28),(18,31),0.00636916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,29),(18,31),0.00636814 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,18),(18,17),0.139713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,16),0.127993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,15),0.125569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,-1),-0.0844428 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,18),(18,17),(18,16),0.101423 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,17),(18,15),0.101425 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,17),(18,-1),-0.179848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,16),(18,15),0.107562 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,16),(18,-1),-0.160791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,15),(18,-1),-0.163396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,30),(30,30),(30,31),0.00397982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,30),(30,30),(30,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,1),(1,1),(1,2),0.00735611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,3),0.00768834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,4),0.0460601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,7),0.00768834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,8),0.159781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,11),0.00756651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,12),0.0460601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,13),-0.135922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,1),(1,1),(1,31),-0.182267 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,1),(1,2),(1,3),0.0966393 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,2),(1,4),0.157447 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,2),(1,7),0.0966394 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,2),(1,8),0.0915981 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,2),(1,11),0.0966393 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,2),(1,12),0.157447 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,2),(1,13),-0.145111 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,2),(1,31),-0.110047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,1),(1,3),(1,4),0.157447 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,3),(1,7),0.0964118 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,3),(1,8),0.0915981 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,3),(1,11),0.0964118 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,3),(1,12),0.157447 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,3),(1,13),-0.145111 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,3),(1,31),-0.109486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,1),(1,4),(1,7),0.207653 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,4),(1,8),0.0732531 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,4),(1,11),0.207653 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,4),(1,12),0.0794293 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,4),(1,13),-0.159745 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,4),(1,31),-0.140339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,1),(1,7),(1,8),0.0915981 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,7),(1,11),0.0964118 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,7),(1,12),0.157447 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,7),(1,13),-0.145111 # DEPENDENCYPART_GRANDSIBL
(13,1),(1,7),(1,31),-0.109486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,1),(1,8),(1,11),0.120827 # DEPENDENCYPART_GRANDSIBL
