# _root_ `` All this may not be obvious to the public , which is concerned about advances in treatment , but I am convinced this basic research will begin showing results there soon . ''
#goldHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,29,20,20,
#predictedHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,31,20,20,
(20,10),(10,13),(10,17),0.0962733 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,18),0.120734 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,19),0.119903 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,20),-0.124951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,13),(10,22),-0.12493 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,23),-0.12493 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,24),-0.125955 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,31),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,32),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,35),-0.147011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,14),(10,15),0.0980508 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,16),0.121605 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,17),0.0960261 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,18),0.121605 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,19),0.11828 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,20),-0.124951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,14),(10,22),-0.12493 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,23),-0.12493 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,24),-0.125955 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,31),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,32),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,35),-0.144029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,15),(10,16),0.119861 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,17),0.0954544 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,18),0.11986 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,19),0.122209 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,20),-0.125181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,15),(10,22),-0.126238 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,23),-0.126238 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,31),-0.12527 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,32),-0.12527 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,35),-0.0318477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,16),(10,17),0.116522 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,18),0.15986 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,19),0.0989653 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,20),-0.124894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,16),(10,22),-0.124932 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,23),-0.124932 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,24),-0.125143 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,16),(10,35),-0.170617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,17),(10,18),0.118355 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,17),(10,19),0.121864 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,17),(10,20),-0.125181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,17),(10,22),-0.126239 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,17),(10,23),-0.126239 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,17),(10,24),-0.124888 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,17),(10,31),-0.125277 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,17),(10,32),-0.125277 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,17),(10,35),-0.0446526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,18),(10,19),0.0989653 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,18),(10,20),-0.124894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,18),(10,22),-0.124932 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,18),(10,23),-0.124932 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,18),(10,24),-0.125143 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,18),(10,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,18),(10,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,18),(10,35),-0.171161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,19),(10,20),-0.128691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,19),(10,22),-0.126414 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,19),(10,23),-0.126414 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,19),(10,24),-0.124896 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,19),(10,31),-0.125004 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,19),(10,32),-0.125004 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,19),(10,35),-0.129757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,20),(10,22),0.130242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,20),(10,23),0.142112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,20),(10,24),-0.00018359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,20),(10,31),0.0235294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,20),(10,32),0.0764017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,20),(10,35),-0.138165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,10),(10,22),(10,23),-0.12493 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,22),(10,24),-0.125955 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,22),(10,31),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,22),(10,32),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,22),(10,35),-0.145558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,23),(10,24),-0.125955 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,23),(10,31),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,23),(10,32),-0.124887 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,23),(10,35),-0.148228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,24),(10,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,24),(10,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,24),(10,35),-0.116783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,31),(10,32),-0.124888 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,31),(10,35),-0.155749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,32),(10,35),-0.154353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,10),(10,9),0.0252943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,8),-0.0319586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,7),-0.036508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,5),-0.0422127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,3),-0.0257561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,2),-0.0144366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,1),-0.013932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,-1),0.0326867 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,10),(10,9),(10,8),-0.0424522 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,7),-0.043272 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,5),-0.0532549 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,3),-0.0342012 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,2),-0.0301268 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,1),-0.0468629 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,-1),-0.0213162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,8),(10,7),-0.042679 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,5),-0.0421143 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,3),-0.042072 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,2),-0.042072 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,1),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,-1),-0.0198422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,7),(10,5),-0.0286001 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,3),-0.0565128 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,2),-0.0608158 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,1),-0.0392178 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,-1),-0.0164152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,5),(10,3),-0.0438845 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,5),(10,2),-0.0438924 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,5),(10,1),-0.0432199 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,5),(10,-1),-0.0367445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,3),(10,2),-0.0344784 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,3),(10,1),-0.0455201 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,3),(10,-1),-0.0568463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,2),(10,1),-0.0455194 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,2),(10,-1),-0.0321864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,1),(10,-1),-0.0408758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,11),(11,35),-0.0434274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,11),(11,11),(11,-1),0.0428456 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,12),(12,12),(12,35),-0.11594 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,12),(12,12),(12,-1),-0.0352423 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,13),(13,14),0.160726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,15),0.173651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,16),0.192276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,17),0.147239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,18),0.190167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,19),0.0875966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,20),-0.14458 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,13),(13,22),-0.134764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,23),-0.134764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,33),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,35),-0.176665 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,14),(13,15),0.0869846 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,16),0.105899 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,17),0.0726166 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,18),0.105899 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,19),0.142883 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,20),-0.124893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,14),(13,22),-0.117365 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,23),-0.117365 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,33),-0.124889 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,34),-0.124901 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,35),0.0301813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,15),(13,16),0.099048 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,17),0.106315 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,18),0.099048 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,19),0.103319 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,20),-0.125927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,15),(13,22),-0.127092 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,23),-0.127092 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,33),-0.128284 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,34),-0.125154 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,35),-0.0888153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,16),(13,17),0.0703189 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,16),(13,18),0.132319 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,16),(13,19),0.124902 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,16),(13,20),-0.126159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,16),(13,22),-0.127693 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,16),(13,23),-0.127693 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,16),(13,33),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,16),(13,34),-0.126333 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,16),(13,35),-0.0560153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,17),(13,18),0.105946 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,17),(13,19),0.111703 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,17),(13,20),-0.125978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,17),(13,22),-0.127789 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,17),(13,23),-0.127789 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,17),(13,33),-0.129984 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,17),(13,34),-0.125156 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,17),(13,35),-0.0758333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,18),(13,19),0.1249 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,18),(13,20),-0.126159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,18),(13,22),-0.127693 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,18),(13,23),-0.127693 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,18),(13,33),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,18),(13,34),-0.126333 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,18),(13,35),-0.0613993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,19),(13,20),-0.127695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,19),(13,22),-0.131857 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,19),(13,23),-0.131857 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,19),(13,33),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,19),(13,34),-0.125493 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,19),(13,35),-0.11843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,20),(13,22),0.129575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,20),(13,23),0.141444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,20),(13,33),-0.00205378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,20),(13,34),-0.0473201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,20),(13,35),-0.138255 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,22),(13,23),-0.117365 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,22),(13,33),-0.124889 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,22),(13,34),-0.124901 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,22),(13,35),0.030268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,23),(13,33),-0.124889 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,23),(13,34),-0.124901 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,23),(13,35),0.0306979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,33),(13,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,33),(13,35),-0.133158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,34),(13,35),-0.116276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,13),(13,12),-0.104723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,11),-0.0531467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,10),-0.125892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,8),-0.0517715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,7),-0.0477486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,6),0.0188044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,5),-0.030422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,4),0.0468871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,3),-0.0520719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,2),-0.0450857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,1),0.0167279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,-1),0.123687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,12),(13,11),-0.0443519 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,10),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,8),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,7),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,6),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,5),-0.0426249 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,4),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,3),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,2),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,1),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,-1),-0.0821174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,11),(13,10),0.00320263 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,8),-0.0390852 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,7),-0.0500027 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,6),-0.0809098 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,5),-0.038387 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,4),-0.057636 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,3),-0.0421042 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,2),-0.0421115 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,1),-0.00614777 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,-1),-0.0596968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,10),(13,8),-0.0514431 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,7),-0.0441431 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,6),-0.031622 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,5),-0.0512265 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,4),-0.0527442 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,3),-0.0421685 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,2),-0.0421841 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,1),-0.105932 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,-1),-0.00379659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,8),(13,7),-0.0436058 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,6),-0.0223278 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,5),-0.0298241 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,4),-0.0420811 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,3),-0.0421032 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,2),-0.0421032 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,1),-0.0431274 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,-1),0.0167024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,7),(13,6),-0.0546488 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,7),(13,5),-0.0528314 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,7),(13,4),-0.0374404 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,7),(13,3),-0.0439839 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,7),(13,2),-0.044096 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,7),(13,1),-0.0448744 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,7),(13,-1),-0.0532801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,6),(13,5),-0.0487031 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,6),(13,4),-0.0459709 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,6),(13,3),-0.0456019 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,6),(13,2),-0.0456013 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,6),(13,1),-0.0364406 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,6),(13,-1),0.0324088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,5),(13,4),-0.045147 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,5),(13,3),-0.0458345 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,5),(13,2),-0.0443586 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,5),(13,1),-0.0343213 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,5),(13,-1),-0.0156168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,4),(13,3),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,4),(13,2),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,4),(13,1),-0.0430411 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,4),(13,-1),0.0312795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,3),(13,2),-0.0421002 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,3),(13,1),-0.0437827 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,3),(13,-1),-0.0775644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,2),(13,1),-0.0443557 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,2),(13,-1),-0.0702847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,1),(13,-1),-0.0821092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,14),(14,14),(14,15),0.159685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,16),0.195401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,17),0.133273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,18),0.193292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,19),0.0902707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,20),-0.14391 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,14),(14,14),(14,22),-0.133863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,23),-0.133863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,27),-0.132432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,31),-0.132493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,32),-0.132484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,33),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,35),-0.191071 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,14),(14,15),(14,16),0.101675 # DEPENDENCYPART_GRANDSIBL
(20,14),(14,15),(14,17),0.11432 # DEPENDENCYPART_GRANDSIBL
(20,14),(14,15),(14,18),0.101675 # DEPENDENCYPART_GRANDSIBL
(20,14),(14,15),(14,19),0.104693 # DEPENDENCYPART_GRANDSIBL
(20,14),(14,15),(14,20),-0.125843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,14),(14,15),(14,22),-0.127092 # DEPENDENCYPART_GRANDSIBL
