# _root_ During the takeover , Mr. Hahn said he would put his account up for review if WPP 's bid were successful , but he did n't .
#goldHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,13,14,20,19,17,20,10,20,23,0,25,23,25,23,
#predictedHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,10,14,20,19,17,20,10,20,23,0,25,23,25,23,
(23,12),(12,17),(12,21),0.11782 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,22),0.1044 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,25),-0.144753 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,28),-0.177781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,19),(12,20),0.098583 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,21),0.11782 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,22),0.105904 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,25),-0.144753 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,28),-0.177874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,20),(12,21),0.117871 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,20),(12,22),0.113598 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,20),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,20),(12,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,20),(12,28),-0.193143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,21),(12,22),0.10413 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,23),-0.144821 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,25),-0.144714 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,28),-0.16668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,22),(12,23),-0.147729 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,22),(12,25),-0.147049 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,22),(12,28),-0.148987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,23),(12,25),0.0692686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,23),(12,28),-0.166597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,25),(12,28),-0.190949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,12),(12,11),0.0207756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,10),-0.083129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,8),0.0186217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,7),-0.0816355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,6),-0.0175912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,2),0.0600393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,-1),0.0481037 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,11),(12,10),-0.0203222 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,11),(12,8),-0.0194429 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,11),(12,7),-0.0203223 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,11),(12,6),-0.0195961 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,11),(12,2),-0.019446 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,11),(12,-1),-0.00204057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,10),(12,8),-0.0208759 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,10),(12,7),-0.0212783 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,10),(12,6),-0.0267746 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,10),(12,2),-0.0236278 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,10),(12,-1),-0.0212281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,8),(12,7),-0.0203324 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,8),(12,6),-0.0195961 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,8),(12,2),-0.019446 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,8),(12,-1),-0.00439295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,7),(12,6),-0.0267765 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,7),(12,2),-0.02363 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,7),(12,-1),-0.0197524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,6),(12,2),-0.0132411 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,6),(12,-1),-0.00922572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,2),(12,-1),0.000313112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,14),(14,14),(14,15),0.0949332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,14),(14,14),(14,16),0.10896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,14),(14,14),(14,17),0.0956379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,14),(14,14),(14,19),0.0923749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,14),(14,14),(14,28),-0.0948531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,14),(14,15),(14,16),0.111373 # DEPENDENCYPART_GRANDSIBL
(23,14),(14,15),(14,17),0.10858 # DEPENDENCYPART_GRANDSIBL
(23,14),(14,15),(14,19),0.10858 # DEPENDENCYPART_GRANDSIBL
(23,14),(14,15),(14,28),-0.137006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,14),(14,16),(14,17),0.115501 # DEPENDENCYPART_GRANDSIBL
(23,14),(14,16),(14,19),0.115501 # DEPENDENCYPART_GRANDSIBL
(23,14),(14,16),(14,28),-0.150001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,14),(14,17),(14,19),0.10858 # DEPENDENCYPART_GRANDSIBL
(23,14),(14,17),(14,28),-0.136302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,14),(14,19),(14,28),-0.139566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,14),(14,14),(14,12),0.0119734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,14),(14,14),(14,-1),-0.0839246 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,14),(14,12),(14,-1),-0.0261581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,15),(15,16),0.163413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,17),0.0297327 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,18),0.147454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,19),0.0297274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,20),0.0733314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,21),0.11311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,22),0.20518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,23),-0.147458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,28),-0.026485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,15),(15,16),(15,17),0.109451 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,18),0.107488 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,19),0.10945 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,20),0.106932 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,21),0.102721 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,22),0.0864466 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,16),(15,28),-0.0527774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,17),(15,18),0.108601 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,19),0.14072 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,20),0.098583 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,21),0.117822 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,22),0.1044 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,17),(15,28),-0.182784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,18),(15,19),0.101512 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,18),(15,20),0.109318 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,18),(15,21),0.109519 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,18),(15,22),0.108782 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,18),(15,23),-0.144713 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,18),(15,28),-0.110086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,19),(15,20),0.098583 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,21),0.117822 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,22),0.105904 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,19),(15,28),-0.182878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,20),(15,21),0.117871 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,22),0.113598 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,20),(15,28),-0.193128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,21),(15,22),0.10413 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,23),-0.144821 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,21),(15,28),-0.166418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,22),(15,23),-0.147729 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,22),(15,28),-0.148987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,23),(15,28),-0.166598 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,15),(15,15),(15,14),-0.015354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,13),-0.0225274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,12),-0.0162787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,11),0.0207756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,15),(15,15),(15,-1),0.0596782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,15),(15,14),(15,13),-0.0196499 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,12),-0.0269076 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,11),-0.0194997 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,14),(15,-1),-0.0487561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,13),(15,12),-0.0198832 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,11),-0.0194412 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,13),(15,-1),-0.0218619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,12),(15,11),-0.0320085 # DEPENDENCYPART_GRANDSIBL
(23,15),(15,12),(15,-1),-0.013638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,15),(15,11),(15,-1),0.00166101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,16),(16,16),(16,17),0.106195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,16),(16,16),(16,19),0.102932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,16),(16,16),(16,28),-0.0932356 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,16),(16,17),(16,19),0.108582 # DEPENDENCYPART_GRANDSIBL
(23,16),(16,17),(16,28),-0.125604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,16),(16,19),(16,28),-0.128867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,16),(16,16),(16,15),-9.08312e-05 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,16),(16,16),(16,-1),-0.0593212 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,16),(16,15),(16,-1),-0.0330642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,17),(17,17),(17,18),0.147454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,17),(17,17),(17,20),0.0733314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,17),(17,17),(17,21),0.113146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,17),(17,17),(17,28),-0.0306924 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,17),(17,18),(17,20),0.109318 # DEPENDENCYPART_GRANDSIBL
(23,17),(17,18),(17,21),0.109519 # DEPENDENCYPART_GRANDSIBL
(23,17),(17,18),(17,28),-0.110086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,17),(17,20),(17,21),0.117871 # DEPENDENCYPART_GRANDSIBL
(23,17),(17,20),(17,28),-0.193128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,17),(17,21),(17,28),-0.166418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,17),(17,17),(17,16),-0.0247745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,17),(17,17),(17,15),-0.0114428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,17),(17,17),(17,11),0.0207756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,17),(17,17),(17,-1),0.0531834 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,17),(17,16),(17,15),-0.0274739 # DEPENDENCYPART_GRANDSIBL
(23,17),(17,16),(17,11),-0.0194997 # DEPENDENCYPART_GRANDSIBL
(23,17),(17,16),(17,-1),-0.0559118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,17),(17,15),(17,11),-0.0320085 # DEPENDENCYPART_GRANDSIBL
(23,17),(17,15),(17,-1),-0.0116261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,17),(17,11),(17,-1),0.00166101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,19),(19,20),0.0732395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,21),0.113145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,28),-0.0389787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,19),(19,20),(19,21),0.117871 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,20),(19,28),-0.19371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,21),(19,28),-0.166421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,19),(19,18),-0.0483033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,17),-0.0106583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,16),-0.0254501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,15),-0.00783013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,14),-0.0160288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,12),-0.0106583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,11),0.0203624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,19),(19,19),(19,-1),0.0520039 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,19),(19,18),(19,17),-0.0219437 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,18),(19,16),-0.0155634 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,18),(19,15),-0.0219437 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,18),(19,14),-0.0155636 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,18),(19,12),-0.0219437 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,18),(19,11),-0.0194638 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,18),(19,-1),-0.037068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,17),(19,16),-0.0259499 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,17),(19,15),-0.0241112 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,17),(19,14),-0.0263514 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,17),(19,12),-0.0241112 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,17),(19,11),-0.0320085 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,17),(19,-1),-0.00781915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,16),(19,15),-0.0274748 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,16),(19,14),-0.00228624 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,16),(19,12),-0.0274748 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,16),(19,11),-0.0194997 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,16),(19,-1),-0.0565866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,15),(19,14),-0.0263514 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,15),(19,12),-0.0216052 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,15),(19,11),-0.0320085 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,15),(19,-1),-0.00765573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,14),(19,12),-0.0269077 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,14),(19,11),-0.0194997 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,14),(19,-1),-0.0494207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,12),(19,11),-0.0320085 # DEPENDENCYPART_GRANDSIBL
(23,19),(19,12),(19,-1),-0.00766754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,19),(19,11),(19,-1),0.00124785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,20),(20,21),0.198031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,22),0.08263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,23),-0.158564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,25),-0.158397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,26),-0.147509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,28),-0.224844 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,20),(20,21),(20,22),0.114759 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,21),(20,23),-0.14473 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,21),(20,25),-0.14539 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,21),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,21),(20,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,21),(20,28),-0.151285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,22),(20,23),-0.147347 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,22),(20,25),-0.151526 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,22),(20,26),-0.146357 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,22),(20,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,22),(20,28),-0.154403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,23),(20,25),0.0689456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,26),0.0713024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,27),0.0505294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,23),(20,28),-0.135497 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,20),(20,25),(20,26),-0.144722 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,25),(20,28),-0.0461805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,26),(20,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,26),(20,28),-0.10689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,27),(20,28),-0.148574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,20),(20,19),-0.0457373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,17),-0.0466931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,16),-0.0658822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,15),-0.0468114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,14),-0.0699079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,12),-0.0472676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,10),0.0458809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,9),0.041239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,8),0.0389264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,7),0.0534119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,6),-0.0466931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,5),-0.0474668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,4),-0.046315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,3),-0.044961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,1),-0.0645622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,20),(20,20),(20,-1),0.156506 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,20),(20,19),(20,17),-0.0131791 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,16),-0.0489877 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,15),-0.0131791 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,14),-0.0570978 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,12),-0.0131791 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,10),0.00577078 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,9),-0.026518 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,8),-0.0198135 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,7),0.0047151 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,6),-0.0131791 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,5),-0.0132446 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,4),-0.016797 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,3),-0.0131791 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,1),-0.0313634 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,19),(20,-1),-0.0129782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,17),(20,16),-0.0518346 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,15),-0.0131786 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,14),-0.0599447 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,12),-0.0131786 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,10),0.00577078 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,9),-0.026518 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,8),-0.0198135 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,7),0.0047151 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,6),-0.0131786 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,5),-0.0132442 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,4),-0.0167881 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,3),-0.0131786 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,1),-0.0342103 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,17),(20,-1),-0.0110876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,16),(20,15),-0.0147858 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,14),-0.00993713 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,12),-0.0147858 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,10),-0.0233117 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,9),-0.0205413 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,8),-0.023404 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,7),-0.0233117 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,6),-0.0147858 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,5),-0.0147865 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,4),-0.0438522 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,3),-0.0147858 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,1),-0.00869488 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,16),(20,-1),-0.0937055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,20),(20,15),(20,14),-0.0599447 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,12),-0.0131786 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,10),0.00577078 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,9),-0.026518 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,8),-0.0198135 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,7),0.0047151 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,6),-0.0131786 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,5),-0.0132442 # DEPENDENCYPART_GRANDSIBL
(23,20),(20,15),(20,4),-0.016793 # DEPENDENCYPART_GRANDSIBL
