# _root_ These procedures consume millions of man-hours of labor and produce tons of paper , and each year , their end product -- the Five Year Defense Plan -- promptly melts away .
#goldHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,30,30,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
#predictedHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,11,11,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
(9,15),(15,15),(15,7),-0.145204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,6),-0.14833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,5),-0.145204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,4),-0.14833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,3),-0.148501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,2),-0.14833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,1),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,-1),0.0342061 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,14),(15,13),0.132029 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,12),0.104626 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,11),0.132029 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,10),0.124513 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,9),0.107286 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,8),-0.146395 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,7),-0.145147 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,6),-0.146395 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,5),-0.145147 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,4),-0.146395 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,3),-0.14749 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,2),-0.146395 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,-1),-0.162079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,13),(15,12),0.107272 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,11),0.14679 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,10),0.0977269 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,9),0.111291 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,8),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,7),-0.146126 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,6),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,5),-0.146126 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,4),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,3),-0.131927 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,2),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,13),(15,-1),-0.215548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,12),(15,11),0.104199 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,10),0.106316 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,9),0.108459 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,8),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,7),-0.14472 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,6),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,5),-0.14472 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,4),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,3),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,2),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,1),-0.14471 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,-1),-0.167697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,11),(15,10),0.0977269 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,9),0.111291 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,8),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,7),-0.146126 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,6),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,5),-0.146126 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,4),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,3),-0.131927 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,2),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,-1),-0.214839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,10),(15,9),0.106019 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,8),-0.14577 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,7),-0.145093 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,6),-0.14577 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,5),-0.145093 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,4),-0.14577 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,3),-0.144707 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,2),-0.14577 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,-1),-0.176324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,9),(15,8),0.13817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,7),0.184737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,6),0.151092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,5),0.208925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,4),0.190583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,3),0.0508986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,2),0.20564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,1),0.0122085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,-1),-0.170657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,8),(15,7),-0.146126 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,6),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,5),-0.146126 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,4),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,3),-0.131927 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,2),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,-1),-0.214855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,7),(15,6),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,5),-0.14472 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,4),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,3),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,2),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,1),-0.14471 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,-1),-0.167697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,6),(15,5),-0.146126 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,4),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,3),-0.131927 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,2),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,-1),-0.214839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,5),(15,4),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,3),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,2),-0.144941 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,1),-0.14471 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,-1),-0.167697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,4),(15,3),-0.131927 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,2),-0.147783 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,-1),-0.214839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,3),(15,2),-0.14577 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,3),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,3),(15,-1),-0.176324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,2),(15,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,2),(15,-1),-0.214864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,1),(15,-1),-0.121234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,33),0.0694301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,18),(18,-1),-0.0464494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,22),(22,22),(22,25),-0.0251432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,22),(22,22),(22,26),-0.0251432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,22),(22,22),(22,27),-0.0251432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,22),(22,22),(22,33),0.0288181 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,22),(22,25),(22,26),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,25),(22,27),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,25),(22,33),-0.0241135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,26),(22,27),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,26),(22,33),-0.0241135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,27),(22,33),-0.0241135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,22),(22,12),0.109333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,22),(22,22),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,22),(22,22),(22,-1),-0.0904284 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,22),(22,12),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,22),(22,12),(22,-1),-0.144819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,22),(22,5),(22,-1),-0.144819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,30),(30,31),0.0269946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,32),-0.0235284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,33),0.197352 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,30),(30,31),(30,32),-0.0198099 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,31),(30,33),-0.00601633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,32),(30,33),-0.0429407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,30),(30,29),0.0939168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,28),0.0801358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,27),0.239022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,26),0.241594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,25),0.241006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,24),0.123252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,23),0.105878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,22),0.0801358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,21),0.242852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,20),0.200885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,18),0.0877426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,17),0.241006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,15),0.219286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,14),0.0877426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,13),0.241591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,10),0.172412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,9),0.219286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,8),-0.0962775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,6),-0.0962775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,3),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,30),(30,30),(30,-1),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,30),(30,29),(30,28),0.107984 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,27),0.112464 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,26),0.11247 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,25),0.110232 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,24),0.112174 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,23),0.105548 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,22),0.107984 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,21),0.11247 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,20),0.0852491 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,18),0.103165 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,17),0.110232 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,15),0.0900591 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,14),0.103165 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,13),0.11247 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,10),0.142441 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,9),0.0900591 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,8),-0.148407 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,6),-0.148407 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,3),-0.146184 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,29),(30,-1),-0.0967605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,28),(30,27),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,26),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,25),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,24),0.106689 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,23),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,22),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,21),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,20),0.10934 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,18),0.109397 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,17),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,15),0.107979 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,14),0.109397 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,13),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,10),0.121661 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,9),0.107979 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,8),-0.145163 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,6),-0.145163 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,3),-0.14484 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,28),(30,-1),-0.182602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,27),(30,26),0.0909576 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,25),0.0909432 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,24),0.118082 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,23),0.116117 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,22),0.096654 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,21),0.090958 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,20),0.086212 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,18),0.063259 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,17),0.0909432 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,15),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,14),0.063259 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,13),0.090958 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,10),0.0964548 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,9),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,8),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,6),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,3),-0.149107 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,27),(30,-1),-0.0713938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,26),(30,25),0.0911471 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,24),0.118082 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,23),0.116117 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,22),0.096654 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,21),0.0911619 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,20),0.086212 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,18),0.063259 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,17),0.0911471 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,15),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,14),0.063259 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,13),0.0911619 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,10),0.096468 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,9),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,8),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,6),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,3),-0.149107 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,26),(30,-1),-0.0690434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,25),(30,24),0.118082 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,23),0.115537 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,22),0.0965787 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,21),0.0924816 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,20),0.086212 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,18),0.063254 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,17),0.0924667 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,15),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,14),0.063254 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,13),0.0924816 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,10),0.0962636 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,9),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,8),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,6),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,3),-0.149107 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,25),(30,-1),-0.066293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,24),(30,23),0.108995 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,22),0.10954 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,21),0.102577 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,20),0.105827 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,18),0.112312 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,17),0.102531 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,15),0.109364 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,14),0.112312 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,13),0.102577 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,10),0.108686 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,9),0.109364 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,8),-0.144708 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,6),-0.144708 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,24),(30,-1),-0.130986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,23),(30,22),0.108729 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,21),0.104682 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,20),0.109117 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,18),0.105584 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,17),0.104682 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,15),0.107921 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,14),0.105584 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,13),0.104682 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,10),0.105277 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,9),0.107921 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,8),-0.14505 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,6),-0.14505 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,23),(30,-1),-0.180897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,22),(30,21),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,20),0.10934 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,18),0.109397 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,17),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,15),0.107979 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,14),0.109397 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,13),0.114075 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,10),0.121661 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,9),0.107979 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,8),-0.145163 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,6),-0.145163 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,3),-0.14484 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,22),(30,-1),-0.182602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,21),(30,20),0.086212 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,18),0.063259 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,17),0.0911471 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,15),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,14),0.063259 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,13),0.0911619 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,10),0.0993211 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,9),0.113889 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,8),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,6),-0.147568 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,3),-0.149107 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,21),(30,-1),-0.0706374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,30),(30,20),(30,18),0.118867 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,17),0.117927 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,15),0.105138 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,14),0.118867 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,13),0.108786 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,10),0.0847142 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,9),0.105138 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,8),-0.14477 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,6),-0.14477 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,3),-0.145984 # DEPENDENCYPART_GRANDSIBL
(9,30),(30,20),(30,-1),-0.141956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
