# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(4,7),(7,27),-0.367082 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.297506 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.326225 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.196454 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.250721 # DEPENDENCYPART_GRANDPAR
(4,10),(10,5),0.589087 # DEPENDENCYPART_GRANDPAR
(4,10),(10,6),0.561656 # DEPENDENCYPART_GRANDPAR
(4,10),(10,7),0.445034 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),-0.356867 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),-0.175061 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),0.245977 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.545529 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.0327422 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),-0.393035 # DEPENDENCYPART_GRANDPAR
(4,10),(10,16),-0.25127 # DEPENDENCYPART_GRANDPAR
(4,10),(10,17),-0.182224 # DEPENDENCYPART_GRANDPAR
(4,10),(10,18),-0.0301532 # DEPENDENCYPART_GRANDPAR
(4,10),(10,20),-0.222983 # DEPENDENCYPART_GRANDPAR
(4,10),(10,22),0.038497 # DEPENDENCYPART_GRANDPAR
(4,10),(10,27),-0.385652 # DEPENDENCYPART_GRANDPAR
(4,10),(10,30),-0.965789 # DEPENDENCYPART_GRANDPAR
(4,11),(11,3),-0.158786 # DEPENDENCYPART_GRANDPAR
(4,11),(11,6),0.447028 # DEPENDENCYPART_GRANDPAR
(4,11),(11,7),0.246446 # DEPENDENCYPART_GRANDPAR
(4,11),(11,8),-0.290241 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),-0.42291 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),0.0726335 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),-0.419734 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),0.0609139 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.383373 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),0.0418831 # DEPENDENCYPART_GRANDPAR
(4,11),(11,21),-0.738917 # DEPENDENCYPART_GRANDPAR
(4,12),(12,3),-0.124612 # DEPENDENCYPART_GRANDPAR
(4,12),(12,8),-0.317253 # DEPENDENCYPART_GRANDPAR
(4,12),(12,9),-0.528578 # DEPENDENCYPART_GRANDPAR
(4,12),(12,10),-0.0738885 # DEPENDENCYPART_GRANDPAR
(4,12),(12,13),0.00817374 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),-0.290877 # DEPENDENCYPART_GRANDPAR
(4,12),(12,15),-0.360343 # DEPENDENCYPART_GRANDPAR
(4,12),(12,16),-0.304007 # DEPENDENCYPART_GRANDPAR
(4,12),(12,17),-0.190437 # DEPENDENCYPART_GRANDPAR
(4,12),(12,18),0.0641278 # DEPENDENCYPART_GRANDPAR
(4,12),(12,19),0.437581 # DEPENDENCYPART_GRANDPAR
(4,12),(12,20),-0.266527 # DEPENDENCYPART_GRANDPAR
(4,12),(12,21),-0.940907 # DEPENDENCYPART_GRANDPAR
(4,12),(12,22),0.0138958 # DEPENDENCYPART_GRANDPAR
(4,12),(12,23),-0.876063 # DEPENDENCYPART_GRANDPAR
(4,12),(12,26),-0.711529 # DEPENDENCYPART_GRANDPAR
(4,12),(12,27),-0.393865 # DEPENDENCYPART_GRANDPAR
(4,12),(12,30),-1.06196 # DEPENDENCYPART_GRANDPAR
(4,12),(12,32),-1.31396 # DEPENDENCYPART_GRANDPAR
(4,15),(15,10),0.00361934 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),0.0240141 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),-0.355287 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),-0.00614251 # DEPENDENCYPART_GRANDPAR
(4,15),(15,17),-0.0955873 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),0.158551 # DEPENDENCYPART_GRANDPAR
(4,15),(15,19),0.51226 # DEPENDENCYPART_GRANDPAR
(4,15),(15,20),-0.0372018 # DEPENDENCYPART_GRANDPAR
(4,15),(15,21),-0.861403 # DEPENDENCYPART_GRANDPAR
(4,15),(15,22),0.152765 # DEPENDENCYPART_GRANDPAR
(4,15),(15,23),-0.82661 # DEPENDENCYPART_GRANDPAR
(4,15),(15,26),-0.647936 # DEPENDENCYPART_GRANDPAR
(4,15),(15,27),-0.299015 # DEPENDENCYPART_GRANDPAR
(4,15),(15,30),-1.02438 # DEPENDENCYPART_GRANDPAR
(4,17),(17,16),-0.451868 # DEPENDENCYPART_GRANDPAR
(4,18),(18,19),0.577101 # DEPENDENCYPART_GRANDPAR
(4,18),(18,20),0.169086 # DEPENDENCYPART_GRANDPAR
(4,18),(18,21),-0.844181 # DEPENDENCYPART_GRANDPAR
(4,18),(18,22),0.153719 # DEPENDENCYPART_GRANDPAR
(4,18),(18,23),-0.920254 # DEPENDENCYPART_GRANDPAR
(4,18),(18,26),-0.851806 # DEPENDENCYPART_GRANDPAR
(4,18),(18,31),-0.0818126 # DEPENDENCYPART_GRANDPAR
(4,20),(20,3),0.0301226 # DEPENDENCYPART_GRANDPAR
(4,20),(20,4),-0.330303 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,20),(20,5),0.323387 # DEPENDENCYPART_GRANDPAR
(4,20),(20,6),0.369134 # DEPENDENCYPART_GRANDPAR
(4,20),(20,7),0.199041 # DEPENDENCYPART_GRANDPAR
(4,20),(20,8),-0.363361 # DEPENDENCYPART_GRANDPAR
(4,20),(20,10),0.0237544 # DEPENDENCYPART_GRANDPAR
(4,20),(20,11),-0.046764 # DEPENDENCYPART_GRANDPAR
(4,20),(20,13),-0.029309 # DEPENDENCYPART_GRANDPAR
(4,20),(20,14),-0.393012 # DEPENDENCYPART_GRANDPAR
(4,20),(20,15),-0.478701 # DEPENDENCYPART_GRANDPAR
(4,20),(20,16),-0.41478 # DEPENDENCYPART_GRANDPAR
(4,20),(20,17),-0.319353 # DEPENDENCYPART_GRANDPAR
(4,20),(20,19),0.342977 # DEPENDENCYPART_GRANDPAR
(4,20),(20,21),-0.590738 # DEPENDENCYPART_GRANDPAR
(4,20),(20,22),0.0982636 # DEPENDENCYPART_GRANDPAR
(4,20),(20,23),-0.701703 # DEPENDENCYPART_GRANDPAR
(4,20),(20,26),-0.632952 # DEPENDENCYPART_GRANDPAR
(4,20),(20,27),-0.248673 # DEPENDENCYPART_GRANDPAR
(4,20),(20,30),-0.972877 # DEPENDENCYPART_GRANDPAR
(4,20),(20,32),-1.20312 # DEPENDENCYPART_GRANDPAR
(4,23),(23,19),0.385245 # DEPENDENCYPART_GRANDPAR
(4,23),(23,24),-0.845138 # DEPENDENCYPART_GRANDPAR
(4,23),(23,25),-0.897746 # DEPENDENCYPART_GRANDPAR
(4,23),(23,26),-0.660622 # DEPENDENCYPART_GRANDPAR
(4,23),(23,27),-0.318461 # DEPENDENCYPART_GRANDPAR
(4,23),(23,30),-1.00631 # DEPENDENCYPART_GRANDPAR
(4,23),(23,31),-0.549691 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-1.26967 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-1.0657 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-1.14481 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.90613 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.768835 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.0886643 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.300339 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-0.403615 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.231232 # DEPENDENCYPART_GRANDPAR
(5,6),(6,17),-0.27768 # DEPENDENCYPART_GRANDPAR
(5,6),(6,18),-0.188599 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-1.11151 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.901888 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-1.11366 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.395079 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.251022 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.392096 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.229594 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.147654 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),-0.546861 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),-0.312122 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.239242 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.466961 # DEPENDENCYPART_GRANDPAR
(5,7),(7,17),-0.220432 # DEPENDENCYPART_GRANDPAR
(5,7),(7,18),-0.238372 # DEPENDENCYPART_GRANDPAR
(5,7),(7,20),-0.465759 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-0.855741 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-0.721309 # DEPENDENCYPART_GRANDPAR
(5,7),(7,23),-0.563446 # DEPENDENCYPART_GRANDPAR
(5,7),(7,26),-0.59779 # DEPENDENCYPART_GRANDPAR
(5,7),(7,27),-0.258686 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),-0.0146917 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.423358 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.497377 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.453462 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.858827 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.373087 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.0114249 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),-0.458827 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.446803 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.196311 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),-0.555053 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.404825 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),-0.289615 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),-0.490893 # DEPENDENCYPART_GRANDPAR
(5,10),(10,17),-0.246266 # DEPENDENCYPART_GRANDPAR
(5,10),(10,18),-0.193818 # DEPENDENCYPART_GRANDPAR
(5,10),(10,20),-0.498881 # DEPENDENCYPART_GRANDPAR
(5,10),(10,22),-0.744235 # DEPENDENCYPART_GRANDPAR
(5,10),(10,27),-0.28452 # DEPENDENCYPART_GRANDPAR
(5,10),(10,30),-1.08003 # DEPENDENCYPART_GRANDPAR
(5,11),(11,3),-1.07488 # DEPENDENCYPART_GRANDPAR
(5,11),(11,6),0.31163 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),-0.0720039 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),-0.409081 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),-0.603056 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),-0.466185 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.500941 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),-0.307364 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),-0.316264 # DEPENDENCYPART_GRANDPAR
(5,11),(11,18),-0.256553 # DEPENDENCYPART_GRANDPAR
(5,11),(11,21),-0.730433 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),-1.18654 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,1),-0.182464 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.19515 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),-0.313801 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.26555 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.0706117 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),0.142571 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.31531 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.367573 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-0.401925 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.216914 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.0810446 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.0353131 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.0355443 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.10098 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.312585 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.437617 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.253038 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-0.380295 # DEPENDENCYPART_GRANDPAR
(6,4),(4,12),-0.305235 # DEPENDENCYPART_GRANDPAR
(6,4),(4,15),-0.7787 # DEPENDENCYPART_GRANDPAR
(6,4),(4,17),-0.590299 # DEPENDENCYPART_GRANDPAR
(6,4),(4,18),-0.734908 # DEPENDENCYPART_GRANDPAR
(6,4),(4,20),-0.737643 # DEPENDENCYPART_GRANDPAR
(6,4),(4,23),-1.08052 # DEPENDENCYPART_GRANDPAR
(6,4),(4,32),-1.67206 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.18864 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.334138 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.440175 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.343365 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.410412 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.758929 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.601855 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.643491 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.670145 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.10198 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.0846354 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.528743 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),0.330503 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),0.300325 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.0466556 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.0913528 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.057857 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-0.0329899 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.29004 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),-0.186098 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-0.108147 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.0873473 # DEPENDENCYPART_GRANDPAR
(6,7),(7,23),-0.287382 # DEPENDENCYPART_GRANDPAR
(6,7),(7,26),-1.04695 # DEPENDENCYPART_GRANDPAR
(6,7),(7,27),-0.31321 # DEPENDENCYPART_GRANDPAR
(6,8),(8,7),0.137852 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),-0.070072 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.24771 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),0.0974549 # DEPENDENCYPART_GRANDPAR
(6,10),(10,5),-0.791244 # DEPENDENCYPART_GRANDPAR
(6,10),(10,6),-0.568514 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,10),(10,7),0.225733 # DEPENDENCYPART_GRANDPAR
(6,10),(10,8),0.0666463 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),0.0430281 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),0.31173 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),0.26944 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),-0.285987 # DEPENDENCYPART_GRANDPAR
(6,10),(10,15),-0.190624 # DEPENDENCYPART_GRANDPAR
(6,10),(10,16),-0.14499 # DEPENDENCYPART_GRANDPAR
(6,10),(10,17),0.0406963 # DEPENDENCYPART_GRANDPAR
(6,10),(10,18),-0.0733504 # DEPENDENCYPART_GRANDPAR
(6,10),(10,20),-0.292248 # DEPENDENCYPART_GRANDPAR
(6,10),(10,22),-0.126988 # DEPENDENCYPART_GRANDPAR
(6,10),(10,27),-0.239524 # DEPENDENCYPART_GRANDPAR
(6,10),(10,30),-0.151582 # DEPENDENCYPART_GRANDPAR
(6,11),(11,3),-0.652941 # DEPENDENCYPART_GRANDPAR
(6,11),(11,6),-0.788126 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,11),(11,7),0.0432387 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),-0.000706956 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),-0.193408 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),0.0256312 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),0.722766 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),-0.0145422 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),-0.0607812 # DEPENDENCYPART_GRANDPAR
(6,11),(11,18),-0.280815 # DEPENDENCYPART_GRANDPAR
(6,11),(11,21),0.308911 # DEPENDENCYPART_GRANDPAR
(6,17),(17,16),-0.156832 # DEPENDENCYPART_GRANDPAR
(6,18),(18,19),-0.321863 # DEPENDENCYPART_GRANDPAR
(6,18),(18,20),-0.481323 # DEPENDENCYPART_GRANDPAR
(6,18),(18,21),-0.240953 # DEPENDENCYPART_GRANDPAR
(6,18),(18,22),-0.268366 # DEPENDENCYPART_GRANDPAR
(6,18),(18,23),-0.486931 # DEPENDENCYPART_GRANDPAR
(6,18),(18,26),-0.912632 # DEPENDENCYPART_GRANDPAR
(6,18),(18,31),-0.855487 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.225771 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.261308 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-0.012118 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),0.0215201 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-0.869027 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,11),-0.0145618 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.333227 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.277336 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.166411 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.207246 # DEPENDENCYPART_GRANDPAR
(7,4),(4,6),-0.0741098 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-0.809433 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),0.237433 # DEPENDENCYPART_GRANDPAR
(7,4),(4,10),-0.183517 # DEPENDENCYPART_GRANDPAR
(7,4),(4,11),0.00271884 # DEPENDENCYPART_GRANDPAR
(7,4),(4,12),-0.602023 # DEPENDENCYPART_GRANDPAR
(7,4),(4,15),-0.261045 # DEPENDENCYPART_GRANDPAR
(7,4),(4,17),-0.633709 # DEPENDENCYPART_GRANDPAR
(7,4),(4,18),-0.264036 # DEPENDENCYPART_GRANDPAR
(7,4),(4,20),-0.26208 # DEPENDENCYPART_GRANDPAR
(7,4),(4,23),-0.683507 # DEPENDENCYPART_GRANDPAR
(7,4),(4,32),-1.16832 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),-0.0699617 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-0.7985 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),0.267612 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.243749 # DEPENDENCYPART_GRANDPAR
(7,5),(5,11),0.00668749 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),-0.216049 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),-0.242189 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.191903 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.138261 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.233059 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-0.86858 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),0.205943 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.402618 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-0.0223654 # DEPENDENCYPART_GRANDPAR
(7,6),(6,17),-0.852019 # DEPENDENCYPART_GRANDPAR
(7,6),(6,18),-0.492444 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.43335 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),0.37193 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.207101 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.374545 # DEPENDENCYPART_GRANDPAR
(7,9),(9,8),0.746442 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.533311 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-1.00055 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.714021 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.356175 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.715854 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.498767 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.759653 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),-0.066261 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),0.209519 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),0.396304 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),0.279359 # DEPENDENCYPART_GRANDPAR
(7,10),(10,17),-0.209752 # DEPENDENCYPART_GRANDPAR
(7,10),(10,18),0.0330896 # DEPENDENCYPART_GRANDPAR
(7,10),(10,20),0.30434 # DEPENDENCYPART_GRANDPAR
(7,10),(10,22),0.0856298 # DEPENDENCYPART_GRANDPAR
(7,10),(10,27),-0.461361 # DEPENDENCYPART_GRANDPAR
(7,10),(10,30),-0.322545 # DEPENDENCYPART_GRANDPAR
(7,11),(11,3),-0.663245 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.533244 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-0.52589 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,8),0.619124 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),0.156754 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.0991967 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),-0.0831243 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.340459 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),0.445121 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),0.0562001 # DEPENDENCYPART_GRANDPAR
(7,11),(11,21),-0.477389 # DEPENDENCYPART_GRANDPAR
(7,12),(12,3),-0.667085 # DEPENDENCYPART_GRANDPAR
(7,12),(12,8),0.736684 # DEPENDENCYPART_GRANDPAR
(7,12),(12,9),0.172521 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),0.0922565 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),0.244833 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),-0.158618 # DEPENDENCYPART_GRANDPAR
(7,12),(12,15),0.324829 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),0.222332 # DEPENDENCYPART_GRANDPAR
(7,12),(12,17),-0.244569 # DEPENDENCYPART_GRANDPAR
(7,12),(12,18),0.112066 # DEPENDENCYPART_GRANDPAR
(7,12),(12,19),0.275107 # DEPENDENCYPART_GRANDPAR
(7,12),(12,20),0.144141 # DEPENDENCYPART_GRANDPAR
(7,12),(12,21),-0.558553 # DEPENDENCYPART_GRANDPAR
(7,12),(12,22),-0.0366411 # DEPENDENCYPART_GRANDPAR
(7,12),(12,23),-0.101589 # DEPENDENCYPART_GRANDPAR
(7,12),(12,26),0.282767 # DEPENDENCYPART_GRANDPAR
(7,12),(12,27),-0.496178 # DEPENDENCYPART_GRANDPAR
(7,12),(12,30),-0.356222 # DEPENDENCYPART_GRANDPAR
(7,12),(12,32),-0.717085 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),-0.141478 # DEPENDENCYPART_GRANDPAR
(7,13),(13,15),0.288195 # DEPENDENCYPART_GRANDPAR
(7,13),(13,16),0.254477 # DEPENDENCYPART_GRANDPAR
(7,13),(13,17),-0.166833 # DEPENDENCYPART_GRANDPAR
(7,13),(13,18),0.192122 # DEPENDENCYPART_GRANDPAR
(7,13),(13,20),0.364136 # DEPENDENCYPART_GRANDPAR
(7,13),(13,22),0.00591319 # DEPENDENCYPART_GRANDPAR
(7,15),(15,10),0.196861 # DEPENDENCYPART_GRANDPAR
(7,15),(15,13),0.305431 # DEPENDENCYPART_GRANDPAR
(7,15),(15,14),-0.0974299 # DEPENDENCYPART_GRANDPAR
(7,15),(15,16),0.442707 # DEPENDENCYPART_GRANDPAR
(7,15),(15,17),-0.146662 # DEPENDENCYPART_GRANDPAR
(7,15),(15,18),-0.0410279 # DEPENDENCYPART_GRANDPAR
(7,15),(15,19),0.307361 # DEPENDENCYPART_GRANDPAR
(7,15),(15,20),0.359718 # DEPENDENCYPART_GRANDPAR
(7,15),(15,21),-0.523813 # DEPENDENCYPART_GRANDPAR
(7,15),(15,22),0.0371485 # DEPENDENCYPART_GRANDPAR
(7,15),(15,23),-0.19271 # DEPENDENCYPART_GRANDPAR
(7,15),(15,26),0.316063 # DEPENDENCYPART_GRANDPAR
(7,15),(15,27),-0.39827 # DEPENDENCYPART_GRANDPAR
(7,15),(15,30),-0.317082 # DEPENDENCYPART_GRANDPAR
(7,16),(16,13),0.0446403 # DEPENDENCYPART_GRANDPAR
(7,16),(16,14),-0.252626 # DEPENDENCYPART_GRANDPAR
(7,16),(16,15),0.0942783 # DEPENDENCYPART_GRANDPAR
(7,16),(16,17),-0.231161 # DEPENDENCYPART_GRANDPAR
(7,16),(16,18),0.0868885 # DEPENDENCYPART_GRANDPAR
(7,16),(16,19),0.234664 # DEPENDENCYPART_GRANDPAR
(7,16),(16,20),0.239959 # DEPENDENCYPART_GRANDPAR
(7,16),(16,21),-0.602764 # DEPENDENCYPART_GRANDPAR
(7,16),(16,23),-0.211261 # DEPENDENCYPART_GRANDPAR
(7,17),(17,16),0.116422 # DEPENDENCYPART_GRANDPAR
(7,18),(18,19),0.251001 # DEPENDENCYPART_GRANDPAR
(7,18),(18,20),0.172266 # DEPENDENCYPART_GRANDPAR
(7,18),(18,21),-0.544836 # DEPENDENCYPART_GRANDPAR
(7,18),(18,22),0.0442317 # DEPENDENCYPART_GRANDPAR
