# _root_ The sales are being dragged down by a glut of 1989 vehicles , said Joel Pitcoff , a Ford analyst .
#goldHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
#predictedHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
(10,14),(14,9),(14,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,9),(14,-1),-0.147618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,8),(14,7),-0.144713 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,8),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,8),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,8),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,8),(14,2),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,8),(14,-1),-0.186095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,7),(14,5),-0.144757 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,7),(14,4),-0.144757 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,7),(14,3),-0.144757 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,7),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,7),(14,-1),-0.158269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,5),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,5),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,5),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,5),(14,-1),-0.134688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,4),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,4),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,4),(14,-1),-0.136133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,3),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,3),(14,-1),-0.127781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,2),(14,-1),-0.147869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,16),(16,17),-0.0481224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,19),-0.160672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,20),-0.160672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,21),-0.0455796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,22),0.266942 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,17),(16,19),-0.0793731 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,20),-0.0795503 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,21),-0.0216765 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,22),-0.0153587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,19),(16,20),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,21),-0.0210419 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,22),-0.0760939 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,20),(16,21),-0.0210419 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,20),(16,22),-0.076329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,21),(16,22),-0.0440198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,16),(16,15),0.169037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,14),0.11595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,13),-0.0331869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,12),0.169034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,8),-0.148936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,-1),-0.128787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,15),(16,14),0.141468 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,13),0.070937 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,12),0.11547 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,8),-0.147964 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,-1),-0.119961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,14),(16,13),0.120925 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,12),0.134547 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,8),-0.147748 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,-1),-0.11159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,13),(16,12),0.00475871 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,-1),-0.153199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,12),(16,8),-0.147964 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,-1),-0.119964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,8),(16,-1),-0.120272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,20),(20,21),-0.0455796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,22),0.264905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,20),(20,21),(20,22),-0.0440198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,20),(20,19),0.167143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,18),0.0579948 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,17),-0.0331869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,16),0.169026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,15),0.169026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,11),0.0792445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,10),0.145331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,8),-0.148936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,20),(20,-1),-0.129367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,20),(20,19),(20,18),0.111987 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,19),(20,17),0.0709304 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,19),(20,16),0.115467 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,19),(20,15),0.115467 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,19),(20,11),0.0992865 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,19),(20,10),0.112416 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,19),(20,8),-0.147964 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,19),(20,-1),-0.119671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,18),(20,17),0.115087 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,18),(20,16),0.0798108 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,18),(20,15),0.0798108 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,18),(20,11),0.10185 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,18),(20,10),0.100281 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,18),(20,8),-0.145621 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,18),(20,-1),-0.120281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,17),(20,16),0.00475871 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,17),(20,15),0.00475871 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,17),(20,11),0.102639 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,17),(20,10),0.12106 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,17),(20,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,17),(20,-1),-0.153199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,16),(20,15),0.11547 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,16),(20,11),0.0992865 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,16),(20,10),0.112444 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,16),(20,8),-0.147964 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,16),(20,-1),-0.119961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,15),(20,11),0.0992865 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,15),(20,10),0.112444 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,15),(20,8),-0.147964 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,15),(20,-1),-0.119961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,11),(20,10),0.0976218 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,11),(20,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,20),(20,11),(20,-1),-0.208036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,20),(20,10),(20,8),-0.144713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,20),(20,10),(20,-1),-0.126868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,20),(20,8),(20,-1),-0.120281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,10),0.108609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,22),-0.0925688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,10),(8,22),-0.145633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,7),-0.0177314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),0.0272083 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,7),(8,-1),-0.0177314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,10),0.107008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,11),-0.145913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,12),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,14),-0.145767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,16),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,20),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,22),-0.283087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,10),(9,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,22),-0.152292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,11),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,22),-0.0919373 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,12),(9,13),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,17),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,22),-0.136746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,13),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,16),-0.145855 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,20),-0.145855 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,22),-0.151116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,14),(9,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,22),-0.146455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,16),(9,17),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,16),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,16),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,16),(9,22),-0.136746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,17),(9,20),-0.145855 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,17),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,17),(9,22),-0.151116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,20),(9,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,20),(9,22),-0.136746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,21),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,8),-0.0228763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,7),-0.0461977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,3),-0.0388993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),0.00558825 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,-1),-0.0260452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,7),(9,3),-0.0214164 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,-1),-0.0476962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,3),(9,-1),-0.0490756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,12),-0.145435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,16),-0.145435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,20),-0.145435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,22),-0.206204 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,22),-0.155246 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,12),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,22),-0.144589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,13),(10,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,22),-0.145913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,14),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,22),-0.146913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,16),(10,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,22),-0.144589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,20),(10,22),-0.144589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),0.0630584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,8),-0.02751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,7),-0.027142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,4),-0.0470868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),-0.10696 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,7),-0.0158381 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,4),-0.0195188 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,-1),0.053098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,8),(10,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),-0.0250994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,7),(10,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,-1),-0.0196724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,4),(10,-1),-0.0491987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,22),0.0179662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,-1),-0.107172 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,14),(14,15),-0.0183777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,16),-0.0183777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,17),-0.0214568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,20),-0.0183777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,21),-0.0199301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,22),-0.00403921 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,15),(14,16),-0.0201269 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,17),-0.0220671 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,20),-0.0201269 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,21),-0.0199399 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,22),-0.0375662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,16),(14,17),-0.0220671 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,20),-0.0201269 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,21),-0.0199399 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,22),-0.0375662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,17),(14,20),-0.0200066 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,22),-0.0208386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,20),(14,21),-0.0199399 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,20),(14,22),-0.0375662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,21),(14,22),-0.0230449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,13),0.103361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,12),0.105296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,11),0.108518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,10),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,9),-0.145645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,8),-0.14772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,7),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,5),-0.145129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,4),-0.145129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,3),-0.145129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,2),-0.145645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,-1),-0.209566 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,13),(14,12),0.109486 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,11),0.108968 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,10),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,5),-0.144908 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,4),-0.144908 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,3),-0.144908 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,-1),-0.152531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,12),(14,11),0.109538 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,-1),-0.148874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,11),(14,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,-1),-0.146733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,10),(14,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,-1),-0.158139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,9),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,9),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
