# _root_ Mr. Carpenter , a former consulting-firm executive who has a love for `` task forces , '' says he has done a `` complete rethink '' of Kidder in recent months .
#goldHeads=2,18,2,7,7,7,2,9,7,11,9,11,12,15,12,2,2,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
#predictedHeads=2,18,2,7,7,7,2,9,7,11,9,11,15,15,12,18,18,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
(18,9),(9,8),(9,6),-0.0420709 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,8),(9,5),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,8),(9,4),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,8),(9,3),-0.0512979 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,8),(9,2),-0.0420709 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,8),(9,-1),-0.0954606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,9),(9,7),(9,6),0.00929564 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,7),(9,5),-0.0204743 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,7),(9,4),-0.0514971 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,7),(9,3),-0.0681383 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,7),(9,2),0.00929564 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,7),(9,-1),-0.0701414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,9),(9,6),(9,5),-0.0204736 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,6),(9,4),-0.0514871 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,6),(9,3),-0.0713831 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,6),(9,2),0.00963906 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,6),(9,-1),-0.0612826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,9),(9,5),(9,4),-0.0438729 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,5),(9,3),-0.0270211 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,5),(9,2),-0.0710599 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,5),(9,-1),-0.0585067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,9),(9,4),(9,3),-0.0464179 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,4),(9,2),-0.047485 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,4),(9,-1),-0.0405203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,9),(9,3),(9,2),-0.0690986 # DEPENDENCYPART_GRANDSIBL
(18,9),(9,3),(9,-1),0.0672997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,9),(9,2),(9,-1),-0.0612826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,10),(10,12),0.143663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,10),(10,10),(10,33),-0.306687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,10),(10,12),(10,33),-0.099885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,10),(10,10),(10,-1),-0.116117 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,11),(11,11),(11,12),0.174482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,13),0.130957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,14),0.0520134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,15),0.0518417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,16),0.0318973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,17),0.0888095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,18),-0.0934905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,11),(11,11),(11,20),-0.0981252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,21),-0.0934911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,33),-0.169507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,11),(11,12),(11,13),0.109759 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,14),0.130091 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,15),0.13009 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,16),0.0881626 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,17),0.116126 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,18),-0.110519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,12),(11,20),-0.111898 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,21),-0.110519 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,12),(11,33),-0.00393402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,13),(11,14),0.132601 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,15),0.132601 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,16),0.104179 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,17),0.107059 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,18),-0.125235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,13),(11,20),-0.125232 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,21),-0.125232 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,13),(11,33),-0.150999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,14),(11,15),0.139644 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,14),(11,16),0.164571 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,14),(11,17),0.125053 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,14),(11,18),-0.125997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,14),(11,20),-0.125998 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,14),(11,21),-0.125997 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,14),(11,33),-0.0945721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,15),(11,16),0.164571 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,15),(11,17),0.125053 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,15),(11,18),-0.125997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,15),(11,20),-0.125998 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,15),(11,21),-0.125997 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,15),(11,33),-0.0945788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,16),(11,17),0.10225 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,16),(11,18),-0.141136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,16),(11,20),-0.141357 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,16),(11,21),-0.141135 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,16),(11,33),-0.130081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,17),(11,18),-0.1134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,17),(11,20),-0.117248 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,17),(11,21),-0.117248 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,17),(11,33),-0.173704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,18),(11,20),-0.122562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,18),(11,21),-0.122562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,18),(11,33),-0.101919 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,11),(11,20),(11,21),-0.122561 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,20),(11,33),-0.115272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,21),(11,33),-0.0931569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,11),(11,10),-0.148317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,9),-0.0282994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,8),-0.00972238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,7),0.00433301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,6),0.0117322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,5),-0.0683952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,4),-0.148317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,11),(11,11),(11,-1),-0.00934647 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,11),(11,10),(11,9),-0.0458057 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,10),(11,8),-0.0400557 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,10),(11,7),-0.0571675 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,10),(11,6),-0.057166 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,10),(11,5),-0.0713787 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,10),(11,4),-0.0393758 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,10),(11,-1),-0.00136684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,9),(11,8),-0.0416042 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,9),(11,7),-0.0606432 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,9),(11,6),-0.0606432 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,9),(11,5),-0.0361912 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,9),(11,4),0.000854733 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,9),(11,-1),-0.0896737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,8),(11,7),-0.0436836 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,8),(11,6),-0.0436836 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,8),(11,5),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,8),(11,4),-0.0422166 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,8),(11,-1),-0.0199671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,7),(11,6),-0.0340187 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,7),(11,5),-0.0517049 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,7),(11,4),-0.073585 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,7),(11,-1),0.0584177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,6),(11,5),-0.0493993 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,6),(11,4),-0.075139 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,6),(11,-1),0.0540082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,5),(11,4),0.00662604 # DEPENDENCYPART_GRANDSIBL
(18,11),(11,5),(11,-1),-0.0510057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,11),(11,4),(11,-1),-0.00136684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,12),(12,13),0.0990926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,14),0.101353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,15),0.101352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,16),0.119698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,17),0.116195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,18),-0.120809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,12),(12,20),-0.12081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,33),0.0325215 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,13),(12,14),0.107432 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,15),0.107432 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,16),0.118477 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,17),0.117514 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,18),-0.124949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,13),(12,20),-0.124949 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,13),(12,33),-0.12412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,14),(12,15),0.115379 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,16),0.127488 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,17),0.114217 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,18),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,14),(12,20),-0.124887 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,14),(12,33),-0.177609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,15),(12,16),0.127488 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,17),0.114217 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,18),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,15),(12,20),-0.124887 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,15),(12,33),-0.177611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,16),(12,17),0.116612 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,18),-0.124901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,16),(12,20),-0.124901 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,16),(12,33),-0.148568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,17),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,17),(12,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,17),(12,33),-0.136161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,18),(12,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,18),(12,33),-0.0852365 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,20),(12,33),-0.0846317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,12),(12,11),0.0296839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,10),-0.0421261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,8),-0.0761414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,7),0.0316101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,12),(12,12),(12,-1),-0.120259 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,12),(12,11),(12,10),-0.0422058 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,8),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,7),-0.0868831 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,11),(12,-1),0.0333955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,10),(12,8),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,10),(12,7),-0.0472832 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,10),(12,-1),-0.0179028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,8),(12,7),-0.043301 # DEPENDENCYPART_GRANDSIBL
(18,12),(12,8),(12,-1),-0.0804851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,12),(12,7),(12,-1),0.0346364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,33),-0.0822215 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,13),(13,-1),-0.00395825 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,14),(14,14),(14,15),0.0519404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,17),0.0888095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,18),-0.0934905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,14),(14,14),(14,33),-0.171069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,14),(14,15),(14,17),0.125053 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,15),(14,18),-0.125997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,15),(14,33),-0.0947237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,17),(14,18),-0.1134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,17),(14,33),-0.173643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,18),(14,33),-0.101817 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,14),(14,14),(14,13),-0.0753699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,11),0.0107774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,10),-0.148316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,8),-0.00972238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,14),(14,14),(14,-1),-0.00726468 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,14),(14,13),(14,11),-0.0153581 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,13),(14,10),-0.0344012 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,13),(14,8),-0.0421578 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,13),(14,-1),-0.0966615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,11),(14,10),-0.075139 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,11),(14,8),-0.0473176 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,11),(14,-1),0.0530736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,10),(14,8),-0.0400557 # DEPENDENCYPART_GRANDSIBL
(18,14),(14,10),(14,-1),-0.00136684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,14),(14,8),(14,-1),-0.0199671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,15),(15,16),0.0322621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,17),0.0888095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,18),-0.093518 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,15),(15,20),-0.0981527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,21),-0.0935185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,23),-0.12602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,25),-0.00689974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,26),-0.124984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,27),-0.070613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,32),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,33),-0.164579 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,16),(15,17),0.102298 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,18),-0.141136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,16),(15,20),-0.141357 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,21),-0.141135 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,23),-0.124912 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,25),-0.142359 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,26),-0.124906 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,27),-0.132486 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,32),-0.125335 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,33),-0.129708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,17),(15,18),-0.1134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,17),(15,20),-0.117248 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,21),-0.117248 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,23),-0.126605 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,25),-0.128 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,27),-0.128698 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,33),-0.173645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,18),(15,20),-0.122562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,21),-0.122562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,23),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,25),-0.125447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,26),-0.126813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,27),-0.128373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,32),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,33),-0.103211 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,20),(15,21),-0.122561 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,20),(15,23),-0.124888 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,20),(15,25),-0.125414 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,20),(15,26),-0.12681 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,20),(15,27),-0.128077 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,20),(15,32),-0.124894 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,20),(15,33),-0.116564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,21),(15,23),-0.124888 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,21),(15,25),-0.126127 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,21),(15,26),-0.12681 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,21),(15,27),-0.12793 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,21),(15,32),-0.124894 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,21),(15,33),-0.0944493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,23),(15,25),-0.129852 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,23),(15,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,23),(15,27),-0.125122 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,23),(15,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,23),(15,33),-0.150999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,25),(15,26),-0.125053 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,25),(15,27),-0.127037 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,25),(15,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,25),(15,33),-0.0984094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,26),(15,27),-0.128698 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,26),(15,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,26),(15,33),-0.173645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,27),(15,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,27),(15,33),-0.0551251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,32),(15,33),-0.139014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,15),(15,14),0.00889599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,13),-0.0753699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,12),-0.0924834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,11),0.00799241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,10),-0.149095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,8),-0.00972238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,7),0.00154612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,6),0.00894535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,3),0.0933278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,-1),-0.00631383 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,14),(15,13),-0.057703 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,12),-0.0669038 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,11),-0.0351613 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,10),-0.0759534 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,8),-0.0473176 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,7),-0.0328354 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,6),-0.0351613 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,3),-0.0832065 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,14),(15,-1),0.0499577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,13),(15,12),-0.0456892 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,13),(15,11),-0.0153581 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,13),(15,10),-0.0344012 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,13),(15,8),-0.0421578 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,13),(15,7),-0.0153581 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,13),(15,6),-0.0153581 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,13),(15,3),-0.0465277 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,13),(15,-1),-0.0966615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,12),(15,11),-0.0739262 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,12),(15,10),-0.0495703 # DEPENDENCYPART_GRANDSIBL
