# _root_ But the Oct. 17 temblor put a halt to much nonessential building , and heavy rains last week slowed the rest , freeing construction workers for earthquake repairs .
#goldHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,16,14,21,19,14,14,25,23,23,28,26,14,
#predictedHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,19,14,21,19,19,19,25,23,23,28,26,14,
(17,9),(9,9),(9,12),0.113355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,9),(9,9),(9,13),0.119164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,9),(9,9),(9,14),0.119162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,9),(9,9),(9,16),0.113355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,9),(9,9),(9,18),-0.129573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,9),(9,9),(9,21),-0.129573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,9),(9,9),(9,30),-0.118405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,9),(9,10),(9,11),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,10),(9,12),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,10),(9,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,10),(9,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,10),(9,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,10),(9,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,10),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,10),(9,30),-0.129189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,11),(9,12),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,11),(9,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,11),(9,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,11),(9,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,11),(9,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,11),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,11),(9,30),-0.129189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,12),(9,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,12),(9,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,12),(9,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,12),(9,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,12),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,12),(9,30),-0.134825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,13),(9,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,13),(9,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,13),(9,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,13),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,13),(9,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,14),(9,16),0.357367 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,14),(9,18),0.04224 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,14),(9,21),-0.112877 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,14),(9,30),-0.125548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,16),(9,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,16),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,16),(9,30),-0.134825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,18),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,9),(9,18),(9,30),-0.134825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,21),(9,30),-0.134825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,9),(9,9),(9,8),0.00581233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,9),(9,9),(9,-1),-0.14161 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,9),(9,8),(9,-1),0.0238298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,12),(12,13),0.103441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,14),0.108864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,15),0.0987446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,16),0.111838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,17),-0.125033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,12),(12,18),-0.12611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,19),-0.131035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,21),-0.12611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,22),-0.125135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,25),-0.12611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,26),-0.132431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,28),-0.12611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,30),-0.0664983 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,13),(12,14),0.119049 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,15),0.118745 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,16),0.113406 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,13),(12,18),-0.126001 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,19),-0.124893 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,21),-0.126001 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,25),-0.126001 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,26),-0.12604 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,28),-0.126001 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,29),-0.125117 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,13),(12,30),-0.130106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,14),(12,15),0.338185 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,16),0.356565 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,17),0.00371202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,14),(12,18),0.04224 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,19),0.0336775 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,21),-0.112877 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,22),-0.0435626 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,25),-0.212169 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,26),0.0425156 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,28),-0.271755 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,29),-0.071669 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,14),(12,30),-0.131751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,15),(12,16),0.117762 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,15),(12,18),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,21),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,25),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,28),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,15),(12,30),-0.151996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,16),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,16),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,22),-0.124921 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,26),-0.125161 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,16),(12,30),-0.154631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,17),(12,18),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,21),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,25),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,28),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,17),(12,30),-0.152597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,18),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,18),(12,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,18),(12,22),-0.124921 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,18),(12,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,18),(12,26),-0.125161 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,18),(12,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,18),(12,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,18),(12,30),-0.154653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,19),(12,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,19),(12,22),-0.124953 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,19),(12,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,19),(12,26),-0.124899 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,19),(12,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,19),(12,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,19),(12,30),-0.139882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,21),(12,22),-0.124921 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,21),(12,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,21),(12,26),-0.125161 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,21),(12,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,21),(12,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,21),(12,30),-0.154631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,22),(12,25),-0.126001 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,22),(12,26),-0.12604 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,22),(12,28),-0.126001 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,22),(12,29),-0.125117 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,22),(12,30),-0.130106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,25),(12,26),-0.125161 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,25),(12,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,25),(12,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,25),(12,30),-0.154631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,26),(12,28),-0.124891 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,26),(12,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,26),(12,30),-0.133622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,28),(12,29),-0.124966 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,28),(12,30),-0.154631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,29),(12,30),-0.125244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,12),(12,11),-0.0399685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,10),-0.039969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,9),-0.0357728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,8),-0.0310472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,7),-0.0645923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,6),-0.0589049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,5),-0.0310472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,4),-0.0168595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,3),-0.0310495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,2),-0.0331523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,-1),-0.0716349 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,11),(12,10),-0.0472872 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,8),-0.0382476 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,7),-0.0315618 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,6),-0.0421566 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,5),-0.0382476 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,4),-0.0481972 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,3),-0.0382476 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,2),-0.0345583 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,11),(12,-1),-0.0723195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,10),(12,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,8),-0.0382476 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,7),-0.0315618 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,6),-0.0421963 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,5),-0.0382476 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,4),-0.0481972 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,3),-0.0382476 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,2),-0.0345583 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,10),(12,-1),-0.0723228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,9),(12,8),-0.0241221 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,9),(12,7),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,9),(12,6),-0.0420627 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,9),(12,5),-0.0241221 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,9),(12,4),-0.0433157 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,9),(12,3),-0.0241221 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,9),(12,2),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,9),(12,-1),-0.0341826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,8),(12,7),-0.0527323 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,8),(12,6),-0.0359629 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,8),(12,5),-0.0424278 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,8),(12,4),-0.039776 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,8),(12,3),-0.0424278 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,8),(12,2),-0.0482919 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,8),(12,-1),-0.0510084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,7),(12,6),-0.0420105 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,7),(12,5),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,7),(12,4),-0.041999 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,7),(12,3),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,7),(12,2),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,7),(12,-1),-0.0546485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,6),(12,5),-0.0430076 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,6),(12,4),-0.0420095 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,6),(12,3),-0.0430076 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,6),(12,2),-0.042592 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,6),(12,-1),-0.0418906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,5),(12,4),-0.039776 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,5),(12,3),-0.0424278 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,5),(12,2),-0.0482919 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,5),(12,-1),-0.0510084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,4),(12,3),-0.0445618 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,4),(12,2),-0.0442545 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,4),(12,-1),-0.00629744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,3),(12,2),-0.0482919 # DEPENDENCYPART_GRANDSIBL
(17,12),(12,3),(12,-1),-0.0510107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,2),(12,-1),-0.0160863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,14),(14,15),0.118677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,16),0.113107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,14),(14,18),-0.129661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,19),-0.126212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,20),-0.12498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,21),-0.129661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,23),-0.126212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,25),-0.129661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,26),-0.124989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,28),-0.129661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,14),(14,30),-0.13729 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,15),(14,16),0.116811 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,15),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,15),(14,30),-0.124043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,16),(14,17),-0.12528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,16),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,22),-0.125071 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,16),(14,30),-0.104637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,17),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,28),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,14),(14,17),(14,30),-0.124043 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,18),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,22),-0.125071 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,18),(14,30),-0.104669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,19),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,19),(14,30),-0.11681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,20),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,20),(14,30),-0.124268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,21),(14,22),-0.125071 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,29),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,21),(14,30),-0.104637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,22),(14,23),-0.126308 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,22),(14,25),-0.126887 # DEPENDENCYPART_GRANDSIBL
(17,14),(14,22),(14,26),-0.124971 # DEPENDENCYPART_GRANDSIBL
