# _root_ Laidlaw is 47%-controlled by Canadian Pacific Ltd. , a Montreal transportation , resources and industrial holding concern .
#goldHeads=2,0,4,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
#predictedHeads=2,0,2,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
(13,11),(13,18),-0.0322746 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0166068 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0117423 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0643406 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0297372 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.151467 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00164426 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0167872 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0118771 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0426381 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0307706 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0429512 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.0149458 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.082289 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0460767 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0518837 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.459331 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.657319 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.236159 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.457094 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.000984338 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.150969 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0341285 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.135154 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0156574 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.0229132 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.00704496 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.065297 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.18558 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0756525 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0127854 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0396949 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0487277 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0464412 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.0258186 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0200393 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0538713 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0409346 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.187896 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0319039 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0590764 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0097938 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0198472 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0584719 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0536044 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00858783 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0667266 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0398797 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0676882 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0240054 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.00131297 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0222539 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.00569574 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.374993 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.138802 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.152175 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.0176757 # DEPENDENCYPART_SIBL
(17,3),(17,13),0.0239859 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.0897534 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.132856 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.1565 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.0164679 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.152779 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.266496 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.266696 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.075133 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.153489 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.104329 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.639985 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0477188 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.0472192 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.0366511 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.0028997 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.147281 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.00285613 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.204403 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0296479 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.113223 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0503666 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0728507 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.0520794 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.284821 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0880739 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.0528803 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.173055 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.173944 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.0492727 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.0714838 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0814862 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0888705 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.077292 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0986614 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0634553 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0766694 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.136811 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.00723152 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0312279 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0291131 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.913621 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.0346827 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.39433 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.162505 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.236179 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.0521929 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),0.32103 # DEPENDENCYPART_GRANDPAR
(0,1),(1,12),-0.127352 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.542499 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.103067 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.222376 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.502114 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.129571 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.404248 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),-0.199521 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.458357 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),-0.274681 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),0.178175 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),-0.398451 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-0.303923 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),-0.319895 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),0.349302 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),2.14256 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.952561 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.201449 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.056183 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.0933029 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.131744 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.375115 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.369335 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.138828 # DEPENDENCYPART_GRANDPAR
(1,2),(2,12),-0.519962 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.341772 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.420672 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.415328 # DEPENDENCYPART_GRANDPAR
(1,2),(2,16),-0.230497 # DEPENDENCYPART_GRANDPAR
(1,2),(2,17),-0.458623 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),-1.11663 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.01143 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.319008 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.402203 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.359674 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.400621 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.646384 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.606329 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.540585 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.756956 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.803788 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.541812 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.945488 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,3),-0.172715 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.0859431 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.110095 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.44941 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.430438 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.165379 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.271681 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.581065 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),-0.414724 # DEPENDENCYPART_GRANDPAR
(1,4),(4,14),-0.616829 # DEPENDENCYPART_GRANDPAR
(1,4),(4,16),-0.419985 # DEPENDENCYPART_GRANDPAR
(1,4),(4,18),-1.21278 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.692647 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,3),-0.194649 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.043253 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),0.00622127 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.210891 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.293398 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.184297 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.330737 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),-0.444025 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.403633 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-0.304381 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.688246 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.360846 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),-0.693195 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),-0.858987 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-1.05578 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,3),-0.2534 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),-0.106376 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),-0.376125 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.456193 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),-0.436798 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),-0.323557 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),-0.304824 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.409158 # DEPENDENCYPART_GRANDPAR
(1,7),(7,12),-0.587425 # DEPENDENCYPART_GRANDPAR
(1,7),(7,13),-0.451333 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),-0.491329 # DEPENDENCYPART_GRANDPAR
(1,7),(7,15),-0.74276 # DEPENDENCYPART_GRANDPAR
(1,7),(7,16),-0.413559 # DEPENDENCYPART_GRANDPAR
(1,7),(7,17),-0.771621 # DEPENDENCYPART_GRANDPAR
(1,7),(7,18),-0.885598 # DEPENDENCYPART_GRANDPAR
(1,11),(11,1),-0.812291 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,11),(11,3),-0.138352 # DEPENDENCYPART_GRANDPAR
(1,11),(11,4),-0.0839429 # DEPENDENCYPART_GRANDPAR
(1,11),(11,5),-0.150101 # DEPENDENCYPART_GRANDPAR
(1,11),(11,6),-0.187196 # DEPENDENCYPART_GRANDPAR
(1,11),(11,7),-0.451564 # DEPENDENCYPART_GRANDPAR
(1,11),(11,8),-0.389635 # DEPENDENCYPART_GRANDPAR
(1,11),(11,9),0.418296 # DEPENDENCYPART_GRANDPAR
(1,11),(11,10),-0.218621 # DEPENDENCYPART_GRANDPAR
(1,11),(11,12),-0.58962 # DEPENDENCYPART_GRANDPAR
(1,11),(11,13),-0.333327 # DEPENDENCYPART_GRANDPAR
(1,11),(11,14),-0.530985 # DEPENDENCYPART_GRANDPAR
(1,11),(11,15),-0.546053 # DEPENDENCYPART_GRANDPAR
(1,11),(11,16),-0.290134 # DEPENDENCYPART_GRANDPAR
(1,11),(11,17),-0.538476 # DEPENDENCYPART_GRANDPAR
(1,11),(11,18),-0.939052 # DEPENDENCYPART_GRANDPAR
(1,12),(12,13),-0.526312 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.13855 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.304235 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.273498 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.702437 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.73308 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-1.04352 # DEPENDENCYPART_GRANDPAR
(2,1),(1,11),-0.678458 # DEPENDENCYPART_GRANDPAR
(2,1),(1,12),-1.07578 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.281438 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.518911 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.0353585 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.298076 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.0572783 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.113874 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.0669061 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.207741 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.0991675 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),0.135606 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.039604 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.382547 # DEPENDENCYPART_GRANDPAR
(2,4),(4,3),0.415307 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.151315 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.106274 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.0332919 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.158681 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.239773 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),0.0702143 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.190943 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.0390716 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),0.165489 # DEPENDENCYPART_GRANDPAR
(2,4),(4,16),0.111517 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-1.10068 # DEPENDENCYPART_GRANDPAR
(2,5),(5,3),0.377487 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),0.274953 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.00353514 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),0.0782638 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.147144 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),0.00469272 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.43022 # DEPENDENCYPART_GRANDPAR
(2,6),(6,3),0.372899 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.268757 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.0031254 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.0871171 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.143684 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.340481 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.00279199 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.175946 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.252655 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),0.0846534 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),-0.645344 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.101787 # DEPENDENCYPART_GRANDPAR
(2,6),(6,17),-0.179047 # DEPENDENCYPART_GRANDPAR
(2,6),(6,18),-0.959919 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-0.429858 # DEPENDENCYPART_GRANDPAR
(2,7),(7,3),0.376387 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),0.268243 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),-0.272338 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.0964053 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.266898 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.731282 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.474939 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.073091 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.299159 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.2936 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.0396062 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.693447 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),-0.147987 # DEPENDENCYPART_GRANDPAR
(2,7),(7,17),-0.24935 # DEPENDENCYPART_GRANDPAR
(2,7),(7,18),-0.98473 # DEPENDENCYPART_GRANDPAR
(2,11),(11,1),-0.336406 # DEPENDENCYPART_GRANDPAR
(2,11),(11,3),0.350782 # DEPENDENCYPART_GRANDPAR
(2,11),(11,4),0.409452 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),-0.107796 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),0.108571 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),0.0803347 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),0.0451262 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),-0.189771 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.190548 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.234709 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.122864 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),0.0960983 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.538376 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.0309961 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-0.171451 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.955824 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),-0.284756 # DEPENDENCYPART_GRANDPAR
(2,13),(13,3),0.307063 # DEPENDENCYPART_GRANDPAR
(2,13),(13,5),-0.250891 # DEPENDENCYPART_GRANDPAR
(2,13),(13,6),-0.0568837 # DEPENDENCYPART_GRANDPAR
(2,13),(13,9),-0.791822 # DEPENDENCYPART_GRANDPAR
(2,13),(13,10),-0.357848 # DEPENDENCYPART_GRANDPAR
(2,13),(13,11),-0.0851864 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.214945 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),0.0308338 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),-0.653809 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),-0.113772 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.357177 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-1.06697 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.453243 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.00208136 # DEPENDENCYPART_GRANDPAR
(2,14),(14,17),-0.41978 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.930641 # DEPENDENCYPART_GRANDPAR
(2,15),(15,16),9.14191e-05 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.26215 # DEPENDENCYPART_GRANDPAR
(2,15),(15,18),-1.03633 # DEPENDENCYPART_GRANDPAR
(2,16),(16,3),0.267084 # DEPENDENCYPART_GRANDPAR
(2,16),(16,4),0.231611 # DEPENDENCYPART_GRANDPAR
(2,16),(16,11),0.131521 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),0.0753498 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),0.149199 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-0.638945 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.14823 # DEPENDENCYPART_GRANDPAR
(2,16),(16,18),-1.03194 # DEPENDENCYPART_GRANDPAR
(2,17),(17,3),0.416173 # DEPENDENCYPART_GRANDPAR
(2,17),(17,9),-0.0528235 # DEPENDENCYPART_GRANDPAR
(2,17),(17,10),-0.159197 # DEPENDENCYPART_GRANDPAR
(2,17),(17,11),0.214889 # DEPENDENCYPART_GRANDPAR
(2,17),(17,12),0.113917 # DEPENDENCYPART_GRANDPAR
(2,17),(17,13),0.00424004 # DEPENDENCYPART_GRANDPAR
(2,17),(17,14),0.292587 # DEPENDENCYPART_GRANDPAR
(2,17),(17,15),-0.409889 # DEPENDENCYPART_GRANDPAR
(2,17),(17,16),0.0592175 # DEPENDENCYPART_GRANDPAR
(2,17),(17,18),-0.958783 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.338192 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.22239 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.11494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.340565 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.697791 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.841048 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.869264 # DEPENDENCYPART_GRANDPAR
(3,1),(1,11),-0.442518 # DEPENDENCYPART_GRANDPAR
(3,1),(1,12),-0.807991 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.332177 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.09828 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.451025 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.476648 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.603576 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.746169 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.702572 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.277379 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-0.6413 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-0.369511 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-0.513533 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-0.622397 # DEPENDENCYPART_GRANDPAR
(3,2),(2,16),-0.63182 # DEPENDENCYPART_GRANDPAR
(3,2),(2,17),-0.36821 # DEPENDENCYPART_GRANDPAR
(3,2),(2,18),-0.959523 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.879356 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.702379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.0331609 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.143693 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.37492 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.299895 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.281072 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),0.124572 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.238622 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),0.295867 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.180375 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.214362 # DEPENDENCYPART_GRANDPAR
(3,4),(4,18),-0.574876 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.704647 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.127752 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.0899785 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.103342 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.162121 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),0.109663 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.888034 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.703232 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.127554 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.138827 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.0842652 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.152198 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.216504 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),0.108642 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.0909257 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),0.1371 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.0323378 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),-0.263503 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.177389 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),0.022248 # DEPENDENCYPART_GRANDPAR
