# _root_ John Fitzsimmons , chief executive officer of Data Systems , said the company was profitable and expected sales of nearly $ 100 million this year .
#goldHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,17,11,
#predictedHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,21,11,
(16,13),(13,14),(13,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,18),-0.145741 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,19),-0.14484 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,27),-0.170897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,15),(13,16),-0.145024 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,17),-0.144727 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,18),-0.145292 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,19),-0.144706 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,27),-0.18788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,16),(13,17),0.00142394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,18),0.0155756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,19),-0.130479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,27),-0.175372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,17),(13,18),-0.145741 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,19),-0.14484 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,27),-0.17241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,18),(13,19),-0.135764 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,18),(13,27),-0.168605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,19),(13,27),0.0241027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,13),(13,12),0.0642314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,11),-0.0949129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,3),-0.0397494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,-1),0.1887 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,12),(13,11),-0.0225206 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,3),-0.0259009 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,-1),0.00342576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,11),(13,3),-0.0487701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,-1),-0.00554482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,3),(13,-1),-0.040844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,15),0.201755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,16),-0.16643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,17),-0.162463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,18),-0.0966183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,19),-0.140425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,20),-0.148871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,21),-0.14701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,25),-0.0964687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,27),-0.215273 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,15),(14,16),-0.144781 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,17),-0.145984 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,18),-0.14477 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,19),-0.14479 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,25),-0.14477 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,27),-0.142984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,16),(14,17),0.000605706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,18),0.0195252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,19),-0.133102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,20),-0.0548003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,21),-0.0903525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,25),-0.0275634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,26),-0.0726267 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,27),-0.118052 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,17),(14,18),-0.144975 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,19),-0.145612 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,20),-0.144742 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,25),-0.144975 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,27),-0.0432502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,18),(14,19),-0.165567 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,20),-0.146191 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,25),-0.147607 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,26),-0.144792 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,27),-0.058116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,19),(14,20),-0.145208 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,25),-0.150955 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,26),-0.145894 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,27),-0.0931436 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,20),(14,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,25),-0.148407 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,27),-0.0888764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,21),(14,25),-0.144707 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,27),-0.151338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,25),(14,26),-0.144792 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,25),(14,27),-0.0549656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,26),(14,27),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,13),-0.0342962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,12),-0.0526709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,11),0.0471198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,10),-0.0458889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,9),-0.031094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,7),-0.0488312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,6),-0.035817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,4),-0.0154313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,3),-0.0458889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,2),-0.031612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,1),-0.0316133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,-1),0.203922 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,13),(14,12),-0.0178731 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,11),0.0145203 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,10),-0.0127516 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,9),-0.00800682 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,7),-0.065794 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,6),-0.00755972 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,4),-0.0202517 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,3),-0.0127516 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,2),-0.00755972 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,1),-0.0076304 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,-1),-0.0243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,12),(14,11),-0.0169277 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,10),-0.0198974 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,9),-0.0223885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,7),-0.0281698 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,6),-0.0223885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,4),-0.0195942 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,3),-0.0198974 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,2),-0.0223885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,1),-0.0223885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,-1),-0.0496061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,11),(14,10),-0.0337996 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,9),-0.0123179 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,7),-0.0170258 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,6),-0.0123179 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,4),-0.0162822 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,3),-0.0337996 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,2),-0.0123179 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,1),-0.0123179 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,-1),0.0956898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,10),(14,9),0.0217786 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,7),-0.0182489 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,6),0.0217822 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,4),-0.0267054 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,3),-0.0206154 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,2),0.0217822 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,1),0.0217822 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,-1),-0.031376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,9),(14,7),-0.0629277 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,6),-0.00742258 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,4),-0.0202517 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,3),-0.010831 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,2),-0.00742258 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,1),-0.00749326 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,-1),-0.0233101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,7),(14,6),-0.015875 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,7),(14,4),-0.0179813 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,7),(14,3),-0.0407721 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,7),(14,2),-0.015875 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,7),(14,1),-0.015875 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,7),(14,-1),-0.0787779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,6),(14,4),-0.0202517 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,6),(14,3),-0.0110064 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,6),(14,2),-0.00742518 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,6),(14,1),-0.00749586 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,6),(14,-1),-0.0274143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,4),(14,3),-0.0175913 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,4),(14,2),-0.0350578 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,4),(14,1),-0.0350578 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,4),(14,-1),0.0143148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,3),(14,2),0.0217822 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,3),(14,1),0.0217822 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,3),(14,-1),-0.031376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,2),(14,1),-0.00749326 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,2),(14,-1),-0.0233906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,1),(14,-1),-0.0233906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,16),-0.146407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,17),-0.14482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,18),-0.144759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,19),-0.121915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,20),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,27),-0.177897 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,16),(15,17),0.00143406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,18),0.0207313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,19),-0.130411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,20),-0.0547657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,27),-0.151341 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,17),(15,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,17),(15,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,17),(15,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,17),(15,27),-0.166372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,18),(15,19),-0.144713 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,18),(15,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,18),(15,27),-0.178418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,19),(15,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,19),(15,27),-0.0984024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,20),(15,27),-0.115544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,13),-0.0428077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,12),0.0414307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,6),-0.0427331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,-1),0.0242285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,13),(15,12),-0.0198178 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,13),(15,6),-0.0196277 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,13),(15,-1),-0.0380041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,12),(15,6),-0.0194411 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,12),(15,-1),-0.00133059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,6),(15,-1),-0.0379302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,18),-0.0193755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,19),-0.0466449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,20),0.0260575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,21),-0.0107414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,22),-0.0158801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,25),-0.0334817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,26),-0.0235284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,27),0.18751 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,18),(17,19),-0.0700629 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,20),-0.0140751 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,21),-0.0165995 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,22),-0.020546 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,25),-0.00573062 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,26),-0.0249677 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,27),-0.00859595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,19),(17,20),-0.025881 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,21),-0.0234193 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,22),-0.019634 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,25),-0.0157565 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,26),-0.0204279 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,27),-0.0866237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,20),(17,21),-0.0203025 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,20),(17,22),-0.0215396 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,20),(17,25),-0.0401588 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,20),(17,26),-0.0198099 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,20),(17,27),-0.00447907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,21),(17,22),-0.0196799 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,21),(17,25),-0.00910223 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,21),(17,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,21),(17,27),0.0224271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,22),(17,25),-0.0202448 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,27),-0.0267578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,25),(17,26),-0.0249677 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,25),(17,27),-0.0114063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,26),(17,27),-0.0429407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,15),-0.145055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,14),-0.156457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,13),-0.0968609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,11),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,10),-0.144941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,6),-0.0962804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,3),-0.144941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,2),-0.0962775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,-1),-0.216379 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,15),(17,14),-0.145984 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,13),-0.14477 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,11),-0.145984 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,6),-0.14477 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,2),-0.14477 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,-1),-0.141492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,14),(17,13),-0.144971 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,14),(17,11),-0.145376 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,14),(17,10),-0.145944 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,14),(17,6),-0.144969 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,14),(17,3),-0.145944 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,14),(17,2),-0.144969 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,14),(17,-1),-0.0431465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,13),(17,11),-0.149107 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,13),(17,10),-0.147761 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,13),(17,6),-0.147568 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,13),(17,3),-0.147761 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,13),(17,2),-0.147568 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,13),(17,-1),-0.0816007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,11),(17,10),-0.145886 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,11),(17,6),-0.144978 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,11),(17,3),-0.145886 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,11),(17,2),-0.144978 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,11),(17,-1),-0.0569174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,10),(17,6),-0.147035 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,10),(17,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,10),(17,2),-0.147035 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,10),(17,-1),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,6),(17,3),-0.147761 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,6),(17,2),-0.147568 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,6),(17,-1),-0.0704507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,3),(17,2),-0.147035 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,3),(17,-1),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,2),(17,-1),-0.0699126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,18),(18,18),(18,19),-0.0756178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,20),-0.0158594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,21),0.0260046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,22),-0.026464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,23),-0.0100815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,24),0.0187292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,25),-0.0447763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,26),-0.023758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,27),0.187316 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,18),(18,19),(18,20),-0.0217868 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,21),-0.0208035 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,22),-0.0204355 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,23),-0.0207507 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,24),-0.0210743 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,25),-0.04025 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,19),(18,27),-0.11467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,18),(18,20),(18,21),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,20),(18,22),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,20),(18,23),-0.0194452 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,20),(18,24),-0.0139822 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,20),(18,25),-0.0134556 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,20),(18,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,20),(18,27),-0.0493417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
