# _root_ Spiegel also opposes the beeper bill , saying the noise it requires would interfere with customer orders , causing irritation and even errors .
#goldHeads=3,3,0,6,6,3,3,3,10,13,12,10,8,13,14,17,15,14,14,21,19,21,21,3,
#predictedHeads=3,3,0,6,6,3,3,3,10,8,12,10,12,13,14,17,21,21,20,21,15,23,21,3,
(13,3),(3,21),(3,25),-0.18025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,3),(3,24),(3,25),-0.144742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,3),(3,3),(3,2),-0.0660772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,3),(3,3),(3,1),0.0258871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,3),(3,3),(3,-1),0.117424 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,3),(3,2),(3,1),-0.0387433 # DEPENDENCYPART_GRANDSIBL
(13,3),(3,2),(3,-1),-0.0212477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,3),(3,1),(3,-1),-0.0758103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,4),(4,5),0.108241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,7),0.129398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,8),0.127501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,4),(4,4),(4,25),-0.183612 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,4),(4,5),(4,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,5),(4,25),-0.146001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,7),(4,8),0.109534 # DEPENDENCYPART_GRANDSIBL
(13,4),(4,7),(4,25),-0.124954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,8),(4,25),-0.127308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,4),(4,4),(4,-1),-0.0515257 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,6),(6,6),(6,7),0.138705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,8),0.144857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,10),0.111388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,12),0.144858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,13),-0.13906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,14),-0.122297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,15),-0.132991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,17),-0.109166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,18),-0.145023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,21),-0.150329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,22),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,23),-0.109166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,25),-0.320204 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,6),(6,7),(6,8),0.140594 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,10),0.107191 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,12),0.141493 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,13),-0.145851 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,14),-0.147778 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,15),-0.144703 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,17),-0.145332 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,18),-0.144984 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,21),-0.147854 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,22),-0.144727 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,23),-0.145332 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,25),-0.150343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,8),(6,10),0.107798 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,12),0.108658 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,14),-0.144724 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,17),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,18),-0.146195 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,21),-0.14479 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,22),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,23),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,24),-0.144793 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,25),-0.108319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,10),(6,12),0.105825 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,14),-0.144723 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,17),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,18),-0.146967 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,22),-0.13796 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,23),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,25),-0.0922455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,12),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,14),-0.144724 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,17),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,18),-0.146195 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,21),-0.14479 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,22),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,23),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,24),-0.144793 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,25),-0.107756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,13),(6,14),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,18),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,25),-0.13055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,6),(6,14),(6,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,17),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,18),-0.146195 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,21),-0.14479 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,22),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,23),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,24),-0.144793 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,25),-0.107756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,15),(6,17),-0.123218 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,15),(6,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,15),(6,21),-0.144703 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,15),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,15),(6,23),-0.123218 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,15),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,15),(6,25),-0.0598989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,17),(6,18),-0.146967 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,17),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,17),(6,22),-0.13796 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,17),(6,23),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,17),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,17),(6,25),-0.0922455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,18),(6,21),-0.147854 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,18),(6,22),-0.144727 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,18),(6,23),-0.145332 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,18),(6,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,18),(6,25),-0.150343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,21),(6,22),0.0559475 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,21),(6,23),-0.0791515 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,21),(6,24),0.042033 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,21),(6,25),-0.130372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,22),(6,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,22),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,22),(6,25),-0.120771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,23),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,23),(6,25),-0.0922455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,24),(6,25),-0.144839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,6),(6,5),-0.0385199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,4),-0.0312344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,2),-0.00835566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,1),-0.00554998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,-1),0.0788549 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,6),(6,5),(6,4),-0.0431985 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,5),(6,2),-0.017151 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,5),(6,1),-0.0100798 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,5),(6,-1),0.00778648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,4),(6,2),-0.0137992 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,4),(6,1),-0.0248809 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,4),(6,-1),0.0569306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,2),(6,1),-0.0202692 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,2),(6,-1),0.00195901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,1),(6,-1),-0.0311736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,7),(7,8),0.107517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,25),-0.135304 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,8),(7,25),-0.146724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,7),(7,-1),-0.00899268 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,8),(8,9),0.0932769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,10),0.0782147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,11),0.0913944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,12),0.0921725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,13),-0.141025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,14),-0.146514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,15),-0.0881778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,17),-0.127943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,18),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,19),-0.146514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,20),-0.127943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,21),-0.140692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,25),-0.157235 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,9),(8,10),0.109265 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,12),0.109377 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,15),-0.144833 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,21),-0.144709 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,25),-0.143979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,10),(8,11),0.109511 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,12),0.112966 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,13),-0.144825 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,14),-0.145668 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,15),-0.151708 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,18),-0.145373 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,19),-0.145668 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,21),-0.144713 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,25),-0.120135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,11),(8,12),0.113962 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,14),-0.145614 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,15),-0.151812 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,17),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,18),-0.144713 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,19),-0.145614 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,20),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,25),-0.172074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,12),(8,13),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,14),-0.144914 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,15),-0.145334 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,17),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,18),-0.144778 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,19),-0.144914 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,20),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,21),-0.144879 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,24),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,25),-0.171573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,13),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,15),-0.144735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,17),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,20),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,25),-0.154736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,14),(8,15),-0.145334 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,17),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,18),-0.144778 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,19),-0.144914 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,20),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,21),-0.144879 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,24),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,25),-0.171573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,15),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,18),-0.145197 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,19),-0.144788 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,21),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,25),-0.150757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,17),(8,18),-0.145373 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,19),-0.145668 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,21),-0.144713 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,25),-0.120135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,18),(8,19),-0.146283 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,20),-0.144791 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,21),-0.144871 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,25),-0.0484002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,19),(8,20),-0.144735 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,19),(8,21),-0.144879 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,19),(8,24),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,19),(8,25),-0.171573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,20),(8,21),-0.144713 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,20),(8,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,20),(8,25),-0.120135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,21),(8,24),0.042033 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,21),(8,25),-0.18025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,24),(8,25),-0.144742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,7),-0.0970592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,6),0.024367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,-1),0.115162 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,7),(8,6),-0.0551687 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,-1),0.0817319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,6),(8,-1),-0.0761076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,9),(9,12),0.127501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,25),-0.183612 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,9),(9,12),(9,25),-0.127307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,9),(9,-1),-0.0515257 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,10),(10,11),0.102672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,12),0.143916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,13),-0.13906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,14),-0.122286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,15),-0.132991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,17),-0.109166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,20),-0.109166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,23),-0.109166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,25),-0.319574 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,11),(10,12),0.109195 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,14),-0.144707 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,25),-0.152197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,12),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,14),-0.144714 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,17),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,20),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,23),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,25),-0.106774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,13),(10,14),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,13),(10,25),-0.13055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,14),(10,15),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,17),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,20),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,23),-0.145291 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,25),-0.106774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,15),(10,17),-0.123218 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,20),-0.123218 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,23),-0.123218 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,15),(10,25),-0.0598802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,17),(10,20),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,17),(10,23),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,17),(10,25),-0.0921846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,20),(10,23),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,20),(10,25),-0.0921846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
