# _root_ Lawrence B. Seidman , 41 years old , was named chairman of this savings and loan institution .
#goldHeads=3,3,9,3,6,3,6,3,0,9,10,11,15,15,12,15,15,9,
#predictedHeads=3,3,9,3,6,7,3,3,0,9,10,11,15,15,12,15,15,9,
(9,15),(15,12),(15,2),-0.125007 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,1),-0.125007 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,12),(15,-1),-0.0934016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,11),(15,10),0.10199 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,9),0.101212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,11),(15,8),-0.12762 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,7),-0.124923 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,6),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,5),-0.124992 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,4),-0.12762 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,3),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,2),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,1),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,11),(15,-1),-0.145209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,10),(15,9),0.0670774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,10),(15,8),-0.126174 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,7),-0.124892 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,6),-0.133497 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,5),-0.124887 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,4),-0.126174 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,3),-0.133497 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,2),-0.133497 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,1),-0.133497 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,10),(15,-1),-0.133644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,9),(15,8),-0.126174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,7),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,6),-0.133466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,5),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,4),-0.126174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,3),-0.133466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,2),-0.133466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,1),-0.133466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,9),(15,-1),-0.116271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,8),(15,7),-0.127759 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,6),-0.1302 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,5),-0.126073 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,3),-0.1302 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,2),-0.1302 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,1),-0.1302 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,-1),-0.175228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,7),(15,6),-0.125275 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,3),-0.125275 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,2),-0.125275 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,1),-0.125275 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,-1),-0.149625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,6),(15,5),-0.124992 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,4),-0.12762 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,3),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,2),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,1),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,-1),-0.14539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,5),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,3),-0.125168 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,2),-0.125168 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,1),-0.125168 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,-1),-0.156045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,4),(15,3),-0.1302 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,2),-0.1302 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,1),-0.1302 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,-1),-0.175228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,3),(15,2),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,3),(15,1),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,3),(15,-1),-0.156911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,2),(15,1),-0.125649 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,2),(15,-1),-0.156974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,1),(15,-1),-0.156911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,17),(17,18),-0.0190753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,19),-0.00964139 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,18),(17,19),-0.0469596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,17),(17,16),0.0385302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,15),0.074289 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,14),0.0319703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,13),0.154011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,12),0.110669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,11),0.0355177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,9),0.185686 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,17),(17,8),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,7),-0.130341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,-1),-0.18884 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,16),(17,15),0.166836 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,14),0.132532 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,13),0.0786892 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,12),0.123712 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,11),0.133886 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,9),0.126426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,16),(17,8),-0.142722 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,7),-0.12576 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,-1),-0.0941527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,15),(17,14),0.022848 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,13),0.246751 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,12),0.255299 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,11),0.121527 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,9),0.302705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,15),(17,8),0.257383 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,7),0.0801327 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,-1),-0.105014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,14),(17,13),0.0785738 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,12),0.123712 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,11),0.129299 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,9),0.126582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,14),(17,8),-0.142722 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,7),-0.12576 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,-1),-0.0959464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,13),(17,12),0.128941 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,11),0.138504 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,9),0.119033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,13),(17,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,7),-0.124887 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,-1),-0.0813015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,12),(17,11),0.112546 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,12),(17,9),0.116581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,12),(17,8),-0.127478 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,12),(17,7),-0.12552 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,12),(17,-1),-0.053105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,11),(17,9),0.126546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,11),(17,8),-0.142722 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,11),(17,7),-0.12576 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,11),(17,-1),-0.0986194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,9),(17,8),-0.145061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,9),(17,7),-0.125823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,9),(17,-1),-0.0694681 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,8),(17,7),-0.125764 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,8),(17,-1),-0.140117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,7),(17,-1),-0.083173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,19),-0.0270702 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,18),(18,17),0.0808867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,-1),0.00692077 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,17),(18,-1),-0.159124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,2),(2,3),0.0423473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,4),0.0386378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,5),0.158218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,6),0.0442954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,7),0.13566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,8),0.0386378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,9),0.162766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,11),-0.0070843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,19),-0.164422 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,3),(2,4),0.160626 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,5),0.114433 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,6),0.126225 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,7),0.122613 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,8),0.160626 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,9),0.125955 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,11),-0.10657 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,19),-0.103121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,4),(2,5),0.124267 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,6),0.201011 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,7),0.163486 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,8),0.085871 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,9),0.138762 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,11),-0.142257 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,19),-0.124642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,5),(2,6),0.117212 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,7),0.119467 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,8),0.141351 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,9),0.118247 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,11),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,19),-0.0620418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,6),(2,7),0.122599 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,8),0.160303 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,9),0.125955 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,11),-0.10657 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,19),-0.102517 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,7),(2,8),0.170819 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,9),0.0963782 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,11),-0.12666 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,19),-0.0594234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,8),(2,9),0.138762 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,11),-0.142257 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,19),-0.124642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,9),(2,11),-0.125418 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,19),-0.0869601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,11),(2,19),-0.105794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,2),(2,1),0.00174242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,-1),0.0626326 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,1),(2,-1),-0.0277155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,4),0.0386455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,5),0.158219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,6),0.0441969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,7),0.13566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,8),0.0386455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,9),0.162766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,10),-0.093493 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,3),(3,11),-0.0070843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,12),-0.0699879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,15),-0.104853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,17),-0.00707529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,19),-0.164411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,4),(3,5),0.124369 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,6),0.201114 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,7),0.163486 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,8),0.085871 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,9),0.138763 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,10),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,4),(3,11),-0.142257 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,12),-0.132486 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,15),-0.157686 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,17),-0.14225 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,18),-0.125335 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,19),-0.124538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,5),(3,6),0.117212 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,7),0.119467 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,8),0.141454 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,9),0.118247 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,5),(3,11),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,12),-0.124982 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,17),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,19),-0.0620418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,6),(3,7),0.122599 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,8),0.160502 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,9),0.125955 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,10),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,6),(3,11),-0.10657 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,12),-0.12704 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,15),-0.125988 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,17),-0.10657 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,19),-0.102712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,7),(3,8),0.170819 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,9),0.0963782 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,10),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,7),(3,11),-0.12666 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,12),-0.1264 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,15),-0.12503 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,17),-0.12666 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,18),-0.130349 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,19),-0.0594234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,9),0.138763 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,10),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,11),-0.142257 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,12),-0.132486 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,15),-0.157686 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,17),-0.14225 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,18),-0.125335 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,19),-0.124538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,9),(3,10),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,9),(3,11),-0.125418 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,12),-0.127931 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,15),-0.126764 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,17),-0.125418 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,18),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,19),-0.0869601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,10),(3,11),-0.125411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,12),-0.12793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,15),-0.126764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,17),-0.125411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,18),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,19),-0.0814411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,11),(3,12),-0.127037 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,11),(3,15),-0.125988 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,11),(3,17),-0.10657 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,11),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,11),(3,19),-0.105988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,12),(3,15),-0.10797 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,12),(3,17),-0.131922 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,12),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,12),(3,19),-0.0541354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,15),(3,17),-0.288692 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,15),(3,18),0.005479 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,15),(3,19),-0.0934587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,17),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,17),(3,19),-0.10425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,18),(3,19),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,2),0.000630277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,1),0.00218724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,-1),0.0627545 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,2),(3,1),-0.0415182 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,2),(3,-1),-0.0302599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,1),(3,-1),-0.0272767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,19),-0.0710843 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,4),(4,-1),0.017148 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,6),(6,7),0.12965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,8),0.0370902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,9),0.16015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,10),-0.0934982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,6),(6,11),-0.00708636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,12),-0.0699922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,15),-0.104855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,19),-0.181879 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,7),(6,8),0.168465 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,9),0.0963782 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,10),-0.125349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,7),(6,11),-0.12666 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,12),-0.1264 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,15),-0.12503 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,18),-0.130349 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,19),-0.0582041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,9),0.137273 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,10),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,11),-0.142262 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,12),-0.132486 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,15),-0.157686 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,18),-0.125335 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,19),-0.12837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,9),(6,10),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
