# _root_ Computers that once were the state of the art , The marvels bought three years ago , Are now obsolete .
#goldHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
#predictedHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
(9,18),(18,18),(18,9),0.1954 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,18),(18,7),-0.154979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,6),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,4),-0.170619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,3),-0.135837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,1),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,-1),-0.00409866 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,17),(18,16),0.147082 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,15),0.115829 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,14),0.117792 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,13),0.130387 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,12),0.115904 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,11),0.118119 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,10),0.11865 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,9),0.115904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,17),(18,7),-0.125722 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,6),-0.125259 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,4),-0.127157 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,3),-0.12495 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,-1),-0.189193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,16),(18,15),0.106553 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,14),0.118789 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,13),0.118288 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,12),0.106567 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,11),0.118315 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,10),0.163996 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,9),0.106567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,16),(18,7),-0.124898 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,6),-0.125063 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,4),-0.124989 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,3),-0.125183 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,1),-0.125063 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,-1),-0.17838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,15),(18,14),0.11785 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,13),0.110233 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,12),0.0926098 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,11),0.120264 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,10),0.0561275 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,9),0.0926098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,15),(18,7),-0.126242 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,3),-0.125333 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,-1),0.0125966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,14),(18,13),0.119154 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,12),0.117792 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,11),0.119134 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,10),0.130204 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,9),0.117792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,14),(18,7),-0.124944 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,6),-0.124935 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,4),-0.125062 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,1),-0.124935 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,-1),-0.188594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,13),(18,12),0.115923 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,11),0.118076 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,10),0.129893 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,9),0.115923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,13),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,6),-0.124893 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,4),-0.124903 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,1),-0.124893 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,-1),-0.145805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,12),(18,11),0.120264 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,10),0.0561277 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,9),0.0926098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,12),(18,7),-0.126242 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,6),-0.124895 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,3),-0.125333 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,-1),0.0160791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,11),(18,10),0.126242 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,11),(18,9),0.118706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,11),(18,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,11),(18,6),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,11),(18,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,11),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,11),(18,1),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,11),(18,-1),-0.135011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,10),(18,9),0.115904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,10),(18,7),-0.125722 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,10),(18,6),-0.125259 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,10),(18,4),-0.127157 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,10),(18,3),-0.12495 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,10),(18,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,10),(18,-1),-0.189193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,9),(18,7),-0.126242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,9),(18,6),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,9),(18,4),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,9),(18,3),-0.125333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,9),(18,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,9),(18,-1),0.0160791 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,7),(18,6),-0.125218 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,7),(18,4),-0.124989 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,7),(18,3),-0.125183 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,7),(18,1),-0.125218 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,7),(18,-1),-0.15297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,6),(18,4),-0.125221 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,6),(18,3),-0.125333 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,6),(18,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,6),(18,-1),0.0153692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,4),(18,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,4),(18,1),-0.124893 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,4),(18,-1),-0.146776 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,3),(18,1),-0.125074 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,3),(18,-1),-0.222036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,1),(18,-1),0.0158323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,19),(19,20),-0.019482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,21),-0.046086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,22),-0.0405848 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,20),(19,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,20),(19,22),-0.00440976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,21),(19,22),-0.0440021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,19),(19,15),0.114359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,12),0.108398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,9),0.108398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,19),(19,6),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,1),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,-1),-0.199893 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,15),(19,12),0.118706 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,15),(19,9),0.118706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,15),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,15),(19,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,15),(19,-1),-0.128108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,12),(19,9),0.118856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,12),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,12),(19,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,12),(19,-1),-0.13406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,9),(19,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,9),(19,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,9),(19,-1),-0.13406 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,6),(19,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,6),(19,-1),-0.134062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,1),(19,-1),-0.13406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,20),(20,21),-0.042021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,22),0.0355518 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,21),(20,22),-0.042022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,20),(20,19),0.117149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,17),0.123894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,16),0.107686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,15),0.140557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,9),0.123636 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,20),(20,6),-0.126863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,-1),0.00839618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,19),(20,17),0.115282 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,16),0.118462 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,15),0.11705 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,9),0.11705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,19),(20,6),-0.124894 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,-1),-0.121595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,17),(20,16),0.118255 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,17),(20,15),0.115249 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,17),(20,9),0.115249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,17),(20,6),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,17),(20,-1),-0.111979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,16),(20,15),0.11898 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,16),(20,9),0.11898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,16),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,16),(20,-1),-0.165499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,15),(20,9),0.117557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,15),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,15),(20,-1),-0.103905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,9),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,9),(20,-1),-0.1213 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,6),(20,-1),-0.1213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,21),(21,21),(21,22),-0.00516463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,21),(21,21),(21,20),0.116701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,21),(21,21),(21,-1),-0.0509465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,21),(21,20),(21,-1),-0.125618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,22),-0.150139 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,-1),-0.0653807 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,14),-0.0445953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,15),-0.0858298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,16),-0.0249832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,17),-0.0478812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,18),-0.0143375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,19),-0.0408116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,20),-0.0345739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,22),-0.0169896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,14),(13,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,22),-0.0433107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,15),(13,16),-0.0457477 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,17),-0.0431314 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,18),-0.0424003 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,19),-0.042754 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,20),-0.042 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,21),-0.0420549 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,22),-0.0640874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,16),(13,17),-0.0445377 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,18),-0.0442004 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,19),-0.039145 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,22),-0.0424874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,17),(13,18),-0.0452355 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,19),-0.0428365 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,20),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,22),-0.0457145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,18),(13,19),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,20),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,21),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,22),-0.0236179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,19),(13,20),-0.0422491 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,19),(13,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,19),(13,22),-0.0414809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,20),(13,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,20),(13,22),-0.0331642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,21),(13,22),-0.0435871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,12),0.124574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,11),0.108067 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,9),-0.125096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,6),-0.125096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,4),-0.1249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,1),-0.125096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,-1),-0.156129 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,12),(13,11),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,12),(13,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,7),-0.124979 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,-1),-0.121082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,11),(13,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,-1),-0.132811 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,10),(13,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,10),(13,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,10),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,10),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,10),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,10),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,10),(13,-1),-0.128005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,9),(13,7),-0.124979 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,9),(13,-1),-0.121082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,7),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,7),(13,-1),-0.135608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,6),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,6),(13,-1),-0.12109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,4),(13,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,4),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,4),(13,-1),-0.129182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,2),(13,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,2),(13,-1),-0.100483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,1),(13,-1),-0.121082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,8),(8,22),0.147137 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,8),(8,8),(8,-1),0.211264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,10),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,11),0.113198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,12),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,13),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,14),-0.125914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,15),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,16),-0.14385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,17),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,18),-0.155192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,19),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,20),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,21),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,22),0.0237922 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,10),(9,11),0.112259 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,12),-0.129532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,10),(9,13),-0.127045 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,14),-0.124905 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,15),-0.129532 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,16),-0.125395 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,17),-0.125325 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,18),-0.127045 # DEPENDENCYPART_GRANDSIBL
