# _root_ `` The way the world is shaping up , the strategic buyer is going to be the rule and the financial buyer is going to be the exception , '' said one trader .
#goldHeads=31,3,19,5,6,3,6,7,19,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
#predictedHeads=31,3,13,5,6,3,6,7,13,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
(16,13),(13,10),(13,9),-0.0456133 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,7),-0.050669 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,6),-0.0507186 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,5),-0.0474462 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,3),-0.0474462 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,1),-0.0454689 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,-1),-0.0388895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,9),(13,7),0.0332271 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,6),0.0235691 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,5),-0.0692242 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,3),-0.0692242 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,1),-0.0185529 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,-1),0.0703388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,7),(13,6),0.00913006 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,5),-0.0711035 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,3),-0.0715797 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,1),-0.0851617 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,-1),-0.0953625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,6),(13,5),-0.0711185 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,3),-0.0715946 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,1),-0.089089 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,-1),-0.113384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,5),(13,3),-0.000718162 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,5),(13,1),0.0047921 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,5),(13,-1),-0.0213827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,3),(13,1),0.00469889 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,3),(13,-1),-0.0121179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,1),(13,-1),-0.0870248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,15),0.185361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,16),-0.107409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,14),(14,18),-0.178515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,19),-0.116526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,22),-0.178522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,23),-0.104016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,24),-0.106922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,26),-0.107409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,28),-0.178515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,29),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,30),-0.125259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,31),-0.107104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,35),-0.161815 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,15),(14,16),-0.115047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,15),(14,18),-0.106716 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,19),-0.119987 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,22),-0.106716 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,23),-0.115121 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,24),-0.115048 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,26),-0.115047 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,28),-0.106716 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,29),-0.124888 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,31),-0.115047 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,15),(14,35),-0.244411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,16),(14,18),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,19),-0.125434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,22),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,23),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,24),-0.12511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,26),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,28),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,29),-0.127366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,30),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,31),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,16),(14,35),-0.135995 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,18),(14,19),-0.119663 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,22),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,23),-0.123601 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,24),-0.123197 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,26),-0.123196 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,28),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,29),-0.127738 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,30),-0.126145 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,31),-0.123196 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,18),(14,35),-0.147697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,19),(14,22),-0.0244868 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,23),0.252133 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,24),0.28086 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,26),0.201513 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,28),-0.0970566 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,29),0.0580285 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,30),-0.0337875 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,31),0.156658 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,34),0.019781 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,35),-0.145786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,22),(14,23),-0.123601 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,24),-0.123197 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,26),-0.123196 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,28),-0.128004 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,29),-0.127738 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,30),-0.126145 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,31),-0.123196 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,35),-0.151768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,23),(14,24),-0.125128 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,26),-0.125127 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,28),-0.125469 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,29),-0.127366 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,30),-0.124894 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,31),-0.125127 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,35),-0.133399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,24),(14,26),-0.125109 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,28),-0.125469 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,29),-0.127366 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,30),-0.124894 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,31),-0.125109 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,35),-0.125039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,26),(14,28),-0.125469 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,26),(14,29),-0.127366 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,26),(14,30),-0.124894 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,26),(14,31),-0.125109 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,26),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,26),(14,35),-0.135995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,28),(14,29),-0.127738 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,28),(14,30),-0.126145 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,28),(14,31),-0.123196 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,28),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,28),(14,35),-0.151549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,29),(14,30),-0.126457 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,29),(14,31),-0.149375 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,29),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,29),(14,35),-0.1223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,30),(14,31),-0.126419 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,30),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,30),(14,35),-0.0851047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,31),(14,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,31),(14,35),-0.139773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,34),(14,35),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,12),0.00379287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,-1),0.0505984 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,12),(14,-1),-0.0439966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,15),(15,18),-0.184597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,19),-0.149195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,22),-0.184597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,35),0.166405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,16),(15,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,35),-0.139468 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,18),(15,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,18),(15,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,18),(15,35),-0.205107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,19),(15,22),-0.0241938 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,19),(15,35),-0.154229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,22),(15,35),-0.205112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,-1),-0.103658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,17),(17,35),-0.100305 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,17),(17,16),0.11265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,17),(17,-1),-0.299907 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,16),(17,-1),-0.117451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,18),(18,18),(18,22),-0.00274936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,23),-0.0286214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,35),0.0286654 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,18),(18,22),(18,23),-0.0100315 # DEPENDENCYPART_GRANDSIBL
(16,18),(18,22),(18,35),-0.0378359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,18),(18,23),(18,35),-0.0747505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,18),(18,18),(18,17),0.118817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,18),(18,18),(18,16),0.161687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,18),(18,18),(18,-1),-0.161496 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,18),(18,17),(18,16),0.125032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,18),(18,17),(18,-1),-0.206637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,18),(18,16),(18,-1),-0.0927009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,19),(19,20),-0.0876456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,21),-0.0143485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,22),-0.0486952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,23),-0.114277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,24),-0.093001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,25),-0.00159248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,26),-0.0883595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,28),-0.0486952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,29),0.0208196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,30),-0.0528052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,31),-0.116687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,33),-0.047378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,34),-0.0236736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,35),-0.207515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,20),(19,21),-0.0423819 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,22),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,23),-0.0450978 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,24),-0.044873 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,25),-0.044866 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,26),-0.044873 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,28),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,29),-0.0501327 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,30),-0.0424581 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,31),-0.044873 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,33),-0.0504447 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,35),0.0338177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,21),(19,22),-0.0989977 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,23),-0.00824779 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,24),-0.00640715 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,25),-0.0445969 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,26),-0.00653101 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,28),-0.0989977 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,29),-0.0844799 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,30),-0.0436816 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,31),-0.00644827 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,33),-0.0989977 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,34),-0.0427942 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,35),-0.0138204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,22),(19,23),-0.0522273 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,24),-0.0492802 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,25),-0.080415 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,26),-0.0500328 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,28),0.0201167 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,29),-0.109686 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,30),-0.0533046 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,31),-0.050661 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,33),0.0198988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,34),-0.0420769 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,35),-0.0165634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,23),(19,24),-0.0494886 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,25),-0.0427258 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,26),-0.0500863 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,28),-0.0643659 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,29),-0.0632031 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,30),-0.0390914 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,31),-0.0504992 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,33),-0.0643652 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,34),-0.0604305 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,35),-0.155039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,24),(19,25),-0.0427241 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,26),-0.0484753 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,28),-0.065768 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,29),-0.0560173 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,30),-0.0390612 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,31),-0.0488882 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,33),-0.0657672 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,34),-0.0604305 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,35),-0.138676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,25),(19,26),-0.0492042 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,28),-0.0415166 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,29),-0.0436748 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,30),-0.0423127 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,31),-0.0492042 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,33),-0.0415166 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,35),-0.0134968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,26),(19,28),-0.0663406 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,26),(19,29),-0.0563563 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,26),(19,30),-0.0390612 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,26),(19,31),-0.0492995 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,26),(19,33),-0.0663399 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,26),(19,34),-0.0604305 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,26),(19,35),-0.128976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,28),(19,29),-0.109686 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,28),(19,30),-0.0533046 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,28),(19,31),-0.050661 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,28),(19,33),0.0198988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,28),(19,34),-0.0420769 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,28),(19,35),-0.0165634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,29),(19,30),-0.0374886 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,29),(19,31),-0.00862986 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,29),(19,33),-0.00359486 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,29),(19,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,29),(19,35),-0.0241866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,30),(19,31),-0.0292899 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,30),(19,33),-0.0291147 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,30),(19,34),-0.0421382 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,30),(19,35),-0.0892643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,31),(19,33),-0.0680355 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,31),(19,34),-0.0614011 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,31),(19,35),-0.15929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,33),(19,34),-0.0420769 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,33),(19,35),-0.014815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,34),(19,35),-0.0574624 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,19),(19,18),0.152404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,17),0.0792124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,16),0.175271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,19),(19,15),-0.125061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,14),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,13),-0.147537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,12),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,11),-0.129998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,10),-0.125399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,7),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,6),-0.147537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,5),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,3),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,-1),-0.12781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,18),(19,17),0.145836 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,16),0.0960074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,18),(19,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,14),-0.127028 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,13),-0.12704 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,12),-0.125649 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,11),-0.124923 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,10),-0.124928 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,9),-0.12762 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,7),-0.127028 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,6),-0.12704 # DEPENDENCYPART_GRANDSIBL
