# _root_ He is an avuncular figure who remembers the birthdays of colleagues ' children , opens doors for women , and almost never has a bad word to say about anybody .
#goldHeads=2,0,5,5,2,20,20,9,7,9,13,11,10,20,20,15,15,17,20,5,23,21,20,26,26,23,28,26,28,29,2,
#predictedHeads=2,0,5,5,2,7,5,9,7,9,13,11,10,5,20,15,16,17,20,5,23,21,20,26,26,23,28,26,28,29,2,
(15,18),(18,22),(18,32),-0.0709401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,23),(18,26),-0.059969 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,32),-0.0836358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,26),(18,32),-0.0275274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,18),(18,17),0.165739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,16),0.0368938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,-1),-0.165471 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,17),(18,16),0.127433 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,17),(18,-1),-0.00523549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,16),(18,-1),-0.107567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,19),(19,19),(19,32),0.00711932 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,19),(19,19),(19,-1),-0.0807605 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,20),(20,21),0.0205467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,22),0.0191153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,23),-0.116718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,24),-0.0852858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,25),-0.0407495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,26),-0.0389562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,28),-0.0950768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,29),0.0311887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,30),-0.0387869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,31),-0.0236736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,32),-0.213499 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,21),(20,22),-0.0474591 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,23),-0.0405166 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,24),-0.0456732 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,25),-0.0590323 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,26),-0.041749 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,28),-0.040221 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,29),-0.0855465 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,30),-0.041749 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,31),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,32),0.0218592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,22),(20,23),-0.0424211 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,24),-0.0456757 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,25),-0.0589026 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,26),-0.041617 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,28),-0.0421255 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,29),-0.0855465 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,30),-0.041617 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,31),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,22),(20,32),0.0218805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,23),(20,24),-0.0353879 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,25),-0.0556288 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,26),-0.0659906 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,28),-0.0477041 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,29),-0.0154281 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,30),-0.0642246 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,31),-0.0607571 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,32),-0.168544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,24),(20,25),-0.0425419 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,26),-0.0509724 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,28),-0.0448149 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,29),-0.0370577 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,30),-0.0509724 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,31),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,32),0.0139009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,25),(20,26),-0.0964693 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,28),-0.0120112 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,29),-0.00104407 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,30),-0.0964693 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,31),-0.0427942 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,32),-0.031301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,26),(20,28),-0.0486584 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,26),(20,29),-0.0523517 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,26),(20,30),0.0246155 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,26),(20,31),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,26),(20,32),-0.0212589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,28),(20,29),-0.0157863 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,28),(20,30),-0.0704621 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,28),(20,31),-0.0605565 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,28),(20,32),-0.139711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,29),(20,30),-0.0483352 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,29),(20,31),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,29),(20,32),-0.0342747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,30),(20,31),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,30),(20,32),-0.0193243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,31),(20,32),-0.0574623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,20),(20,19),0.0359647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,18),0.139251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,17),0.189216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,16),0.136613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,15),0.167875 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,20),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,13),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,11),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,10),-0.134349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,9),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,8),-0.125399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,7),-0.147236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,6),-0.131018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,5),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,4),-0.129982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,3),-0.125328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,2),-0.147537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,1),-0.125308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,-1),-0.132267 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,19),(20,18),0.219425 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,17),0.114024 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,16),0.219394 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,15),0.139474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,19),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,13),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,11),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,10),-0.146382 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,9),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,7),-0.149254 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,6),-0.126011 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,5),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,4),-0.127756 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,2),-0.151001 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,19),(20,-1),-0.179627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,18),(20,17),0.125579 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,16),0.127394 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,15),0.098162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,18),(20,14),-0.12762 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,13),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,11),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,10),-0.135958 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,9),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,8),-0.124928 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,7),-0.127028 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,6),-0.11468 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,4),-0.124923 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,3),-0.124917 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,2),-0.12704 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,1),-0.125376 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,18),(20,-1),-0.155428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,17),(20,16),0.118418 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,15),0.108007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,17),(20,14),-0.125326 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,13),-0.125006 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,11),-0.125006 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,10),-0.125462 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,9),-0.125006 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,8),-0.124886 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,7),-0.124957 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,6),-0.1249 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,5),-0.125006 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,2),-0.124957 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,17),(20,-1),-0.0480507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,16),(20,15),0.0961787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,16),(20,14),-0.12762 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,13),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,11),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,10),-0.135958 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,9),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,8),-0.124928 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,7),-0.127028 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,6),-0.11468 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,4),-0.124923 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,3),-0.124917 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,2),-0.12704 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,1),-0.125376 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,16),(20,-1),-0.156858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,15),(20,14),-0.126174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,13),-0.133136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,11),-0.133136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,10),-0.127266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,9),-0.133136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,8),-0.125785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,7),-0.114493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,6),-0.12991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,5),-0.133136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,4),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,3),-0.125576 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,2),-0.114493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,1),-0.125362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,15),(20,-1),-0.136274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,14),(20,13),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,11),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,10),-0.146382 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,9),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,7),-0.149254 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,6),-0.126011 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,5),-0.1302 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,4),-0.127756 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,2),-0.151001 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,14),(20,-1),-0.179627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,13),(20,11),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,10),-0.135958 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,9),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,8),-0.124928 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,7),-0.127028 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,6),-0.11468 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,4),-0.124923 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,3),-0.124917 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,2),-0.12704 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,1),-0.125376 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,13),(20,-1),-0.161579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,11),(20,10),-0.135958 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,9),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,8),-0.124928 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,7),-0.127028 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,6),-0.11468 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,4),-0.124923 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,3),-0.124917 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,2),-0.12704 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,1),-0.125376 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,11),(20,-1),-0.157344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,10),(20,9),-0.125007 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,8),-0.124886 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,7),-0.124957 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,6),-0.1249 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,5),-0.125007 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,2),-0.124957 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,10),(20,-1),-0.0871653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,9),(20,8),-0.124928 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,7),-0.127028 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,6),-0.11468 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,4),-0.124923 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,3),-0.124917 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,2),-0.12704 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,1),-0.125376 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,9),(20,-1),-0.156854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,8),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,8),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,8),(20,5),-0.125179 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,8),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,8),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,8),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,8),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,8),(20,-1),-0.0823571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,7),(20,6),-0.12991 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,7),(20,5),-0.133136 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,7),(20,4),-0.124892 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,7),(20,3),-0.125576 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,7),(20,2),-0.114493 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,7),(20,1),-0.125362 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,7),(20,-1),-0.13625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,6),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,6),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,6),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,6),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,6),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,6),(20,-1),-0.150997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,5),(20,4),-0.124923 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,5),(20,3),-0.124917 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,5),(20,2),-0.12704 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,5),(20,1),-0.125376 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,5),(20,-1),-0.156987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,4),(20,3),-0.12489 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,4),(20,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,4),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,4),(20,-1),-0.146336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,3),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,3),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,3),(20,-1),-0.105149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,2),(20,1),-0.125362 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,2),(20,-1),-0.154269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,1),(20,-1),-0.139743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,21),(21,22),0.0365529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,23),-0.0714685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,25),-0.0961003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,26),-0.0171016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,27),-0.0114805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,28),-0.069147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,29),-0.0491644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,21),(21,21),(21,32),0.042119 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,21),(21,22),(21,23),-0.0280045 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,25),-0.0398139 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,26),-0.0448349 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,27),-0.0330773 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,28),-0.0328417 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,29),-0.0645269 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,22),(21,32),-0.00542692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,23),(21,25),-0.0422683 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,23),(21,26),-0.0316404 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,23),(21,27),-0.0429372 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,23),(21,28),-0.0417265 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,23),(21,29),-0.0347306 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,23),(21,32),-0.0816534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,25),(21,26),-0.0471258 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,25),(21,27),-0.0315196 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,25),(21,28),-0.04118 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,25),(21,29),-0.0179196 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,25),(21,32),-0.131979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,26),(21,27),-0.040695 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,26),(21,28),-0.0437243 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,26),(21,29),-0.0677511 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,26),(21,32),0.0532642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,27),(21,28),-0.0270371 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,27),(21,29),-0.0584067 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,27),(21,32),0.0351042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,28),(21,29),-0.0347329 # DEPENDENCYPART_GRANDSIBL
(15,21),(21,28),(21,32),-0.0885396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,29),(21,32),-0.0646753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,21),(21,21),(21,18),0.114761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
