# _root_ `` Those shares which had posted gains on M&A speculation were dashed with cold water , but as far as major stocks are concerned , there is n't much impact . ''
#goldHeads=11,3,11,5,3,5,6,6,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
#predictedHeads=11,3,11,5,3,5,6,7,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
(5,6),(6,31),-0.948911 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-1.03948 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-1.0177 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.914243 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.295493 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.67806 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.190083 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.084399 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.348601 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.142435 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),0.0633401 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),-0.43145 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),-0.409733 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),-0.634995 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.56398 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.324367 # DEPENDENCYPART_GRANDPAR
(5,7),(7,17),-0.368875 # DEPENDENCYPART_GRANDPAR
(5,7),(7,18),-0.221527 # DEPENDENCYPART_GRANDPAR
(5,7),(7,20),-0.243642 # DEPENDENCYPART_GRANDPAR
(5,7),(7,25),-0.583835 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.443833 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.0477974 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.0535475 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.0631883 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),-0.37478 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),-0.387237 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),-0.361409 # DEPENDENCYPART_GRANDPAR
(5,8),(8,31),-1.23462 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.262123 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.0392467 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),-1.09513 # DEPENDENCYPART_GRANDPAR
(5,10),(10,2),-1.02722 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),-0.89871 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),-0.301357 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.760731 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.137229 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.360696 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.184105 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.191373 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.132728 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),-0.314228 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.337663 # DEPENDENCYPART_GRANDPAR
(5,11),(11,1),-0.859855 # DEPENDENCYPART_GRANDPAR
(5,11),(11,2),-0.803587 # DEPENDENCYPART_GRANDPAR
(5,11),(11,3),-0.752085 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),-0.0786637 # DEPENDENCYPART_GRANDPAR
(5,11),(11,5),-1.20307 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),-0.124902 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),0.329095 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),-0.138254 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),-0.480218 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),-0.311655 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.273241 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),-0.368936 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),-0.381236 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),-0.415365 # DEPENDENCYPART_GRANDPAR
(5,11),(11,16),-0.183216 # DEPENDENCYPART_GRANDPAR
(5,11),(11,17),-0.27294 # DEPENDENCYPART_GRANDPAR
(5,11),(11,18),-0.147181 # DEPENDENCYPART_GRANDPAR
(5,11),(11,19),-0.418854 # DEPENDENCYPART_GRANDPAR
(5,11),(11,20),-0.243059 # DEPENDENCYPART_GRANDPAR
(5,11),(11,23),0.185266 # DEPENDENCYPART_GRANDPAR
(5,11),(11,24),-0.396508 # DEPENDENCYPART_GRANDPAR
(5,11),(11,27),0.193118 # DEPENDENCYPART_GRANDPAR
(5,11),(11,28),-0.515907 # DEPENDENCYPART_GRANDPAR
(5,11),(11,31),-1.21191 # DEPENDENCYPART_GRANDPAR
(5,11),(11,32),-0.4512 # DEPENDENCYPART_GRANDPAR
(5,12),(12,4),-0.0987781 # DEPENDENCYPART_GRANDPAR
(5,12),(12,7),0.254604 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),-0.0551971 # DEPENDENCYPART_GRANDPAR
(5,12),(12,9),-0.597062 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),-0.23598 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),-0.129491 # DEPENDENCYPART_GRANDPAR
(5,12),(12,14),-0.388603 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),-0.196997 # DEPENDENCYPART_GRANDPAR
(5,12),(12,16),0.0408278 # DEPENDENCYPART_GRANDPAR
(5,12),(12,17),-0.132388 # DEPENDENCYPART_GRANDPAR
(5,12),(12,18),0.142806 # DEPENDENCYPART_GRANDPAR
(5,12),(12,19),-0.204352 # DEPENDENCYPART_GRANDPAR
(5,12),(12,20),0.07006 # DEPENDENCYPART_GRANDPAR
(5,12),(12,22),-0.356172 # DEPENDENCYPART_GRANDPAR
(5,12),(12,24),-0.168533 # DEPENDENCYPART_GRANDPAR
(5,12),(12,25),-0.21864 # DEPENDENCYPART_GRANDPAR
(5,12),(12,26),-0.373054 # DEPENDENCYPART_GRANDPAR
(5,12),(12,27),0.380772 # DEPENDENCYPART_GRANDPAR
(5,12),(12,28),-0.446938 # DEPENDENCYPART_GRANDPAR
(5,12),(12,31),-0.954536 # DEPENDENCYPART_GRANDPAR
(5,12),(12,32),-0.16159 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),-0.593155 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),-0.373844 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),-0.289862 # DEPENDENCYPART_GRANDPAR
(5,13),(13,17),-0.412089 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),-0.386943 # DEPENDENCYPART_GRANDPAR
(5,13),(13,22),-0.641804 # DEPENDENCYPART_GRANDPAR
(5,13),(13,23),0.00948285 # DEPENDENCYPART_GRANDPAR
(5,13),(13,27),-0.0568028 # DEPENDENCYPART_GRANDPAR
(5,13),(13,31),-1.20916 # DEPENDENCYPART_GRANDPAR
(5,15),(15,6),0.14583 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),-0.177445 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),-0.0111582 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),-0.115443 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.416207 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.132668 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.271579 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.319213 # DEPENDENCYPART_GRANDPAR
(5,15),(15,19),-0.590735 # DEPENDENCYPART_GRANDPAR
(5,15),(15,22),-0.648513 # DEPENDENCYPART_GRANDPAR
(5,15),(15,23),0.167732 # DEPENDENCYPART_GRANDPAR
(5,15),(15,25),-0.392136 # DEPENDENCYPART_GRANDPAR
(5,15),(15,30),-1.29833 # DEPENDENCYPART_GRANDPAR
(5,17),(17,18),-0.254869 # DEPENDENCYPART_GRANDPAR
(5,17),(17,19),-0.50395 # DEPENDENCYPART_GRANDPAR
(5,17),(17,20),-0.219412 # DEPENDENCYPART_GRANDPAR
(5,17),(17,21),-0.683674 # DEPENDENCYPART_GRANDPAR
(5,17),(17,22),-0.909753 # DEPENDENCYPART_GRANDPAR
(5,17),(17,23),0.518533 # DEPENDENCYPART_GRANDPAR
(5,17),(17,24),-0.196174 # DEPENDENCYPART_GRANDPAR
(5,17),(17,26),-0.661061 # DEPENDENCYPART_GRANDPAR
(5,17),(17,27),0.463065 # DEPENDENCYPART_GRANDPAR
(5,31),(31,30),-1.49461 # DEPENDENCYPART_GRANDPAR
(5,31),(31,32),-0.604386 # DEPENDENCYPART_GRANDPAR
(5,32),(32,30),-1.44954 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.0533897 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.180439 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.00257937 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.616323 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),0.113354 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.19079 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),-0.110365 # DEPENDENCYPART_GRANDPAR
(6,2),(2,8),-0.339434 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.253521 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),0.105208 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),0.492549 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),0.147847 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.24406 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.172875 # DEPENDENCYPART_GRANDPAR
(6,3),(3,8),-0.226711 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-0.372715 # DEPENDENCYPART_GRANDPAR
(6,3),(3,12),-0.518716 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),-0.281424 # DEPENDENCYPART_GRANDPAR
(6,3),(3,16),-0.827775 # DEPENDENCYPART_GRANDPAR
(6,3),(3,23),-0.456262 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.183625 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),0.0301239 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.110221 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.0153075 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-0.172659 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),0.0949909 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),0.0129435 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),0.244193 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.17048 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.0741347 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.317883 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.679199 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.574129 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.305821 # DEPENDENCYPART_GRANDPAR
(6,5),(5,12),-0.445075 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-0.398323 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.800809 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-0.662896 # DEPENDENCYPART_GRANDPAR
(6,5),(5,17),-0.517588 # DEPENDENCYPART_GRANDPAR
(6,5),(5,31),-1.19572 # DEPENDENCYPART_GRANDPAR
(6,5),(5,32),-1.03324 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.69393 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.613709 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.583216 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.0207183 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.519938 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.569767 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.0190005 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.139076 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.132126 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),0.188156 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),0.0404301 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.101673 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.248033 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.348045 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.261471 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-0.256341 # DEPENDENCYPART_GRANDPAR
(6,7),(7,18),-0.1371 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),-0.141738 # DEPENDENCYPART_GRANDPAR
(6,7),(7,25),-0.50803 # DEPENDENCYPART_GRANDPAR
(6,8),(8,7),0.407067 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.116513 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),-0.020174 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),0.116516 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),0.0062085 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),-0.253637 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.221312 # DEPENDENCYPART_GRANDPAR
(6,8),(8,31),-0.859651 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),-0.230457 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),0.0872495 # DEPENDENCYPART_GRANDPAR
(6,10),(10,1),-0.712848 # DEPENDENCYPART_GRANDPAR
(6,10),(10,2),-0.614888 # DEPENDENCYPART_GRANDPAR
(6,10),(10,3),-0.55216 # DEPENDENCYPART_GRANDPAR
(6,10),(10,4),-0.00841595 # DEPENDENCYPART_GRANDPAR
(6,10),(10,5),-0.517303 # DEPENDENCYPART_GRANDPAR
(6,10),(10,6),-0.615286 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,10),(10,7),0.376009 # DEPENDENCYPART_GRANDPAR
(6,10),(10,8),0.0996387 # DEPENDENCYPART_GRANDPAR
(6,10),(10,9),-0.108322 # DEPENDENCYPART_GRANDPAR
(6,10),(10,11),0.101769 # DEPENDENCYPART_GRANDPAR
(6,10),(10,12),0.0658805 # DEPENDENCYPART_GRANDPAR
(6,10),(10,13),-0.0760365 # DEPENDENCYPART_GRANDPAR
(6,11),(11,1),-0.553276 # DEPENDENCYPART_GRANDPAR
(6,11),(11,2),-0.431316 # DEPENDENCYPART_GRANDPAR
(6,11),(11,3),-0.473387 # DEPENDENCYPART_GRANDPAR
(6,11),(11,4),0.0848419 # DEPENDENCYPART_GRANDPAR
(6,11),(11,5),-0.447375 # DEPENDENCYPART_GRANDPAR
(6,11),(11,6),-0.725679 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,11),(11,7),0.314785 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),0.00410743 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),-0.276237 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),-0.3125 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),0.0802857 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),-0.116562 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-0.127956 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),-0.432243 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),-0.382674 # DEPENDENCYPART_GRANDPAR
(6,11),(11,17),-0.3379 # DEPENDENCYPART_GRANDPAR
(6,11),(11,18),-0.202227 # DEPENDENCYPART_GRANDPAR
(6,11),(11,19),0.026717 # DEPENDENCYPART_GRANDPAR
(6,11),(11,20),-0.218836 # DEPENDENCYPART_GRANDPAR
(6,11),(11,23),-0.0731539 # DEPENDENCYPART_GRANDPAR
(6,11),(11,24),-0.216358 # DEPENDENCYPART_GRANDPAR
(6,11),(11,27),-0.21409 # DEPENDENCYPART_GRANDPAR
(6,11),(11,28),-0.422188 # DEPENDENCYPART_GRANDPAR
(6,11),(11,31),-0.905985 # DEPENDENCYPART_GRANDPAR
(6,11),(11,32),-0.72519 # DEPENDENCYPART_GRANDPAR
(6,12),(12,4),0.108806 # DEPENDENCYPART_GRANDPAR
(6,12),(12,7),0.298239 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),-0.00294163 # DEPENDENCYPART_GRANDPAR
(6,12),(12,9),-0.343663 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),-0.248359 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),0.0299136 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.202022 # DEPENDENCYPART_GRANDPAR
(6,12),(12,15),-0.400735 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),-0.19227 # DEPENDENCYPART_GRANDPAR
(6,12),(12,17),-0.208844 # DEPENDENCYPART_GRANDPAR
(6,12),(12,18),-0.0900952 # DEPENDENCYPART_GRANDPAR
(6,12),(12,19),0.0917463 # DEPENDENCYPART_GRANDPAR
(6,12),(12,20),-0.0784672 # DEPENDENCYPART_GRANDPAR
(6,12),(12,22),-0.850554 # DEPENDENCYPART_GRANDPAR
(6,12),(12,24),-0.163851 # DEPENDENCYPART_GRANDPAR
(6,12),(12,25),-0.438829 # DEPENDENCYPART_GRANDPAR
(6,12),(12,26),-0.190037 # DEPENDENCYPART_GRANDPAR
(6,12),(12,27),-0.169179 # DEPENDENCYPART_GRANDPAR
(6,12),(12,28),-0.493941 # DEPENDENCYPART_GRANDPAR
(6,12),(12,31),-0.837894 # DEPENDENCYPART_GRANDPAR
(6,12),(12,32),-0.563201 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),-0.188685 # DEPENDENCYPART_GRANDPAR
(6,13),(13,15),-0.190123 # DEPENDENCYPART_GRANDPAR
(6,13),(13,16),-0.212022 # DEPENDENCYPART_GRANDPAR
(6,13),(13,17),-0.257354 # DEPENDENCYPART_GRANDPAR
(6,13),(13,18),-0.300105 # DEPENDENCYPART_GRANDPAR
(6,13),(13,22),-0.607968 # DEPENDENCYPART_GRANDPAR
(6,13),(13,23),-0.0287421 # DEPENDENCYPART_GRANDPAR
(6,13),(13,27),-0.222367 # DEPENDENCYPART_GRANDPAR
(6,13),(13,31),-0.813374 # DEPENDENCYPART_GRANDPAR
(6,15),(15,6),-0.599687 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,15),(15,9),-0.0728505 # DEPENDENCYPART_GRANDPAR
(6,15),(15,10),-0.0901134 # DEPENDENCYPART_GRANDPAR
(6,15),(15,13),0.0877288 # DEPENDENCYPART_GRANDPAR
(6,15),(15,14),-0.0578288 # DEPENDENCYPART_GRANDPAR
(6,15),(15,16),-0.244609 # DEPENDENCYPART_GRANDPAR
(6,15),(15,17),-0.22469 # DEPENDENCYPART_GRANDPAR
(6,15),(15,18),-0.282607 # DEPENDENCYPART_GRANDPAR
(6,15),(15,19),-0.0397078 # DEPENDENCYPART_GRANDPAR
(6,15),(15,22),-0.748713 # DEPENDENCYPART_GRANDPAR
(6,15),(15,23),0.0100021 # DEPENDENCYPART_GRANDPAR
(6,15),(15,25),-0.491168 # DEPENDENCYPART_GRANDPAR
(6,15),(15,30),-0.735428 # DEPENDENCYPART_GRANDPAR
(6,17),(17,18),-0.063827 # DEPENDENCYPART_GRANDPAR
(6,17),(17,19),0.173367 # DEPENDENCYPART_GRANDPAR
(6,17),(17,20),-0.0942622 # DEPENDENCYPART_GRANDPAR
(6,17),(17,21),-0.184427 # DEPENDENCYPART_GRANDPAR
(6,17),(17,22),-0.92267 # DEPENDENCYPART_GRANDPAR
(6,17),(17,23),0.139588 # DEPENDENCYPART_GRANDPAR
(6,17),(17,24),0.201422 # DEPENDENCYPART_GRANDPAR
(6,17),(17,26),-0.22915 # DEPENDENCYPART_GRANDPAR
(6,17),(17,27),-0.0534859 # DEPENDENCYPART_GRANDPAR
(6,20),(20,18),-0.228128 # DEPENDENCYPART_GRANDPAR
(6,20),(20,19),0.00445884 # DEPENDENCYPART_GRANDPAR
(6,20),(20,21),-0.255831 # DEPENDENCYPART_GRANDPAR
(6,20),(20,22),-0.609023 # DEPENDENCYPART_GRANDPAR
(6,20),(20,23),0.192454 # DEPENDENCYPART_GRANDPAR
(6,20),(20,24),-0.0696674 # DEPENDENCYPART_GRANDPAR
(6,20),(20,26),-0.0974166 # DEPENDENCYPART_GRANDPAR
(6,20),(20,27),0.0748644 # DEPENDENCYPART_GRANDPAR
(6,20),(20,28),-0.435708 # DEPENDENCYPART_GRANDPAR
(6,20),(20,30),-0.583394 # DEPENDENCYPART_GRANDPAR
(6,20),(20,32),-0.394847 # DEPENDENCYPART_GRANDPAR
(6,31),(31,30),-0.849252 # DEPENDENCYPART_GRANDPAR
(6,31),(31,32),-0.692425 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),-0.330187 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.277991 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.315526 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),0.431602 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),-0.0610945 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),-0.00569624 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.18408 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),-0.81176 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.342934 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.133557 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),0.337465 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),0.0102314 # DEPENDENCYPART_GRANDPAR
(7,3),(3,6),0.149373 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.24468 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,8),-0.68935 # DEPENDENCYPART_GRANDPAR
(7,3),(3,11),-0.689387 # DEPENDENCYPART_GRANDPAR
(7,3),(3,12),-0.601636 # DEPENDENCYPART_GRANDPAR
(7,3),(3,13),-0.539549 # DEPENDENCYPART_GRANDPAR
(7,3),(3,16),-0.725999 # DEPENDENCYPART_GRANDPAR
(7,3),(3,23),-0.926886 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.348035 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.247125 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.202345 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.133228 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),-0.317768 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.175971 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.107264 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),0.00730275 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.0472613 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.15048 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),-0.796965 # DEPENDENCYPART_GRANDPAR
(7,5),(5,9),-0.777288 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.0933415 # DEPENDENCYPART_GRANDPAR
(7,5),(5,11),-0.630023 # DEPENDENCYPART_GRANDPAR
(7,5),(5,12),-0.533504 # DEPENDENCYPART_GRANDPAR
(7,5),(5,13),-0.67061 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-0.433215 # DEPENDENCYPART_GRANDPAR
(7,5),(5,16),-0.567471 # DEPENDENCYPART_GRANDPAR
(7,5),(5,17),-0.435858 # DEPENDENCYPART_GRANDPAR
(7,5),(5,31),-1.25188 # DEPENDENCYPART_GRANDPAR
(7,5),(5,32),-1.11379 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),-0.314971 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),-0.292358 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.245408 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),0.0526255 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.177966 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.25327 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.886765 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.840493 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.193067 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-0.680714 # DEPENDENCYPART_GRANDPAR
(7,6),(6,12),-0.60786 # DEPENDENCYPART_GRANDPAR
(7,6),(6,13),-0.744406 # DEPENDENCYPART_GRANDPAR
(7,6),(6,15),-0.532514 # DEPENDENCYPART_GRANDPAR
(7,6),(6,16),-0.66414 # DEPENDENCYPART_GRANDPAR
(7,6),(6,17),-0.544339 # DEPENDENCYPART_GRANDPAR
(7,6),(6,20),-1.17709 # DEPENDENCYPART_GRANDPAR
(7,6),(6,25),-0.891031 # DEPENDENCYPART_GRANDPAR
(7,6),(6,31),-1.403 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.717632 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.0933631 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.546623 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),-0.179098 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.0694493 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),0.220149 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.094377 # DEPENDENCYPART_GRANDPAR
(7,8),(8,31),-0.94386 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.404607 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.133365 # DEPENDENCYPART_GRANDPAR
(7,10),(10,1),-0.912648 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-0.928679 # DEPENDENCYPART_GRANDPAR
(7,10),(10,3),-0.847764 # DEPENDENCYPART_GRANDPAR
(7,10),(10,4),-0.276401 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-0.671209 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.589684 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.684011 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),-0.0710447 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),-0.20024 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),-0.139738 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),-0.0558449 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),0.113766 # DEPENDENCYPART_GRANDPAR
(7,11),(11,1),-0.714731 # DEPENDENCYPART_GRANDPAR
(7,11),(11,2),-0.719727 # DEPENDENCYPART_GRANDPAR
(7,11),(11,3),-0.727727 # DEPENDENCYPART_GRANDPAR
