# _root_ `` We must do more to help the Japanese here in Baja if we want them to invest elsewhere , '' says Mr. Ruffo , the governor-elect of the National Action Party and himself a succesful businessman .
#goldHeads=22,3,22,3,4,7,4,9,7,7,10,11,15,15,4,18,18,15,18,22,22,0,24,22,24,27,33,27,32,32,32,28,24,33,37,37,34,22,
#predictedHeads=22,3,22,3,4,7,4,9,7,7,7,11,15,15,7,18,18,15,18,22,22,0,24,22,24,27,24,27,32,32,32,33,28,37,37,37,33,22,
(27,37),(37,37),(37,32),0.160805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,37),(37,31),0.160081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,37),(37,30),0.157748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,37),(37,29),0.102301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,37),(37,28),0.200237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,37),(37,27),0.161031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,37),(37,26),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,37),(37,-1),-0.0183774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(27,37),(37,36),(37,35),0.122119 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,34),0.112184 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,33),0.10137 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,32),0.123256 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,31),0.123256 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,30),0.123256 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,29),0.141551 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,28),0.11397 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,27),0.123256 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,26),-0.144709 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,36),(37,-1),-0.193454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,35),(37,34),0.107913 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,33),0.136751 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,32),0.122034 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,31),0.122034 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,30),0.122034 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,29),0.108035 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,28),0.106599 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,27),0.122034 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,35),(37,-1),-0.088849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,34),(37,33),0.109495 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,32),0.109498 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,31),0.109498 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,30),0.109498 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,29),0.109538 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,28),0.108198 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,27),0.109498 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,26),-0.145019 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,34),(37,-1),-0.133308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,33),(37,32),0.0175503 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,33),(37,31),0.0546985 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,33),(37,30),0.0861566 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,33),(37,29),0.302839 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,33),(37,28),0.32922 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,33),(37,27),0.130279 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,33),(37,26),-0.019107 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,33),(37,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,32),(37,31),0.0910191 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,32),(37,30),0.0945402 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,32),(37,29),0.13127 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,32),(37,28),0.108323 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,32),(37,27),0.0910191 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,32),(37,26),-0.145039 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,32),(37,-1),-0.173851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,31),(37,30),0.0945744 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,31),(37,29),0.13127 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,31),(37,28),0.108323 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,31),(37,27),0.0910533 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,31),(37,26),-0.145039 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,31),(37,-1),-0.174763 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,30),(37,29),0.130428 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,30),(37,28),0.10821 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,30),(37,27),0.0909589 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,30),(37,26),-0.145039 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,30),(37,-1),-0.16759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,29),(37,28),0.104962 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,29),(37,27),0.129835 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,29),(37,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,29),(37,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,28),(37,27),0.101972 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,28),(37,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(27,37),(37,28),(37,-1),-0.0828516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,37),(37,27),(37,26),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,37),(37,27),(37,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(27,37),(37,26),(37,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(27,38),(38,38),(38,39),0.00397982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(27,38),(38,38),(38,37),0.107958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(27,38),(38,38),(38,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(27,38),(38,37),(38,-1),-0.1457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,26),(26,26),(26,28),-0.149884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,26),(26,26),(26,39),-0.183078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,26),(26,28),(26,39),-0.151515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,26),(26,26),(26,25),-0.022209 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,26),(26,26),(26,-1),-0.0577061 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,26),(26,25),(26,-1),-0.0228116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,29),(29,29),(29,39),-0.0577061 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,29),(29,29),(29,28),0.1082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,29),(29,29),(29,-1),-0.183078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,29),(29,28),(29,-1),-0.151515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,30),(30,30),(30,31),-0.161311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,30),(30,30),(30,32),-0.161371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,30),(30,30),(30,37),-0.161038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,30),(30,30),(30,39),0.265318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,30),(30,31),(30,32),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(28,30),(30,31),(30,37),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(28,30),(30,31),(30,39),-0.0767271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,30),(30,32),(30,37),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(28,30),(30,32),(30,39),-0.076788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,30),(30,37),(30,39),-0.0764536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,30),(30,30),(30,29),0.066235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,30),(30,30),(30,-1),-0.128961 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,30),(30,29),(30,-1),-0.066456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,31),(31,31),(31,32),-0.161018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,31),(31,31),(31,34),-0.0383443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,31),(31,31),(31,37),-0.160684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,31),(31,31),(31,39),0.26165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,31),(31,32),(31,34),-0.0214861 # DEPENDENCYPART_GRANDSIBL
(28,31),(31,32),(31,37),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(28,31),(31,32),(31,39),-0.0764337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,31),(31,34),(31,37),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,31),(31,34),(31,39),-0.0363821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,31),(31,37),(31,39),-0.0760994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,31),(31,31),(31,30),0.187163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,31),(31,31),(31,29),0.0690912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,31),(31,31),(31,-1),-0.129124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,31),(31,30),(31,29),0.102276 # DEPENDENCYPART_GRANDSIBL
(28,31),(31,30),(31,-1),-0.114173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,31),(31,29),(31,-1),-0.0601544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,32),(32,33),-0.0917237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,34),-0.0383443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,37),-0.16085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,39),0.263889 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,32),(32,33),(32,34),0.519611 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,33),(32,37),0.372034 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,33),(32,39),-0.0772498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,34),(32,37),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,34),(32,39),-0.0363821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,37),(32,39),-0.0762691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,32),(32,31),0.168619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,30),0.184749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,29),0.0645675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,27),-0.151026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,26),-0.148729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,24),-0.151026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,23),-0.151026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,32),(32,32),(32,-1),-0.128787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,32),(32,31),(32,30),0.115442 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,31),(32,29),0.091166 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,31),(32,27),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,31),(32,26),-0.148744 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,31),(32,24),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,31),(32,23),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,31),(32,-1),-0.120617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,30),(32,29),0.0992167 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,30),(32,27),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,30),(32,26),-0.148744 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,30),(32,24),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,30),(32,23),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,30),(32,-1),-0.11446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,29),(32,27),-0.144876 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,29),(32,26),-0.145315 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,29),(32,24),-0.144876 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,29),(32,23),-0.144876 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,29),(32,-1),-0.0678542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,27),(32,26),-0.148744 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,27),(32,24),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,27),(32,23),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,27),(32,-1),-0.120121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,26),(32,24),-0.144876 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,26),(32,23),-0.144876 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,26),(32,-1),-0.0678542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,24),(32,23),-0.149089 # DEPENDENCYPART_GRANDSIBL
(28,32),(32,24),(32,-1),-0.120121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,32),(32,23),(32,-1),-0.125714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,33),(33,34),-0.0159258 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,35),-0.00193688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,36),-0.0178211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,37),0.176491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,38),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,39),-0.167885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,33),(33,34),(33,35),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,34),(33,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,34),(33,37),-0.0194852 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,34),(33,38),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,34),(33,39),-0.0182791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,35),(33,36),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,35),(33,37),-0.0194608 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,35),(33,38),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,35),(33,39),0.00168751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,36),(33,37),0.0300478 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,36),(33,38),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,36),(33,39),-0.0900563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,37),(33,38),-0.0133721 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,37),(33,39),0.0676647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,38),(33,39),-0.0204637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,33),(33,32),0.347167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,31),0.346927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,30),0.347141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,29),0.102237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,28),0.101041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,27),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,26),-0.145444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,24),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,23),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,22),-0.150058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,18),-0.150058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,15),-0.150058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,13),-0.144724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,12),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,11),-0.144731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,7),-0.150058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,4),-0.150058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,3),-0.144862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,1),-0.149111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,33),(33,33),(33,-1),-0.235562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,33),(33,32),(33,31),-0.0273777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,30),-0.0335363 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,29),0.0951985 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,28),0.0951289 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,27),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,26),-0.147647 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,25),-0.145345 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,24),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,23),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,22),-0.145842 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,20),-0.145345 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,19),-0.14521 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,18),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,15),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,13),-0.145059 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,12),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,11),-0.145059 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,10),-0.14521 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,7),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,4),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,3),-0.144711 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,32),(33,-1),-0.178865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,31),(33,30),-0.0335363 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,29),0.0953119 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,28),0.0951289 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,27),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,26),-0.147647 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,25),-0.145345 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,24),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,23),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,22),-0.145842 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,20),-0.145345 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,19),-0.14521 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,18),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,15),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,13),-0.145059 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,12),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,11),-0.145059 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,10),-0.14521 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,7),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,4),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,3),-0.144711 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,31),(33,-1),-0.180959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,30),(33,29),0.0922006 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,28),0.0951289 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,27),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,26),-0.147647 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,25),-0.145345 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,24),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,23),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,22),-0.145842 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,20),-0.145345 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,19),-0.14521 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,18),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,15),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,13),-0.145059 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,12),-0.14832 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,11),-0.145059 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,10),-0.14521 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,7),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,4),-0.145777 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,3),-0.144711 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,30),(33,-1),-0.180716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,33),(33,29),(33,28),0.108274 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,27),-0.144743 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,24),-0.144743 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,23),-0.144743 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(28,33),(33,29),(33,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
