# _root_ Since the recent deterioration of the junk-bond market , at least two other junk issuers have said they plan to scale back planned high-yield offerings , and several issues have been postponed .
#goldHeads=16,4,4,1,4,8,8,5,16,15,10,10,15,15,16,0,16,19,27,21,19,21,25,25,21,27,17,29,30,27,30,31,16,
#predictedHeads=16,4,4,1,4,8,8,5,4,15,10,10,15,15,16,27,16,19,17,21,19,21,25,25,21,27,0,29,30,27,30,31,27,
(23,25),(25,25),(25,30),-0.0426539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,31),-0.0426401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,32),-0.0426401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,34),-0.0457041 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,25),(25,26),(25,27),-0.0196911 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,28),-0.0198919 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,29),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,30),-0.026847 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,31),-0.026847 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,32),-0.026847 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,26),(25,34),-0.0303978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,27),(25,28),0.0697778 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,29),0.0172931 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,30),0.161397 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,31),0.22484 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,32),0.205928 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,27),(25,34),-0.019879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,28),(25,29),-0.0195561 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,30),-0.0195483 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,31),-0.0195483 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,32),-0.0195483 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,28),(25,34),-0.0480728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,29),(25,30),-0.0132682 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,29),(25,31),-0.0132682 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,29),(25,32),-0.0132682 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,29),(25,34),-0.0456452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,30),(25,31),-0.0194517 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,30),(25,32),-0.0194517 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,30),(25,34),-0.0316622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,31),(25,32),-0.0194517 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,31),(25,34),-0.0316483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,32),(25,34),-0.0316478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,25),(25,24),0.0940202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,23),0.0940202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,21),-0.145088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,20),-0.151517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,17),-0.145088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,25),(25,-1),-0.0831618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,25),(25,24),(25,23),0.107878 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,24),(25,-1),-0.17027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,23),(25,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,25),(25,23),(25,-1),-0.17027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,25),(25,21),(25,20),-0.144711 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,21),(25,-1),-0.158668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,20),(25,17),-0.14471 # DEPENDENCYPART_GRANDSIBL
(23,25),(25,20),(25,-1),-0.150409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,25),(25,17),(25,-1),-0.158693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,27),(27,28),-0.0609785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,29),-0.056573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,30),0.00262308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,31),0.00492422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,32),0.00492422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,34),0.0236916 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,27),(27,28),(27,29),-0.0197938 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,28),(27,30),-0.0195721 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,28),(27,31),-0.0195721 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,28),(27,32),-0.0195721 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,28),(27,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,28),(27,34),-0.0451587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,29),(27,30),-0.0275205 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,29),(27,31),-0.0275236 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,29),(27,32),-0.0275179 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,29),(27,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,29),(27,34),-0.0556212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,30),(27,31),-0.0172918 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,30),(27,32),-0.0172918 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,30),(27,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,30),(27,34),-0.00664113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,31),(27,32),-0.0172918 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,31),(27,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,31),(27,34),-0.00459233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,32),(27,33),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,32),(27,34),-0.00433746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,33),(27,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,27),(27,26),0.140588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,25),0.0794886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,24),0.104919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,23),0.104919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,21),-0.146397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,19),-0.146397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,18),-0.144804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,17),-0.146397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,16),-0.146397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,15),-0.148934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,14),-0.148934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,13),-0.14485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,12),-0.144948 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,10),-0.144778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,9),-0.144788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,8),-0.148934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,7),-0.148934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,5),-0.144778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,4),-0.148934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,3),-0.14485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,1),-0.144778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,27),(27,-1),-0.168254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,27),(27,26),(27,25),0.131122 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,24),0.108231 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,23),0.108231 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,21),-0.144935 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,20),-0.144775 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,19),-0.144935 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,17),-0.144935 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,16),-0.144935 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,15),-0.144963 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,14),-0.144963 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,13),-0.144712 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,10),-0.145242 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,8),-0.144963 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,7),-0.144963 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,5),-0.145244 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,4),-0.144963 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,3),-0.144712 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,1),-0.145242 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,26),(27,-1),-0.148475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,25),(27,24),0.108964 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,23),0.108964 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,15),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,14),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,12),-0.144708 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,10),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,8),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,7),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,5),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,4),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,1),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,25),(27,-1),-0.135317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,24),(27,23),0.109539 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,24),(27,-1),-0.152555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,23),(27,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,27),(27,23),(27,-1),-0.152555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,27),(27,21),(27,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,10),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,5),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,1),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,21),(27,-1),-0.143604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,20),(27,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,15),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,14),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,10),-0.145231 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,9),-0.144715 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,8),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,7),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,5),-0.145231 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,4),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,1),-0.145231 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,20),(27,-1),-0.129479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,19),(27,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,10),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,5),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,1),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,19),(27,-1),-0.143608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,18),(27,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,18),(27,-1),-0.126332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,17),(27,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,10),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,5),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,1),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,17),(27,-1),-0.143604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,16),(27,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,10),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,5),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,1),-0.144769 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,16),(27,-1),-0.143606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,15),(27,14),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,12),-0.144708 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,10),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,8),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,7),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,5),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,4),-0.144785 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,1),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,15),(27,-1),-0.135317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,27),(27,14),(27,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,14),(27,12),-0.144708 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,14),(27,10),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,27),(27,14),(27,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
