# _root_ `` And you did n't want me to buy earthquake insurance , '' says Mrs. Hammack , reaching across the table and gently tapping his hand .
#goldHeads=4,4,4,14,4,4,9,9,6,11,9,4,4,0,16,14,14,22,18,21,19,14,24,22,26,24,14,
#predictedHeads=14,14,4,2,4,4,9,9,6,11,9,14,14,0,16,14,16,22,18,21,19,16,24,22,26,24,14,
(18,4),(4,5),(4,6),0.100025 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,7),0.108712 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,8),0.141297 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,9),0.0994382 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,11),0.115198 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,12),0.10692 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,13),0.102904 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,14),0.0992326 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,16),0.109704 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,17),0.10692 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,18),-0.145131 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,19),-0.147441 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,22),-0.145138 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,23),-0.144795 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,24),-0.145131 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,5),(4,28),-0.184997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,6),(4,7),0.103832 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,8),0.0961307 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,9),0.0994365 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,11),0.0909509 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,12),0.201936 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,13),0.0982215 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,14),0.0994124 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,16),0.0909509 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,17),0.201936 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,18),-0.145075 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,19),-0.151746 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,22),-0.144757 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,23),-0.144838 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,24),-0.145075 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,6),(4,28),-0.153791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,7),(4,8),0.0985256 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,9),0.111047 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,11),0.0945529 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,12),0.120339 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,13),0.107572 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,14),0.114328 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,16),0.0945529 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,17),0.120339 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,18),-0.145317 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,19),-0.152174 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,22),-0.144934 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,24),-0.145317 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,7),(4,28),-0.143566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,8),(4,9),0.126142 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,11),0.192008 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,12),0.073503 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,13),0.11001 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,14),0.126142 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,16),0.192011 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,17),0.073503 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,18),-0.135682 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,19),-0.107824 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,22),-0.145829 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,23),-0.144836 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,24),-0.135682 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,8),(4,28),-0.220475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,9),(4,11),0.0909604 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,12),0.196851 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,13),0.0982251 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,14),0.0994124 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,16),0.0909604 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,17),0.196851 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,18),-0.145184 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,19),-0.151746 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,22),-0.144757 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,23),-0.144838 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,24),-0.145184 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,9),(4,28),-0.145833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,11),(4,12),0.100609 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,13),0.104694 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,14),0.107794 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,16),0.0983653 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,17),0.100609 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,18),-0.143839 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,19),-0.190605 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,22),-0.145897 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,23),-0.145272 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,24),-0.143853 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,11),(4,28),-0.168124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,12),(4,13),0.179599 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,14),0.135561 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,16),0.119889 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,17),0.113096 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,18),-0.16017 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,19),-0.170426 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,22),-0.152064 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,23),-0.145044 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,24),-0.16017 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,12),(4,28),-0.116703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,13),(4,14),0.0956537 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,16),0.110212 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,17),0.127387 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,18),-0.146089 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,19),-0.145559 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,22),-0.14524 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,24),-0.146089 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,13),(4,28),-0.13233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,14),(4,16),0.0908677 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,17),0.196795 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,18),-0.14508 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,19),-0.151829 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,22),-0.144763 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,23),-0.144838 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,24),-0.14508 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,14),(4,28),-0.150558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,16),(4,17),0.100625 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,16),(4,18),-0.143839 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,16),(4,19),-0.190605 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,16),(4,22),-0.145897 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,16),(4,23),-0.145272 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,16),(4,24),-0.143853 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,16),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,16),(4,28),-0.168059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,17),(4,18),-0.16017 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,17),(4,19),-0.170426 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,17),(4,22),-0.152064 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,17),(4,23),-0.145044 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,17),(4,24),-0.16017 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,17),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,17),(4,28),-0.116703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,18),(4,19),-0.151746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,18),(4,22),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,18),(4,23),-0.144838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,18),(4,24),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,18),(4,27),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,18),(4,28),-0.147594 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,4),(4,19),(4,22),-0.147979 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,19),(4,23),-0.145181 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,19),(4,24),-0.14637 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,19),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,19),(4,28),-0.126206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,22),(4,23),-0.0400713 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,22),(4,24),-0.00965489 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,22),(4,27),0.0592875 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,22),(4,28),-0.203588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,23),(4,24),-0.145004 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,23),(4,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,23),(4,28),-0.174576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,24),(4,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,24),(4,28),-0.147606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,27),(4,28),-0.142848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,4),(4,3),-0.0256705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,2),0.0010737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,1),-0.00496219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,4),(4,4),(4,-1),0.0827412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,4),(4,3),(4,2),-0.0169779 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,3),(4,1),-0.0228416 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,3),(4,-1),-0.1346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,2),(4,1),-0.0630401 # DEPENDENCYPART_GRANDSIBL
(18,4),(4,2),(4,-1),-0.0586863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,4),(4,1),(4,-1),-0.0705949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,17),0.0499275 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,18),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,19),-0.0717492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,21),-0.0538671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,22),-0.140739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,26),-0.0538671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,28),-0.184311 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,17),(16,18),-0.159637 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,19),-0.150032 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,21),-0.16103 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,22),-0.170225 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,26),-0.16103 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,28),-0.137242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,18),(16,19),-0.146611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,21),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,22),-0.144786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,26),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,28),-0.137829 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,19),(16,21),-0.145619 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,19),(16,22),-0.141483 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,19),(16,26),-0.145619 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,19),(16,28),-0.0434134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,21),(16,22),-0.145518 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,21),(16,26),-0.139044 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,21),(16,28),-0.114444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,22),(16,26),-0.0951632 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,22),(16,28),-0.143853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,26),(16,28),-0.114444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,15),0.0345328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,13),0.0489004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,12),0.062012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,11),0.0339573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,10),0.0352076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,-1),0.0694949 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,15),(16,13),-0.0240435 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,12),-0.059471 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,11),-0.0205322 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,10),-0.0202743 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,15),(16,-1),0.00196793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,13),(16,12),-0.0287594 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,11),0.00157661 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,10),0.00157661 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,-1),-0.0244471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,12),(16,11),-0.0517149 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,12),(16,10),-0.0503923 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,12),(16,-1),-0.0668748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,11),(16,10),-0.0152467 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,11),(16,-1),-0.00775729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,10),(16,-1),-0.00428743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,17),(17,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,17),(17,17),(17,28),-0.111641 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,18),(17,28),-0.154908 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,17),(17,-1),0.0307634 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,19),(19,20),0.00775866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,21),0.0382975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,22),-0.00180574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,23),-0.0404535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,24),0.0318004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,26),0.0416813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,28),-0.0726959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,20),(19,21),-0.0249762 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,22),-0.0194544 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,23),-0.0209647 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,24),-0.0202972 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,26),-0.0249762 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,20),(19,28),0.0202075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,21),(19,22),-0.0378656 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,23),-0.0210862 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,24),-0.0315603 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,26),-0.0529969 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,21),(19,28),0.0992354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,22),(19,23),0.0807847 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,24),0.111957 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,26),0.0223675 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,22),(19,28),0.0199024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,23),(19,24),-0.0168742 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,26),-0.0205349 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,23),(19,28),-0.0402644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,24),(19,26),-0.0234805 # DEPENDENCYPART_GRANDSIBL
(18,19),(19,24),(19,28),-0.0405634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,26),(19,28),0.0960274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,19),(19,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,-1),0.0287786 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,17),(19,-1),-0.15399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,20),(20,21),-0.030995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,28),-0.0560326 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,21),(20,28),-0.0298098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,20),(20,-1),-0.325252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,21),(21,22),0.000474707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,23),-0.035969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,24),-0.0318505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,26),0.0342476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,28),0.0694943 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,22),(21,23),0.0859274 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,24),0.110811 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,26),0.014359 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,28),-0.0164742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,23),(21,24),-0.0139349 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,26),-0.0333069 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,28),-0.0365541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,24),(21,26),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,24),(21,28),-0.0328459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,26),(21,28),-0.004886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,21),(21,20),0.0974089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,19),0.165771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,-1),-0.184801 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,20),(21,19),0.121192 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,20),(21,-1),-0.21953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,19),(21,-1),-0.0434134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,22),(22,23),0.0374947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,24),-0.0681521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,26),-0.0196944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,27),-0.00732112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,28),-0.159999 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,22),(22,23),(22,24),-0.00443537 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,23),(22,26),-0.0264299 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,23),(22,27),-0.0210755 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,23),(22,28),0.00685513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,24),(22,26),-0.0554032 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,24),(22,27),-0.0281551 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,24),(22,28),-0.102447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,26),(22,27),-0.0207308 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,26),(22,28),0.0151888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,27),(22,28),-0.030308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,22),(22,21),0.139517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,20),0.0635585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,19),0.131998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,18),0.168667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,16),-0.155019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,15),-0.155019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,14),-0.162693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,13),-0.145117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,11),-0.155019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,10),-0.155019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,9),-0.162691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,8),-0.145432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,7),-0.144734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,6),-0.162691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
