# _root_ `` As long as I am borrowing at 9.9 % and each { bond } yields over that , it enhances the yield , '' he maintains .
#goldHeads=27,21,2,11,6,11,6,7,10,8,2,14,14,16,14,11,16,17,21,21,27,23,21,27,27,27,0,27,
#predictedHeads=27,11,2,6,6,11,6,7,10,8,21,14,14,11,14,21,16,17,21,21,27,23,21,27,27,27,0,27,
(11,7),(7,10),(7,16),-0.149107 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,17),-0.165186 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,19),-0.147761 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,21),-0.149107 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,24),-0.147761 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,27),-0.149107 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,28),-0.144795 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,29),-0.0637214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,11),(7,14),0.180883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,16),0.0911129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,17),-0.00131158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,19),0.0858282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,21),0.131469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,24),0.103203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,25),-0.00185518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,27),0.167526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,28),-0.0222298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,29),-0.117114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,14),(7,16),-0.149107 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,17),-0.164939 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,19),-0.147761 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,21),-0.149107 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,24),-0.147761 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,27),-0.149107 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,28),-0.144792 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,14),(7,29),-0.0691638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,16),(7,17),-0.145612 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,19),-0.145886 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,21),-0.145246 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,24),-0.145886 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,25),-0.144773 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,27),-0.145246 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,16),(7,29),-0.0543112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,17),(7,19),-0.14577 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,21),-0.145816 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,24),-0.14577 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,27),-0.145816 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,28),-0.145894 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,17),(7,29),-0.0858289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,19),(7,21),-0.153537 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,19),(7,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,19),(7,25),-0.145307 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,19),(7,27),-0.153539 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,19),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,19),(7,29),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,21),(7,24),-0.145886 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,21),(7,25),-0.144773 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,21),(7,27),-0.145246 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,21),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,21),(7,29),-0.0551304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,24),(7,25),-0.145307 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,24),(7,27),-0.153539 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,24),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,24),(7,29),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,25),(7,27),-0.145457 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,25),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,25),(7,29),-0.12606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,27),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,27),(7,29),-0.0551343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,28),(7,29),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,6),0.0386519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,5),0.0419256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,4),-0.0506566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,-1),0.201438 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,6),(7,5),-0.0202192 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,4),-0.0203708 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,-1),0.0853874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,5),(7,4),0.0134304 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,-1),-0.0174255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,4),(7,-1),-0.0900596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,9),0.0953417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,10),0.079022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,11),-0.150817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,14),-0.118229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,16),-0.149231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,17),-0.145518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,25),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,29),-0.0761019 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,9),(8,10),0.107557 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,14),-0.144732 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,29),-0.181124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,14),-0.144703 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,16),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,17),-0.146038 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,28),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,29),-0.152349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,11),(8,14),0.182069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,15),0.0724425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,16),0.0919335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,17),0.00137385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,25),-0.00165524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,28),-0.0222298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,29),-0.16019 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,14),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,16),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,17),-0.146031 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,28),-0.144704 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,14),(8,29),-0.148211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,15),(8,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,15),(8,29),-0.144909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,16),(8,17),-0.144729 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,29),-0.153456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,17),(8,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,17),(8,29),-0.144112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,25),(8,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,25),(8,29),-0.149421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,28),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,7),-0.00431468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,4),-0.0417951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),-0.124852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,7),(8,4),-0.019455 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,-1),-0.00727704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,4),(8,-1),-0.0368799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,10),0.139665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,14),-0.146132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,29),-0.200258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,10),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,29),-0.139194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,14),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,29),-0.136158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,15),(9,29),-0.145047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,8),0.00536195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,7),-0.0118154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),-0.0700605 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,7),-0.0201644 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,-1),-0.0133331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,7),(9,-1),-0.00782819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,12),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,14),-0.136663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,15),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,16),-0.150747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,18),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,23),-0.136663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,27),-0.150747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,29),-0.0239298 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,12),(10,14),-0.144775 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,18),-0.144741 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,23),-0.144775 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,29),-0.124055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,14),(10,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,16),-0.144804 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,18),-0.14587 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,23),-0.151151 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,27),-0.144804 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,29),-0.164814 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,15),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,29),-0.175863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,16),(10,18),-0.145145 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,23),-0.145741 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,29),-0.170627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,18),(10,23),-0.144775 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,18),(10,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,18),(10,29),-0.129005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,23),(10,27),-0.144804 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,23),(10,29),-0.162562 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,27),(10,29),-0.170627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),-0.0355484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,8),-0.0622322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,7),-0.0962446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,6),-0.0962459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,5),0.0354094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,4),-0.0565822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,1),-0.0060266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),0.194457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,8),-0.0344906 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,7),-0.00413134 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,6),-0.00413134 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,5),-0.0204738 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,4),-0.0339817 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,1),-0.0209236 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,-1),-0.00803666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,8),(10,7),-0.00768167 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,6),-0.00768167 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,5),-0.0194701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,4),0.00251723 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),-0.104827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,7),(10,6),-0.0228352 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,5),-0.0214507 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,4),-0.0101466 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,1),-0.0253309 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,-1),-0.00931452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,6),(10,5),-0.0214507 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,4),-0.0101466 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,1),-0.0253309 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,-1),-0.00931452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,5),(10,4),-0.0194737 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,1),-0.0194412 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,-1),0.0131881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,4),(10,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,-1),-0.0927198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,1),(10,-1),-0.00712454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,17),-0.0230428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,29),-0.06755 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,17),(12,29),-0.0189851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,-1),-0.114423 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,14),(14,15),-0.0160095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,16),-0.0956376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,17),-0.0505149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,18),0.0324312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,19),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,21),-0.0956376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,23),-0.0397945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,24),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,25),-0.0333398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,27),-0.0956376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,28),-0.023758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,29),0.18465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,15),(14,16),-0.0194605 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,19),-0.0199692 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,21),-0.0194605 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,23),-0.0033835 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,24),-0.0199692 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,27),-0.0194605 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,29),-0.0126198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,16),(14,17),-0.0101061 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,18),-0.0184207 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,19),-0.0487566 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,21),-0.0228352 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,23),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,24),-0.0487566 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,25),-0.019509 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,27),-0.0228352 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,28),-0.0202515 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,29),-0.00621824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,17),(14,18),-0.021217 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,19),-0.0199095 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,21),-0.00383508 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,23),-0.0321674 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,24),-0.0199095 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,25),-0.0194511 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,27),-0.00383508 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,17),(14,29),-0.0887424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,18),(14,19),-0.0256394 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,21),-0.0212002 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,23),-0.0254661 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,24),-0.0256394 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,27),-0.0212002 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,28),-0.019654 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,18),(14,29),0.000783581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,19),(14,21),-0.0118964 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,23),0.0398748 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,24),-0.0195821 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,25),-0.00579766 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,27),-0.0118964 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,19),(14,29),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,21),(14,23),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,21),(14,24),-0.0487566 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,21),(14,25),-0.019509 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,21),(14,27),-0.0228352 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,21),(14,28),-0.0202515 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,21),(14,29),-0.00621824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,23),(14,24),0.0157416 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,25),-0.0199295 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,27),-0.0179366 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,28),-0.00760908 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,23),(14,29),-0.000871653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,24),(14,25),-0.00579766 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,27),-0.0118964 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,24),(14,29),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,25),(14,27),-0.0209031 # DEPENDENCYPART_GRANDSIBL
