# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,11,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(16,12),(16,22),0.198796 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.158108 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0157947 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0391047 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0118059 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0670467 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0174812 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.106828 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.0371529 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0116838 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.12504 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.00859441 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0114531 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0510351 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.00425084 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0952526 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0477941 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0259515 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.233831 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.00470338 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0180525 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.00815188 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.044377 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0307177 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0470865 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0737398 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0413139 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0124781 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0464302 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0497129 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0562241 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0499353 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0609846 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.0584892 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0419711 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0270585 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.151138 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.113914 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0684705 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.062471 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.191409 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0684705 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0679518 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.102495 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.229753 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.436415 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0374862 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.115694 # DEPENDENCYPART_SIBL
(19,8),(19,9),0.251854 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.157886 # DEPENDENCYPART_SIBL
(19,8),(19,12),0.348869 # DEPENDENCYPART_SIBL
(19,8),(19,13),0.0755739 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.613107 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.00653525 # DEPENDENCYPART_SIBL
(19,8),(19,16),0.201837 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.613107 # DEPENDENCYPART_SIBL
(19,8),(19,18),0.245593 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.0716799 # DEPENDENCYPART_SIBL
(19,9),(19,11),0.114161 # DEPENDENCYPART_SIBL
(19,9),(19,12),0.438211 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.00411017 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.662068 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.00152906 # DEPENDENCYPART_SIBL
(19,9),(19,16),0.578509 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.662068 # DEPENDENCYPART_SIBL
(19,9),(19,18),0.00510015 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.0275818 # DEPENDENCYPART_SIBL
(19,11),(19,12),0.316463 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.0192292 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.353507 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0507474 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.287852 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.353507 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0644004 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.00796167 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.0599302 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.408123 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.0569251 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.231586 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.408123 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.0253304 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.0479948 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.0133863 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.0541224 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.278199 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.0133863 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.00329622 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0348528 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.0129962 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.138025 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.662013 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.155843 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0730723 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.794005 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.317123 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0462258 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0319549 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.38659 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.00289837 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0356504 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.155843 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0730723 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.038793 # DEPENDENCYPART_SIBL
(20,1),(20,3),0.110561 # DEPENDENCYPART_SIBL
(20,1),(20,4),0.0509372 # DEPENDENCYPART_SIBL
(20,1),(20,7),0.169444 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.0371179 # DEPENDENCYPART_SIBL
(20,1),(20,12),0.169444 # DEPENDENCYPART_SIBL
(20,1),(20,15),0.109936 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.016636 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0494687 # DEPENDENCYPART_SIBL
(20,1),(20,18),0.0679501 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.109936 # DEPENDENCYPART_SIBL
(20,1),(20,21),0.153723 # DEPENDENCYPART_SIBL
(20,1),(20,22),0.143485 # DEPENDENCYPART_SIBL
(20,3),(20,4),0.0873163 # DEPENDENCYPART_SIBL
(20,3),(20,7),0.223878 # DEPENDENCYPART_SIBL
(20,3),(20,11),0.0385863 # DEPENDENCYPART_SIBL
(20,3),(20,12),0.223878 # DEPENDENCYPART_SIBL
(20,3),(20,15),0.0499609 # DEPENDENCYPART_SIBL
(20,3),(20,16),0.0765415 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.0510101 # DEPENDENCYPART_SIBL
(20,3),(20,18),0.0115632 # DEPENDENCYPART_SIBL
(20,3),(20,19),0.0499609 # DEPENDENCYPART_SIBL
(20,3),(20,21),0.0431075 # DEPENDENCYPART_SIBL
(20,3),(20,22),0.0747906 # DEPENDENCYPART_SIBL
(20,4),(20,7),0.137346 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0106452 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.137346 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.0396322 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.0623001 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.111082 # DEPENDENCYPART_SIBL
(20,4),(20,18),0.0483732 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.0396322 # DEPENDENCYPART_SIBL
(20,4),(20,21),0.209964 # DEPENDENCYPART_SIBL
(20,4),(20,22),0.149235 # DEPENDENCYPART_SIBL
(20,7),(20,11),0.0804323 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.0682486 # DEPENDENCYPART_SIBL
(20,7),(20,15),0.0791384 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.0336015 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.0607685 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.00206603 # DEPENDENCYPART_SIBL
(20,7),(20,19),0.0791384 # DEPENDENCYPART_SIBL
(20,7),(20,21),0.131007 # DEPENDENCYPART_SIBL
(20,7),(20,22),0.0859528 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.269836 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.0162163 # DEPENDENCYPART_SIBL
(20,11),(20,16),1.35875e-05 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.0672003 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0305 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.0162163 # DEPENDENCYPART_SIBL
(20,11),(20,21),0.0778917 # DEPENDENCYPART_SIBL
(20,11),(20,22),0.0196234 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.0791384 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0336015 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.0607685 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.00206603 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.0791384 # DEPENDENCYPART_SIBL
(20,12),(20,21),0.131007 # DEPENDENCYPART_SIBL
(20,12),(20,22),0.0859528 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.0792269 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0488551 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.0137558 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0536145 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0447579 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.0788592 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0678957 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0320686 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0776869 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0221475 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.061471 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0209943 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0391508 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.00157586 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0858304 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0848448 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0625573 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.0610313 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0447579 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0788592 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0361055 # DEPENDENCYPART_SIBL
(21,1),(21,2),-0.0382877 # DEPENDENCYPART_SIBL
(21,1),(21,3),-0.00449759 # DEPENDENCYPART_SIBL
(21,1),(21,4),-0.0585996 # DEPENDENCYPART_SIBL
(21,1),(21,6),-0.00447958 # DEPENDENCYPART_SIBL
(21,1),(21,7),0.0484233 # DEPENDENCYPART_SIBL
(21,1),(21,9),0.0303564 # DEPENDENCYPART_SIBL
(21,1),(21,10),-0.00572944 # DEPENDENCYPART_SIBL
(21,1),(21,11),-0.00762356 # DEPENDENCYPART_SIBL
(21,1),(21,12),0.0484233 # DEPENDENCYPART_SIBL
(21,1),(21,13),-0.105647 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.0928242 # DEPENDENCYPART_SIBL
(21,1),(21,15),-0.00572944 # DEPENDENCYPART_SIBL
(21,1),(21,16),0.00662063 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.0928242 # DEPENDENCYPART_SIBL
(21,1),(21,18),0.0303564 # DEPENDENCYPART_SIBL
(21,1),(21,19),-0.00572944 # DEPENDENCYPART_SIBL
(21,1),(21,20),0.170903 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0315857 # DEPENDENCYPART_SIBL
(21,2),(21,3),-0.0557765 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.0740784 # DEPENDENCYPART_SIBL
(21,2),(21,6),-0.0536762 # DEPENDENCYPART_SIBL
(21,2),(21,7),0.00119194 # DEPENDENCYPART_SIBL
(21,2),(21,9),0.0280492 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.0549185 # DEPENDENCYPART_SIBL
(21,2),(21,11),0.0181023 # DEPENDENCYPART_SIBL
(21,2),(21,12),0.00119194 # DEPENDENCYPART_SIBL
(21,2),(21,13),-0.181573 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.127998 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.0549185 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.00395289 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.127998 # DEPENDENCYPART_SIBL
(21,2),(21,18),0.0276266 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.0549185 # DEPENDENCYPART_SIBL
(21,2),(21,20),0.0544116 # DEPENDENCYPART_SIBL
(21,2),(21,22),0.00266843 # DEPENDENCYPART_SIBL
(21,3),(21,4),-0.0267319 # DEPENDENCYPART_SIBL
(21,3),(21,6),-0.084506 # DEPENDENCYPART_SIBL
(21,3),(21,7),0.079274 # DEPENDENCYPART_SIBL
(21,3),(21,9),-0.0256423 # DEPENDENCYPART_SIBL
(21,3),(21,10),-0.0848508 # DEPENDENCYPART_SIBL
(21,3),(21,11),-0.0167239 # DEPENDENCYPART_SIBL
(21,3),(21,12),0.079274 # DEPENDENCYPART_SIBL
(21,3),(21,13),-0.184077 # DEPENDENCYPART_SIBL
(21,3),(21,14),-0.0850726 # DEPENDENCYPART_SIBL
(21,3),(21,15),-0.0848508 # DEPENDENCYPART_SIBL
(21,3),(21,16),0.0982339 # DEPENDENCYPART_SIBL
(21,3),(21,17),-0.0850726 # DEPENDENCYPART_SIBL
(21,3),(21,18),-0.0251796 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.0848508 # DEPENDENCYPART_SIBL
(21,3),(21,20),0.0570402 # DEPENDENCYPART_SIBL
(21,3),(21,22),0.00222021 # DEPENDENCYPART_SIBL
(21,4),(21,6),-0.0826717 # DEPENDENCYPART_SIBL
(21,4),(21,7),0.0769176 # DEPENDENCYPART_SIBL
(21,4),(21,9),0.0488941 # DEPENDENCYPART_SIBL
(21,4),(21,10),-0.0839215 # DEPENDENCYPART_SIBL
(21,4),(21,11),-0.032348 # DEPENDENCYPART_SIBL
(21,4),(21,12),0.0769176 # DEPENDENCYPART_SIBL
(21,4),(21,13),-0.143228 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.128908 # DEPENDENCYPART_SIBL
(21,4),(21,15),-0.0839215 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.0180986 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.128908 # DEPENDENCYPART_SIBL
(21,4),(21,18),0.0488941 # DEPENDENCYPART_SIBL
(21,4),(21,19),-0.0839215 # DEPENDENCYPART_SIBL
(21,4),(21,20),0.138923 # DEPENDENCYPART_SIBL
(21,4),(21,22),-0.0563002 # DEPENDENCYPART_SIBL
(21,6),(21,7),0.0448364 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.030577 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.0861958 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.0204018 # DEPENDENCYPART_SIBL
(21,6),(21,12),0.0448364 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.185347 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.089391 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.0861958 # DEPENDENCYPART_SIBL
(21,6),(21,16),0.0948258 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.089391 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.0301144 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.0861958 # DEPENDENCYPART_SIBL
(21,6),(21,20),0.0536287 # DEPENDENCYPART_SIBL
(21,6),(21,22),0.0153622 # DEPENDENCYPART_SIBL
(21,7),(21,9),-0.0316103 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.0696199 # DEPENDENCYPART_SIBL
(21,7),(21,11),0.0015957 # DEPENDENCYPART_SIBL
(21,7),(21,12),-0.0392891 # DEPENDENCYPART_SIBL
(21,7),(21,13),-0.176065 # DEPENDENCYPART_SIBL
(21,7),(21,14),-0.131087 # DEPENDENCYPART_SIBL
(21,7),(21,15),-0.0696199 # DEPENDENCYPART_SIBL
(21,7),(21,16),0.0118777 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.131087 # DEPENDENCYPART_SIBL
(21,7),(21,18),-0.0347268 # DEPENDENCYPART_SIBL
(21,7),(21,19),-0.0696199 # DEPENDENCYPART_SIBL
(21,7),(21,20),-0.00308977 # DEPENDENCYPART_SIBL
(21,7),(21,22),0.00608705 # DEPENDENCYPART_SIBL
(21,9),(21,10),-0.0418067 # DEPENDENCYPART_SIBL
(21,9),(21,11),-0.00102089 # DEPENDENCYPART_SIBL
(21,9),(21,12),0.0265673 # DEPENDENCYPART_SIBL
(21,9),(21,13),-0.129655 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.205983 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.0418067 # DEPENDENCYPART_SIBL
(21,9),(21,16),0.144225 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.205983 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.0276177 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.0418067 # DEPENDENCYPART_SIBL
(21,9),(21,20),0.0856344 # DEPENDENCYPART_SIBL
(21,9),(21,22),-0.00739855 # DEPENDENCYPART_SIBL
(21,10),(21,11),-0.0203771 # DEPENDENCYPART_SIBL
(21,10),(21,12),0.0468617 # DEPENDENCYPART_SIBL
(21,10),(21,13),-0.185322 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.0893663 # DEPENDENCYPART_SIBL
(21,10),(21,15),-0.0866444 # DEPENDENCYPART_SIBL
(21,10),(21,16),0.0948523 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.0893663 # DEPENDENCYPART_SIBL
(21,10),(21,18),-0.0294439 # DEPENDENCYPART_SIBL
(21,10),(21,19),-0.0866444 # DEPENDENCYPART_SIBL
(21,10),(21,20),0.0536587 # DEPENDENCYPART_SIBL
(21,10),(21,22),0.00646851 # DEPENDENCYPART_SIBL
(21,11),(21,12),0.0692049 # DEPENDENCYPART_SIBL
(21,11),(21,13),-0.12763 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.0654922 # DEPENDENCYPART_SIBL
(21,11),(21,15),-0.0501299 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0132452 # DEPENDENCYPART_SIBL
(21,11),(21,17),-0.0654922 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.00499272 # DEPENDENCYPART_SIBL
(21,11),(21,19),-0.0501299 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.0183525 # DEPENDENCYPART_SIBL
(21,11),(21,22),-0.00249761 # DEPENDENCYPART_SIBL
(21,12),(21,13),-0.176065 # DEPENDENCYPART_SIBL
(21,12),(21,14),-0.131087 # DEPENDENCYPART_SIBL
(21,12),(21,15),-0.0696199 # DEPENDENCYPART_SIBL
(21,12),(21,16),0.0118777 # DEPENDENCYPART_SIBL
(21,12),(21,17),-0.131087 # DEPENDENCYPART_SIBL
(21,12),(21,18),-0.0347268 # DEPENDENCYPART_SIBL
(21,12),(21,19),-0.0696199 # DEPENDENCYPART_SIBL
(21,12),(21,20),-0.00308977 # DEPENDENCYPART_SIBL
(21,12),(21,22),0.00608705 # DEPENDENCYPART_SIBL
(21,13),(21,14),0.0624287 # DEPENDENCYPART_SIBL
(21,13),(21,15),0.00079807 # DEPENDENCYPART_SIBL
(21,13),(21,16),0.0327562 # DEPENDENCYPART_SIBL
(21,13),(21,17),0.0624287 # DEPENDENCYPART_SIBL
(21,13),(21,18),0.00368063 # DEPENDENCYPART_SIBL
(21,13),(21,19),0.00079807 # DEPENDENCYPART_SIBL
(21,13),(21,20),0.164437 # DEPENDENCYPART_SIBL
(21,13),(21,22),-0.0457847 # DEPENDENCYPART_SIBL
(21,14),(21,15),-0.00540779 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.0332753 # DEPENDENCYPART_SIBL
(21,14),(21,17),-0.125584 # DEPENDENCYPART_SIBL
(21,14),(21,18),-0.0171854 # DEPENDENCYPART_SIBL
(21,14),(21,19),-0.00540779 # DEPENDENCYPART_SIBL
(21,14),(21,20),0.0754787 # DEPENDENCYPART_SIBL
(21,14),(21,22),-0.0762642 # DEPENDENCYPART_SIBL
(21,15),(21,16),0.0948523 # DEPENDENCYPART_SIBL
(21,15),(21,17),-0.0893663 # DEPENDENCYPART_SIBL
(21,15),(21,18),-0.0294439 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.0866444 # DEPENDENCYPART_SIBL
(21,15),(21,20),0.0536587 # DEPENDENCYPART_SIBL
(21,15),(21,22),0.00646851 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.125043 # DEPENDENCYPART_SIBL
(21,16),(21,18),0.00190952 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.00543313 # DEPENDENCYPART_SIBL
(21,16),(21,20),0.00701485 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.0168437 # DEPENDENCYPART_SIBL
(21,17),(21,18),-0.0171854 # DEPENDENCYPART_SIBL
(21,17),(21,19),-0.00540779 # DEPENDENCYPART_SIBL
(21,17),(21,20),0.0754787 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.0762642 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.0437604 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.0856399 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.00577811 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.0536587 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.00646851 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.0164474 # DEPENDENCYPART_SIBL
(0,1),(1,3),0.323048 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.138166 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.129187 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),0.0914599 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),0.526153 # DEPENDENCYPART_GRANDPAR
(0,1),(1,12),0.395407 # DEPENDENCYPART_GRANDPAR
(0,1),(1,15),-0.404057 # DEPENDENCYPART_GRANDPAR
(0,1),(1,16),0.0528367 # DEPENDENCYPART_GRANDPAR
(0,1),(1,19),-0.363633 # DEPENDENCYPART_GRANDPAR
(0,1),(1,20),-0.0745837 # DEPENDENCYPART_GRANDPAR
(0,1),(1,21),-0.475775 # DEPENDENCYPART_GRANDPAR
(0,1),(1,22),2.03526 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.509747 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.364889 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.211775 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.134144 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.710768 # DEPENDENCYPART_GRANDPAR
(0,3),(3,21),-0.288987 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),2.16958 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.768335 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.322933 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.0692752 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),0.123604 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.0225691 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),0.482115 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),0.389824 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),0.0729731 # DEPENDENCYPART_GRANDPAR
(0,4),(4,21),-0.519817 # DEPENDENCYPART_GRANDPAR
(0,4),(4,22),2.00051 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.509948 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),-0.358316 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.196152 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.292453 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.314452 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.134878 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.0524162 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.167117 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.710781 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.401098 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),-0.330315 # DEPENDENCYPART_GRANDPAR
(0,6),(6,19),-0.289891 # DEPENDENCYPART_GRANDPAR
(0,6),(6,20),0.0363831 # DEPENDENCYPART_GRANDPAR
(0,6),(6,21),-0.288974 # DEPENDENCYPART_GRANDPAR
(0,6),(6,22),2.16957 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.379716 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),-0.299049 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.148912 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),0.0169399 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.0322553 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.10919 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.827791 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-0.304417 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.0844157 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),0.312447 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.373774 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.665593 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.378554 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),-0.0717576 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),-0.670801 # DEPENDENCYPART_GRANDPAR
