# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,9,
(0,6),(6,5),-0.00860152 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.039829 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.325584 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.217377 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.645087 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.146748 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.127283 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.627955 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.246156 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),-0.246694 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.343277 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),-0.0869091 # DEPENDENCYPART_GRANDPAR
(0,6),(6,18),0.310987 # DEPENDENCYPART_GRANDPAR
(0,6),(6,19),0.472912 # DEPENDENCYPART_GRANDPAR
(0,6),(6,22),0.156924 # DEPENDENCYPART_GRANDPAR
(0,6),(6,25),-0.204382 # DEPENDENCYPART_GRANDPAR
(0,6),(6,27),-0.154053 # DEPENDENCYPART_GRANDPAR
(0,6),(6,28),0.457401 # DEPENDENCYPART_GRANDPAR
(0,6),(6,29),2.69585 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.922759 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),0.259941 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),0.393935 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),0.747332 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.392923 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),-0.185684 # DEPENDENCYPART_GRANDPAR
(0,7),(7,29),2.35064 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),0.828452 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),0.152994 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),0.220329 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),0.163549 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.867204 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.636146 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.623792 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.382901 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),0.508573 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-0.483925 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),-0.0494242 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.146284 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),-0.325827 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),0.258074 # DEPENDENCYPART_GRANDPAR
(0,9),(9,19),0.602444 # DEPENDENCYPART_GRANDPAR
(0,9),(9,21),-0.276693 # DEPENDENCYPART_GRANDPAR
(0,9),(9,24),-0.252355 # DEPENDENCYPART_GRANDPAR
(0,9),(9,25),-0.442152 # DEPENDENCYPART_GRANDPAR
(0,9),(9,26),0.0424701 # DEPENDENCYPART_GRANDPAR
(0,9),(9,27),-0.391823 # DEPENDENCYPART_GRANDPAR
(0,9),(9,28),0.860212 # DEPENDENCYPART_GRANDPAR
(0,9),(9,29),2.59897 # DEPENDENCYPART_GRANDPAR
(0,12),(12,1),0.637487 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),-0.0471483 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),-0.633524 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),0.173279 # DEPENDENCYPART_GRANDPAR
(0,12),(12,5),0.0132811 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),0.418599 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),-0.197313 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),0.161713 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),0.178147 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.986303 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.386417 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.634801 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.268552 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.249053 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.345636 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.109306 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),0.306405 # DEPENDENCYPART_GRANDPAR
(0,12),(12,19),0.466118 # DEPENDENCYPART_GRANDPAR
(0,12),(12,20),-0.277518 # DEPENDENCYPART_GRANDPAR
(0,12),(12,21),-0.476655 # DEPENDENCYPART_GRANDPAR
(0,12),(12,22),0.134527 # DEPENDENCYPART_GRANDPAR
(0,12),(12,24),-0.451707 # DEPENDENCYPART_GRANDPAR
(0,12),(12,25),-0.226779 # DEPENDENCYPART_GRANDPAR
(0,12),(12,26),-0.164706 # DEPENDENCYPART_GRANDPAR
(0,12),(12,27),-0.17645 # DEPENDENCYPART_GRANDPAR
(0,12),(12,28),0.470919 # DEPENDENCYPART_GRANDPAR
(0,12),(12,29),2.68107 # DEPENDENCYPART_GRANDPAR
(0,28),(28,1),0.643262 # DEPENDENCYPART_GRANDPAR
(0,28),(28,2),0.00158904 # DEPENDENCYPART_GRANDPAR
(0,28),(28,4),0.167084 # DEPENDENCYPART_GRANDPAR
(0,28),(28,5),0.0401733 # DEPENDENCYPART_GRANDPAR
(0,28),(28,6),0.441392 # DEPENDENCYPART_GRANDPAR
(0,28),(28,8),0.182111 # DEPENDENCYPART_GRANDPAR
(0,28),(28,9),0.184834 # DEPENDENCYPART_GRANDPAR
(0,28),(28,11),-0.392612 # DEPENDENCYPART_GRANDPAR
(0,28),(28,12),-0.0662823 # DEPENDENCYPART_GRANDPAR
(0,28),(28,13),-0.950991 # DEPENDENCYPART_GRANDPAR
(0,28),(28,14),-0.479966 # DEPENDENCYPART_GRANDPAR
(0,28),(28,15),-0.323448 # DEPENDENCYPART_GRANDPAR
(0,28),(28,16),-0.418061 # DEPENDENCYPART_GRANDPAR
(0,28),(28,17),-0.311927 # DEPENDENCYPART_GRANDPAR
(0,28),(28,18),0.167513 # DEPENDENCYPART_GRANDPAR
(0,28),(28,19),0.42239 # DEPENDENCYPART_GRANDPAR
(0,28),(28,20),-0.364947 # DEPENDENCYPART_GRANDPAR
(0,28),(28,21),-0.554372 # DEPENDENCYPART_GRANDPAR
(0,28),(28,22),-0.0768864 # DEPENDENCYPART_GRANDPAR
(0,28),(28,23),-0.307345 # DEPENDENCYPART_GRANDPAR
(0,28),(28,24),-0.524132 # DEPENDENCYPART_GRANDPAR
(0,28),(28,25),-0.438192 # DEPENDENCYPART_GRANDPAR
(0,28),(28,26),-0.265672 # DEPENDENCYPART_GRANDPAR
(0,28),(28,27),-0.387863 # DEPENDENCYPART_GRANDPAR
(0,28),(28,29),2.74063 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.36385 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.0848321 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.179194 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.423348 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),-0.0103021 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),-0.28259 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.117656 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.185801 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.349592 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.234773 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.217545 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.35769 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.376776 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),-0.247126 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.242801 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-0.372395 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.191579 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.227404 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),-0.293965 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),-0.1063 # DEPENDENCYPART_GRANDPAR
(1,6),(6,19),-0.416524 # DEPENDENCYPART_GRANDPAR
(1,6),(6,22),-0.263898 # DEPENDENCYPART_GRANDPAR
(1,6),(6,25),-0.372557 # DEPENDENCYPART_GRANDPAR
(1,6),(6,27),-0.32808 # DEPENDENCYPART_GRANDPAR
(1,6),(6,28),-0.203948 # DEPENDENCYPART_GRANDPAR
(1,6),(6,29),-0.912321 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-0.282717 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,4),0.0243833 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),0.0150792 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),0.0548946 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),-0.0760047 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.241467 # DEPENDENCYPART_GRANDPAR
(1,7),(7,29),-0.870877 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.425765 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),0.0807834 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.0155158 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.129795 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.0498269 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.0173481 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.355536 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.324773 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.188376 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),-0.319192 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),-0.169211 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-0.205086 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.244115 # DEPENDENCYPART_GRANDPAR
(1,9),(9,18),-0.060409 # DEPENDENCYPART_GRANDPAR
(1,9),(9,19),-0.348836 # DEPENDENCYPART_GRANDPAR
(1,9),(9,21),-0.319418 # DEPENDENCYPART_GRANDPAR
(1,9),(9,24),-0.263835 # DEPENDENCYPART_GRANDPAR
(1,9),(9,25),-0.319354 # DEPENDENCYPART_GRANDPAR
(1,9),(9,26),-0.243772 # DEPENDENCYPART_GRANDPAR
(1,9),(9,27),-0.274877 # DEPENDENCYPART_GRANDPAR
(1,9),(9,28),-0.135473 # DEPENDENCYPART_GRANDPAR
(1,9),(9,29),-0.848013 # DEPENDENCYPART_GRANDPAR
(1,12),(12,1),-0.417926 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,12),(12,2),-0.00497992 # DEPENDENCYPART_GRANDPAR
(1,12),(12,3),-0.27883 # DEPENDENCYPART_GRANDPAR
(1,12),(12,4),-0.108804 # DEPENDENCYPART_GRANDPAR
(1,12),(12,5),-0.185254 # DEPENDENCYPART_GRANDPAR
(1,12),(12,6),-0.115595 # DEPENDENCYPART_GRANDPAR
(1,12),(12,7),-0.365745 # DEPENDENCYPART_GRANDPAR
(1,12),(12,8),-0.209215 # DEPENDENCYPART_GRANDPAR
(1,12),(12,9),-0.171494 # DEPENDENCYPART_GRANDPAR
(1,12),(12,10),-0.447706 # DEPENDENCYPART_GRANDPAR
(1,12),(12,11),-0.396217 # DEPENDENCYPART_GRANDPAR
(1,12),(12,13),-0.242259 # DEPENDENCYPART_GRANDPAR
(1,12),(12,14),-0.376593 # DEPENDENCYPART_GRANDPAR
(1,12),(12,15),-0.18636 # DEPENDENCYPART_GRANDPAR
(1,12),(12,16),-0.222185 # DEPENDENCYPART_GRANDPAR
(1,12),(12,17),-0.298163 # DEPENDENCYPART_GRANDPAR
(1,12),(12,18),-0.101401 # DEPENDENCYPART_GRANDPAR
(1,12),(12,19),-0.41593 # DEPENDENCYPART_GRANDPAR
(1,12),(12,20),-0.414068 # DEPENDENCYPART_GRANDPAR
(1,12),(12,21),-0.334528 # DEPENDENCYPART_GRANDPAR
(1,12),(12,22),-0.268096 # DEPENDENCYPART_GRANDPAR
(1,12),(12,24),-0.280933 # DEPENDENCYPART_GRANDPAR
(1,12),(12,25),-0.376755 # DEPENDENCYPART_GRANDPAR
(1,12),(12,26),-0.263269 # DEPENDENCYPART_GRANDPAR
(1,12),(12,27),-0.332279 # DEPENDENCYPART_GRANDPAR
(1,12),(12,28),-0.19562 # DEPENDENCYPART_GRANDPAR
(1,12),(12,29),-0.91502 # DEPENDENCYPART_GRANDPAR
(1,28),(28,1),-0.422258 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,28),(28,2),0.0183019 # DEPENDENCYPART_GRANDPAR
(1,28),(28,4),-0.105358 # DEPENDENCYPART_GRANDPAR
(1,28),(28,5),-0.169061 # DEPENDENCYPART_GRANDPAR
(1,28),(28,6),-0.110679 # DEPENDENCYPART_GRANDPAR
(1,28),(28,8),-0.208416 # DEPENDENCYPART_GRANDPAR
(1,28),(28,9),-0.173646 # DEPENDENCYPART_GRANDPAR
(1,28),(28,11),-0.392772 # DEPENDENCYPART_GRANDPAR
(1,28),(28,12),-0.280575 # DEPENDENCYPART_GRANDPAR
(1,28),(28,13),-0.324378 # DEPENDENCYPART_GRANDPAR
(1,28),(28,14),-0.397248 # DEPENDENCYPART_GRANDPAR
(1,28),(28,15),-0.180771 # DEPENDENCYPART_GRANDPAR
(1,28),(28,16),-0.214766 # DEPENDENCYPART_GRANDPAR
(1,28),(28,17),-0.325243 # DEPENDENCYPART_GRANDPAR
(1,28),(28,18),-0.0799435 # DEPENDENCYPART_GRANDPAR
(1,28),(28,19),-0.358528 # DEPENDENCYPART_GRANDPAR
(1,28),(28,20),-0.42204 # DEPENDENCYPART_GRANDPAR
(1,28),(28,21),-0.329905 # DEPENDENCYPART_GRANDPAR
(1,28),(28,22),-0.288752 # DEPENDENCYPART_GRANDPAR
(1,28),(28,23),-0.396425 # DEPENDENCYPART_GRANDPAR
(1,28),(28,24),-0.273515 # DEPENDENCYPART_GRANDPAR
(1,28),(28,25),-0.397411 # DEPENDENCYPART_GRANDPAR
(1,28),(28,26),-0.255434 # DEPENDENCYPART_GRANDPAR
(1,28),(28,27),-0.352934 # DEPENDENCYPART_GRANDPAR
(1,28),(28,29),-0.889151 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-1.07398 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-1.01124 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.775035 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.694615 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.685972 # DEPENDENCYPART_GRANDPAR
(2,1),(1,12),-0.888149 # DEPENDENCYPART_GRANDPAR
(2,1),(1,18),-0.64241 # DEPENDENCYPART_GRANDPAR
(2,1),(1,28),-0.726628 # DEPENDENCYPART_GRANDPAR
(2,1),(1,29),-1.65551 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-1.04728 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.554515 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.068259 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-1.04601 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.593206 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,4),-0.645404 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.373418 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.509611 # DEPENDENCYPART_GRANDPAR
(2,5),(5,29),-1.37443 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-1.1675 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.512233 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),-0.0923454 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),-0.559188 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.31787 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.323515 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.324062 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.250624 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.209287 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.422914 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.378776 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.278259 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.658777 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),-0.255144 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.329293 # DEPENDENCYPART_GRANDPAR
(2,6),(6,17),-0.538383 # DEPENDENCYPART_GRANDPAR
(2,6),(6,18),-0.271856 # DEPENDENCYPART_GRANDPAR
(2,6),(6,19),-0.259883 # DEPENDENCYPART_GRANDPAR
(2,6),(6,22),-0.460707 # DEPENDENCYPART_GRANDPAR
(2,6),(6,25),-0.501966 # DEPENDENCYPART_GRANDPAR
(2,6),(6,27),-0.597568 # DEPENDENCYPART_GRANDPAR
(2,6),(6,28),-0.226047 # DEPENDENCYPART_GRANDPAR
(2,6),(6,29),-1.23732 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-1.04541 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.692549 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),-0.402002 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.599275 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.398543 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.57657 # DEPENDENCYPART_GRANDPAR
(2,7),(7,29),-1.3789 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-1.05331 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.690849 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,4),-0.64266 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),-0.486491 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.60254 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.418878 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.338345 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.587811 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.552972 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.820917 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),-0.39114 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),-0.465365 # DEPENDENCYPART_GRANDPAR
(2,9),(9,17),-0.701674 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.441109 # DEPENDENCYPART_GRANDPAR
(2,9),(9,19),-0.430018 # DEPENDENCYPART_GRANDPAR
(2,9),(9,21),-0.399304 # DEPENDENCYPART_GRANDPAR
(2,9),(9,24),-0.503928 # DEPENDENCYPART_GRANDPAR
(2,9),(9,25),-0.664106 # DEPENDENCYPART_GRANDPAR
(2,9),(9,26),-0.40003 # DEPENDENCYPART_GRANDPAR
(2,9),(9,27),-0.759708 # DEPENDENCYPART_GRANDPAR
(2,9),(9,28),-0.390159 # DEPENDENCYPART_GRANDPAR
(2,9),(9,29),-1.344 # DEPENDENCYPART_GRANDPAR
(2,11),(11,2),-0.554515 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,11),(11,9),-0.240169 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.195325 # DEPENDENCYPART_GRANDPAR
(2,12),(12,1),-1.16748 # DEPENDENCYPART_GRANDPAR
(2,12),(12,2),-0.50891 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,12),(12,3),-0.0905338 # DEPENDENCYPART_GRANDPAR
(2,12),(12,4),-0.552044 # DEPENDENCYPART_GRANDPAR
(2,12),(12,5),-0.320068 # DEPENDENCYPART_GRANDPAR
(2,12),(12,6),-0.526046 # DEPENDENCYPART_GRANDPAR
(2,12),(12,7),-0.334234 # DEPENDENCYPART_GRANDPAR
(2,12),(12,8),-0.362296 # DEPENDENCYPART_GRANDPAR
(2,12),(12,9),-0.251813 # DEPENDENCYPART_GRANDPAR
(2,12),(12,10),-0.219486 # DEPENDENCYPART_GRANDPAR
(2,12),(12,11),-0.429583 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),-0.269255 # DEPENDENCYPART_GRANDPAR
(2,12),(12,14),-0.652477 # DEPENDENCYPART_GRANDPAR
(2,12),(12,15),-0.237353 # DEPENDENCYPART_GRANDPAR
(2,12),(12,16),-0.311503 # DEPENDENCYPART_GRANDPAR
(2,12),(12,17),-0.532083 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),-0.258921 # DEPENDENCYPART_GRANDPAR
(2,12),(12,19),-0.250825 # DEPENDENCYPART_GRANDPAR
(2,12),(12,20),-0.342516 # DEPENDENCYPART_GRANDPAR
(2,12),(12,21),-0.243477 # DEPENDENCYPART_GRANDPAR
(2,12),(12,22),-0.454407 # DEPENDENCYPART_GRANDPAR
(2,12),(12,24),-0.350066 # DEPENDENCYPART_GRANDPAR
(2,12),(12,25),-0.495666 # DEPENDENCYPART_GRANDPAR
(2,12),(12,26),-0.244957 # DEPENDENCYPART_GRANDPAR
(2,12),(12,27),-0.591268 # DEPENDENCYPART_GRANDPAR
(2,12),(12,28),-0.209081 # DEPENDENCYPART_GRANDPAR
(2,12),(12,29),-1.23156 # DEPENDENCYPART_GRANDPAR
(2,15),(15,2),-0.602521 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,15),(15,4),-0.693277 # DEPENDENCYPART_GRANDPAR
(2,15),(15,5),-0.405831 # DEPENDENCYPART_GRANDPAR
(2,15),(15,6),-0.607793 # DEPENDENCYPART_GRANDPAR
(2,15),(15,10),-0.234085 # DEPENDENCYPART_GRANDPAR
(2,15),(15,11),-0.574045 # DEPENDENCYPART_GRANDPAR
(2,15),(15,12),-0.484424 # DEPENDENCYPART_GRANDPAR
(2,15),(15,13),-0.303058 # DEPENDENCYPART_GRANDPAR
(2,15),(15,14),-0.804383 # DEPENDENCYPART_GRANDPAR
(2,15),(15,28),-0.319081 # DEPENDENCYPART_GRANDPAR
(2,16),(16,10),-0.233687 # DEPENDENCYPART_GRANDPAR
(2,16),(16,11),-0.577635 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),-0.302659 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-0.807973 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-0.298966 # DEPENDENCYPART_GRANDPAR
(2,17),(17,2),-0.554515 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,17),(17,3),-0.0682641 # DEPENDENCYPART_GRANDPAR
(2,17),(17,6),-0.549855 # DEPENDENCYPART_GRANDPAR
(2,17),(17,8),-0.270739 # DEPENDENCYPART_GRANDPAR
(2,17),(17,9),-0.240133 # DEPENDENCYPART_GRANDPAR
(2,17),(17,10),-0.197216 # DEPENDENCYPART_GRANDPAR
(2,17),(17,11),-0.45873 # DEPENDENCYPART_GRANDPAR
(2,17),(17,12),-0.426469 # DEPENDENCYPART_GRANDPAR
(2,17),(17,13),-0.266188 # DEPENDENCYPART_GRANDPAR
(2,17),(17,14),-0.688233 # DEPENDENCYPART_GRANDPAR
(2,17),(17,15),-0.217551 # DEPENDENCYPART_GRANDPAR
(2,17),(17,16),-0.299732 # DEPENDENCYPART_GRANDPAR
(2,17),(17,18),-0.277529 # DEPENDENCYPART_GRANDPAR
(2,17),(17,22),-0.533199 # DEPENDENCYPART_GRANDPAR
(2,17),(17,25),-0.574457 # DEPENDENCYPART_GRANDPAR
(2,17),(17,27),-0.670059 # DEPENDENCYPART_GRANDPAR
(2,17),(17,28),-0.278478 # DEPENDENCYPART_GRANDPAR
(2,17),(17,29),-1.33008 # DEPENDENCYPART_GRANDPAR
(2,19),(19,1),-0.971478 # DEPENDENCYPART_GRANDPAR
(2,19),(19,6),-0.629125 # DEPENDENCYPART_GRANDPAR
(2,19),(19,8),-0.38324 # DEPENDENCYPART_GRANDPAR
(2,19),(19,9),-0.310667 # DEPENDENCYPART_GRANDPAR
(2,19),(19,11),-0.568869 # DEPENDENCYPART_GRANDPAR
(2,19),(19,12),-0.505756 # DEPENDENCYPART_GRANDPAR
(2,19),(19,15),-0.331693 # DEPENDENCYPART_GRANDPAR
(2,19),(19,16),-0.406506 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),-0.679818 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),-0.331034 # DEPENDENCYPART_GRANDPAR
(2,19),(19,21),-0.387271 # DEPENDENCYPART_GRANDPAR
(2,19),(19,22),-0.617547 # DEPENDENCYPART_GRANDPAR
(2,19),(19,24),-0.491894 # DEPENDENCYPART_GRANDPAR
(2,19),(19,25),-0.658805 # DEPENDENCYPART_GRANDPAR
(2,19),(19,26),-0.394824 # DEPENDENCYPART_GRANDPAR
(2,19),(19,27),-0.754408 # DEPENDENCYPART_GRANDPAR
(2,19),(19,28),-0.380043 # DEPENDENCYPART_GRANDPAR
(2,19),(19,29),-1.36741 # DEPENDENCYPART_GRANDPAR
(2,21),(21,17),-0.685926 # DEPENDENCYPART_GRANDPAR
(2,21),(21,19),-0.361622 # DEPENDENCYPART_GRANDPAR
(2,21),(21,20),-0.408447 # DEPENDENCYPART_GRANDPAR
(2,22),(22,10),-0.197211 # DEPENDENCYPART_GRANDPAR
(2,22),(22,13),-0.266183 # DEPENDENCYPART_GRANDPAR
(2,22),(22,14),-0.688153 # DEPENDENCYPART_GRANDPAR
(2,22),(22,15),-0.217427 # DEPENDENCYPART_GRANDPAR
(2,22),(22,16),-0.299607 # DEPENDENCYPART_GRANDPAR
(2,22),(22,17),-0.567905 # DEPENDENCYPART_GRANDPAR
(2,22),(22,18),-0.218533 # DEPENDENCYPART_GRANDPAR
(2,22),(22,19),-0.334859 # DEPENDENCYPART_GRANDPAR
(2,22),(22,20),-0.383962 # DEPENDENCYPART_GRANDPAR
(2,22),(22,21),-0.221543 # DEPENDENCYPART_GRANDPAR
(2,22),(22,23),-0.46933 # DEPENDENCYPART_GRANDPAR
(2,22),(22,24),-0.40076 # DEPENDENCYPART_GRANDPAR
(2,22),(22,25),-0.574453 # DEPENDENCYPART_GRANDPAR
(2,22),(22,27),-0.670055 # DEPENDENCYPART_GRANDPAR
(2,24),(24,20),-0.409241 # DEPENDENCYPART_GRANDPAR
(2,24),(24,22),-0.609904 # DEPENDENCYPART_GRANDPAR
(2,24),(24,23),-0.502847 # DEPENDENCYPART_GRANDPAR
(2,25),(25,13),-0.266183 # DEPENDENCYPART_GRANDPAR
