# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,4,4,8,7,7,12,12,10,12,12,21,21,16,16,20,21,21,21,21,0,21,
(16,7),(16,17),-0.00441623 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.00283849 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.00351944 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.00337853 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.00765816 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.102991 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.00212821 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.00840416 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.102991 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0118575 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.38659 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.00481249 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.000946053 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0168208 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0113949 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.00798823 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0141082 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.0454319 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.0349094 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.018106 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.185957 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.317123 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0483382 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.00441623 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.00283849 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.00351944 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.00337853 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.00765816 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.009559 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.00296603 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0657682 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.66254 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.00975411 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0230523 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0329973 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0101719 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0042139 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0402067 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.00479081 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0639213 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.664496 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0064338 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0233104 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0332349 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.01043 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.00444055 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0404094 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.185957 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.317123 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0483382 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.00441623 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.00283849 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.00351944 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.00337853 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.00765816 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.417117 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0138333 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0238652 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00833911 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.00148097 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0114718 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0309425 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.16384 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0378492 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00907785 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0217773 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.00331961 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.0086177 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0239836 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0339047 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0111122 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.00713556 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0410663 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.068915 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.00860103 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0195006 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0494348 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.116526 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.342981 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.425607 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0160144 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0268342 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.058216 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.00117106 # DEPENDENCYPART_SIBL
(19,5),(19,6),0.363354 # DEPENDENCYPART_SIBL
(19,5),(19,7),0.0131763 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.180449 # DEPENDENCYPART_SIBL
(19,5),(19,9),0.0131763 # DEPENDENCYPART_SIBL
(19,5),(19,10),0.0332064 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.0332132 # DEPENDENCYPART_SIBL
(19,5),(19,12),0.0131763 # DEPENDENCYPART_SIBL
(19,5),(19,13),0.0725946 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.0113326 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.0331564 # DEPENDENCYPART_SIBL
(19,5),(19,16),0.0131763 # DEPENDENCYPART_SIBL
(19,5),(19,17),0.00180314 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.363354 # DEPENDENCYPART_SIBL
(19,5),(19,20),0.0876707 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.0248562 # DEPENDENCYPART_SIBL
(19,5),(19,22),0.00300527 # DEPENDENCYPART_SIBL
(19,6),(19,7),-0.0069124 # DEPENDENCYPART_SIBL
(19,6),(19,8),0.103281 # DEPENDENCYPART_SIBL
(19,6),(19,9),-0.0069124 # DEPENDENCYPART_SIBL
(19,6),(19,10),-0.0181668 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.0221067 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.0069124 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.0409126 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0636405 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.0175145 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.0069124 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0659571 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.00717915 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.021292 # DEPENDENCYPART_SIBL
(19,6),(19,21),0.218826 # DEPENDENCYPART_SIBL
(19,6),(19,22),0.210933 # DEPENDENCYPART_SIBL
(19,7),(19,8),0.180449 # DEPENDENCYPART_SIBL
(19,7),(19,9),0.0131763 # DEPENDENCYPART_SIBL
(19,7),(19,10),0.0332064 # DEPENDENCYPART_SIBL
(19,7),(19,11),0.0332132 # DEPENDENCYPART_SIBL
(19,7),(19,12),0.0131763 # DEPENDENCYPART_SIBL
(19,7),(19,13),0.0725946 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.0113326 # DEPENDENCYPART_SIBL
(19,7),(19,15),0.0331564 # DEPENDENCYPART_SIBL
(19,7),(19,16),0.0131763 # DEPENDENCYPART_SIBL
(19,7),(19,17),0.00180314 # DEPENDENCYPART_SIBL
(19,7),(19,18),0.363354 # DEPENDENCYPART_SIBL
(19,7),(19,20),0.0876707 # DEPENDENCYPART_SIBL
(19,7),(19,21),0.0248562 # DEPENDENCYPART_SIBL
(19,7),(19,22),0.00300527 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.0183867 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.00371801 # DEPENDENCYPART_SIBL
(19,8),(19,11),-0.00371548 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.0183867 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0747799 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.0917933 # DEPENDENCYPART_SIBL
(19,8),(19,15),-0.0038774 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.0183867 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.050559 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.00374547 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.0323597 # DEPENDENCYPART_SIBL
(19,8),(19,21),0.019378 # DEPENDENCYPART_SIBL
(19,8),(19,22),0.0349495 # DEPENDENCYPART_SIBL
(19,9),(19,10),0.0332064 # DEPENDENCYPART_SIBL
(19,9),(19,11),0.0332132 # DEPENDENCYPART_SIBL
(19,9),(19,12),0.0131763 # DEPENDENCYPART_SIBL
(19,9),(19,13),0.0725946 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.0113326 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.0331564 # DEPENDENCYPART_SIBL
(19,9),(19,16),0.0131763 # DEPENDENCYPART_SIBL
(19,9),(19,17),0.00180314 # DEPENDENCYPART_SIBL
(19,9),(19,18),0.363354 # DEPENDENCYPART_SIBL
(19,9),(19,20),0.0876707 # DEPENDENCYPART_SIBL
(19,9),(19,21),0.0248562 # DEPENDENCYPART_SIBL
(19,9),(19,22),0.00300527 # DEPENDENCYPART_SIBL
(19,10),(19,11),-0.0236649 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.0239469 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.0281629 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.200694 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.0207821 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.0239469 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.00392677 # DEPENDENCYPART_SIBL
(19,10),(19,18),0.223901 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.019999 # DEPENDENCYPART_SIBL
(19,10),(19,21),0.0358259 # DEPENDENCYPART_SIBL
(19,10),(19,22),0.0153333 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.0239669 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.0281923 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.200777 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0215482 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.0239669 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.00392657 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.222119 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.019985 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0358549 # DEPENDENCYPART_SIBL
(19,11),(19,22),0.0147113 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.0725946 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0113326 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.0331564 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.0131763 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.00180314 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.363354 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0876707 # DEPENDENCYPART_SIBL
(19,12),(19,21),0.0248562 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.00300527 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.0220334 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.0544823 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.0757568 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.0339252 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.243142 # DEPENDENCYPART_SIBL
(19,13),(19,20),0.017454 # DEPENDENCYPART_SIBL
(19,13),(19,21),0.033626 # DEPENDENCYPART_SIBL
(19,13),(19,22),-0.00915911 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.01188 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.021081 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.00958821 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0798154 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0282218 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.000440667 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0906417 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0250716 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.00392603 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.223629 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0210564 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.035842 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.0153049 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.00180314 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.363354 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0876707 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0248562 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.00300527 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.251111 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0216682 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0658316 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0223832 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.021292 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.218826 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.210933 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.041518 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.00631886 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.126113 # DEPENDENCYPART_SIBL
(20,8),(20,10),0.00212821 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.00840416 # DEPENDENCYPART_SIBL
(20,8),(20,12),0.102991 # DEPENDENCYPART_SIBL
(20,8),(20,13),0.0118575 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.38659 # DEPENDENCYPART_SIBL
(20,8),(20,15),0.00481249 # DEPENDENCYPART_SIBL
(20,8),(20,16),0.102991 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.00626665 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.0394076 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.0293442 # DEPENDENCYPART_SIBL
(20,8),(20,22),0.0197197 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.009559 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.00296603 # DEPENDENCYPART_SIBL
(20,10),(20,13),0.0657682 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.66254 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.00975411 # DEPENDENCYPART_SIBL
(20,10),(20,16),-0.00296603 # DEPENDENCYPART_SIBL
(20,10),(20,17),0.0604927 # DEPENDENCYPART_SIBL
(20,10),(20,18),0.441606 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.408941 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.00431241 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.00479081 # DEPENDENCYPART_SIBL
(20,11),(20,13),0.0639213 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.664496 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.0064338 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.00479081 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.058705 # DEPENDENCYPART_SIBL
(20,11),(20,18),0.436252 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.407155 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.00581754 # DEPENDENCYPART_SIBL
(20,12),(20,13),0.185957 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.317123 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.0483382 # DEPENDENCYPART_SIBL
(20,12),(20,16),-0.018106 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.0451886 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.641687 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.54724 # DEPENDENCYPART_SIBL
(20,12),(20,22),0.041682 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.417117 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.0138333 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0320081 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.00753507 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.0554685 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.173613 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.109645 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.16384 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.0129962 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.115277 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.190771 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.187863 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0285178 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.000699941 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.0645389 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.445102 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.418049 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0052522 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.0451886 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.641687 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.54724 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.041682 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.412591 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.440695 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0106299 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.348087 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.0238545 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.134283 # DEPENDENCYPART_SIBL
(21,2),(21,5),-0.0698024 # DEPENDENCYPART_SIBL
(21,2),(21,6),0.065796 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.0698024 # DEPENDENCYPART_SIBL
(21,2),(21,8),0.0973162 # DEPENDENCYPART_SIBL
(21,2),(21,9),-0.0698024 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.0218211 # DEPENDENCYPART_SIBL
(21,2),(21,11),-0.0218196 # DEPENDENCYPART_SIBL
(21,2),(21,12),-0.0698024 # DEPENDENCYPART_SIBL
(21,2),(21,13),-0.00756604 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.0775349 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.0218775 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.0698024 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.0592558 # DEPENDENCYPART_SIBL
(21,2),(21,18),0.065796 # DEPENDENCYPART_SIBL
(21,2),(21,19),0.166339 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.0698024 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.0185082 # DEPENDENCYPART_SIBL
(21,5),(21,6),0.0956371 # DEPENDENCYPART_SIBL
(21,5),(21,7),-0.0309984 # DEPENDENCYPART_SIBL
(21,5),(21,8),0.129349 # DEPENDENCYPART_SIBL
(21,5),(21,9),-0.0309984 # DEPENDENCYPART_SIBL
(21,5),(21,10),-0.000621398 # DEPENDENCYPART_SIBL
(21,5),(21,11),-0.000620078 # DEPENDENCYPART_SIBL
(21,5),(21,12),-0.0309984 # DEPENDENCYPART_SIBL
(21,5),(21,13),0.00637963 # DEPENDENCYPART_SIBL
(21,5),(21,14),-0.0619144 # DEPENDENCYPART_SIBL
(21,5),(21,15),-0.000677976 # DEPENDENCYPART_SIBL
(21,5),(21,16),-0.0309984 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.0436365 # DEPENDENCYPART_SIBL
(21,5),(21,18),0.0956371 # DEPENDENCYPART_SIBL
(21,5),(21,19),0.191445 # DEPENDENCYPART_SIBL
(21,5),(21,20),-0.0309984 # DEPENDENCYPART_SIBL
(21,5),(21,22),0.00695274 # DEPENDENCYPART_SIBL
(21,6),(21,7),-0.00692861 # DEPENDENCYPART_SIBL
(21,6),(21,8),0.0442236 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.00692861 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.0096437 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.0135875 # DEPENDENCYPART_SIBL
(21,6),(21,12),-0.00692861 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.019283 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.10614 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.00899629 # DEPENDENCYPART_SIBL
(21,6),(21,16),-0.00692861 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.045833 # DEPENDENCYPART_SIBL
(21,6),(21,18),0.00513268 # DEPENDENCYPART_SIBL
(21,6),(21,19),0.186586 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.00692861 # DEPENDENCYPART_SIBL
(21,6),(21,22),0.0213227 # DEPENDENCYPART_SIBL
(21,7),(21,8),0.129349 # DEPENDENCYPART_SIBL
(21,7),(21,9),-0.0309984 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.000621398 # DEPENDENCYPART_SIBL
(21,7),(21,11),-0.000620078 # DEPENDENCYPART_SIBL
(21,7),(21,12),-0.0309984 # DEPENDENCYPART_SIBL
(21,7),(21,13),0.00637963 # DEPENDENCYPART_SIBL
(21,7),(21,14),-0.0619144 # DEPENDENCYPART_SIBL
(21,7),(21,15),-0.000677976 # DEPENDENCYPART_SIBL
(21,7),(21,16),-0.0309984 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.0436365 # DEPENDENCYPART_SIBL
(21,7),(21,18),0.0956371 # DEPENDENCYPART_SIBL
(21,7),(21,19),0.191445 # DEPENDENCYPART_SIBL
(21,7),(21,20),-0.0309984 # DEPENDENCYPART_SIBL
(21,7),(21,22),0.00695274 # DEPENDENCYPART_SIBL
(21,8),(21,9),0.0241498 # DEPENDENCYPART_SIBL
(21,8),(21,10),0.00763977 # DEPENDENCYPART_SIBL
(21,8),(21,11),0.00763973 # DEPENDENCYPART_SIBL
(21,8),(21,12),0.0241498 # DEPENDENCYPART_SIBL
(21,8),(21,13),-0.0501675 # DEPENDENCYPART_SIBL
(21,8),(21,14),-0.1201 # DEPENDENCYPART_SIBL
(21,8),(21,15),0.00747667 # DEPENDENCYPART_SIBL
(21,8),(21,16),0.0241498 # DEPENDENCYPART_SIBL
(21,8),(21,17),-0.0320942 # DEPENDENCYPART_SIBL
(21,8),(21,18),-0.0199348 # DEPENDENCYPART_SIBL
(21,8),(21,19),0.00732776 # DEPENDENCYPART_SIBL
(21,8),(21,20),0.0241498 # DEPENDENCYPART_SIBL
(21,8),(21,22),-0.00390509 # DEPENDENCYPART_SIBL
(21,9),(21,10),-0.000621398 # DEPENDENCYPART_SIBL
(21,9),(21,11),-0.000620078 # DEPENDENCYPART_SIBL
(21,9),(21,12),-0.0309984 # DEPENDENCYPART_SIBL
(21,9),(21,13),0.00637963 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.0619144 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.000677976 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.0309984 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.0436365 # DEPENDENCYPART_SIBL
(21,9),(21,18),0.0956371 # DEPENDENCYPART_SIBL
(21,9),(21,19),0.191445 # DEPENDENCYPART_SIBL
(21,9),(21,20),-0.0309984 # DEPENDENCYPART_SIBL
(21,9),(21,22),0.00695274 # DEPENDENCYPART_SIBL
(21,10),(21,11),-0.0237492 # DEPENDENCYPART_SIBL
(21,10),(21,12),-0.0150253 # DEPENDENCYPART_SIBL
(21,10),(21,13),-0.0216386 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.20149 # DEPENDENCYPART_SIBL
(21,10),(21,15),-0.0208675 # DEPENDENCYPART_SIBL
(21,10),(21,16),-0.0150253 # DEPENDENCYPART_SIBL
(21,10),(21,17),0.00966955 # DEPENDENCYPART_SIBL
(21,10),(21,18),0.0490865 # DEPENDENCYPART_SIBL
(21,10),(21,19),0.148323 # DEPENDENCYPART_SIBL
(21,10),(21,20),-0.0150253 # DEPENDENCYPART_SIBL
(21,10),(21,22),0.00511124 # DEPENDENCYPART_SIBL
(21,11),(21,12),-0.0150456 # DEPENDENCYPART_SIBL
(21,11),(21,13),-0.0216683 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.201574 # DEPENDENCYPART_SIBL
(21,11),(21,15),-0.0216339 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0150456 # DEPENDENCYPART_SIBL
(21,11),(21,17),0.00966951 # DEPENDENCYPART_SIBL
(21,11),(21,18),0.0473033 # DEPENDENCYPART_SIBL
(21,11),(21,19),0.148324 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.0150456 # DEPENDENCYPART_SIBL
(21,11),(21,22),0.00448787 # DEPENDENCYPART_SIBL
(21,12),(21,13),0.00637963 # DEPENDENCYPART_SIBL
(21,12),(21,14),-0.0619144 # DEPENDENCYPART_SIBL
(21,12),(21,15),-0.000677976 # DEPENDENCYPART_SIBL
(21,12),(21,16),-0.0309984 # DEPENDENCYPART_SIBL
(21,12),(21,17),-0.0436365 # DEPENDENCYPART_SIBL
(21,12),(21,18),0.0956371 # DEPENDENCYPART_SIBL
(21,12),(21,19),0.191445 # DEPENDENCYPART_SIBL
(21,12),(21,20),-0.0309984 # DEPENDENCYPART_SIBL
(21,12),(21,22),0.00695274 # DEPENDENCYPART_SIBL
(21,13),(21,14),-0.0716533 # DEPENDENCYPART_SIBL
(21,13),(21,15),0.0270864 # DEPENDENCYPART_SIBL
(21,13),(21,16),0.0489585 # DEPENDENCYPART_SIBL
(21,13),(21,17),-0.00169428 # DEPENDENCYPART_SIBL
(21,13),(21,18),0.0651017 # DEPENDENCYPART_SIBL
(21,13),(21,19),0.132946 # DEPENDENCYPART_SIBL
(21,13),(21,20),0.0489585 # DEPENDENCYPART_SIBL
(21,13),(21,22),-0.0483427 # DEPENDENCYPART_SIBL
(21,14),(21,15),-0.0135333 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.0174639 # DEPENDENCYPART_SIBL
(21,14),(21,17),0.0272907 # DEPENDENCYPART_SIBL
(21,14),(21,18),0.0102192 # DEPENDENCYPART_SIBL
