# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,10,0,12,10,12,15,19,18,18,19,10,19,10,
(11,15),(11,17),0.046935 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.00446101 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0283557 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.0187887 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0469364 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.00525067 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0281742 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.01832 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.0106043 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.0368621 # DEPENDENCYPART_SIBL
(11,17),(11,21),0.0982395 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0281545 # DEPENDENCYPART_SIBL
(11,18),(11,21),0.0182828 # DEPENDENCYPART_SIBL
(11,19),(11,21),0.0558439 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.0578118 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0333151 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.0267403 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0107635 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.165518 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.00770893 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.109316 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.165869 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0073117 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0558387 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0239162 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.00902897 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.014089 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0278015 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0141489 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0430704 # DEPENDENCYPART_SIBL
(12,2),(12,20),0.0166545 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.0605748 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.0179287 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0678803 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0222932 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.101558 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0245549 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0124973 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.126924 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0661029 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.053658 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.0021718 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.00559134 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.00720585 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0230168 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.0072369 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0271874 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.0116826 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0915077 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.024765 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.0117064 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.166802 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.00865188 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.106806 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.167153 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.00928697 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0396845 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0152656 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0096791 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.00461902 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0204246 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.00455914 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.0396296 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0223878 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.039758 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.0142749 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.108498 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.0108084 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.131643 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.138746 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0365576 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0388377 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0105267 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.017248 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0153797 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.00115326 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0153415 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.0308219 # DEPENDENCYPART_SIBL
(12,5),(12,20),0.050279 # DEPENDENCYPART_SIBL
(12,5),(12,21),-0.0450728 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.015773 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0471084 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0546322 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0528352 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0520619 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0250863 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0253114 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.00261444 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.00402035 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0178507 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.00405882 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0257199 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.000658597 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0307148 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0861 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0952842 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0570205 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0723947 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0229027 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0138579 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0206975 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.019083 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.00941186 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0190448 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0122443 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.00414841 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0201751 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0716887 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.055361 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0416716 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0160691 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0165351 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.00795802 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.00655211 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0119014 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.00651364 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0245545 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.00554831 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0173675 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.236995 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0536628 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0146747 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.00992738 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0195665 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0180781 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0175694 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0179894 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.00314966 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.0210839 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.00363578 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0672749 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0185246 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0055919 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0180265 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.016412 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0130238 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0163738 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.00409986 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.00300106 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.0697936 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.113189 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0311615 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.00702749 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0087689 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0569132 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.00880707 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0993295 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0204513 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.065627 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0543251 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0831583 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0826396 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0307559 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0826317 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.183108 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0760976 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.0360064 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0148961 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0154149 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0170664 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0154186 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0329172 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0228476 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.0129969 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00689011 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0104036 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.00691162 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0225065 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.00643166 # DEPENDENCYPART_SIBL
(12,15),(12,21),0.00524512 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.010106 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.00503921 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0225746 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.00477218 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.00459821 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.00713997 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.0181144 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0205368 # DEPENDENCYPART_SIBL
(12,17),(12,21),7.14791e-05 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.0225834 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.00477599 # DEPENDENCYPART_SIBL
(12,18),(12,21),0.00456934 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.00974092 # DEPENDENCYPART_SIBL
(12,19),(12,21),0.00776793 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.015948 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.246031 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.147384 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.151431 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.282618 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0205572 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.0172304 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0205314 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.116927 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.154397 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.117941 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.0189315 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0170343 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0189277 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.163684 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0754253 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.046416 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0111409 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0464122 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.263589 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0590952 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0228181 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0590913 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0206321 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.00390225 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0205981 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0293393 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.000588397 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0268466 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.00916186 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.662014 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0129956 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.0921826 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.206986 # DEPENDENCYPART_SIBL
(15,1),(15,7),0.152921 # DEPENDENCYPART_SIBL
(15,1),(15,8),0.206982 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.19077 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.164577 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0276343 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.206985 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.19077 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.155842 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.00332053 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0176293 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0033219 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.31914 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0254753 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.274901 # DEPENDENCYPART_SIBL
(15,2),(15,6),0.150275 # DEPENDENCYPART_SIBL
(15,2),(15,7),0.491427 # DEPENDENCYPART_SIBL
(15,2),(15,8),0.150964 # DEPENDENCYPART_SIBL
(15,2),(15,9),0.637245 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.486131 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.183899 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.150717 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.637245 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.0473399 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.00281016 # DEPENDENCYPART_SIBL
(15,2),(15,17),0.0563534 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.00283639 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.0129956 # DEPENDENCYPART_SIBL
(15,3),(15,5),0.0921826 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.206986 # DEPENDENCYPART_SIBL
(15,3),(15,7),0.152921 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.206982 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.19077 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.164577 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0276343 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.206985 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.19077 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.155842 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.00332053 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0176293 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0033219 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.277185 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.152485 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.494778 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.153174 # DEPENDENCYPART_SIBL
(15,4),(15,9),0.641683 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.489482 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.186183 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.152927 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.641683 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0462215 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.00337705 # DEPENDENCYPART_SIBL
(15,4),(15,17),0.0566558 # DEPENDENCYPART_SIBL
(15,4),(15,18),0.00335082 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.0546041 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.124778 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.0557972 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.0716167 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.135213 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.094234 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.0554403 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0716167 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0464377 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.0134028 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.0500549 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0133986 # DEPENDENCYPART_SIBL
(15,6),(15,7),0.175951 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.0335041 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.305844 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.188449 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0400985 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.0335077 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.305844 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.064809 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.00856335 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0284078 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.00856768 # DEPENDENCYPART_SIBL
(15,7),(15,8),0.141226 # DEPENDENCYPART_SIBL
(15,7),(15,9),0.0850398 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.0692176 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0574745 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.141197 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0850398 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0253497 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.00366183 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.0276032 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.003666 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.313719 # DEPENDENCYPART_SIBL
(15,8),(15,10),0.186 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0430163 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.0344323 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.313719 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0645601 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.00605769 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0283997 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.00606202 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.307851 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0642667 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.13793 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0456322 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0253301 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.00844529 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0254796 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.00847963 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0499368 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.148785 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.0920333 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0112174 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.00566855 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0276387 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.00567273 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0698343 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0604514 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0110836 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.012494 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0278558 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0124899 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.321232 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0644463 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.00679574 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0283112 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.00680006 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0253301 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.00844529 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0254796 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.00847963 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.00411453 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00671776 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.00411966 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0309005 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.00469924 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0253695 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.0276372 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.190771 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.155843 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0129962 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0176288 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.00332098 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0604519 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0110833 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0279679 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0278562 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0124908 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0253304 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0569251 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0254798 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00847896 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.00307408 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.00671796 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00411892 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0566566 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0033037 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0253695 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.0680454 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.11637 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.11637 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0718342 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.0718555 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0697017 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.152922 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.190771 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.164578 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.0276371 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.190771 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.155842 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.012996 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.012996 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.000914263 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.0850401 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.0692176 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.0574765 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.0850401 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0253495 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0096143 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.00961429 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0156122 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.307851 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.064269 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.0456326 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.0253304 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0569251 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.0569251 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.0499533 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.0499389 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.0920336 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.0112172 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.00358864 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.00358865 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.0199559 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0604519 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0110833 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0279679 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0279679 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.138007 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0253304 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.0569251 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0569251 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0499533 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.00307411 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.00307409 # DEPENDENCYPART_SIBL
