# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(15,4),(15,21),-0.0106718 # DEPENDENCYPART_SIBL
(15,4),(15,22),-0.0156883 # DEPENDENCYPART_SIBL
(15,4),(15,23),0.0337388 # DEPENDENCYPART_SIBL
(15,4),(15,24),-0.0106718 # DEPENDENCYPART_SIBL
(15,4),(15,25),0.00695274 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.0799699 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.0471307 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0192114 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0241477 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0192114 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0703436 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0780867 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.0289748 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.048369 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0234794 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.102184 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.0572341 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0383436 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.0281943 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0280789 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.0450235 # DEPENDENCYPART_SIBL
(15,5),(15,23),0.0159642 # DEPENDENCYPART_SIBL
(15,5),(15,24),-0.0280789 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.110279 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0484559 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.00950272 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.00457605 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.00950272 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0619685 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0295462 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.00122019 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.066964 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.0459933 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0133232 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.064761 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.00439327 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.00601146 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.00967891 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.0146485 # DEPENDENCYPART_SIBL
(15,6),(15,23),0.112518 # DEPENDENCYPART_SIBL
(15,6),(15,24),0.00967891 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.00139484 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0171196 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0220465 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0171196 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0463825 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0367256 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0259568 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.078093 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.00863702 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.012616 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0426234 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.0108514 # DEPENDENCYPART_SIBL
(15,7),(15,20),0.0248287 # DEPENDENCYPART_SIBL
(15,7),(15,21),0.00817251 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.00162154 # DEPENDENCYPART_SIBL
(15,7),(15,23),0.0334031 # DEPENDENCYPART_SIBL
(15,7),(15,24),0.00817251 # DEPENDENCYPART_SIBL
(15,7),(15,25),0.00304876 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0387571 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0309984 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0956371 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0133387 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0530002 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0524318 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0124007 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.00637658 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0517691 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0184223 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0103391 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.0106718 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0156883 # DEPENDENCYPART_SIBL
(15,8),(15,23),0.0337388 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.0106718 # DEPENDENCYPART_SIBL
(15,8),(15,25),0.00695274 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0448068 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0854358 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0193488 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0668087 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0464308 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.019969 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0204677 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0587114 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0253126 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0172294 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.0232645 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0237335 # DEPENDENCYPART_SIBL
(15,9),(15,23),0.0261705 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0232645 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.00615467 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0956371 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0133387 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0530002 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0524318 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0124007 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.00637658 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0517691 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0184223 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0103391 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.0106718 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0156883 # DEPENDENCYPART_SIBL
(15,10),(15,23),0.0337388 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0106718 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.00695274 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.033335 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0239134 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0320238 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0212006 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.00490476 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.00664225 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0157965 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.00818052 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0180136 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.00508159 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0221422 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0180136 # DEPENDENCYPART_SIBL
(15,11),(15,25),0.0213227 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.00413518 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0654135 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0328989 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0251269 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.07411 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0118749 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.00147017 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.000302534 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.0265153 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.099424 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.000302534 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0165664 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0451429 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.00415028 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.00586113 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0404018 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.00270924 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.00537396 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.00795805 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.00814829 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.0502897 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.00795805 # DEPENDENCYPART_SIBL
(15,13),(15,25),0.011902 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0157368 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0835323 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0734918 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.038351 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.026006 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0113822 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0826415 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.057537 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.0113822 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.014681 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0126025 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0535857 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0165016 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0214262 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0329896 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0249924 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.00820982 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.0329896 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0115944 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.264518 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0544607 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.0196184 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.07652 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.194562 # DEPENDENCYPART_SIBL
(15,17),(15,23),0.0944194 # DEPENDENCYPART_SIBL
(15,17),(15,24),0.07652 # DEPENDENCYPART_SIBL
(15,17),(15,25),0.0489202 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0491506 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0338072 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0335607 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.00389114 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.00112171 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.0335607 # DEPENDENCYPART_SIBL
(15,18),(15,25),0.0104397 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.00579536 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.00167592 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.037339 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.0180677 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.00167592 # DEPENDENCYPART_SIBL
(15,19),(15,25),0.00676883 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0190468 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0339792 # DEPENDENCYPART_SIBL
(15,20),(15,23),0.0296019 # DEPENDENCYPART_SIBL
(15,20),(15,24),0.0190468 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.00247736 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0189344 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.00156362 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0191053 # DEPENDENCYPART_SIBL
(15,21),(15,25),-1.62179e-05 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.000415531 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.00448328 # DEPENDENCYPART_SIBL
(15,22),(15,25),0.0178063 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.0874627 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0144635 # DEPENDENCYPART_SIBL
(15,24),(15,25),-1.62179e-05 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.071176 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.072649 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.251811 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0643053 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0741193 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0961663 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.00634832 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0109018 # DEPENDENCYPART_SIBL
(16,8),(16,24),0.0967348 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.0697485 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.249475 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0614048 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0739021 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0957135 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.00231109 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0113617 # DEPENDENCYPART_SIBL
(16,9),(16,24),0.0927598 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.251811 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0643053 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0741193 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0961663 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.00634832 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0109018 # DEPENDENCYPART_SIBL
(16,10),(16,24),0.0967348 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0229931 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.028564 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.179432 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0632353 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0178131 # DEPENDENCYPART_SIBL
(16,11),(16,24),0.0499608 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0735458 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0961264 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00805065 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00963309 # DEPENDENCYPART_SIBL
(16,13),(16,24),0.0936401 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.087791 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0156788 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00374625 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.130229 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0222656 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0181362 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.0920296 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.125555 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.00728509 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.0183827 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.0200476 # DEPENDENCYPART_SIBL
(18,2),(18,4),-0.0350283 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.0200476 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.000818598 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.0350283 # DEPENDENCYPART_SIBL
(18,2),(18,9),-0.0364973 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.0350283 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.26063 # DEPENDENCYPART_SIBL
(18,2),(18,12),-0.0173934 # DEPENDENCYPART_SIBL
(18,2),(18,13),-0.0433977 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.00364074 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0556785 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.26063 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0150378 # DEPENDENCYPART_SIBL
(18,2),(18,21),0.0967485 # DEPENDENCYPART_SIBL
(18,2),(18,22),0.0166429 # DEPENDENCYPART_SIBL
(18,2),(18,24),0.0967485 # DEPENDENCYPART_SIBL
(18,2),(18,25),0.0180254 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.00050244 # DEPENDENCYPART_SIBL
(18,3),(18,6),0.0552883 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.0101146 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.00050244 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.00050244 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.00050244 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.312724 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.0561351 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.00141503 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.0644972 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.0648852 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.312724 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.00074269 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0299933 # DEPENDENCYPART_SIBL
(18,3),(18,22),0.052156 # DEPENDENCYPART_SIBL
(18,3),(18,24),0.0299933 # DEPENDENCYPART_SIBL
(18,3),(18,25),0.0312402 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.0200476 # DEPENDENCYPART_SIBL
(18,4),(18,7),0.000134487 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.0380489 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.0395179 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.0380489 # DEPENDENCYPART_SIBL
(18,4),(18,11),0.260648 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0173934 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0464183 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.0036407 # DEPENDENCYPART_SIBL
(18,4),(18,15),0.0556786 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.260648 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.0150378 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.0962876 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.0154861 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.0962876 # DEPENDENCYPART_SIBL
(18,4),(18,25),0.0185967 # DEPENDENCYPART_SIBL
(18,6),(18,7),0.0101146 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.00050244 # DEPENDENCYPART_SIBL
(18,6),(18,9),0.00050244 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.00050244 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.312724 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.0561351 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.00141503 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.0644972 # DEPENDENCYPART_SIBL
(18,6),(18,15),0.0648852 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.312724 # DEPENDENCYPART_SIBL
(18,6),(18,19),0.00074269 # DEPENDENCYPART_SIBL
(18,6),(18,21),0.0299933 # DEPENDENCYPART_SIBL
(18,6),(18,22),0.052156 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.0299933 # DEPENDENCYPART_SIBL
(18,6),(18,25),0.0312402 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.038252 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.0382523 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.038252 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.199396 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.0313613 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.0382844 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.00312579 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.0478643 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.199396 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.00114508 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.0138354 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.0325189 # DEPENDENCYPART_SIBL
(18,7),(18,24),-0.0138354 # DEPENDENCYPART_SIBL
(18,7),(18,25),0.0513927 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0395179 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.0380489 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.260648 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0173934 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.0464183 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0036407 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0556786 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.260648 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0150378 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0962876 # DEPENDENCYPART_SIBL
(18,8),(18,22),0.0154861 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.0962876 # DEPENDENCYPART_SIBL
(18,8),(18,25),0.0185967 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.0407344 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.258525 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0174023 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.0491038 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.00364283 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0554409 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.258525 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.0150378 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0931801 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.0149077 # DEPENDENCYPART_SIBL
(18,9),(18,24),0.0931801 # DEPENDENCYPART_SIBL
(18,9),(18,25),0.0154878 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.260648 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0173934 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.0464183 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.0036407 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.0556786 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.260648 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.0150378 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0962876 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.0154861 # DEPENDENCYPART_SIBL
(18,10),(18,24),0.0962876 # DEPENDENCYPART_SIBL
(18,10),(18,25),0.0185967 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.00863857 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.0293056 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0302233 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0738615 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0295501 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0176343 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.00167119 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.203045 # DEPENDENCYPART_SIBL
(18,11),(18,24),0.00167119 # DEPENDENCYPART_SIBL
(18,11),(18,25),0.295501 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.00251014 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.0638245 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0647559 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.312407 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.00185586 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0264398 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.044781 # DEPENDENCYPART_SIBL
(18,12),(18,24),0.0264398 # DEPENDENCYPART_SIBL
(18,12),(18,25),0.0202736 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0042532 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.0555672 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.255785 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0116265 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0931431 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.0147849 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.0931431 # DEPENDENCYPART_SIBL
(18,13),(18,25),0.0166184 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0409239 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.116161 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0367186 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0104048 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.028538 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.0104048 # DEPENDENCYPART_SIBL
(18,14),(18,25),-0.0130091 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.338088 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.00871559 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0510387 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.125561 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0510387 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.164136 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0176343 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.00167119 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.203045 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.00167119 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.295501 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.00624838 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0545191 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.00624838 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.0219877 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0430041 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0145053 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.00465341 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.115776 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.187599 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.00465341 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.0453749 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0301105 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.155514 # DEPENDENCYPART_SIBL
