# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,16,16,16,0,16,
(12,3),(12,13),0.0190932 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.00986912 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0779112 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.0190936 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0114638 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.443768 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.0173054 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.00987763 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.108193 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.443768 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.411445 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0122974 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.040383 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.129325 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0570984 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0403767 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.00485879 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.0231526 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0557823 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.140123 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0456303 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.367279 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0342322 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0291303 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0483807 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0507504 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0278876 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.0238545 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.00422631 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.11355 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.440915 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.416799 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.00693996 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0400815 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.129942 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.056482 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0400751 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.00425206 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.153198 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.641685 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.491983 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0386537 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.00757433 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0131405 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.042831 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.00765797 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.041682 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.313878 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.222304 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.02 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0337736 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0368651 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0337668 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0352969 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.121936 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.367279 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0342322 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0291303 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0483807 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0507504 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0278876 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0238545 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0133385 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0146083 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0298694 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.000121152 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0149695 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.09555 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0211287 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0279368 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0623513 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0211291 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0146691 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.133913 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.181357 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0507739 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.209647 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0280619 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.135197 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0261875 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.164151 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.069421 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.211166 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.037152 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.12792 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.00197619 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0443955 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.00187597 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0346924 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.017316 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0443955 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0513382 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0858751 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.038389 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.125983 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0267124 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0162709 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0244548 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.110243 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.00119893 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0264114 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0010987 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.000791802 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0230167 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0264114 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.0370506 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0634897 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.00113808 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.00791803 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0318761 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0340566 # DEPENDENCYPART_SIBL
(13,2),(13,17),2.39151e-05 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0141624 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0496666 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0116716 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.135728 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.0579848 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0496666 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0182118 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.224987 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.136815 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0734008 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.126655 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.110428 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0637971 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0443991 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0300519 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0190678 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.00439988 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0443991 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.114477 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0809863 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0198377 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0156882 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0526062 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.00382814 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.00175237 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0141817 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0176826 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.00948137 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.00725989 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.155685 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.068297 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0233307 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0495488 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0588749 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0104883 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0165359 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0178467 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.00378294 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0418394 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.115091 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0803697 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0186166 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0185529 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0497415 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.00159301 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.00459792 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0119368 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0835232 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0746498 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0983347 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0310641 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0194339 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.024298 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.00709299 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.0157486 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0700031 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0236743 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0828085 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0317516 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0219401 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.00639119 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0146147 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.0133743 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.155685 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.068297 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0233307 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0495488 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0588749 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0104883 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0165359 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0960266 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0672701 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0239641 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0214692 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.00636269 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0474889 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0726936 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0193513 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0780128 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0948109 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0474873 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0462987 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0141396 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0144081 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0312773 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0489181 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.000592619 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0145859 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0153644 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.00720987 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0174264 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0315738 # DEPENDENCYPART_SIBL
(16,1),(16,4),0.000616885 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.0346737 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.000717115 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0279 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0208807 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.0346737 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.0546407 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0832827 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0291202 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.0205993 # DEPENDENCYPART_SIBL
(16,1),(16,14),0.10802 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.488947 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.0279952 # DEPENDENCYPART_SIBL
(16,2),(16,4),0.000479657 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.0362211 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.000579887 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.00540434 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.02029 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.0362211 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0394402 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0618118 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.00739914 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0204837 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.003515 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.0135546 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.00345952 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.0513718 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0300512 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0162369 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.00362144 # DEPENDENCYPART_SIBL
(16,4),(16,9),0.0513718 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.115055 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.080986 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.015506 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.003686 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.0171607 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.104771 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.00313384 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.00899597 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.00692861 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.0158325 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.00513268 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.161712 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0631122 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0101002 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0155511 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0459047 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.00468932 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0221906 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.0150158 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0030045 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.048812 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.11567 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0803694 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.014285 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.00306906 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0161883 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.103799 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.00597939 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.00898354 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.0956371 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0775103 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.0962914 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.0258293 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0090481 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.00571623 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0359373 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.00742711 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.0793449 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.0252791 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0818032 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0260116 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0327239 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0486467 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.300427 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0166242 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.161712 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0631122 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0101002 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0155511 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0459047 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.00468932 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0221906 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0955506 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0620145 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.109423 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0168811 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0332018 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0494416 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0673665 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0437738 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.00381081 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.011651 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0459124 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0103231 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.00299419 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0327237 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0172377 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0481674 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.299948 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0162336 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.488947 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0279952 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.109929 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.958455 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.221423 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.250532 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.0585445 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),0.0390293 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.569495 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),0.357573 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.384937 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),-0.399264 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.0058189 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),0.43286 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),0.623191 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),0.294718 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),1.79915 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),1.04783 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.499656 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),1.02394 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.406692 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.0940474 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.206755 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.0789804 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.0450743 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),0.569196 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),0.313797 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.315883 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),-0.00611699 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),0.392848 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),0.567824 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),0.29442 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),1.75419 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),1.01357 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),0.189211 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),-0.357539 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),0.149505 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),0.0485595 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.131254 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.112768 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.314891 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),0.368558 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),-0.342498 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),-0.345623 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),-0.00802473 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),0.380729 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),0.440124 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),0.291774 # DEPENDENCYPART_GRANDPAR
(0,8),(8,17),2.14337 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),1.14718 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.395931 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),0.3187 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),0.62034 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),0.0376037 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.0640378 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),0.812391 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.727382 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.18594 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.414865 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.285345 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),0.452953 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),0.571059 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.587398 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),2.23441 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.989259 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.417383 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),-0.0679694 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),0.191394 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),0.197326 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),0.57763 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.304368 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),0.477255 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.484134 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.223104 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),0.245107 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),0.4204 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),0.0774329 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),1.70499 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),1.01302 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.189824 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),-0.358203 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),0.149228 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),0.0477341 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.13153 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.111129 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),0.335873 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),0.154776 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),0.338269 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.631149 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.549466 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),0.380973 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),0.440368 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),0.290717 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),2.14295 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),1.01444 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),0.190078 # DEPENDENCYPART_GRANDPAR
(0,16),(16,4),0.150372 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),0.0494266 # DEPENDENCYPART_GRANDPAR
(0,16),(16,6),-0.130387 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.1106 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),0.337542 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),0.156468 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),0.339501 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),-0.629618 # DEPENDENCYPART_GRANDPAR
