# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,13,11,11,11,10,11,13,13,0,16,16,19,18,19,13,19,13,
(13,10),(13,11),0.0291006 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.375892 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0477941 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0254399 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0259515 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.233831 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.000171722 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.00815188 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.373712 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.028711 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.00376386 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.00397918 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0616516 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.167526 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.097813 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0876369 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0701444 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0701818 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0218518 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.195911 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.198796 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0443791 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.044377 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0307177 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0720463 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0413139 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0375091 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0125097 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0460965 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.054619 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0124781 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.045864 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.0562241 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0601764 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.0584892 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.172441 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.113913 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.113914 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0279944 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.000299522 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.0310235 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0310297 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.160685 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.117294 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.00566603 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0307061 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.101609 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.017895 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0281583 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0572073 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0729219 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.00651228 # DEPENDENCYPART_SIBL
(16,5),(16,7),0.0839337 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.226236 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.160775 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0376668 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0987147 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0306855 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.0152797 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0184456 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.171448 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0751489 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.182726 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0845504 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0776616 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0538398 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0198492 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.244514 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.166158 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0792979 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0100746 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0481737 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0417385 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.162839 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.131379 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0233194 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0206321 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0220022 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.115694 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0318085 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0181571 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0289196 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0336146 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0225869 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0061547 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0339027 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.016033 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0437356 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0158947 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.333385 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.315416 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.334885 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0400738 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0374753 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0135564 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.231586 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.408123 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0216794 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.0253304 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0376029 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.38659 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.00481106 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.00289837 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0425993 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.120195 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.155843 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.00500727 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.00624336 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.00607817 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.00614646 # DEPENDENCYPART_SIBL
(19,1),(19,3),-0.0365795 # DEPENDENCYPART_SIBL
(19,1),(19,4),0.0880047 # DEPENDENCYPART_SIBL
(19,1),(19,5),0.0411239 # DEPENDENCYPART_SIBL
(19,1),(19,6),-0.0404516 # DEPENDENCYPART_SIBL
(19,1),(19,7),0.0348556 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.0199743 # DEPENDENCYPART_SIBL
(19,1),(19,10),-0.0365795 # DEPENDENCYPART_SIBL
(19,1),(19,11),-0.0119564 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.0880047 # DEPENDENCYPART_SIBL
(19,1),(19,13),0.123656 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.0676078 # DEPENDENCYPART_SIBL
(19,1),(19,15),-0.00868392 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.00633402 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.113708 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.0365795 # DEPENDENCYPART_SIBL
(19,1),(19,20),-0.0266745 # DEPENDENCYPART_SIBL
(19,1),(19,21),0.0336432 # DEPENDENCYPART_SIBL
(19,3),(19,4),0.0971369 # DEPENDENCYPART_SIBL
(19,3),(19,5),0.0483172 # DEPENDENCYPART_SIBL
(19,3),(19,6),-0.0333706 # DEPENDENCYPART_SIBL
(19,3),(19,7),0.0474422 # DEPENDENCYPART_SIBL
(19,3),(19,8),0.0325608 # DEPENDENCYPART_SIBL
(19,3),(19,10),-0.0294986 # DEPENDENCYPART_SIBL
(19,3),(19,11),-0.00476215 # DEPENDENCYPART_SIBL
(19,3),(19,12),0.0971369 # DEPENDENCYPART_SIBL
(19,3),(19,13),0.130849 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.0604146 # DEPENDENCYPART_SIBL
(19,3),(19,15),-0.00145816 # DEPENDENCYPART_SIBL
(19,3),(19,16),0.000891735 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.106514 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.0294986 # DEPENDENCYPART_SIBL
(19,3),(19,20),-0.0266245 # DEPENDENCYPART_SIBL
(19,3),(19,21),0.0305623 # DEPENDENCYPART_SIBL
(19,4),(19,5),0.0307099 # DEPENDENCYPART_SIBL
(19,4),(19,6),0.0017347 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.00476344 # DEPENDENCYPART_SIBL
(19,4),(19,8),0.00927646 # DEPENDENCYPART_SIBL
(19,4),(19,10),-0.00692861 # DEPENDENCYPART_SIBL
(19,4),(19,11),0.0569817 # DEPENDENCYPART_SIBL
(19,4),(19,12),0.00513268 # DEPENDENCYPART_SIBL
(19,4),(19,13),0.0442236 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.10614 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.0123258 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.00899597 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.0827607 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.00692861 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.024855 # DEPENDENCYPART_SIBL
(19,4),(19,21),0.0305506 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.126537 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.0691472 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.052954 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.128377 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.107399 # DEPENDENCYPART_SIBL
(19,5),(19,12),0.227069 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.0847105 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.108919 # DEPENDENCYPART_SIBL
(19,5),(19,15),-0.0685738 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.066874 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.052977 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.128377 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0499531 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.0257583 # DEPENDENCYPART_SIBL
(19,6),(19,7),0.0403241 # DEPENDENCYPART_SIBL
(19,6),(19,8),0.0254428 # DEPENDENCYPART_SIBL
(19,6),(19,10),-0.0462424 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.0156303 # DEPENDENCYPART_SIBL
(19,6),(19,12),0.0785371 # DEPENDENCYPART_SIBL
(19,6),(19,13),0.11614 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0709086 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.019161 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.0168111 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.114654 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.0462424 # DEPENDENCYPART_SIBL
(19,6),(19,20),-0.0271413 # DEPENDENCYPART_SIBL
(19,6),(19,21),0.0452137 # DEPENDENCYPART_SIBL
(19,7),(19,8),0.0432791 # DEPENDENCYPART_SIBL
(19,7),(19,10),0.0530459 # DEPENDENCYPART_SIBL
(19,7),(19,11),0.00134839 # DEPENDENCYPART_SIBL
(19,7),(19,12),0.0187814 # DEPENDENCYPART_SIBL
(19,7),(19,13),0.0179671 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.0978782 # DEPENDENCYPART_SIBL
(19,7),(19,15),0.0152965 # DEPENDENCYPART_SIBL
(19,7),(19,16),0.018066 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.0557907 # DEPENDENCYPART_SIBL
(19,7),(19,18),0.0530459 # DEPENDENCYPART_SIBL
(19,7),(19,20),0.010597 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.0281729 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.00942289 # DEPENDENCYPART_SIBL
(19,8),(19,11),-0.0238816 # DEPENDENCYPART_SIBL
(19,8),(19,12),0.0218297 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.000265647 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.106432 # DEPENDENCYPART_SIBL
(19,8),(19,15),-0.0173261 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.0145566 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.078915 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.00942289 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.0192686 # DEPENDENCYPART_SIBL
(19,8),(19,21),-0.0187796 # DEPENDENCYPART_SIBL
(19,10),(19,11),-0.00476215 # DEPENDENCYPART_SIBL
(19,10),(19,12),0.0971369 # DEPENDENCYPART_SIBL
(19,10),(19,13),0.130849 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.0604146 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.00145816 # DEPENDENCYPART_SIBL
(19,10),(19,16),0.000891735 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.106514 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.0294986 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.0266245 # DEPENDENCYPART_SIBL
(19,10),(19,21),0.0305623 # DEPENDENCYPART_SIBL
(19,11),(19,12),0.0722814 # DEPENDENCYPART_SIBL
(19,11),(19,13),0.00467679 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.0628997 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.00158372 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.00436768 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0812015 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0239487 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0068763 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0223628 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.0442236 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.10614 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.0123258 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.00899597 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.0827607 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.00692861 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.024855 # DEPENDENCYPART_SIBL
(19,12),(19,21),0.0305506 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.1201 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.00702075 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.00763977 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.150917 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.0241498 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0392292 # DEPENDENCYPART_SIBL
(19,13),(19,21),0.00532288 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.0360933 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0164009 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.119582 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0174639 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0317973 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.0541841 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.000556678 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0696792 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.00488268 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0657603 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.075237 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0909751 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0150119 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.00833858 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0143395 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0902806 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0763721 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0513657 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0266245 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0305623 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.000360269 # DEPENDENCYPART_SIBL
(20,5),(20,11),0.171533 # DEPENDENCYPART_SIBL
(20,5),(20,19),0.158162 # DEPENDENCYPART_SIBL
(20,5),(20,21),0.0828855 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.0681469 # DEPENDENCYPART_SIBL
(20,11),(20,21),0.049152 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0604825 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.470127 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.68947 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.285313 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.185987 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.312217 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),0.593773 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),0.566148 # DEPENDENCYPART_GRANDPAR
(0,1),(1,19),0.447593 # DEPENDENCYPART_GRANDPAR
(0,1),(1,21),2.17912 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.604331 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.154428 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.294602 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.193834 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.317158 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.595746 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),0.449566 # DEPENDENCYPART_GRANDPAR
(0,3),(3,21),2.18807 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.924643 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.509067 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.819233 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.587476 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.025843 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.25531 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.0123928 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),0.567031 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.181434 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.535794 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.0429598 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),0.118188 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),0.392781 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),-0.352477 # DEPENDENCYPART_GRANDPAR
(0,5),(5,21),2.35689 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.656841 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.551428 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),0.177065 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),0.332543 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),0.0681917 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),-0.0173802 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),0.224075 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),0.314907 # DEPENDENCYPART_GRANDPAR
(0,7),(7,19),0.178341 # DEPENDENCYPART_GRANDPAR
(0,7),(7,21),1.91986 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.486452 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.183706 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.378705 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),-0.0282355 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),-0.0219768 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.0986167 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.0276778 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.0279479 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-0.471299 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.134252 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),0.260027 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),0.284143 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.728405 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.176339 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),-0.0221176 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),-0.298067 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),-0.327854 # DEPENDENCYPART_GRANDPAR
(0,11),(11,19),0.257235 # DEPENDENCYPART_GRANDPAR
(0,11),(11,20),-0.39347 # DEPENDENCYPART_GRANDPAR
(0,11),(11,21),2.45692 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.602036 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.310739 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),0.49663 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),0.532271 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),0.288735 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),0.0202149 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),0.0972104 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),0.0764064 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),-0.016328 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),0.474089 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),0.549058 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.72311 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.00996105 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),0.15121 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.548574 # DEPENDENCYPART_GRANDPAR
(0,13),(13,19),0.606526 # DEPENDENCYPART_GRANDPAR
(0,13),(13,21),2.28945 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),0.23463 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),0.277392 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),0.377476 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),0.157753 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),0.351897 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.964709 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.289946 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),-0.465666 # DEPENDENCYPART_GRANDPAR
(0,16),(16,19),0.250116 # DEPENDENCYPART_GRANDPAR
(0,19),(19,1),0.571966 # DEPENDENCYPART_GRANDPAR
(0,19),(19,3),0.464219 # DEPENDENCYPART_GRANDPAR
(0,19),(19,4),0.0649397 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),0.043239 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),-0.0143359 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),0.0127623 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),0.00897827 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),-0.0487383 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),0.10044 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),0.081727 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),0.251641 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-1.07725 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.264044 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),-0.131712 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-0.598999 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.523779 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),-0.41261 # DEPENDENCYPART_GRANDPAR
(0,19),(19,21),2.39477 # DEPENDENCYPART_GRANDPAR
(0,20),(20,5),0.283155 # DEPENDENCYPART_GRANDPAR
(0,20),(20,11),0.346098 # DEPENDENCYPART_GRANDPAR
(0,20),(20,19),0.260758 # DEPENDENCYPART_GRANDPAR
(0,20),(20,21),1.94604 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.458046 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,5),0.00693937 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.261906 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.0290871 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.369434 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.274186 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.0787082 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.38784 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.194881 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.0330284 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),0.0665166 # DEPENDENCYPART_GRANDPAR
(1,3),(3,21),-0.594142 # DEPENDENCYPART_GRANDPAR
(1,6),(6,2),0.268107 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),0.0992843 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.0639168 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.0160566 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.197314 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.553897 # DEPENDENCYPART_GRANDPAR
(1,6),(6,21),-0.595631 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-0.485863 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,3),-0.00777649 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),-0.0682875 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),0.00827598 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.37874 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),-0.272141 # DEPENDENCYPART_GRANDPAR
(1,7),(7,12),-0.0567912 # DEPENDENCYPART_GRANDPAR
