# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=8,3,8,8,8,8,12,0,12,12,12,8,12,12,20,18,18,20,20,21,23,23,8,25,27,27,23,27,30,31,28,12,8,
(28,14),(28,30),0.0116915 # DEPENDENCYPART_SIBL
(28,14),(28,31),-0.0203472 # DEPENDENCYPART_SIBL
(28,14),(28,32),0.00317039 # DEPENDENCYPART_SIBL
(28,14),(28,33),0.109061 # DEPENDENCYPART_SIBL
(28,15),(28,17),-0.0582499 # DEPENDENCYPART_SIBL
(28,15),(28,18),-0.0164009 # DEPENDENCYPART_SIBL
(28,15),(28,19),-0.0164009 # DEPENDENCYPART_SIBL
(28,15),(28,20),0.0174639 # DEPENDENCYPART_SIBL
(28,15),(28,21),-0.0164009 # DEPENDENCYPART_SIBL
(28,15),(28,22),0.0102192 # DEPENDENCYPART_SIBL
(28,15),(28,23),0.0424639 # DEPENDENCYPART_SIBL
(28,15),(28,24),-0.14059 # DEPENDENCYPART_SIBL
(28,15),(28,25),0.0174639 # DEPENDENCYPART_SIBL
(28,15),(28,26),-0.0582499 # DEPENDENCYPART_SIBL
(28,15),(28,27),0.0249881 # DEPENDENCYPART_SIBL
(28,15),(28,29),-0.0215019 # DEPENDENCYPART_SIBL
(28,15),(28,30),-0.0365561 # DEPENDENCYPART_SIBL
(28,15),(28,31),0.00684119 # DEPENDENCYPART_SIBL
(28,15),(28,32),0.0149274 # DEPENDENCYPART_SIBL
(28,15),(28,33),-0.0634118 # DEPENDENCYPART_SIBL
(28,17),(28,18),0.0643948 # DEPENDENCYPART_SIBL
(28,17),(28,19),0.0643948 # DEPENDENCYPART_SIBL
(28,17),(28,20),-0.0367625 # DEPENDENCYPART_SIBL
(28,17),(28,21),0.0643948 # DEPENDENCYPART_SIBL
(28,17),(28,22),0.105898 # DEPENDENCYPART_SIBL
(28,17),(28,23),0.0290667 # DEPENDENCYPART_SIBL
(28,17),(28,24),-0.0765813 # DEPENDENCYPART_SIBL
(28,17),(28,25),-0.0367625 # DEPENDENCYPART_SIBL
(28,17),(28,26),-0.0708488 # DEPENDENCYPART_SIBL
(28,17),(28,27),-0.0264428 # DEPENDENCYPART_SIBL
(28,17),(28,29),0.00705739 # DEPENDENCYPART_SIBL
(28,17),(28,30),-0.0209783 # DEPENDENCYPART_SIBL
(28,17),(28,31),0.0433315 # DEPENDENCYPART_SIBL
(28,17),(28,32),0.165888 # DEPENDENCYPART_SIBL
(28,17),(28,33),-0.00775645 # DEPENDENCYPART_SIBL
(28,18),(28,19),-0.0218746 # DEPENDENCYPART_SIBL
(28,18),(28,20),-0.0150119 # DEPENDENCYPART_SIBL
(28,18),(28,21),-0.0218746 # DEPENDENCYPART_SIBL
(28,18),(28,22),0.048812 # DEPENDENCYPART_SIBL
(28,18),(28,23),0.0789166 # DEPENDENCYPART_SIBL
(28,18),(28,24),-0.169922 # DEPENDENCYPART_SIBL
(28,18),(28,25),-0.0150119 # DEPENDENCYPART_SIBL
(28,18),(28,26),-0.0236118 # DEPENDENCYPART_SIBL
(28,18),(28,27),-0.00530294 # DEPENDENCYPART_SIBL
(28,18),(28,29),0.0161338 # DEPENDENCYPART_SIBL
(28,18),(28,30),-0.00263618 # DEPENDENCYPART_SIBL
(28,18),(28,31),0.0235829 # DEPENDENCYPART_SIBL
(28,18),(28,32),0.0218082 # DEPENDENCYPART_SIBL
(28,18),(28,33),0.0051115 # DEPENDENCYPART_SIBL
(28,19),(28,20),-0.0150119 # DEPENDENCYPART_SIBL
(28,19),(28,21),-0.0218746 # DEPENDENCYPART_SIBL
(28,19),(28,22),0.048812 # DEPENDENCYPART_SIBL
(28,19),(28,23),0.0789166 # DEPENDENCYPART_SIBL
(28,19),(28,24),-0.169922 # DEPENDENCYPART_SIBL
(28,19),(28,25),-0.0150119 # DEPENDENCYPART_SIBL
(28,19),(28,26),-0.0236118 # DEPENDENCYPART_SIBL
(28,19),(28,27),-0.00530294 # DEPENDENCYPART_SIBL
(28,19),(28,29),0.0161338 # DEPENDENCYPART_SIBL
(28,19),(28,30),-0.00263618 # DEPENDENCYPART_SIBL
(28,19),(28,31),0.0235829 # DEPENDENCYPART_SIBL
(28,19),(28,32),0.0218082 # DEPENDENCYPART_SIBL
(28,19),(28,33),0.0051115 # DEPENDENCYPART_SIBL
(28,20),(28,21),-0.000608091 # DEPENDENCYPART_SIBL
(28,20),(28,22),0.0956371 # DEPENDENCYPART_SIBL
(28,20),(28,23),0.0468174 # DEPENDENCYPART_SIBL
(28,20),(28,24),-0.0476213 # DEPENDENCYPART_SIBL
(28,20),(28,25),-0.0309984 # DEPENDENCYPART_SIBL
(28,20),(28,26),0.0290878 # DEPENDENCYPART_SIBL
(28,20),(28,27),-0.0113585 # DEPENDENCYPART_SIBL
(28,20),(28,29),-0.00962569 # DEPENDENCYPART_SIBL
(28,20),(28,30),-0.0443562 # DEPENDENCYPART_SIBL
(28,20),(28,31),0.00298129 # DEPENDENCYPART_SIBL
(28,20),(28,32),0.0286417 # DEPENDENCYPART_SIBL
(28,20),(28,33),0.00695274 # DEPENDENCYPART_SIBL
(28,21),(28,22),0.048812 # DEPENDENCYPART_SIBL
(28,21),(28,23),0.0789166 # DEPENDENCYPART_SIBL
(28,21),(28,24),-0.169922 # DEPENDENCYPART_SIBL
(28,21),(28,25),-0.0150119 # DEPENDENCYPART_SIBL
(28,21),(28,26),-0.0236118 # DEPENDENCYPART_SIBL
(28,21),(28,27),-0.00530294 # DEPENDENCYPART_SIBL
(28,21),(28,29),0.0161338 # DEPENDENCYPART_SIBL
(28,21),(28,30),-0.00263618 # DEPENDENCYPART_SIBL
(28,21),(28,31),0.0235829 # DEPENDENCYPART_SIBL
(28,21),(28,32),0.0218082 # DEPENDENCYPART_SIBL
(28,21),(28,33),0.0051115 # DEPENDENCYPART_SIBL
(28,22),(28,23),0.0307099 # DEPENDENCYPART_SIBL
(28,22),(28,24),-0.179384 # DEPENDENCYPART_SIBL
(28,22),(28,25),-0.00692861 # DEPENDENCYPART_SIBL
(28,22),(28,26),0.0222991 # DEPENDENCYPART_SIBL
(28,22),(28,27),0.013187 # DEPENDENCYPART_SIBL
(28,22),(28,29),0.0114299 # DEPENDENCYPART_SIBL
(28,22),(28,30),-0.0363152 # DEPENDENCYPART_SIBL
(28,22),(28,31),0.00870508 # DEPENDENCYPART_SIBL
(28,22),(28,32),-0.00431876 # DEPENDENCYPART_SIBL
(28,22),(28,33),0.0213227 # DEPENDENCYPART_SIBL
(28,23),(28,24),-0.107516 # DEPENDENCYPART_SIBL
(28,23),(28,25),-0.128377 # DEPENDENCYPART_SIBL
(28,23),(28,26),-0.00106147 # DEPENDENCYPART_SIBL
(28,23),(28,27),0.0716114 # DEPENDENCYPART_SIBL
(28,23),(28,29),-0.00765235 # DEPENDENCYPART_SIBL
(28,23),(28,30),-0.0392165 # DEPENDENCYPART_SIBL
(28,23),(28,31),-0.014213 # DEPENDENCYPART_SIBL
(28,23),(28,32),-0.0176459 # DEPENDENCYPART_SIBL
(28,23),(28,33),0.0165303 # DEPENDENCYPART_SIBL
(28,24),(28,25),-0.0192114 # DEPENDENCYPART_SIBL
(28,24),(28,26),-0.080926 # DEPENDENCYPART_SIBL
(28,24),(28,27),-0.0102291 # DEPENDENCYPART_SIBL
(28,24),(28,29),-0.0371769 # DEPENDENCYPART_SIBL
(28,24),(28,30),-0.0401107 # DEPENDENCYPART_SIBL
(28,24),(28,31),-0.0145235 # DEPENDENCYPART_SIBL
(28,24),(28,32),-0.0012822 # DEPENDENCYPART_SIBL
(28,24),(28,33),-0.110279 # DEPENDENCYPART_SIBL
(28,25),(28,26),0.0290878 # DEPENDENCYPART_SIBL
(28,25),(28,27),-0.0113585 # DEPENDENCYPART_SIBL
(28,25),(28,29),-0.00962569 # DEPENDENCYPART_SIBL
(28,25),(28,30),-0.0443562 # DEPENDENCYPART_SIBL
(28,25),(28,31),0.00298129 # DEPENDENCYPART_SIBL
(28,25),(28,32),0.0286417 # DEPENDENCYPART_SIBL
(28,25),(28,33),0.00695274 # DEPENDENCYPART_SIBL
(28,26),(28,27),-0.0264428 # DEPENDENCYPART_SIBL
(28,26),(28,29),0.00705739 # DEPENDENCYPART_SIBL
(28,26),(28,30),-0.0209783 # DEPENDENCYPART_SIBL
(28,26),(28,31),0.0433315 # DEPENDENCYPART_SIBL
(28,26),(28,32),0.165888 # DEPENDENCYPART_SIBL
(28,26),(28,33),-0.00775645 # DEPENDENCYPART_SIBL
(28,27),(28,29),-0.00935396 # DEPENDENCYPART_SIBL
(28,27),(28,30),-0.0285125 # DEPENDENCYPART_SIBL
(28,27),(28,31),-0.0229509 # DEPENDENCYPART_SIBL
(28,27),(28,32),0.0107862 # DEPENDENCYPART_SIBL
(28,27),(28,33),0.0108419 # DEPENDENCYPART_SIBL
(28,29),(28,30),-0.0170447 # DEPENDENCYPART_SIBL
(28,29),(28,31),-0.000984732 # DEPENDENCYPART_SIBL
(28,29),(28,32),0.00373443 # DEPENDENCYPART_SIBL
(28,29),(28,33),0.00193362 # DEPENDENCYPART_SIBL
(28,30),(28,31),-0.0183064 # DEPENDENCYPART_SIBL
(28,30),(28,32),0.0256629 # DEPENDENCYPART_SIBL
(28,30),(28,33),-0.00974408 # DEPENDENCYPART_SIBL
(28,31),(28,32),0.0557959 # DEPENDENCYPART_SIBL
(28,31),(28,33),-0.0290836 # DEPENDENCYPART_SIBL
(28,32),(28,33),-0.00982811 # DEPENDENCYPART_SIBL
(30,15),(30,24),-0.502866 # DEPENDENCYPART_SIBL
(30,15),(30,25),0.00640203 # DEPENDENCYPART_SIBL
(30,15),(30,26),0.0842102 # DEPENDENCYPART_SIBL
(30,15),(30,28),0.199811 # DEPENDENCYPART_SIBL
(30,15),(30,29),-0.037817 # DEPENDENCYPART_SIBL
(30,15),(30,31),0.00729368 # DEPENDENCYPART_SIBL
(30,24),(30,25),0.00335248 # DEPENDENCYPART_SIBL
(30,24),(30,26),0.0929224 # DEPENDENCYPART_SIBL
(30,24),(30,28),0.153276 # DEPENDENCYPART_SIBL
(30,24),(30,29),-0.0862151 # DEPENDENCYPART_SIBL
(30,24),(30,31),-0.0254506 # DEPENDENCYPART_SIBL
(30,25),(30,26),0.278883 # DEPENDENCYPART_SIBL
(30,25),(30,28),0.155152 # DEPENDENCYPART_SIBL
(30,25),(30,29),-0.0224353 # DEPENDENCYPART_SIBL
(30,25),(30,31),0.0206576 # DEPENDENCYPART_SIBL
(30,26),(30,28),0.0555228 # DEPENDENCYPART_SIBL
(30,26),(30,29),0.0971602 # DEPENDENCYPART_SIBL
(30,26),(30,31),0.0465049 # DEPENDENCYPART_SIBL
(30,28),(30,29),-0.0266336 # DEPENDENCYPART_SIBL
(30,28),(30,31),0.000525896 # DEPENDENCYPART_SIBL
(30,29),(30,31),0.013101 # DEPENDENCYPART_SIBL
(31,21),(31,25),-0.109436 # DEPENDENCYPART_SIBL
(31,21),(31,29),-0.0537771 # DEPENDENCYPART_SIBL
(31,21),(31,30),-0.109495 # DEPENDENCYPART_SIBL
(31,25),(31,29),-0.0786353 # DEPENDENCYPART_SIBL
(31,25),(31,30),-0.14394 # DEPENDENCYPART_SIBL
(31,29),(31,30),-0.0745108 # DEPENDENCYPART_SIBL
(32,14),(32,20),0.141756 # DEPENDENCYPART_SIBL
(32,14),(32,25),0.141756 # DEPENDENCYPART_SIBL
(32,14),(32,26),0.194465 # DEPENDENCYPART_SIBL
(32,14),(32,28),0.260828 # DEPENDENCYPART_SIBL
(32,14),(32,30),0.139476 # DEPENDENCYPART_SIBL
(32,14),(32,31),0.165712 # DEPENDENCYPART_SIBL
(32,14),(32,33),0.000641746 # DEPENDENCYPART_SIBL
(32,20),(32,25),0.127197 # DEPENDENCYPART_SIBL
(32,20),(32,26),0.183413 # DEPENDENCYPART_SIBL
(32,20),(32,28),0.0998746 # DEPENDENCYPART_SIBL
(32,20),(32,30),0.127021 # DEPENDENCYPART_SIBL
(32,20),(32,31),0.0883556 # DEPENDENCYPART_SIBL
(32,20),(32,33),0.0633596 # DEPENDENCYPART_SIBL
(32,25),(32,26),0.183413 # DEPENDENCYPART_SIBL
(32,25),(32,28),0.0998746 # DEPENDENCYPART_SIBL
(32,25),(32,30),0.127021 # DEPENDENCYPART_SIBL
(32,25),(32,31),0.0883556 # DEPENDENCYPART_SIBL
(32,25),(32,33),0.0633596 # DEPENDENCYPART_SIBL
(32,26),(32,28),0.118366 # DEPENDENCYPART_SIBL
(32,26),(32,30),0.254448 # DEPENDENCYPART_SIBL
(32,26),(32,31),0.187887 # DEPENDENCYPART_SIBL
(32,26),(32,33),0.230634 # DEPENDENCYPART_SIBL
(32,28),(32,30),0.135091 # DEPENDENCYPART_SIBL
(32,28),(32,31),0.100497 # DEPENDENCYPART_SIBL
(32,28),(32,33),0.0864882 # DEPENDENCYPART_SIBL
(32,30),(32,31),0.0870296 # DEPENDENCYPART_SIBL
(32,30),(32,33),0.0623865 # DEPENDENCYPART_SIBL
(32,31),(32,33),0.0998055 # DEPENDENCYPART_SIBL
(0,4),(4,1),0.98944 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.136657 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.410344 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.289059 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.393682 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.0561998 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),-0.0988981 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),0.548015 # DEPENDENCYPART_GRANDPAR
(0,4),(4,33),2.23592 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),1.06546 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),-0.0186215 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.457862 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.294741 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.691419 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.0613663 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.429978 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.143136 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.0882178 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.833182 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.125379 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),-0.030944 # DEPENDENCYPART_GRANDPAR
(0,6),(6,21),0.210947 # DEPENDENCYPART_GRANDPAR
(0,6),(6,22),-0.0854002 # DEPENDENCYPART_GRANDPAR
(0,6),(6,23),0.556816 # DEPENDENCYPART_GRANDPAR
(0,6),(6,26),-0.373629 # DEPENDENCYPART_GRANDPAR
(0,6),(6,27),-0.11022 # DEPENDENCYPART_GRANDPAR
(0,6),(6,28),-0.0237808 # DEPENDENCYPART_GRANDPAR
(0,6),(6,29),-0.475956 # DEPENDENCYPART_GRANDPAR
(0,6),(6,32),-0.0964913 # DEPENDENCYPART_GRANDPAR
(0,6),(6,33),2.7088 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),1.03985 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),0.443975 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),0.311005 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),0.635963 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),0.68024 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),0.251366 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),0.749704 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),0.127964 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),-0.129857 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),-0.262285 # DEPENDENCYPART_GRANDPAR
(0,8),(8,21),0.114866 # DEPENDENCYPART_GRANDPAR
(0,8),(8,22),-0.115543 # DEPENDENCYPART_GRANDPAR
(0,8),(8,23),0.494065 # DEPENDENCYPART_GRANDPAR
(0,8),(8,27),-0.193697 # DEPENDENCYPART_GRANDPAR
(0,8),(8,28),-0.107258 # DEPENDENCYPART_GRANDPAR
(0,8),(8,33),2.52945 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),0.380342 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),0.17708 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),0.277349 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.570782 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.328048 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.303059 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.194336 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),0.293598 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.0859682 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.473772 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),-0.313498 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),-0.29591 # DEPENDENCYPART_GRANDPAR
(0,9),(9,19),-0.489143 # DEPENDENCYPART_GRANDPAR
(0,9),(9,20),-0.484679 # DEPENDENCYPART_GRANDPAR
(0,9),(9,21),-0.211001 # DEPENDENCYPART_GRANDPAR
(0,9),(9,22),-0.241036 # DEPENDENCYPART_GRANDPAR
(0,9),(9,23),0.0115699 # DEPENDENCYPART_GRANDPAR
(0,9),(9,25),-0.540169 # DEPENDENCYPART_GRANDPAR
(0,9),(9,26),-0.656183 # DEPENDENCYPART_GRANDPAR
(0,9),(9,27),-0.64499 # DEPENDENCYPART_GRANDPAR
(0,9),(9,28),-0.560487 # DEPENDENCYPART_GRANDPAR
(0,9),(9,29),-0.776065 # DEPENDENCYPART_GRANDPAR
(0,9),(9,30),-0.650581 # DEPENDENCYPART_GRANDPAR
(0,9),(9,31),-0.906759 # DEPENDENCYPART_GRANDPAR
(0,9),(9,32),-0.406144 # DEPENDENCYPART_GRANDPAR
(0,9),(9,33),2.15734 # DEPENDENCYPART_GRANDPAR
(0,12),(12,1),1.23001 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),-0.21119 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),0.247211 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),0.17544 # DEPENDENCYPART_GRANDPAR
(0,12),(12,5),0.229568 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),0.472605 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),0.441523 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),0.240878 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),-0.516207 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.260988 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.198778 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),0.199679 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.215762 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.625088 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.223451 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.0721039 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),-0.0904191 # DEPENDENCYPART_GRANDPAR
(0,12),(12,19),-0.283652 # DEPENDENCYPART_GRANDPAR
(0,12),(12,20),-0.24114 # DEPENDENCYPART_GRANDPAR
(0,12),(12,21),-0.0055097 # DEPENDENCYPART_GRANDPAR
(0,12),(12,22),-0.0359147 # DEPENDENCYPART_GRANDPAR
(0,12),(12,23),0.495416 # DEPENDENCYPART_GRANDPAR
(0,12),(12,25),-0.296631 # DEPENDENCYPART_GRANDPAR
(0,12),(12,26),-0.414789 # DEPENDENCYPART_GRANDPAR
(0,12),(12,27),-0.369663 # DEPENDENCYPART_GRANDPAR
(0,12),(12,28),-0.283826 # DEPENDENCYPART_GRANDPAR
(0,12),(12,29),-0.561395 # DEPENDENCYPART_GRANDPAR
(0,12),(12,30),-0.410214 # DEPENDENCYPART_GRANDPAR
(0,12),(12,31),-0.661456 # DEPENDENCYPART_GRANDPAR
(0,12),(12,32),-0.16542 # DEPENDENCYPART_GRANDPAR
(0,12),(12,33),2.71453 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.894355 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),0.346569 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),0.229247 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),0.214285 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),0.583734 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),0.10587 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),0.34086 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),0.160192 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.0853668 # DEPENDENCYPART_GRANDPAR
(0,13),(13,23),0.278148 # DEPENDENCYPART_GRANDPAR
(0,23),(23,1),1.06488 # DEPENDENCYPART_GRANDPAR
(0,23),(23,3),0.662324 # DEPENDENCYPART_GRANDPAR
(0,23),(23,4),0.405005 # DEPENDENCYPART_GRANDPAR
(0,23),(23,5),0.649278 # DEPENDENCYPART_GRANDPAR
(0,23),(23,6),0.7021 # DEPENDENCYPART_GRANDPAR
(0,23),(23,7),0.276391 # DEPENDENCYPART_GRANDPAR
(0,23),(23,8),0.468637 # DEPENDENCYPART_GRANDPAR
(0,23),(23,9),-0.219464 # DEPENDENCYPART_GRANDPAR
(0,23),(23,11),0.148601 # DEPENDENCYPART_GRANDPAR
(0,23),(23,12),0.801282 # DEPENDENCYPART_GRANDPAR
(0,23),(23,14),0.212379 # DEPENDENCYPART_GRANDPAR
(0,23),(23,17),0.0294389 # DEPENDENCYPART_GRANDPAR
(0,23),(23,18),0.0483942 # DEPENDENCYPART_GRANDPAR
(0,23),(23,19),-0.144839 # DEPENDENCYPART_GRANDPAR
(0,23),(23,20),-0.156909 # DEPENDENCYPART_GRANDPAR
(0,23),(23,21),0.133304 # DEPENDENCYPART_GRANDPAR
(0,23),(23,22),0.30318 # DEPENDENCYPART_GRANDPAR
(0,23),(23,25),-0.506281 # DEPENDENCYPART_GRANDPAR
(0,23),(23,27),-0.251905 # DEPENDENCYPART_GRANDPAR
(0,23),(23,28),-0.165378 # DEPENDENCYPART_GRANDPAR
(0,23),(23,30),-0.616915 # DEPENDENCYPART_GRANDPAR
(0,23),(23,33),2.60311 # DEPENDENCYPART_GRANDPAR
(0,26),(26,20),-0.35277 # DEPENDENCYPART_GRANDPAR
(0,26),(26,21),-0.023334 # DEPENDENCYPART_GRANDPAR
(0,26),(26,23),0.319374 # DEPENDENCYPART_GRANDPAR
(0,26),(26,25),-0.408261 # DEPENDENCYPART_GRANDPAR
(0,26),(26,30),-0.587678 # DEPENDENCYPART_GRANDPAR
(0,27),(27,1),1.08087 # DEPENDENCYPART_GRANDPAR
(0,27),(27,5),0.1113 # DEPENDENCYPART_GRANDPAR
(0,27),(27,6),0.401447 # DEPENDENCYPART_GRANDPAR
(0,27),(27,7),0.292384 # DEPENDENCYPART_GRANDPAR
(0,27),(27,8),0.16972 # DEPENDENCYPART_GRANDPAR
(0,27),(27,9),-0.5729 # DEPENDENCYPART_GRANDPAR
(0,27),(27,11),-0.226741 # DEPENDENCYPART_GRANDPAR
(0,27),(27,12),0.307678 # DEPENDENCYPART_GRANDPAR
(0,27),(27,14),0.228371 # DEPENDENCYPART_GRANDPAR
(0,27),(27,15),-1.0069 # DEPENDENCYPART_GRANDPAR
(0,27),(27,17),-0.345903 # DEPENDENCYPART_GRANDPAR
(0,27),(27,18),-0.237676 # DEPENDENCYPART_GRANDPAR
(0,27),(27,19),-0.430909 # DEPENDENCYPART_GRANDPAR
(0,27),(27,20),-0.531076 # DEPENDENCYPART_GRANDPAR
(0,27),(27,21),-0.152766 # DEPENDENCYPART_GRANDPAR
(0,27),(27,22),-0.234798 # DEPENDENCYPART_GRANDPAR
(0,27),(27,23),-0.0130707 # DEPENDENCYPART_GRANDPAR
(0,27),(27,24),-1.36264 # DEPENDENCYPART_GRANDPAR
(0,27),(27,25),-0.586567 # DEPENDENCYPART_GRANDPAR
(0,27),(27,26),-0.688588 # DEPENDENCYPART_GRANDPAR
(0,27),(27,28),-0.319057 # DEPENDENCYPART_GRANDPAR
(0,27),(27,29),-0.609552 # DEPENDENCYPART_GRANDPAR
(0,27),(27,30),-0.494783 # DEPENDENCYPART_GRANDPAR
(0,27),(27,31),-0.711667 # DEPENDENCYPART_GRANDPAR
(0,27),(27,32),-0.212174 # DEPENDENCYPART_GRANDPAR
(0,27),(27,33),2.61302 # DEPENDENCYPART_GRANDPAR
(0,28),(28,1),1.08766 # DEPENDENCYPART_GRANDPAR
(0,28),(28,4),0.125884 # DEPENDENCYPART_GRANDPAR
(0,28),(28,5),0.119639 # DEPENDENCYPART_GRANDPAR
(0,28),(28,6),0.411702 # DEPENDENCYPART_GRANDPAR
(0,28),(28,7),0.299179 # DEPENDENCYPART_GRANDPAR
(0,28),(28,8),0.179975 # DEPENDENCYPART_GRANDPAR
(0,28),(28,9),-0.568502 # DEPENDENCYPART_GRANDPAR
(0,28),(28,11),-0.222171 # DEPENDENCYPART_GRANDPAR
(0,28),(28,12),0.315275 # DEPENDENCYPART_GRANDPAR
(0,28),(28,14),0.235167 # DEPENDENCYPART_GRANDPAR
(0,28),(28,15),-1.00251 # DEPENDENCYPART_GRANDPAR
(0,28),(28,17),-0.341333 # DEPENDENCYPART_GRANDPAR
(0,28),(28,18),-0.230727 # DEPENDENCYPART_GRANDPAR
(0,28),(28,19),-0.423959 # DEPENDENCYPART_GRANDPAR
(0,28),(28,20),-0.526562 # DEPENDENCYPART_GRANDPAR
(0,28),(28,21),-0.145817 # DEPENDENCYPART_GRANDPAR
(0,28),(28,22),-0.226459 # DEPENDENCYPART_GRANDPAR
(0,28),(28,23),-0.00195227 # DEPENDENCYPART_GRANDPAR
(0,28),(28,24),-1.35824 # DEPENDENCYPART_GRANDPAR
(0,28),(28,25),-0.582052 # DEPENDENCYPART_GRANDPAR
(0,28),(28,26),-0.684018 # DEPENDENCYPART_GRANDPAR
(0,28),(28,27),-0.637397 # DEPENDENCYPART_GRANDPAR
(0,28),(28,29),-0.606375 # DEPENDENCYPART_GRANDPAR
(0,28),(28,30),-0.490417 # DEPENDENCYPART_GRANDPAR
(0,28),(28,31),-0.70849 # DEPENDENCYPART_GRANDPAR
(0,28),(28,32),-0.206415 # DEPENDENCYPART_GRANDPAR
(0,28),(28,33),2.61776 # DEPENDENCYPART_GRANDPAR
(0,32),(32,14),0.0158618 # DEPENDENCYPART_GRANDPAR
(0,32),(32,20),-0.388668 # DEPENDENCYPART_GRANDPAR
(0,32),(32,25),-0.444158 # DEPENDENCYPART_GRANDPAR
(0,32),(32,26),-0.271353 # DEPENDENCYPART_GRANDPAR
(0,32),(32,28),-0.228013 # DEPENDENCYPART_GRANDPAR
(0,32),(32,30),-0.5513 # DEPENDENCYPART_GRANDPAR
(0,32),(32,31),-0.711119 # DEPENDENCYPART_GRANDPAR
(0,32),(32,33),2.32263 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.40596 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.769008 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
