# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,0,18,18,19,24,23,23,23,25,1,24,15,
(0,24),(24,3),0.15334 # DEPENDENCYPART_GRANDPAR
(0,24),(24,4),0.247065 # DEPENDENCYPART_GRANDPAR
(0,24),(24,5),0.166129 # DEPENDENCYPART_GRANDPAR
(0,24),(24,7),-0.219337 # DEPENDENCYPART_GRANDPAR
(0,24),(24,8),-0.376659 # DEPENDENCYPART_GRANDPAR
(0,24),(24,9),-0.276178 # DEPENDENCYPART_GRANDPAR
(0,24),(24,10),-0.239122 # DEPENDENCYPART_GRANDPAR
(0,24),(24,12),-0.364609 # DEPENDENCYPART_GRANDPAR
(0,24),(24,13),-0.401031 # DEPENDENCYPART_GRANDPAR
(0,24),(24,14),-0.0478298 # DEPENDENCYPART_GRANDPAR
(0,24),(24,15),0.422841 # DEPENDENCYPART_GRANDPAR
(0,24),(24,16),-0.967343 # DEPENDENCYPART_GRANDPAR
(0,24),(24,17),-0.755254 # DEPENDENCYPART_GRANDPAR
(0,24),(24,18),-0.364556 # DEPENDENCYPART_GRANDPAR
(0,24),(24,19),-0.103578 # DEPENDENCYPART_GRANDPAR
(0,24),(24,20),-0.904432 # DEPENDENCYPART_GRANDPAR
(0,24),(24,21),-0.636211 # DEPENDENCYPART_GRANDPAR
(0,24),(24,22),-0.617637 # DEPENDENCYPART_GRANDPAR
(0,24),(24,23),-0.604155 # DEPENDENCYPART_GRANDPAR
(0,24),(24,25),0.0895249 # DEPENDENCYPART_GRANDPAR
(0,24),(24,26),2.44746 # DEPENDENCYPART_GRANDPAR
(0,25),(25,1),0.311191 # DEPENDENCYPART_GRANDPAR
(0,25),(25,2),0.622693 # DEPENDENCYPART_GRANDPAR
(0,25),(25,3),0.18681 # DEPENDENCYPART_GRANDPAR
(0,25),(25,4),0.299836 # DEPENDENCYPART_GRANDPAR
(0,25),(25,5),0.191181 # DEPENDENCYPART_GRANDPAR
(0,25),(25,7),-0.151742 # DEPENDENCYPART_GRANDPAR
(0,25),(25,8),-0.33742 # DEPENDENCYPART_GRANDPAR
(0,25),(25,9),-0.208583 # DEPENDENCYPART_GRANDPAR
(0,25),(25,10),-0.205652 # DEPENDENCYPART_GRANDPAR
(0,25),(25,12),-0.297014 # DEPENDENCYPART_GRANDPAR
(0,25),(25,13),-0.333437 # DEPENDENCYPART_GRANDPAR
(0,25),(25,14),0.00494081 # DEPENDENCYPART_GRANDPAR
(0,25),(25,15),0.44571 # DEPENDENCYPART_GRANDPAR
(0,25),(25,16),-0.933894 # DEPENDENCYPART_GRANDPAR
(0,25),(25,17),-0.716015 # DEPENDENCYPART_GRANDPAR
(0,25),(25,18),-0.296962 # DEPENDENCYPART_GRANDPAR
(0,25),(25,19),-0.0687842 # DEPENDENCYPART_GRANDPAR
(0,25),(25,20),-0.870984 # DEPENDENCYPART_GRANDPAR
(0,25),(25,21),-0.601418 # DEPENDENCYPART_GRANDPAR
(0,25),(25,22),-0.578398 # DEPENDENCYPART_GRANDPAR
(0,25),(25,23),-0.536561 # DEPENDENCYPART_GRANDPAR
(0,25),(25,24),0.0150832 # DEPENDENCYPART_GRANDPAR
(0,25),(25,26),2.39294 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.435713 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.564105 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.171911 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.290959 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),0.049653 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.0698847 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),0.0692535 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.203917 # DEPENDENCYPART_GRANDPAR
(1,2),(2,19),0.587919 # DEPENDENCYPART_GRANDPAR
(1,2),(2,21),-0.0639568 # DEPENDENCYPART_GRANDPAR
(1,2),(2,23),0.0264819 # DEPENDENCYPART_GRANDPAR
(1,2),(2,24),-0.196039 # DEPENDENCYPART_GRANDPAR
(1,2),(2,25),0.0388578 # DEPENDENCYPART_GRANDPAR
(1,2),(2,26),-0.916113 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.177967 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.0116906 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.0504759 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.102142 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.00432268 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),0.317683 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),0.192146 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),0.290224 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),0.211402 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),0.347034 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),0.400363 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),0.291641 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.0517447 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),0.0950228 # DEPENDENCYPART_GRANDPAR
(1,3),(3,21),0.117614 # DEPENDENCYPART_GRANDPAR
(1,3),(3,23),0.268662 # DEPENDENCYPART_GRANDPAR
(1,3),(3,24),0.0863178 # DEPENDENCYPART_GRANDPAR
(1,3),(3,25),0.321548 # DEPENDENCYPART_GRANDPAR
(1,3),(3,26),-0.774763 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.45495 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),-0.320043 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),-0.520056 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),-0.193052 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),0.0425171 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),0.00668158 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),0.0166672 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.0659993 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.20869 # DEPENDENCYPART_GRANDPAR
(1,5),(5,24),-0.191608 # DEPENDENCYPART_GRANDPAR
(1,5),(5,25),0.0427432 # DEPENDENCYPART_GRANDPAR
(1,5),(5,26),-0.888549 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.0217994 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),0.183552 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.309735 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),-0.192793 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),-0.417939 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),-0.0419065 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.228678 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.0751002 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),0.13018 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.252236 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),-0.113176 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),-0.354546 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.0833546 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.133184 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.0218168 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),0.249419 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.215548 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),0.285634 # DEPENDENCYPART_GRANDPAR
(1,10),(10,1),-0.181494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,10),(10,2),0.0102503 # DEPENDENCYPART_GRANDPAR
(1,10),(10,3),-0.266118 # DEPENDENCYPART_GRANDPAR
(1,10),(10,4),0.069748 # DEPENDENCYPART_GRANDPAR
(1,10),(10,5),-0.0959466 # DEPENDENCYPART_GRANDPAR
(1,10),(10,6),0.0229724 # DEPENDENCYPART_GRANDPAR
(1,10),(10,7),0.379235 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),0.284252 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),0.35609 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),-0.115601 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),0.341585 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),0.394914 # DEPENDENCYPART_GRANDPAR
(1,10),(10,14),0.270666 # DEPENDENCYPART_GRANDPAR
(1,10),(10,15),-0.059652 # DEPENDENCYPART_GRANDPAR
(1,10),(10,16),-0.175896 # DEPENDENCYPART_GRANDPAR
(1,10),(10,17),0.0880124 # DEPENDENCYPART_GRANDPAR
(1,10),(10,18),0.353379 # DEPENDENCYPART_GRANDPAR
(1,10),(10,21),0.110861 # DEPENDENCYPART_GRANDPAR
(1,10),(10,22),0.0798344 # DEPENDENCYPART_GRANDPAR
(1,10),(10,23),0.263213 # DEPENDENCYPART_GRANDPAR
(1,10),(10,24),0.0731898 # DEPENDENCYPART_GRANDPAR
(1,10),(10,25),0.30842 # DEPENDENCYPART_GRANDPAR
(1,10),(10,26),-0.78398 # DEPENDENCYPART_GRANDPAR
(1,12),(12,6),-0.0276942 # DEPENDENCYPART_GRANDPAR
(1,12),(12,11),-0.142461 # DEPENDENCYPART_GRANDPAR
(1,12),(12,19),0.69533 # DEPENDENCYPART_GRANDPAR
(1,13),(13,6),-0.0217994 # DEPENDENCYPART_GRANDPAR
(1,13),(13,7),0.24944 # DEPENDENCYPART_GRANDPAR
(1,13),(13,8),0.216131 # DEPENDENCYPART_GRANDPAR
(1,13),(13,9),0.222221 # DEPENDENCYPART_GRANDPAR
(1,13),(13,11),-0.133929 # DEPENDENCYPART_GRANDPAR
(1,13),(13,12),0.281117 # DEPENDENCYPART_GRANDPAR
(1,13),(13,14),0.260405 # DEPENDENCYPART_GRANDPAR
(1,13),(13,18),0.250547 # DEPENDENCYPART_GRANDPAR
(1,13),(13,19),0.695648 # DEPENDENCYPART_GRANDPAR
(1,13),(13,23),0.16038 # DEPENDENCYPART_GRANDPAR
(1,13),(13,24),-0.00649575 # DEPENDENCYPART_GRANDPAR
(1,13),(13,25),0.225338 # DEPENDENCYPART_GRANDPAR
(1,13),(13,26),-0.885759 # DEPENDENCYPART_GRANDPAR
(1,15),(15,1),-0.448815 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,15),(15,2),-0.296288 # DEPENDENCYPART_GRANDPAR
(1,15),(15,3),-0.513228 # DEPENDENCYPART_GRANDPAR
(1,15),(15,4),-0.123182 # DEPENDENCYPART_GRANDPAR
(1,15),(15,5),-0.305198 # DEPENDENCYPART_GRANDPAR
(1,15),(15,7),0.0709147 # DEPENDENCYPART_GRANDPAR
(1,15),(15,8),-0.00664713 # DEPENDENCYPART_GRANDPAR
(1,15),(15,9),0.0437432 # DEPENDENCYPART_GRANDPAR
(1,15),(15,10),-0.016327 # DEPENDENCYPART_GRANDPAR
(1,15),(15,11),-0.27899 # DEPENDENCYPART_GRANDPAR
(1,15),(15,12),0.102592 # DEPENDENCYPART_GRANDPAR
(1,15),(15,13),0.144724 # DEPENDENCYPART_GRANDPAR
(1,15),(15,14),0.117982 # DEPENDENCYPART_GRANDPAR
(1,15),(15,16),-0.35054 # DEPENDENCYPART_GRANDPAR
(1,15),(15,17),-0.0865315 # DEPENDENCYPART_GRANDPAR
(1,15),(15,18),0.0924631 # DEPENDENCYPART_GRANDPAR
(1,15),(15,19),0.584073 # DEPENDENCYPART_GRANDPAR
(1,15),(15,21),-0.0678033 # DEPENDENCYPART_GRANDPAR
(1,15),(15,22),-0.0934704 # DEPENDENCYPART_GRANDPAR
(1,15),(15,23),0.00229643 # DEPENDENCYPART_GRANDPAR
(1,15),(15,24),-0.177967 # DEPENDENCYPART_GRANDPAR
(1,15),(15,25),0.056582 # DEPENDENCYPART_GRANDPAR
(1,15),(15,26),-0.846907 # DEPENDENCYPART_GRANDPAR
(1,17),(17,16),-0.241248 # DEPENDENCYPART_GRANDPAR
(1,17),(17,19),0.686859 # DEPENDENCYPART_GRANDPAR
(1,18),(18,10),0.139955 # DEPENDENCYPART_GRANDPAR
(1,18),(18,11),-0.133929 # DEPENDENCYPART_GRANDPAR
(1,18),(18,12),0.281117 # DEPENDENCYPART_GRANDPAR
(1,18),(18,13),0.323249 # DEPENDENCYPART_GRANDPAR
(1,18),(18,14),0.32458 # DEPENDENCYPART_GRANDPAR
(1,18),(18,15),-0.0506445 # DEPENDENCYPART_GRANDPAR
(1,18),(18,16),-0.194223 # DEPENDENCYPART_GRANDPAR
(1,18),(18,17),0.113835 # DEPENDENCYPART_GRANDPAR
(1,18),(18,19),0.695649 # DEPENDENCYPART_GRANDPAR
(1,18),(18,21),0.0989392 # DEPENDENCYPART_GRANDPAR
(1,18),(18,23),0.16038 # DEPENDENCYPART_GRANDPAR
(1,21),(21,18),0.249516 # DEPENDENCYPART_GRANDPAR
(1,21),(21,20),-0.241468 # DEPENDENCYPART_GRANDPAR
(1,21),(21,22),-0.0101134 # DEPENDENCYPART_GRANDPAR
(1,22),(22,16),-0.240022 # DEPENDENCYPART_GRANDPAR
(1,22),(22,17),0.0177774 # DEPENDENCYPART_GRANDPAR
(1,22),(22,18),0.167824 # DEPENDENCYPART_GRANDPAR
(1,22),(22,20),-0.288419 # DEPENDENCYPART_GRANDPAR
(1,22),(22,21),-0.00853207 # DEPENDENCYPART_GRANDPAR
(1,23),(23,10),0.139955 # DEPENDENCYPART_GRANDPAR
(1,23),(23,11),-0.133929 # DEPENDENCYPART_GRANDPAR
(1,23),(23,12),0.281117 # DEPENDENCYPART_GRANDPAR
(1,23),(23,13),0.323249 # DEPENDENCYPART_GRANDPAR
(1,23),(23,15),-0.0506445 # DEPENDENCYPART_GRANDPAR
(1,23),(23,16),-0.194223 # DEPENDENCYPART_GRANDPAR
(1,23),(23,17),0.113835 # DEPENDENCYPART_GRANDPAR
(1,23),(23,18),0.290585 # DEPENDENCYPART_GRANDPAR
(1,23),(23,20),-0.24262 # DEPENDENCYPART_GRANDPAR
(1,23),(23,21),0.0626611 # DEPENDENCYPART_GRANDPAR
(1,23),(23,22),0.11582 # DEPENDENCYPART_GRANDPAR
(1,24),(24,1),-0.186869 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,24),(24,2),0.022581 # DEPENDENCYPART_GRANDPAR
(1,24),(24,3),-0.239793 # DEPENDENCYPART_GRANDPAR
(1,24),(24,4),0.0916126 # DEPENDENCYPART_GRANDPAR
(1,24),(24,5),-0.0867456 # DEPENDENCYPART_GRANDPAR
(1,24),(24,7),0.367259 # DEPENDENCYPART_GRANDPAR
(1,24),(24,8),0.282827 # DEPENDENCYPART_GRANDPAR
(1,24),(24,9),0.342759 # DEPENDENCYPART_GRANDPAR
(1,24),(24,10),0.254413 # DEPENDENCYPART_GRANDPAR
(1,24),(24,12),0.402204 # DEPENDENCYPART_GRANDPAR
(1,24),(24,13),0.436798 # DEPENDENCYPART_GRANDPAR
(1,24),(24,14),0.332777 # DEPENDENCYPART_GRANDPAR
(1,24),(24,15),0.0221557 # DEPENDENCYPART_GRANDPAR
(1,24),(24,16),-0.15242 # DEPENDENCYPART_GRANDPAR
(1,24),(24,17),0.188897 # DEPENDENCYPART_GRANDPAR
(1,24),(24,18),0.408404 # DEPENDENCYPART_GRANDPAR
(1,24),(24,19),0.8295 # DEPENDENCYPART_GRANDPAR
(1,24),(24,20),-0.200817 # DEPENDENCYPART_GRANDPAR
(1,24),(24,21),0.178282 # DEPENDENCYPART_GRANDPAR
(1,24),(24,22),0.184382 # DEPENDENCYPART_GRANDPAR
(1,24),(24,23),0.318238 # DEPENDENCYPART_GRANDPAR
(1,24),(24,25),0.351718 # DEPENDENCYPART_GRANDPAR
(1,24),(24,26),-0.760488 # DEPENDENCYPART_GRANDPAR
(1,25),(25,1),-0.181488 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,25),(25,2),0.0102503 # DEPENDENCYPART_GRANDPAR
(1,25),(25,3),-0.266135 # DEPENDENCYPART_GRANDPAR
(1,25),(25,4),0.0697388 # DEPENDENCYPART_GRANDPAR
(1,25),(25,5),-0.0959466 # DEPENDENCYPART_GRANDPAR
(1,25),(25,7),0.381355 # DEPENDENCYPART_GRANDPAR
(1,25),(25,8),0.284648 # DEPENDENCYPART_GRANDPAR
(1,25),(25,9),0.356854 # DEPENDENCYPART_GRANDPAR
(1,25),(25,10),0.228071 # DEPENDENCYPART_GRANDPAR
(1,25),(25,12),0.4163 # DEPENDENCYPART_GRANDPAR
(1,25),(25,13),0.450893 # DEPENDENCYPART_GRANDPAR
(1,25),(25,14),0.310903 # DEPENDENCYPART_GRANDPAR
(1,25),(25,15),0.0116678 # DEPENDENCYPART_GRANDPAR
(1,25),(25,16),-0.160613 # DEPENDENCYPART_GRANDPAR
(1,25),(25,17),0.190718 # DEPENDENCYPART_GRANDPAR
(1,25),(25,18),0.4225 # DEPENDENCYPART_GRANDPAR
(1,25),(25,19),0.823141 # DEPENDENCYPART_GRANDPAR
(1,25),(25,20),-0.209009 # DEPENDENCYPART_GRANDPAR
(1,25),(25,21),0.171923 # DEPENDENCYPART_GRANDPAR
(1,25),(25,22),0.186203 # DEPENDENCYPART_GRANDPAR
(1,25),(25,23),0.332333 # DEPENDENCYPART_GRANDPAR
(1,25),(25,24),0.100014 # DEPENDENCYPART_GRANDPAR
(1,25),(25,26),-0.78122 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.13379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.556944 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.70613 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.677989 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-1.0578 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.776566 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-1.15613 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-0.610937 # DEPENDENCYPART_GRANDPAR
(2,1),(1,12),-1.18211 # DEPENDENCYPART_GRANDPAR
(2,1),(1,13),-0.998278 # DEPENDENCYPART_GRANDPAR
(2,1),(1,14),-0.735024 # DEPENDENCYPART_GRANDPAR
(2,1),(1,15),-0.827768 # DEPENDENCYPART_GRANDPAR
(2,1),(1,17),-0.97799 # DEPENDENCYPART_GRANDPAR
(2,1),(1,18),-1.24226 # DEPENDENCYPART_GRANDPAR
(2,1),(1,21),-0.893887 # DEPENDENCYPART_GRANDPAR
(2,1),(1,22),-1.00359 # DEPENDENCYPART_GRANDPAR
(2,1),(1,23),-1.11793 # DEPENDENCYPART_GRANDPAR
(2,1),(1,24),-0.811744 # DEPENDENCYPART_GRANDPAR
(2,1),(1,25),-0.782076 # DEPENDENCYPART_GRANDPAR
(2,1),(1,26),-1.33282 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.594599 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.690974 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.294753 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.170753 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.502544 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.512492 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.358232 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.613957 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.145508 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.633543 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.450681 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.323646 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.415295 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.577184 # DEPENDENCYPART_GRANDPAR
(2,3),(3,21),-0.47472 # DEPENDENCYPART_GRANDPAR
(2,3),(3,23),-0.572626 # DEPENDENCYPART_GRANDPAR
(2,3),(3,24),-0.348011 # DEPENDENCYPART_GRANDPAR
(2,3),(3,25),-0.31524 # DEPENDENCYPART_GRANDPAR
(2,3),(3,26),-0.909931 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.41886 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.656831 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.0116062 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.165206 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.48194 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.354891 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.581036 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.123653 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.345808 # DEPENDENCYPART_GRANDPAR
(2,5),(5,24),-0.332643 # DEPENDENCYPART_GRANDPAR
(2,5),(5,25),-0.294789 # DEPENDENCYPART_GRANDPAR
(2,5),(5,26),-0.800466 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-0.377413 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.678953 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),-0.0556407 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),-0.215932 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),-0.213669 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.47573 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),-0.395217 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.335916 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.450385 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-0.594374 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.690041 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,3),-0.172152 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),-0.353583 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),-0.302541 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),-0.578443 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.594534 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),-0.427749 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.68349 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.441483 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.6269 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.444038 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.329144 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.413859 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),-0.429036 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.57473 # DEPENDENCYPART_GRANDPAR
(2,10),(10,18),-0.690314 # DEPENDENCYPART_GRANDPAR
(2,10),(10,21),-0.472009 # DEPENDENCYPART_GRANDPAR
(2,10),(10,22),-0.605925 # DEPENDENCYPART_GRANDPAR
(2,10),(10,23),-0.565983 # DEPENDENCYPART_GRANDPAR
(2,10),(10,24),-0.348172 # DEPENDENCYPART_GRANDPAR
(2,10),(10,25),-0.3154 # DEPENDENCYPART_GRANDPAR
(2,10),(10,26),-0.909684 # DEPENDENCYPART_GRANDPAR
(2,15),(15,1),-0.402552 # DEPENDENCYPART_GRANDPAR
(2,15),(15,2),-0.723026 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,15),(15,3),-0.066588 # DEPENDENCYPART_GRANDPAR
(2,15),(15,4),-0.187722 # DEPENDENCYPART_GRANDPAR
(2,15),(15,5),-0.257338 # DEPENDENCYPART_GRANDPAR
(2,15),(15,7),-0.494093 # DEPENDENCYPART_GRANDPAR
(2,15),(15,8),-0.370797 # DEPENDENCYPART_GRANDPAR
(2,15),(15,9),-0.591082 # DEPENDENCYPART_GRANDPAR
(2,15),(15,10),-0.116065 # DEPENDENCYPART_GRANDPAR
(2,15),(15,11),-0.460588 # DEPENDENCYPART_GRANDPAR
(2,15),(15,12),-0.61494 # DEPENDENCYPART_GRANDPAR
(2,15),(15,13),-0.434614 # DEPENDENCYPART_GRANDPAR
(2,15),(15,14),-0.216615 # DEPENDENCYPART_GRANDPAR
(2,15),(15,16),-0.482975 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.618045 # DEPENDENCYPART_GRANDPAR
(2,15),(15,18),-0.708697 # DEPENDENCYPART_GRANDPAR
(2,15),(15,19),-0.514934 # DEPENDENCYPART_GRANDPAR
(2,15),(15,21),-0.497469 # DEPENDENCYPART_GRANDPAR
(2,15),(15,22),-0.646444 # DEPENDENCYPART_GRANDPAR
(2,15),(15,23),-0.584366 # DEPENDENCYPART_GRANDPAR
(2,15),(15,24),-0.406429 # DEPENDENCYPART_GRANDPAR
(2,15),(15,25),-0.368377 # DEPENDENCYPART_GRANDPAR
(2,15),(15,26),-0.812151 # DEPENDENCYPART_GRANDPAR
(2,19),(19,12),-0.544534 # DEPENDENCYPART_GRANDPAR
(2,19),(19,13),-0.364208 # DEPENDENCYPART_GRANDPAR
(2,19),(19,14),-0.251913 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),-0.608152 # DEPENDENCYPART_GRANDPAR
(2,19),(19,23),-0.551338 # DEPENDENCYPART_GRANDPAR
(2,19),(19,24),-0.357759 # DEPENDENCYPART_GRANDPAR
(2,19),(19,25),-0.323043 # DEPENDENCYPART_GRANDPAR
(2,19),(19,26),-0.920605 # DEPENDENCYPART_GRANDPAR
(2,21),(21,18),-0.608812 # DEPENDENCYPART_GRANDPAR
(2,21),(21,20),-0.321006 # DEPENDENCYPART_GRANDPAR
(2,21),(21,22),-0.626162 # DEPENDENCYPART_GRANDPAR
(2,23),(23,10),-0.107517 # DEPENDENCYPART_GRANDPAR
(2,23),(23,11),-0.46157 # DEPENDENCYPART_GRANDPAR
(2,23),(23,12),-0.516042 # DEPENDENCYPART_GRANDPAR
(2,23),(23,13),-0.335716 # DEPENDENCYPART_GRANDPAR
(2,23),(23,15),-0.376035 # DEPENDENCYPART_GRANDPAR
(2,23),(23,16),-0.449123 # DEPENDENCYPART_GRANDPAR
(2,23),(23,17),-0.554914 # DEPENDENCYPART_GRANDPAR
(2,23),(23,18),-0.579661 # DEPENDENCYPART_GRANDPAR
(2,23),(23,20),-0.385556 # DEPENDENCYPART_GRANDPAR
(2,23),(23,21),-0.380225 # DEPENDENCYPART_GRANDPAR
(2,23),(23,22),-0.569437 # DEPENDENCYPART_GRANDPAR
(2,24),(24,1),-0.596816 # DEPENDENCYPART_GRANDPAR
(2,24),(24,2),-0.698234 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,24),(24,3),-0.178938 # DEPENDENCYPART_GRANDPAR
(2,24),(24,4),-0.367969 # DEPENDENCYPART_GRANDPAR
