# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
(14,7),(14,17),0.00837271 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0285178 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.00307406 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.113554 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.440921 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.577907 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.00325882 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.044808 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0403336 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.00425058 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.153199 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.641687 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.794005 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0444421 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0285825 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.00741421 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.041682 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.313879 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.287852 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0661837 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0186029 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0348331 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.121936 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.231586 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0119013 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0485259 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0282226 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0238545 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.000923557 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0180331 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0143461 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0197197 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0448179 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0403436 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.00426086 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0457947 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.226103 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.211148 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.0107502 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.208532 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0071117 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.0573536 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.131409 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.208532 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0390287 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0107502 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0102771 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0573536 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.146151 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0426863 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0107502 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0601905 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0565682 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0113399 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.0845226 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0302023 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.0828563 # DEPENDENCYPART_SIBL
(15,2),(15,6),0.0424268 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0845226 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0349572 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.038951 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0318289 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0828563 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.0942451 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0351959 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.038951 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0949835 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.101156 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0133943 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.0800692 # DEPENDENCYPART_SIBL
(15,3),(15,5),0.0272589 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.115777 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.12569 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.0257067 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.0223307 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.0269414 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0272589 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.0370672 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.0259445 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.0223307 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0426886 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0385389 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0570209 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.0540667 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.0737403 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.0144652 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.00477681 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.00882122 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.0150296 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.0540667 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0364136 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.00501391 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.00882122 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0307989 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0752168 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.0132274 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.292644 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.107895 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0278757 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0253103 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.0160643 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0312418 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.0500782 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.0339406 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0253103 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0590161 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0334574 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.00289286 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0926541 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.00241923 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0449673 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.0680774 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.138366 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0708386 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.00179746 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0449673 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.01069 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.100124 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.262948 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0257067 # DEPENDENCYPART_SIBL
(15,7),(15,9),0.0223307 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.0269414 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0272589 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0370672 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0259445 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.0223307 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0426886 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0385389 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0570209 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0173289 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0101632 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0579084 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.146265 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0425745 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0173289 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0551191 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.0491763 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.00477933 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0318289 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0828563 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0942451 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0351959 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.038951 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0949835 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.101156 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0133943 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0870063 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0114436 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0149648 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0188673 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.068515 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0601036 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.00270431 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0500782 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0339406 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0253103 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0590161 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0334574 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.00289286 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.00711551 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0318272 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0523506 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0380209 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0114073 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0181691 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0551688 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0492424 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.00484253 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0949835 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.101156 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0133943 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0550236 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0730441 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0171011 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.451991 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.15562 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.118575 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.121332 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.123669 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0456886 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.124216 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.140628 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.024363 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0278948 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.180443 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.00735234 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0281639 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.141871 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.167553 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.225381 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0382563 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0303801 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0734543 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.112359 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0154275 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0653824 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.101725 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0129754 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0252414 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0529545 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.141291 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0535443 # DEPENDENCYPART_SIBL
(17,1),(17,2),-0.00805998 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.201602 # DEPENDENCYPART_SIBL
(17,1),(17,4),0.0196209 # DEPENDENCYPART_SIBL
(17,1),(17,5),0.0482572 # DEPENDENCYPART_SIBL
(17,1),(17,6),0.115476 # DEPENDENCYPART_SIBL
(17,1),(17,7),-0.201602 # DEPENDENCYPART_SIBL
(17,1),(17,8),-0.0219865 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.00805998 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.00311842 # DEPENDENCYPART_SIBL
(17,1),(17,11),0.0482572 # DEPENDENCYPART_SIBL
(17,1),(17,12),0.15467 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0256441 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.00805998 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0171066 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.0301811 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.00144903 # DEPENDENCYPART_SIBL
(17,2),(17,3),-0.0615411 # DEPENDENCYPART_SIBL
(17,2),(17,4),-0.00164689 # DEPENDENCYPART_SIBL
(17,2),(17,5),0.0960103 # DEPENDENCYPART_SIBL
(17,2),(17,6),0.0494916 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.0615411 # DEPENDENCYPART_SIBL
(17,2),(17,8),-0.000234858 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.0298787 # DEPENDENCYPART_SIBL
(17,2),(17,10),-0.00861031 # DEPENDENCYPART_SIBL
(17,2),(17,11),0.0960103 # DEPENDENCYPART_SIBL
(17,2),(17,12),0.129722 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.000473642 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.0298787 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.0247289 # DEPENDENCYPART_SIBL
(17,2),(17,16),-0.00975636 # DEPENDENCYPART_SIBL
(17,2),(17,18),0.00732598 # DEPENDENCYPART_SIBL
(17,3),(17,4),0.0857604 # DEPENDENCYPART_SIBL
(17,3),(17,5),0.0102192 # DEPENDENCYPART_SIBL
(17,3),(17,6),0.0926702 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.125584 # DEPENDENCYPART_SIBL
(17,3),(17,8),-0.0164009 # DEPENDENCYPART_SIBL
(17,3),(17,9),0.0178372 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.0272811 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.0102192 # DEPENDENCYPART_SIBL
(17,3),(17,12),0.038413 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.0166386 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.0178372 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.0107258 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.059969 # DEPENDENCYPART_SIBL
(17,3),(17,18),-0.0634118 # DEPENDENCYPART_SIBL
(17,4),(17,5),0.0371617 # DEPENDENCYPART_SIBL
(17,4),(17,6),0.0507596 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.0142227 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.00464814 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.0131799 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.0145621 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.0371617 # DEPENDENCYPART_SIBL
(17,4),(17,12),0.0378851 # DEPENDENCYPART_SIBL
(17,4),(17,13),0.00441104 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.0131799 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.0313847 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.00117617 # DEPENDENCYPART_SIBL
(17,4),(17,18),-0.00733357 # DEPENDENCYPART_SIBL
(17,5),(17,6),0.252808 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.10614 # DEPENDENCYPART_SIBL
(17,5),(17,8),-0.00899597 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.00655538 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.0158325 # DEPENDENCYPART_SIBL
(17,5),(17,11),0.00513268 # DEPENDENCYPART_SIBL
(17,5),(17,12),0.0442236 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.0150609 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.00655538 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.00587536 # DEPENDENCYPART_SIBL
(17,5),(17,16),-0.0397961 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.0213227 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.119208 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.013103 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0708091 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.0385237 # DEPENDENCYPART_SIBL
(17,6),(17,11),0.0928255 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.109186 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.0137248 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0708091 # DEPENDENCYPART_SIBL
(17,6),(17,15),0.000717442 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0794204 # DEPENDENCYPART_SIBL
(17,6),(17,18),0.207337 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.0164009 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.0178372 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0272811 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.0102192 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.038413 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0166386 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.0178372 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.0107258 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.059969 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0634118 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0146387 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.0030045 # DEPENDENCYPART_SIBL
(17,8),(17,11),0.048812 # DEPENDENCYPART_SIBL
(17,8),(17,12),0.154784 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.0255323 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0146387 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0169927 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.0300679 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.0051115 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.00861031 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.0960103 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.129722 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.000473642 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0298787 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0247289 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.00975636 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.00732598 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.0793449 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.00868443 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.00503972 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0259665 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0509575 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.030342 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.0157563 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.0442236 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0150609 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.00655538 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.00587536 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0397961 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.0213227 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.00701868 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.024523 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0321668 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0576257 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.00390509 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0154789 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0172846 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0303554 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.00504831 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0247289 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.00975636 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.00732598 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.0616484 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0330661 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.00982007 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.343742 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.17331 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.3068 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.315358 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.552518 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),0.0129841 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.939177 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.417938 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),0.357435 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),-0.245129 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),0.714028 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),0.344171 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),1.71857 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.443105 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.751999 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.356622 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.135061 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.338258 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.188378 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.681784 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),0.237642 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),0.0946279 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),-0.446491 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.570331 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.752988 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.364329 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.210464 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.684765 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.326563 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.113013 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.109586 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),1.14859 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.377837 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.385951 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.212118 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.367699 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),0.899904 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),0.547221 # DEPENDENCYPART_GRANDPAR
(0,6),(6,18),1.94487 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.40211 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.59772 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.601822 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),0.0232362 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),0.0593474 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),0.560889 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.76457 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.218948 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.260889 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.336064 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),0.0610184 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.437248 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.292048 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),0.476424 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.580794 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.127169 # DEPENDENCYPART_GRANDPAR
(0,10),(10,18),1.88666 # DEPENDENCYPART_GRANDPAR
(0,12),(12,1),0.500127 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),0.670905 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),0.0945656 # DEPENDENCYPART_GRANDPAR
(0,12),(12,5),0.553027 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),0.754531 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),-0.610563 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.118909 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),-0.187704 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),0.939736 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),0.655607 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.233536 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.503022 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),0.868479 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.509493 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),0.499691 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),1.81995 # DEPENDENCYPART_GRANDPAR
(0,14),(14,1),0.343742 # DEPENDENCYPART_GRANDPAR
