# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=12,3,4,8,6,0,8,6,12,12,12,6,12,12,20,18,23,20,20,21,23,12,12,25,27,27,23,27,30,31,28,28,6,
(31,23),-0.73507 # DEPENDENCYPART_ARC
(31,24),-0.753837 # DEPENDENCYPART_ARC
(31,25),-0.815448 # DEPENDENCYPART_ARC
(31,26),-0.377821 # DEPENDENCYPART_ARC
(31,27),-0.447708 # DEPENDENCYPART_ARC
(31,28),-0.0114003 # DEPENDENCYPART_ARC
(31,29),0.960654 # DEPENDENCYPART_ARC
(31,30),3.74509 # DEPENDENCYPART_ARC
(31,32),-0.587248 # DEPENDENCYPART_ARC
(31,33),-0.847436 # DEPENDENCYPART_ARC
(32,1),-0.166586 # DEPENDENCYPART_ARC
(32,2),-2.33459 # DEPENDENCYPART_ARC
(32,3),-1.02098 # DEPENDENCYPART_ARC
(32,4),-1.10515 # DEPENDENCYPART_ARC
(32,5),-1.09286 # DEPENDENCYPART_ARC
(32,6),-0.882279 # DEPENDENCYPART_ARC
(32,7),0.115471 # DEPENDENCYPART_ARC
(32,8),-0.65486 # DEPENDENCYPART_ARC
(32,9),-1.26846 # DEPENDENCYPART_ARC
(32,10),-1.41482 # DEPENDENCYPART_ARC
(32,11),-0.329173 # DEPENDENCYPART_ARC
(32,12),-1.03146 # DEPENDENCYPART_ARC
(32,13),-0.554681 # DEPENDENCYPART_ARC
(32,14),0.176082 # DEPENDENCYPART_ARC
(32,15),-1.36301 # DEPENDENCYPART_ARC
(32,16),-0.221575 # DEPENDENCYPART_ARC
(32,17),0.108309 # DEPENDENCYPART_ARC
(32,18),-0.501576 # DEPENDENCYPART_ARC
(32,19),-0.483444 # DEPENDENCYPART_ARC
(32,20),-0.34996 # DEPENDENCYPART_ARC
(32,21),-0.581819 # DEPENDENCYPART_ARC
(32,22),-0.441421 # DEPENDENCYPART_ARC
(32,23),-0.213283 # DEPENDENCYPART_ARC
(32,24),-0.628777 # DEPENDENCYPART_ARC
(32,25),-0.0163599 # DEPENDENCYPART_ARC
(32,26),0.313819 # DEPENDENCYPART_ARC
(32,27),-0.509711 # DEPENDENCYPART_ARC
(32,28),-0.158944 # DEPENDENCYPART_ARC
(32,29),0.312673 # DEPENDENCYPART_ARC
(32,30),0.630455 # DEPENDENCYPART_ARC
(32,31),0.913308 # DEPENDENCYPART_ARC
(32,33),1.16494 # DEPENDENCYPART_ARC
(33,1),-3.36319 # DEPENDENCYPART_ARC
(33,2),-3.39131 # DEPENDENCYPART_ARC
(33,3),-4.31413 # DEPENDENCYPART_ARC
(33,4),-3.57406 # DEPENDENCYPART_ARC
(33,5),-3.13049 # DEPENDENCYPART_ARC
(33,6),-3.26406 # DEPENDENCYPART_ARC
(33,7),-3.06659 # DEPENDENCYPART_ARC
(33,8),-3.18164 # DEPENDENCYPART_ARC
(33,9),-3.49392 # DEPENDENCYPART_ARC
(33,10),-3.49391 # DEPENDENCYPART_ARC
(33,11),-3.30478 # DEPENDENCYPART_ARC
(33,12),-3.34851 # DEPENDENCYPART_ARC
(33,13),-3.1747 # DEPENDENCYPART_ARC
(33,14),-2.79135 # DEPENDENCYPART_ARC
(33,15),-3.00479 # DEPENDENCYPART_ARC
(33,16),-3.05511 # DEPENDENCYPART_ARC
(33,17),-3.07528 # DEPENDENCYPART_ARC
(33,18),-3.25317 # DEPENDENCYPART_ARC
(33,19),-3.18256 # DEPENDENCYPART_ARC
(33,20),-3.89702 # DEPENDENCYPART_ARC
(33,21),-3.15459 # DEPENDENCYPART_ARC
(33,22),-2.60244 # DEPENDENCYPART_ARC
(33,23),-2.60877 # DEPENDENCYPART_ARC
(33,24),-2.74627 # DEPENDENCYPART_ARC
(33,25),-3.63845 # DEPENDENCYPART_ARC
(33,26),-2.71739 # DEPENDENCYPART_ARC
(33,27),-2.78472 # DEPENDENCYPART_ARC
(33,28),-2.46744 # DEPENDENCYPART_ARC
(33,29),-2.21906 # DEPENDENCYPART_ARC
(33,30),-2.77654 # DEPENDENCYPART_ARC
(33,31),-1.88562 # DEPENDENCYPART_ARC
(33,32),-1.13371 # DEPENDENCYPART_ARC
