# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,1,5,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(15,10),(15,12),-0.00823953 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.00845358 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0468304 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0231891 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0243588 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.107484 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.107486 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0914505 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.00370084 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0591 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.00804536 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0468294 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0206767 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0274133 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0468297 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0206766 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0274133 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0515496 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0486069 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0694 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0701461 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.0333094 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.013448 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.0366154 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0014278 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0219077 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.0701461 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0279844 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0118961 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0234376 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0241815 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0452809 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0234376 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.0154291 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.179483 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.0941344 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.181616 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.104853 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0563895 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.13427 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.176622 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0896274 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.174817 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.175133 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.115291 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.174817 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.0374513 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.0175181 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.0605361 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.0144697 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.0149329 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0771038 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.0519051 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.00342496 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0473583 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0481021 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0517738 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0473583 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0304364 # DEPENDENCYPART_SIBL
(16,4),(16,5),-0.00331658 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.0019789 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.0232838 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0494266 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.00167713 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.013302 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.00348266 # DEPENDENCYPART_SIBL
(16,4),(16,13),0.00316687 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.0348504 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.00348266 # DEPENDENCYPART_SIBL
(16,4),(16,17),0.00355323 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.0032425 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.0200925 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.0719613 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0317497 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0103114 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0272028 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0279467 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0466321 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0272028 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.00508723 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.00771265 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.0787364 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.00465211 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.00695646 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.00284658 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.00316237 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0118553 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.00284658 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0471947 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0416385 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.00338809 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.023207 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.00158256 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.00189835 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.029395 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.00158256 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0837211 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.176622 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0896274 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.174817 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.175133 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.115291 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.174817 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0374513 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.00990217 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0284285 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0291724 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0470434 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0284285 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.00744865 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.113468 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.113788 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0842647 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.113468 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0653934 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0279467 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0466321 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0272028 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.00919282 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0466329 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0272031 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00919268 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0142201 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0406175 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.00919282 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.153333 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.0567993 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),-0.103881 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),-0.103431 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.0104084 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.262424 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),0.342517 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),0.198544 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),-0.108449 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.099876 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.326537 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),-0.0919737 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.146642 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.141923 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.673316 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),-0.0695683 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),-0.541063 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.0975688 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),-0.38546 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),-0.155797 # DEPENDENCYPART_GRANDPAR
(0,3),(3,16),-0.00349618 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),-0.084572 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.0640459 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.0717209 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.106949 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),-0.106603 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.136039 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.0901067 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.349084 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.141031 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.673836 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.546269 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.0648708 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.109476 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.379848 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.167704 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),-0.00288635 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),-0.0969782 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.153513 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.185586 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),-0.0915589 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),-0.0369105 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),-0.0744444 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),-0.317547 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),-0.10962 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),-0.187864 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.868972 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.0174571 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),-0.41014 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),0.00743397 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),-0.413463 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),0.0287321 # DEPENDENCYPART_GRANDPAR
(0,7),(7,15),-0.0281971 # DEPENDENCYPART_GRANDPAR
(0,7),(7,16),0.0752652 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),-0.160346 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),-0.17187 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.278618 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),0.00736505 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.0233607 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),-0.638077 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),-0.0479267 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),-0.641764 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),-0.19827 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),-0.0611244 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),-0.103431 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),0.387667 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.446894 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.503145 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),0.140773 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),0.198544 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),-0.32366 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),-0.307398 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),-0.326974 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.360417 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),0.210994 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),0.332873 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.0508638 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.775377 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.701776 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.260127 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.468849 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.31651 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),0.0782621 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),-0.349084 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),-0.175161 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),-0.0589718 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.558533 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.0497329 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.109476 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.383952 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.167704 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.0969782 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),-0.0901067 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),-0.350821 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.17864 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),0.137829 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.0589718 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),-0.558533 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.0497329 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.563623 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.380926 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.167704 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.00288638 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),-0.0969782 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),-0.616349 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.621652 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.178158 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),-0.24027 # DEPENDENCYPART_GRANDPAR
(0,15),(15,4),-0.349084 # DEPENDENCYPART_GRANDPAR
(0,15),(15,5),-0.118127 # DEPENDENCYPART_GRANDPAR
(0,15),(15,7),0.137829 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),-0.0589718 # DEPENDENCYPART_GRANDPAR
(0,15),(15,10),-0.558533 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),-0.0497329 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),-0.563623 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.120129 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.298581 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),-0.00288635 # DEPENDENCYPART_GRANDPAR
(0,15),(15,17),-0.0969782 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),-0.06548 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),-0.0166661 # DEPENDENCYPART_GRANDPAR
(0,16),(16,3),-0.0483655 # DEPENDENCYPART_GRANDPAR
(0,16),(16,4),-0.30149 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),-0.0835407 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),0.201164 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),0.557365 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),0.0604006 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),-0.516374 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),0.0266789 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),-0.521571 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.0787341 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.331277 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.136305 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),0.0433272 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),-0.310326 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-1.07613 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.0175726 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.31784 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.425215 # DEPENDENCYPART_GRANDPAR
(1,2),(2,16),-0.328654 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.06618 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.191011 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.287636 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),0.0185765 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.245714 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.336858 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.683089 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),0.0365846 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),0.026207 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.118751 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.190654 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.20717 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.240817 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-1.07858 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.126045 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.109613 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.467142 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.241658 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.684128 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.26754 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),0.0420263 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.138992 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.186598 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.227411 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.241767 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),-0.0819564 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.382559 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.276234 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.371096 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.0965621 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.307648 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.325817 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.102253 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.23961 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.168411 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.0352702 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.232729 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.199083 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.140405 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.383511 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.0681378 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.120738 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.1647 # DEPENDENCYPART_GRANDPAR
(2,4),(4,3),-0.0659056 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.176019 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.235617 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-0.254958 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.422553 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),-0.0988671 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.197488 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),-0.195176 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.143286 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.0295547 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),0.186972 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.242811 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.28042 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.277547 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.220169 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.146603 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),-0.202417 # DEPENDENCYPART_GRANDPAR
(2,16),(16,1),-0.254766 # DEPENDENCYPART_GRANDPAR
(2,16),(16,2),-0.414746 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,16),(16,3),-0.0891994 # DEPENDENCYPART_GRANDPAR
(2,16),(16,4),-0.194324 # DEPENDENCYPART_GRANDPAR
(2,16),(16,5),-0.185509 # DEPENDENCYPART_GRANDPAR
(2,16),(16,7),-0.188456 # DEPENDENCYPART_GRANDPAR
(2,16),(16,8),0.0979841 # DEPENDENCYPART_GRANDPAR
(2,16),(16,9),0.0908959 # DEPENDENCYPART_GRANDPAR
(2,16),(16,10),-0.242935 # DEPENDENCYPART_GRANDPAR
(2,16),(16,11),-0.143469 # DEPENDENCYPART_GRANDPAR
(2,16),(16,12),-0.278465 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),-0.221617 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-0.255783 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-0.14752 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.298418 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.0762177 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.865261 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,5),-0.593811 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.376818 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.803804 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.316208 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.726163 # DEPENDENCYPART_GRANDPAR
(3,2),(2,16),-0.695548 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.68385 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.489498 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.190853 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.110174 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.723151 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.171552 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.440452 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.100643 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.12798 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.598248 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.350668 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.245063 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.41722 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.313353 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.543837 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.413873 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.477373 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.492471 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,5),-0.223912 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-0.743258 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.246914 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.551334 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),-0.00522464 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),-0.284477 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),-0.130376 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.520784 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.244291 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.189927 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.214026 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.170669 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.255258 # DEPENDENCYPART_GRANDPAR
(3,7),(7,15),-0.379616 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),-0.429504 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-0.694952 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),-0.231593 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),-0.107492 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),-0.363055 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.191332 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.300084 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.236972 # DEPENDENCYPART_GRANDPAR
