# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,11,4,5,10,10,10,11,0,13,14,11,14,14,16,0,23,19,23,23,14,23,
(11,1),(11,19),0.00771331 # DEPENDENCYPART_SIBL
(11,1),(11,23),0.00326205 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.00598594 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0347224 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.00533614 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0373509 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.00719656 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.00719674 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.00564586 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0402641 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0440237 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0440237 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.106582 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0810489 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0440237 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.120486 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0440237 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.0982024 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0113486 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.00170005 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0521659 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0721993 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0721993 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0246162 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00384082 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.000179808 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.000179808 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0145679 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0055091 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.000179808 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0375423 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.000179808 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.00610123 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0833809 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.124463 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.222361 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.222361 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.067322 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0342883 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.138392 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.138392 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0756479 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0104952 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.138392 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.00493908 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.138392 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.117945 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0230141 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0300491 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0300491 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.00904079 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0081557 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0531352 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0531352 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0207854 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.073061 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0531352 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0489204 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0531352 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.0112073 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.108298 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.108298 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0192255 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0102352 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0723837 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0723837 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0827801 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0568185 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0723837 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0253459 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0723837 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.0726349 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.00592055 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.00902488 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.00813667 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0633243 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0633243 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0794544 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.032317 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0633243 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0803602 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.0633243 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.071075 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.00795786 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.00590388 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0603005 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0603005 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0783019 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0381498 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0603005 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0802123 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0603005 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.0699225 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00384082 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.000179808 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.000179808 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0157775 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.00878799 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.000179808 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0383837 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.000179808 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.00731083 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.158764 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.158764 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0847076 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0136136 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.158764 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.012417 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.158764 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.127005 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.217701 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.146655 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0543117 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.217703 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.107775 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.217701 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.153592 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.146655 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0543117 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.217703 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.107775 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.217701 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.153592 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0130802 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.102556 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0666458 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.102556 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.120432 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0653515 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0568221 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0653502 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.0469465 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.107775 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.217703 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.153592 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0273345 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.0251479 # DEPENDENCYPART_SIBL
(11,19),(11,23),-0.153592 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0663881 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0104734 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0654326 # DEPENDENCYPART_SIBL
(12,10),(12,24),-0.0372397 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0227569 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.021348 # DEPENDENCYPART_SIBL
(12,11),(12,24),-0.0591 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.00165279 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.0887528 # DEPENDENCYPART_SIBL
(12,15),(12,24),-0.0549269 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0372587 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0135478 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.0427683 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0427683 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.00631799 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0312248 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0535334 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0427683 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0177847 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0138609 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.000502912 # DEPENDENCYPART_SIBL
(13,3),(13,24),0.0121605 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.012718 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0281079 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.0281079 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0433029 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0389254 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0701331 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0281079 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0205663 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0653884 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0033802 # DEPENDENCYPART_SIBL
(13,4),(13,24),-0.0371781 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.115615 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.115615 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0486766 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0965613 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.029213 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.115615 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0378662 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0151475 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0443193 # DEPENDENCYPART_SIBL
(13,6),(13,24),-0.0822575 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.00935557 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0235235 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0163384 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0337037 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.00935557 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0191032 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0443334 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.00197088 # DEPENDENCYPART_SIBL
(13,7),(13,24),-0.0274872 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0245905 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0141056 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0337037 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.00783131 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0202558 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0385005 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.00461192 # DEPENDENCYPART_SIBL
(13,8),(13,24),-0.0274133 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0312248 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0535334 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0427683 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0165751 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0105821 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.000692424 # DEPENDENCYPART_SIBL
(13,9),(13,24),0.0117398 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0663881 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0296295 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0266813 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0654326 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.00588544 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.0372397 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.107484 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.00327991 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.021348 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.015691 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0591 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0202558 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0385005 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.00461192 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.0274133 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0321664 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.00512619 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.0694 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.00546946 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.0549269 # DEPENDENCYPART_SIBL
(13,18),(13,24),-0.07478 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.0142265 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.00156609 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0078068 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.0719337 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.0277289 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.0277284 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0181261 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.00971322 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.029411 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0277284 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0277284 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0262212 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0351923 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.0122159 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0310457 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.0351923 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0116923 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.0277445 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.0195818 # DEPENDENCYPART_SIBL
(14,2),(14,23),0.00770515 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.0137779 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0308686 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.0372927 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.000685546 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.000685362 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0356082 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.00610956 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.0301028 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.000685362 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.000685362 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0334658 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.00517782 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0152594 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0052929 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.00517782 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.00385633 # DEPENDENCYPART_SIBL
(14,3),(14,21),-0.0289949 # DEPENDENCYPART_SIBL
(14,3),(14,22),-0.0275297 # DEPENDENCYPART_SIBL
(14,3),(14,23),0.000772765 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.014372 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0829989 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.00275925 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.00275907 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.00858446 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0352797 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.00272451 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.00275907 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.00275907 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0704586 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.014658 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.00472154 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.000538286 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.014658 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.00883422 # DEPENDENCYPART_SIBL
(14,4),(14,21),0.0406949 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.044016 # DEPENDENCYPART_SIBL
(14,4),(14,23),0.0192337 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.041614 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.00273726 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.00273745 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.00965411 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0130556 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0232939 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.00273745 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.00273745 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0548829 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0137578 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.0493314 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0238839 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0137578 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0223848 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.0259028 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.0245217 # DEPENDENCYPART_SIBL
(14,5),(14,23),0.0321608 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.17054 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.17054 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.116537 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.10529 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0896274 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.17054 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.17054 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.00980694 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.00323158 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.00549256 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0301211 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.00323158 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.0206542 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.0156815 # DEPENDENCYPART_SIBL
(14,6),(14,22),-0.0124415 # DEPENDENCYPART_SIBL
(14,6),(14,23),-0.0147877 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0247368 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0179797 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.0141624 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.011549 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0247368 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0247368 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.0434003 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0095324 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.0102878 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0189513 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0095324 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.0352083 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.0302253 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.0220626 # DEPENDENCYPART_SIBL
(14,7),(14,23),4.69892e-05 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0170832 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.00840647 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0103114 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0229258 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0229258 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0281387 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0191828 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.00687183 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0206375 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.0191828 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0388042 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.0310913 # DEPENDENCYPART_SIBL
(14,8),(14,22),-0.0229286 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.00124379 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.00610956 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0301028 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.000685362 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.000685362 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0242104 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.00787545 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0194611 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.00836957 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.00787545 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.00578217 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0316925 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.0302274 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.00434409 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.00351123 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.00189409 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.00189409 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0486351 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0232645 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0277241 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0157027 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0232645 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0238124 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.0242211 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.0275422 # DEPENDENCYPART_SIBL
(14,10),(14,23),0.00905861 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.109191 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.109191 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0535724 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0165859 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0109203 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.00303207 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0165859 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.00382746 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.0225169 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.020445 # DEPENDENCYPART_SIBL
(14,11),(14,23),-0.00558995 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0229258 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0281387 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0191828 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.00687183 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0206375 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0191828 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0388042 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0310913 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.0229286 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.00124379 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0281387 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0191828 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.00687183 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0206375 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0191828 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0388042 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0310913 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0229286 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.00124379 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0111745 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0366516 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0111586 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0111758 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0248869 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.0495069 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0496049 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.0111996 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0287287 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0235525 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0147487 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.00766809 # DEPENDENCYPART_SIBL
