# _root_ " garai benetan korapilatsu eta zailak bizitzen ari_gara , eta ezin_dugu horrela bizitzen jarraitu , elkarrekin bizitzen ikasi behar_dugu .
#goldHeads=0,7,4,5,2,5,8,10,8,0,10,13,14,11,14,17,18,19,10,19,
#predictedHeads=0,7,4,5,2,5,8,10,8,0,10,11,14,11,14,17,18,19,0,19,
(14,2),(14,6),-0.0190478 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.00401211 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.00401211 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0732372 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.00554972 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.00401211 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.013597 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.00401211 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.018003 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.00659437 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.00774527 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.0100082 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.00318064 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0174629 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.00513363 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.00955421 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.00963488 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.00467933 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0174629 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.00955421 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0597633 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.00955421 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.0289093 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.0150592 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.0146759 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0119115 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0138285 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0135436 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.00744278 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.00744278 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.0494269 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0138285 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.00744278 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0225147 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.00744278 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.00387773 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0062833 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.0066666 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0101335 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.0570277 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.0320779 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.0320779 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.0893678 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.00691003 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0320779 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0265644 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0320779 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.00497659 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0176663 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0180496 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0209541 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.00744278 # DEPENDENCYPART_SIBL
(14,6),(14,8),0.00744278 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0494269 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0138285 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.00744278 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0225147 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.00744278 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.00387773 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.00522494 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.00560824 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.00907511 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0137979 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.076303 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.00888931 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0137967 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0092123 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0137967 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.00133199 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.00695433 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.00657103 # DEPENDENCYPART_SIBL
(14,7),(14,19),0.00314039 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.076303 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.00888916 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0137967 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0092123 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0137967 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0030261 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.00747432 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.00709103 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.00366038 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0901539 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.099394 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.1309 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.099394 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.00338684 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0193608 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0197441 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0224769 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0320779 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0265644 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0320779 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.00497659 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0176663 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0180496 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0209541 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0092123 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0137967 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.00133199 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.00695433 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.00657103 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.00314039 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.00368848 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0301752 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.014335 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0147183 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0175145 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.00133199 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.00695433 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.00657103 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.00314039 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0301547 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0301547 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0258644 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0138141 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.00999596 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0101758 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.377183 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.36641 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.00845786 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.013302 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.013543 # DEPENDENCYPART_SIBL
(17,4),(17,7),0.00418764 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.00418764 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.0494266 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.013302 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.00418764 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.0211711 # DEPENDENCYPART_SIBL
(17,4),(17,13),0.00418764 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.00247338 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.0494266 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.0125705 # DEPENDENCYPART_SIBL
(17,4),(17,18),-0.00321274 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.00591912 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.0565263 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.0348323 # DEPENDENCYPART_SIBL
(17,5),(17,8),-0.0348323 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.0888668 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.00793731 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.0348323 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.0247201 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.0348323 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.0365466 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0888668 # DEPENDENCYPART_SIBL
(17,5),(17,16),-0.0188541 # DEPENDENCYPART_SIBL
(17,5),(17,18),-0.00625972 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.00840378 # DEPENDENCYPART_SIBL
(17,6),(17,7),0.00418764 # DEPENDENCYPART_SIBL
(17,6),(17,8),0.00418764 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0494266 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.013302 # DEPENDENCYPART_SIBL
(17,6),(17,11),0.00418764 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.0211711 # DEPENDENCYPART_SIBL
(17,6),(17,13),0.00418764 # DEPENDENCYPART_SIBL
(17,6),(17,14),0.00247338 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.0494266 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0125705 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.00215438 # DEPENDENCYPART_SIBL
(17,6),(17,19),-0.00486076 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.0281429 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0829989 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.00272451 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0281416 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.0145641 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0281416 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0331244 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0829989 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0624654 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.00552767 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.00286765 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0829989 # DEPENDENCYPART_SIBL
(17,8),(17,10),0.00272436 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.0281416 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.0145641 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.0281416 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0331244 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0829989 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.0624654 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.00604766 # DEPENDENCYPART_SIBL
(17,8),(17,19),0.00338764 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0896274 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.102649 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.129557 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.102649 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.104363 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.13427 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.108148 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.016291 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.0182633 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0348323 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.0247201 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.0348323 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0365466 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0888668 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.0188541 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.00625972 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.00840378 # DEPENDENCYPART_SIBL
(17,11),(17,12),-0.0145641 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0281416 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0331244 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.0829989 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0624654 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.00552767 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.00286765 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.00108879 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0149727 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.0663571 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0154296 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0219681 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.0240038 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0331244 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0829989 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0624654 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.00552767 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.00286765 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0829992 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0624657 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.00779187 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.00513185 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.108148 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.016291 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0182633 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.00146651 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.00240838 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0184332 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.013302 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.013543 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.000729347 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.013302 # DEPENDENCYPART_SIBL
(18,4),(18,11),0.000729347 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0211711 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.000729347 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.00098491 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0494266 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.0125705 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.000729347 # DEPENDENCYPART_SIBL
(18,4),(18,19),0.0012848 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.00373177 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.0566023 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.0384425 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.00786137 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.0384425 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.024796 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.0384425 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0401568 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0889427 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.0189301 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.0384425 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.00231068 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0664041 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.000729347 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.013302 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.000729347 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.0211711 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.000729347 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.00098491 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0494266 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.0125705 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.000729347 # DEPENDENCYPART_SIBL
(18,6),(18,19),0.00234316 # DEPENDENCYPART_SIBL
(18,6),(18,20),0.00373177 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.00272436 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0315999 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0145641 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.0315999 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0365827 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0829989 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.0624654 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0315999 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.0256228 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0467523 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0384425 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.024796 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.0384425 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.0401568 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.0889427 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0189301 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.0384425 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.00231068 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0664041 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0145641 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.0315999 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0365827 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0829989 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0624654 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0315999 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0251028 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0459052 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0023695 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.018431 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0663571 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0154296 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0023695 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0167998 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.137183 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0365827 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.0829989 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.0624654 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0315999 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0251028 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0459052 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0829992 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0624657 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0316002 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0273671 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0292757 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.108148 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.106108 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0110594 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0374513 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.00600928 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.00479554 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0625302 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0251028 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0459052 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0387181 # DEPENDENCYPART_SIBL
(19,3),(19,5),0.000722502 # DEPENDENCYPART_SIBL
(19,3),(19,7),-0.030185 # DEPENDENCYPART_SIBL
(19,3),(19,10),0.000722502 # DEPENDENCYPART_SIBL
(19,3),(19,12),-0.0641111 # DEPENDENCYPART_SIBL
(19,3),(19,13),-0.030185 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.05059 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.030185 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.030185 # DEPENDENCYPART_SIBL
(19,3),(19,20),0.0508933 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.0557755 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.0082443 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.031627 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.0557755 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.0618332 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.0557755 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.0557755 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0862366 # DEPENDENCYPART_SIBL
(19,7),(19,10),-0.0110553 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.0173054 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.0395072 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.0504677 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.0395072 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.0395072 # DEPENDENCYPART_SIBL
(19,7),(19,20),-0.0619368 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.031627 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.0557755 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.0618332 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.0557755 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.0557755 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.0862366 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.0264278 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0468327 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.0264278 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.0264278 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.119123 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.0504677 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0395072 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.0395072 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0619368 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0395075 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0395075 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0405005 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0395072 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0619368 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0752643 # DEPENDENCYPART_SIBL
(0,2),(2,1),-0.303433 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.245705 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.227275 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.10092 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.228003 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.129161 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.327806 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.277901 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),-0.408459 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.107284 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.12602 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.197931 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.348545 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.363501 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.502314 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.367003 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.23799 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.430938 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.27687 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.229586 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),0.0142591 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.271684 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.0494358 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),-0.311207 # DEPENDENCYPART_GRANDPAR
(0,5),(5,18),-0.195454 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.0992096 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),-0.077666 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),-0.147031 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),-0.214231 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),-0.00934211 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),-0.214966 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.467418 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.173332 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),0.0298791 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),0.0655864 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),-0.215576 # DEPENDENCYPART_GRANDPAR
(0,7),(7,15),-0.0313948 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),-0.108548 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),-0.175256 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),-0.235926 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),-0.0444316 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.236662 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.266559 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),-0.164047 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),0.0243427 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),0.0607198 # DEPENDENCYPART_GRANDPAR
