# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,16,22,22,14,16,16,17,22,19,20,21,22,9,22,
(9,12),(9,22),-0.0430255 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.146655 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0323024 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.146655 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.218431 # DEPENDENCYPART_SIBL
(9,14),(9,21),-0.146655 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.148446 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0125337 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.117136 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.102556 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.117136 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.122257 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0932112 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.0640873 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.0937823 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.0911821 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.102556 # DEPENDENCYPART_SIBL
(9,19),(9,21),-0.117136 # DEPENDENCYPART_SIBL
(9,19),(9,22),-0.122257 # DEPENDENCYPART_SIBL
(9,20),(9,21),-0.146672 # DEPENDENCYPART_SIBL
(9,20),(9,22),-0.148463 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.11524 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.029213 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0523377 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0162611 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.029658 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0357947 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.022905 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0595737 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00588965 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0262071 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.00892937 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.108121 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0636739 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0711578 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0294015 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.029213 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.115615 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0496274 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0684445 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.00970876 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.0822575 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.107484 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0690272 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.118604 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.00815348 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.0591 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.00316842 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0135043 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0160178 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.0274133 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.01191 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.000939546 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.027835 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.00784704 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.0738575 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0541825 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0130655 # DEPENDENCYPART_SIBL
(16,1),(16,2),0.00025934 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.0719613 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.0272028 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.00025934 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.000664211 # DEPENDENCYPART_SIBL
(16,1),(16,8),-0.0719613 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.0103114 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0272028 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0363589 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.00774685 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0210223 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0272028 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0496433 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0221216 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.00514746 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.00577106 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.0201186 # DEPENDENCYPART_SIBL
(16,1),(16,21),-0.00577855 # DEPENDENCYPART_SIBL
(16,1),(16,22),-0.0136563 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.0829989 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.00703606 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.0281416 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0281416 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0829989 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.00272451 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.00703606 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0174101 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0143878 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0122223 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.00703606 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.070627 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.00437792 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.0341121 # DEPENDENCYPART_SIBL
(16,2),(16,19),0.00591096 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.014658 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.00689845 # DEPENDENCYPART_SIBL
(16,2),(16,22),-0.000492374 # DEPENDENCYPART_SIBL
(16,4),(16,5),-0.174817 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.102649 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.102649 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.13427 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0896274 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.174817 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0770864 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.059902 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.112439 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.174817 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.126974 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0452097 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0158404 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0159077 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.00323158 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.0159077 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0204368 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.00025934 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.000664211 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.0719613 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.0103114 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0272028 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0363589 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.00774685 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0210223 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0272028 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0496433 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0221216 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.00514746 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.00577106 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0201186 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.00577855 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0136563 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.0281416 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0829989 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.00272451 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.00703606 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0174101 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.0143878 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0122223 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.00703606 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.070627 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.00437792 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0341121 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.00591096 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.014658 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.00689845 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.000492374 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0829989 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.00272451 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.00703606 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0174101 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.0143878 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0122223 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.00703606 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.070627 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.00437792 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0341121 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.00591096 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.0141483 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.00689845 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.000492374 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0896274 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.174817 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0770864 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.059902 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.112439 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.174817 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.126974 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0452097 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0158404 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0159077 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.00323158 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0159077 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.0204368 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.113468 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0356926 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0445154 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.0944397 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.113468 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0262438 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.00499384 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.011572 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.00587643 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.0165859 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.00587643 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0108812 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0363589 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.00774685 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0210223 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0272028 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0496433 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0221216 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.00514746 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.00577106 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0201186 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.00577855 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.0136563 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.29879 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0416489 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0270943 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0531847 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0363728 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.281501 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0354 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0230382 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.0354 # DEPENDENCYPART_SIBL
(16,11),(16,22),0.0298189 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0271468 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0015435 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.00693925 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0341514 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0498019 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0317946 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0137762 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0317946 # DEPENDENCYPART_SIBL
(16,12),(16,22),0.0269464 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.000228221 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0309399 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0300329 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0126526 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.000850349 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.000831548 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.000850349 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.0053806 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0496433 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0221216 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.00514746 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.00577106 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0201186 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.00577855 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0136563 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.011951 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0579381 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0106299 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0262335 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0106299 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0165625 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0273455 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0256127 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.00258793 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0261838 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0253316 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0100983 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.004977 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0100983 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0132656 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0453893 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0220715 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.0259352 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.015333 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.0191736 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.0189186 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.0243826 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0109088 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.222361 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.087553 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0243826 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.0280543 # DEPENDENCYPART_SIBL
(17,6),(17,19),0.0756479 # DEPENDENCYPART_SIBL
(17,6),(17,20),-0.138392 # DEPENDENCYPART_SIBL
(17,6),(17,21),0.0805854 # DEPENDENCYPART_SIBL
(17,6),(17,22),0.0413746 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0109088 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.222361 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.087553 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0243826 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0280543 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0756479 # DEPENDENCYPART_SIBL
(17,7),(17,20),-0.138902 # DEPENDENCYPART_SIBL
(17,7),(17,21),0.0805854 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.0413746 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.029788 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.0245378 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.00316548 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0803528 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.00241906 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.0363367 # DEPENDENCYPART_SIBL
(17,9),(17,21),0.00439404 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.0171078 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0265444 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.000362169 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.144028 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0783019 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.0603005 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0763344 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0982068 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0560026 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0274056 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0157443 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0845977 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0177193 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.00427636 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0280543 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0756479 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.138392 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0805854 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0413746 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.133185 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0993474 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.133185 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.134638 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.102556 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.117136 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.122257 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.146672 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.148463 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.11524 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.027332 # DEPENDENCYPART_SIBL
(19,1),(19,2),0.00025934 # DEPENDENCYPART_SIBL
(19,1),(19,4),-0.0719613 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.0272028 # DEPENDENCYPART_SIBL
(19,1),(19,6),0.00025934 # DEPENDENCYPART_SIBL
(19,1),(19,7),-0.000664211 # DEPENDENCYPART_SIBL
(19,1),(19,8),-0.0719613 # DEPENDENCYPART_SIBL
(19,1),(19,9),0.0103114 # DEPENDENCYPART_SIBL
(19,1),(19,10),-0.0272028 # DEPENDENCYPART_SIBL
(19,1),(19,11),0.0363589 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.00774685 # DEPENDENCYPART_SIBL
(19,1),(19,13),-0.0210223 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.0272028 # DEPENDENCYPART_SIBL
(19,1),(19,15),-0.0496433 # DEPENDENCYPART_SIBL
(19,1),(19,16),0.00025934 # DEPENDENCYPART_SIBL
(19,1),(19,17),0.0103114 # DEPENDENCYPART_SIBL
(19,1),(19,18),0.0363589 # DEPENDENCYPART_SIBL
(19,1),(19,20),-0.0201186 # DEPENDENCYPART_SIBL
(19,1),(19,21),-0.00577855 # DEPENDENCYPART_SIBL
(19,1),(19,22),-0.0136563 # DEPENDENCYPART_SIBL
(19,2),(19,4),-0.0829989 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.00703606 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.0281416 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.0281416 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.0829989 # DEPENDENCYPART_SIBL
(19,2),(19,9),0.00272451 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.00703606 # DEPENDENCYPART_SIBL
(19,2),(19,11),0.0174101 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.0143878 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.0122223 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.00703606 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.070627 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.0281416 # DEPENDENCYPART_SIBL
(19,2),(19,17),0.00272451 # DEPENDENCYPART_SIBL
(19,2),(19,18),0.0174101 # DEPENDENCYPART_SIBL
(19,2),(19,20),0.014658 # DEPENDENCYPART_SIBL
(19,2),(19,21),0.00689845 # DEPENDENCYPART_SIBL
(19,2),(19,22),-0.000492374 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.174817 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.102649 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.102649 # DEPENDENCYPART_SIBL
(19,4),(19,8),-0.13427 # DEPENDENCYPART_SIBL
(19,4),(19,9),-0.0896274 # DEPENDENCYPART_SIBL
(19,4),(19,10),-0.174817 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.0770864 # DEPENDENCYPART_SIBL
(19,4),(19,12),-0.059902 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.112439 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.174817 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.126974 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.102649 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.0896274 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.0770864 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.00323158 # DEPENDENCYPART_SIBL
(19,4),(19,21),-0.0159077 # DEPENDENCYPART_SIBL
(19,4),(19,22),-0.0204368 # DEPENDENCYPART_SIBL
(19,5),(19,6),0.00025934 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.000664211 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.0719613 # DEPENDENCYPART_SIBL
(19,5),(19,9),0.0103114 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.0272028 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.0363589 # DEPENDENCYPART_SIBL
(19,5),(19,12),0.00774685 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.0210223 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.0272028 # DEPENDENCYPART_SIBL
(19,5),(19,15),-0.0496433 # DEPENDENCYPART_SIBL
(19,5),(19,16),0.00025934 # DEPENDENCYPART_SIBL
(19,5),(19,17),0.0103114 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.0363589 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0201186 # DEPENDENCYPART_SIBL
(19,5),(19,21),-0.00577855 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.0136563 # DEPENDENCYPART_SIBL
(19,6),(19,7),-0.0281416 # DEPENDENCYPART_SIBL
(19,6),(19,8),-0.0829989 # DEPENDENCYPART_SIBL
(19,6),(19,9),0.00272451 # DEPENDENCYPART_SIBL
(19,6),(19,10),-0.00703606 # DEPENDENCYPART_SIBL
(19,6),(19,11),0.0174101 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.0143878 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.0122223 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.00703606 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.070627 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.0281416 # DEPENDENCYPART_SIBL
(19,6),(19,17),0.00272451 # DEPENDENCYPART_SIBL
(19,6),(19,18),0.0174101 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.014658 # DEPENDENCYPART_SIBL
(19,6),(19,21),0.00689845 # DEPENDENCYPART_SIBL
(19,6),(19,22),-0.000492374 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.0829989 # DEPENDENCYPART_SIBL
(19,7),(19,9),0.00272451 # DEPENDENCYPART_SIBL
(19,7),(19,10),-0.00703606 # DEPENDENCYPART_SIBL
(19,7),(19,11),0.0174101 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.0143878 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.0122223 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.00703606 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.070627 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.0281416 # DEPENDENCYPART_SIBL
(19,7),(19,17),0.00272451 # DEPENDENCYPART_SIBL
(19,7),(19,18),0.0174101 # DEPENDENCYPART_SIBL
(19,7),(19,20),0.0141483 # DEPENDENCYPART_SIBL
(19,7),(19,21),0.00689845 # DEPENDENCYPART_SIBL
(19,7),(19,22),-0.000492374 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.0896274 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.174817 # DEPENDENCYPART_SIBL
(19,8),(19,11),-0.0770864 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.059902 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.112439 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.174817 # DEPENDENCYPART_SIBL
(19,8),(19,15),-0.126974 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.102649 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.0896274 # DEPENDENCYPART_SIBL
