# _root_ urtero bezalaxe jarri dira , ailegatu bezain agudo , plaza_erdian danborra eta turutarekin abisua emanez .
#goldHeads=3,1,0,3,4,3,6,7,8,15,12,15,12,15,3,15,
#predictedHeads=3,3,0,3,4,3,6,7,8,11,12,14,12,15,3,15,
(15,3),(15,14),-0.020164 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.049903 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.0407226 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.00550076 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.00843694 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.005465 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.0407226 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.00177378 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.00177378 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0462082 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.00177378 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.00177378 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.103353 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.1033 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.106422 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.113318 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.13427 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.171924 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.171924 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0932787 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.171924 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.171924 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0374513 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.00167993 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0070154 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0846493 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0066443 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0066443 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.00496375 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0066443 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0066443 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0548899 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0467345 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0487264 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0187414 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0187414 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.00481786 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0187414 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0187414 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.111682 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0444768 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0140836 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.0140836 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.0167506 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0140836 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0140836 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.0967723 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.171924 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.171924 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0932787 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.171924 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.171924 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0374513 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0173667 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0101099 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0173667 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0173667 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.00878599 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0101099 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0173667 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0173667 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.00878599 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.110575 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.110575 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0679267 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0173667 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.00878599 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.00878599 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.0499847 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.0425847 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.356232 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.398087 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.0290419 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.145319 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),-0.0828776 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.376562 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.0310833 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.680923 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.121165 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.116002 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.0702893 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.113395 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),0.113224 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.242046 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),-0.0688908 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.272179 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.182725 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),-0.0228992 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),0.0619 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.0597348 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.335731 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.139517 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.0238114 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.0875618 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.0366304 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),0.248452 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),-0.0743168 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.687377 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.177524 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.194431 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.143926 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.385125 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.0396462 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.500664 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.287312 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.157124 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.0686629 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.111769 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.117294 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.246585 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.0643515 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.259541 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.178185 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.0183599 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),0.0645048 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.427256 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),-0.0215295 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),-0.0546693 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),0.022692 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),-0.083977 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),-0.391924 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),0.179985 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),-0.508748 # DEPENDENCYPART_GRANDPAR
(0,7),(7,14),-0.348922 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.0198292 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.0566021 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.0310319 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),-0.0837008 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),-0.391648 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),0.180258 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),-0.508472 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),-0.348646 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),0.177524 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.246452 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.124065 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),0.143926 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.290893 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),-0.0604423 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),0.0426292 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.125057 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.0771471 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.034688 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.230066 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.346843 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.187018 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.0576009 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.0636118 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.289666 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),-0.0616693 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.442481 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),0.0414022 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.00393474 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.126284 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.0783741 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.033461 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),0.0655514 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),0.151132 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.347984 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),-0.0663425 # DEPENDENCYPART_GRANDPAR
(0,12),(12,1),0.177849 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),-0.173486 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),0.540253 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),0.0921791 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),-0.23885 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.190191 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),0.144524 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.149784 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.455168 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.49565 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.335824 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),0.021036 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.290893 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.23811 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),0.16741 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.187018 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.0576009 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.0636118 # DEPENDENCYPART_GRANDPAR
(0,14),(14,1),0.290893 # DEPENDENCYPART_GRANDPAR
(0,14),(14,2),-0.0604423 # DEPENDENCYPART_GRANDPAR
(0,14),(14,3),0.443711 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),0.034688 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),0.0672741 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.23811 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),0.16741 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.357497 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),-0.0576009 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),-0.0636118 # DEPENDENCYPART_GRANDPAR
(0,15),(15,1),0.390652 # DEPENDENCYPART_GRANDPAR
(0,15),(15,2),0.0451738 # DEPENDENCYPART_GRANDPAR
(0,15),(15,3),0.507547 # DEPENDENCYPART_GRANDPAR
(0,15),(15,4),0.294023 # DEPENDENCYPART_GRANDPAR
(0,15),(15,5),0.161995 # DEPENDENCYPART_GRANDPAR
(0,15),(15,6),0.0657026 # DEPENDENCYPART_GRANDPAR
(0,15),(15,7),-0.0134714 # DEPENDENCYPART_GRANDPAR
(0,15),(15,8),0.028469 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),0.154054 # DEPENDENCYPART_GRANDPAR
(0,15),(15,10),0.116647 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),-0.188737 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),0.241315 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.308124 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.148298 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),0.0766928 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.32964 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.289111 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.0742853 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),0.378481 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.107292 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.086906 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.0983789 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),-0.0173797 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.0696694 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.0369116 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.879372 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,5),-0.403954 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.251221 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.615694 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.556053 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.215286 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.425621 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.486738 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.472374 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.130977 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.465681 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.482617 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.426913 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.477911 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.504411 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.401299 # DEPENDENCYPART_GRANDPAR
(2,5),(5,3),-0.179187 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.505767 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.380187 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.352949 # DEPENDENCYPART_GRANDPAR
(2,7),(7,3),-0.329492 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.345197 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.429961 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),0.0239808 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.521303 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.537242 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.399346 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.533532 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.560032 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.344856 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),-0.433019 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),0.0342134 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.518733 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.534672 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.39678 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.530963 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.557463 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.461798 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.0425634 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.220189 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.531282 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,5),-0.0425502 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.157517 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.0783908 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),0.234445 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.373014 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.172267 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.123553 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.0630819 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.0195508 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.136203 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),-0.236802 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.0502474 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.294633 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.168135 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.19222 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.0124232 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),0.238393 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.383947 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),-0.267045 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.184434 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.0669719 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.134445 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.0764617 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.0880726 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),0.029042 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.0836962 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.0571349 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.0102044 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),-0.192182 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.339299 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,6),0.216231 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),0.173465 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),0.0600068 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.163144 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.0450329 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.055527 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.132206 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.0852759 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.207637 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.022209 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.0594101 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.177185 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.0590738 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.0695754 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),-0.146247 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),-0.0993168 # DEPENDENCYPART_GRANDPAR
(3,9),(9,4),-0.294633 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.508816 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.0931726 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),-0.19222 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),0.0774564 # DEPENDENCYPART_GRANDPAR
(3,10),(10,2),0.329257 # DEPENDENCYPART_GRANDPAR
(3,10),(10,5),0.147875 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),0.00441393 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),0.0827598 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),-0.133033 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),0.0710271 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.0160833 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),0.0308471 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),-0.0679518 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),0.095627 # DEPENDENCYPART_GRANDPAR
(3,11),(11,1),0.0774563 # DEPENDENCYPART_GRANDPAR
(3,11),(11,2),0.329257 # DEPENDENCYPART_GRANDPAR
(3,11),(11,3),-0.223005 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,11),(11,5),0.147164 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),0.336164 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.00370259 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),0.0820485 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.133744 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.085093 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.0211922 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.0140406 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),0.101876 # DEPENDENCYPART_GRANDPAR
(3,12),(12,1),-0.0510533 # DEPENDENCYPART_GRANDPAR
(3,12),(12,2),0.200747 # DEPENDENCYPART_GRANDPAR
(3,12),(12,3),-0.251849 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,12),(12,6),0.30298 # DEPENDENCYPART_GRANDPAR
(3,12),(12,7),0.0201896 # DEPENDENCYPART_GRANDPAR
(3,12),(12,8),0.099663 # DEPENDENCYPART_GRANDPAR
(3,12),(12,9),-0.137218 # DEPENDENCYPART_GRANDPAR
(3,12),(12,10),-0.0883921 # DEPENDENCYPART_GRANDPAR
(3,12),(12,11),0.0300011 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),0.0399159 # DEPENDENCYPART_GRANDPAR
(3,12),(12,14),0.0868463 # DEPENDENCYPART_GRANDPAR
(3,12),(12,15),-0.134068 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),0.0774564 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),0.0345532 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),0.00797947 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),0.0308471 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.0679518 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),0.095627 # DEPENDENCYPART_GRANDPAR
(3,14),(14,1),0.0774564 # DEPENDENCYPART_GRANDPAR
(3,14),(14,2),0.329257 # DEPENDENCYPART_GRANDPAR
(3,14),(14,3),-0.222293 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,14),(14,9),-0.133033 # DEPENDENCYPART_GRANDPAR
(3,14),(14,10),-0.0838399 # DEPENDENCYPART_GRANDPAR
(3,14),(14,11),0.0345532 # DEPENDENCYPART_GRANDPAR
(3,14),(14,12),0.00797947 # DEPENDENCYPART_GRANDPAR
(3,14),(14,13),-0.0529022 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),-0.0679518 # DEPENDENCYPART_GRANDPAR
(3,14),(14,16),0.095627 # DEPENDENCYPART_GRANDPAR
(3,15),(15,1),-0.0126966 # DEPENDENCYPART_GRANDPAR
(3,15),(15,2),0.23812 # DEPENDENCYPART_GRANDPAR
(3,15),(15,3),-0.38624 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,15),(15,4),-0.267457 # DEPENDENCYPART_GRANDPAR
(3,15),(15,5),0.181449 # DEPENDENCYPART_GRANDPAR
(3,15),(15,6),0.170199 # DEPENDENCYPART_GRANDPAR
(3,15),(15,7),0.0520858 # DEPENDENCYPART_GRANDPAR
(3,15),(15,8),0.114632 # DEPENDENCYPART_GRANDPAR
(3,15),(15,9),-0.0994595 # DEPENDENCYPART_GRANDPAR
(3,15),(15,10),-0.130318 # DEPENDENCYPART_GRANDPAR
(3,15),(15,11),-0.0119253 # DEPENDENCYPART_GRANDPAR
(3,15),(15,12),-0.0850295 # DEPENDENCYPART_GRANDPAR
(3,15),(15,13),-0.0993807 # DEPENDENCYPART_GRANDPAR
(3,15),(15,14),-0.0524503 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),0.250687 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.104442 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.160526 # DEPENDENCYPART_GRANDPAR
(4,2),(2,5),-0.156786 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.458813 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.477508 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.139 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.116669 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-0.81123 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.175832 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.706429 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.483761 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.502456 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-0.26132 # DEPENDENCYPART_GRANDPAR
(4,3),(3,10),-0.524712 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.45715 # DEPENDENCYPART_GRANDPAR
(4,3),(3,12),-0.308996 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-0.513289 # DEPENDENCYPART_GRANDPAR
