# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,1,5,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
(14,13),(14,18),0.0235986 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0417044 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0181336 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0592926 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.00337613 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0798702 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0684639 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.0343893 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0479553 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.00150652 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.000134698 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0643587 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0141956 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0319848 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00862201 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0109353 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0886067 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0241304 # DEPENDENCYPART_SIBL
(17,1),(17,4),-0.0449751 # DEPENDENCYPART_SIBL
(17,1),(17,5),-0.0449751 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.0467482 # DEPENDENCYPART_SIBL
(17,1),(17,7),0.00575439 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0322629 # DEPENDENCYPART_SIBL
(17,1),(17,10),0.0612905 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.04802 # DEPENDENCYPART_SIBL
(17,1),(17,12),0.0612905 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0449751 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.0438872 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0534508 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.0184362 # DEPENDENCYPART_SIBL
(17,1),(17,18),0.0971476 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.0449751 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.0467482 # DEPENDENCYPART_SIBL
(17,4),(17,7),0.00575439 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.0322629 # DEPENDENCYPART_SIBL
(17,4),(17,10),0.0612905 # DEPENDENCYPART_SIBL
(17,4),(17,11),-0.04802 # DEPENDENCYPART_SIBL
(17,4),(17,12),0.0612905 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.0449751 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.0438872 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.0534508 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.0184362 # DEPENDENCYPART_SIBL
(17,4),(17,18),0.0971476 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.0467482 # DEPENDENCYPART_SIBL
(17,5),(17,7),0.00575439 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.0322629 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.0612905 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.04802 # DEPENDENCYPART_SIBL
(17,5),(17,12),0.0612905 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.0449751 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.0438872 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0534508 # DEPENDENCYPART_SIBL
(17,5),(17,16),-0.0184362 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.0971476 # DEPENDENCYPART_SIBL
(17,6),(17,7),0.00295465 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0350625 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.0584909 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.0404029 # DEPENDENCYPART_SIBL
(17,6),(17,12),0.0584909 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.037358 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0362701 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.0562504 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0212358 # DEPENDENCYPART_SIBL
(17,6),(17,18),0.0975846 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0319903 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0808646 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0160022 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.0808646 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.015041 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0150505 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.0279097 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.0218487 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0168515 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.00273094 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.108881 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.00273094 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.108306 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.108307 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0392349 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.0378622 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0194596 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0864645 # DEPENDENCYPART_SIBL
(17,10),(17,12),0.0546879 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.0864625 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0884144 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.029965 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0124329 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.031086 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.0525305 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.0628062 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0617182 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.0615434 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0257715 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.0984893 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.0864625 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0884144 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.029965 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.0124329 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.031086 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0438872 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0534508 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0184362 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0971476 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0548591 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0185698 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0970793 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.00320304 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.102811 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.14631 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.124864 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.00685498 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.141794 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),-0.349761 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.00305903 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.246814 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),0.223072 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),0.139615 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.241566 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),0.434658 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.238395 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.107569 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.141794 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),-0.349761 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.00305903 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.238395 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.107569 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.0175081 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.349761 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.00305903 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.238395 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.107569 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.0175081 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.152447 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.00305903 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.223072 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.139615 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.233477 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),0.485886 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.308403 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),6.92319e-05 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.0524996 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),-0.0824393 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),-0.290406 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),0.0948585 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.474947 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.059304 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),0.273596 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),-0.0467254 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),0.100754 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),-0.345815 # DEPENDENCYPART_GRANDPAR
(0,7),(7,14),0.0310038 # DEPENDENCYPART_GRANDPAR
(0,7),(7,16),-0.251597 # DEPENDENCYPART_GRANDPAR
(0,7),(7,17),0.605255 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),-0.0600069 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),-0.402912 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.0401525 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),-0.0575705 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),0.16615 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),-0.327251 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),-0.00669168 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),-0.0143367 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),0.444717 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.0818299 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.345259 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),0.172417 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.0213373 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),-0.234566 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.369505 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.577471 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.209426 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.266935 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.201965 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.0289554 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.366073 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.177117 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),-0.678823 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.30203 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.432887 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-0.141169 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.0163533 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.129747 # DEPENDENCYPART_GRANDPAR
(0,12),(12,1),0.0213373 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),-0.234566 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),-0.369505 # DEPENDENCYPART_GRANDPAR
(0,12),(12,5),-0.577471 # DEPENDENCYPART_GRANDPAR
(0,12),(12,6),-0.209426 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),0.266935 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.201965 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),-0.0289554 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),0.0235876 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.451557 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),-0.678823 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.30203 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.666361 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.489949 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),0.432887 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.243609 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.147432 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),0.485886 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),-0.155111 # DEPENDENCYPART_GRANDPAR
(0,14),(14,6),0.000456319 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),0.189479 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),-0.133643 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),0.158612 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.246273 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.0142303 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.543333 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),-0.594255 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),-0.493544 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),0.486165 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),0.0201417 # DEPENDENCYPART_GRANDPAR
(0,15),(15,7),-0.00857291 # DEPENDENCYPART_GRANDPAR
(0,15),(15,17),0.308455 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),0.0409742 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.135239 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.630991 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),0.440109 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),-0.00615935 # DEPENDENCYPART_GRANDPAR
(0,17),(17,1),0.356689 # DEPENDENCYPART_GRANDPAR
(0,17),(17,4),-0.0341533 # DEPENDENCYPART_GRANDPAR
(0,17),(17,5),-0.24212 # DEPENDENCYPART_GRANDPAR
(0,17),(17,6),0.119932 # DEPENDENCYPART_GRANDPAR
(0,17),(17,7),0.281364 # DEPENDENCYPART_GRANDPAR
(0,17),(17,9),0.0280931 # DEPENDENCYPART_GRANDPAR
(0,17),(17,10),0.304143 # DEPENDENCYPART_GRANDPAR
(0,17),(17,11),-0.137801 # DEPENDENCYPART_GRANDPAR
(0,17),(17,12),0.131301 # DEPENDENCYPART_GRANDPAR
(0,17),(17,13),-0.422376 # DEPENDENCYPART_GRANDPAR
(0,17),(17,14),-0.0125199 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),-0.538476 # DEPENDENCYPART_GRANDPAR
(0,17),(17,16),-0.229764 # DEPENDENCYPART_GRANDPAR
(0,17),(17,18),0.297294 # DEPENDENCYPART_GRANDPAR
(0,18),(18,14),-0.26277 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.436536 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,7),-0.495007 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.438992 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.0733745 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.666236 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.351151 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.140292 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.438992 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.0733745 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.151941 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.351151 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.140292 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.438992 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.0733745 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),-0.151941 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),-0.564777 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.140292 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.46805 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),0.0899609 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.384527 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),0.166492 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.442769 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),0.0755363 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),-0.155718 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),-0.568554 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.253469 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.408241 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.472497 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),0.0690758 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),0.085039 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.388123 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),0.0836874 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-0.426007 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),0.162045 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),-0.1784 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-0.521964 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,2),0.0836833 # DEPENDENCYPART_GRANDPAR
(1,7),(7,3),-0.234914 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),-0.647749 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),-0.332664 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.110665 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),-0.35705 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),0.0938455 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),0.12595 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.229146 # DEPENDENCYPART_GRANDPAR
(1,7),(7,12),0.124598 # DEPENDENCYPART_GRANDPAR
(1,7),(7,13),-0.278605 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),-0.273376 # DEPENDENCYPART_GRANDPAR
(1,7),(7,16),0.0940255 # DEPENDENCYPART_GRANDPAR
(1,7),(7,17),0.213931 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),-0.220196 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.317947 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.104499 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),0.1277 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),0.0978045 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),-0.327149 # DEPENDENCYPART_GRANDPAR
(1,8),(8,12),0.0964528 # DEPENDENCYPART_GRANDPAR
(1,10),(10,1),-0.416282 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,10),(10,3),-0.129232 # DEPENDENCYPART_GRANDPAR
(1,10),(10,4),-0.542068 # DEPENDENCYPART_GRANDPAR
(1,10),(10,5),-0.226983 # DEPENDENCYPART_GRANDPAR
(1,10),(10,6),-0.00490116 # DEPENDENCYPART_GRANDPAR
(1,10),(10,7),-0.203293 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),-0.299618 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),-0.0348121 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),-0.239826 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),0.0760181 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),-0.284968 # DEPENDENCYPART_GRANDPAR
(1,10),(10,14),-0.277983 # DEPENDENCYPART_GRANDPAR
(1,10),(10,17),0.185897 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.358197 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.31295 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.345907 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.347676 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.326242 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.293186 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.236755 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-0.459573 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-0.248871 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.385241 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),-0.0810549 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.114012 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),-0.115781 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.0864319 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.117499 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),0.277995 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.346798 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.314588 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.378901 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.31151 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.298723 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),-0.248488 # DEPENDENCYPART_GRANDPAR
(2,7),(7,17),-0.20415 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.163008 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.766824 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.431542 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.268913 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.36401 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.637422 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.514346 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-0.295327 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.16403 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.661244 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.46116 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.256351 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.341152 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.0552997 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.0410566 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.46116 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.256351 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.341152 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.00587052 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.0410566 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.427734 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.107 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.295339 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.0998061 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.46116 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.256351 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.344929 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),-0.00964771 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.152982 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.374403 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.432181 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),0.0566359 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.111922 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.298936 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.172289 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.217725 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),-0.104253 # DEPENDENCYPART_GRANDPAR
(3,6),(6,18),-0.377262 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.230614 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.539806 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.27005 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.350066 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),0.0477489 # DEPENDENCYPART_GRANDPAR
(4,1),(1,7),-0.589435 # DEPENDENCYPART_GRANDPAR
(4,1),(1,8),-0.425633 # DEPENDENCYPART_GRANDPAR
(4,1),(1,10),-0.0446633 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.694458 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.613257 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.667376 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.068042 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.27005 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.350066 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),0.0477489 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.991588 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.323957 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),0.114134 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.844379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.370702 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.339021 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.143664 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.280902 # DEPENDENCYPART_GRANDPAR
