# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(4,7),(7,5),-0.0847944 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.123376 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.17441 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.342159 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.587421 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.638508 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.558541 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.507634 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.452252 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),-0.257154 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.0260843 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-0.283801 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.326455 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.285181 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.429422 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.447712 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.366954 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),-0.369214 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.468545 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.152322 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),-0.280185 # DEPENDENCYPART_GRANDPAR
(4,8),(8,18),0.336758 # DEPENDENCYPART_GRANDPAR
(4,8),(8,20),-0.233123 # DEPENDENCYPART_GRANDPAR
(4,8),(8,22),-0.0703359 # DEPENDENCYPART_GRANDPAR
(4,8),(8,23),-0.159376 # DEPENDENCYPART_GRANDPAR
(4,8),(8,24),-0.463901 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.0938686 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),-0.264223 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.0545327 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-0.605316 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),0.0781086 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),-0.373989 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),-0.511754 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.589499 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.44923 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),-0.451496 # DEPENDENCYPART_GRANDPAR
(4,11),(11,1),-0.605316 # DEPENDENCYPART_GRANDPAR
(4,11),(11,3),-0.382248 # DEPENDENCYPART_GRANDPAR
(4,11),(11,5),-0.110535 # DEPENDENCYPART_GRANDPAR
(4,11),(11,7),-0.191293 # DEPENDENCYPART_GRANDPAR
(4,11),(11,8),0.0781086 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),-0.37193 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),-0.282267 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),-0.5895 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.446302 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),-0.448568 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.547893 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),0.109241 # DEPENDENCYPART_GRANDPAR
(4,12),(12,10),-0.400323 # DEPENDENCYPART_GRANDPAR
(4,12),(12,11),-0.544564 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),-0.503193 # DEPENDENCYPART_GRANDPAR
(4,14),(14,9),-0.37193 # DEPENDENCYPART_GRANDPAR
(4,14),(14,10),-0.282268 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),-0.426509 # DEPENDENCYPART_GRANDPAR
(4,14),(14,12),-0.383584 # DEPENDENCYPART_GRANDPAR
(4,14),(14,13),-0.364042 # DEPENDENCYPART_GRANDPAR
(4,14),(14,15),-0.550822 # DEPENDENCYPART_GRANDPAR
(4,14),(14,18),0.109241 # DEPENDENCYPART_GRANDPAR
(4,14),(14,25),-1.37167 # DEPENDENCYPART_GRANDPAR
(4,15),(15,3),-0.382248 # DEPENDENCYPART_GRANDPAR
(4,15),(15,10),-0.282267 # DEPENDENCYPART_GRANDPAR
(4,15),(15,11),-0.426508 # DEPENDENCYPART_GRANDPAR
(4,15),(15,12),-0.383584 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),-0.364041 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),-0.364356 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),-0.257465 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),0.109241 # DEPENDENCYPART_GRANDPAR
(4,15),(15,25),-1.37189 # DEPENDENCYPART_GRANDPAR
(4,16),(16,1),-0.638589 # DEPENDENCYPART_GRANDPAR
(4,16),(16,2),-0.558622 # DEPENDENCYPART_GRANDPAR
(4,16),(16,3),-0.507708 # DEPENDENCYPART_GRANDPAR
(4,16),(16,4),-0.477175 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,16),(16,5),-0.285138 # DEPENDENCYPART_GRANDPAR
(4,16),(16,6),-0.00449413 # DEPENDENCYPART_GRANDPAR
(4,16),(16,7),-0.317025 # DEPENDENCYPART_GRANDPAR
(4,16),(16,8),-0.0531961 # DEPENDENCYPART_GRANDPAR
(4,16),(16,10),-0.409868 # DEPENDENCYPART_GRANDPAR
(4,16),(16,11),-0.552136 # DEPENDENCYPART_GRANDPAR
(4,16),(16,12),-0.523375 # DEPENDENCYPART_GRANDPAR
(4,16),(16,13),-0.490427 # DEPENDENCYPART_GRANDPAR
(4,16),(16,14),-0.49072 # DEPENDENCYPART_GRANDPAR
(4,16),(16,15),-0.592018 # DEPENDENCYPART_GRANDPAR
(4,16),(16,17),-0.309982 # DEPENDENCYPART_GRANDPAR
(4,16),(16,18),0.302497 # DEPENDENCYPART_GRANDPAR
(4,16),(16,19),-0.787315 # DEPENDENCYPART_GRANDPAR
(4,16),(16,20),-0.257278 # DEPENDENCYPART_GRANDPAR
(4,16),(16,22),-0.100314 # DEPENDENCYPART_GRANDPAR
(4,16),(16,23),-0.193637 # DEPENDENCYPART_GRANDPAR
(4,16),(16,24),-0.521713 # DEPENDENCYPART_GRANDPAR
(4,17),(17,1),-0.638508 # DEPENDENCYPART_GRANDPAR
(4,17),(17,2),-0.558541 # DEPENDENCYPART_GRANDPAR
(4,17),(17,3),-0.507634 # DEPENDENCYPART_GRANDPAR
(4,17),(17,4),-0.452252 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,17),(17,5),-0.257154 # DEPENDENCYPART_GRANDPAR
(4,17),(17,6),0.0260843 # DEPENDENCYPART_GRANDPAR
(4,17),(17,7),-0.283801 # DEPENDENCYPART_GRANDPAR
(4,17),(17,8),-0.0226176 # DEPENDENCYPART_GRANDPAR
(4,17),(17,9),-0.416656 # DEPENDENCYPART_GRANDPAR
(4,17),(17,10),-0.376645 # DEPENDENCYPART_GRANDPAR
(4,17),(17,11),-0.518912 # DEPENDENCYPART_GRANDPAR
(4,17),(17,12),-0.494751 # DEPENDENCYPART_GRANDPAR
(4,17),(17,13),-0.457203 # DEPENDENCYPART_GRANDPAR
(4,17),(17,14),-0.457496 # DEPENDENCYPART_GRANDPAR
(4,17),(17,15),-0.558794 # DEPENDENCYPART_GRANDPAR
(4,17),(17,16),-0.133044 # DEPENDENCYPART_GRANDPAR
(4,17),(17,18),0.336758 # DEPENDENCYPART_GRANDPAR
(4,17),(17,19),-0.75949 # DEPENDENCYPART_GRANDPAR
(4,17),(17,20),-0.233123 # DEPENDENCYPART_GRANDPAR
(4,17),(17,22),-0.0703359 # DEPENDENCYPART_GRANDPAR
(4,17),(17,23),-0.159376 # DEPENDENCYPART_GRANDPAR
(4,17),(17,24),-0.463901 # DEPENDENCYPART_GRANDPAR
(4,20),(20,4),-0.583372 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,20),(20,6),-0.116025 # DEPENDENCYPART_GRANDPAR
(4,20),(20,8),-0.15046 # DEPENDENCYPART_GRANDPAR
(4,20),(20,13),-0.512094 # DEPENDENCYPART_GRANDPAR
(4,20),(20,15),-0.613685 # DEPENDENCYPART_GRANDPAR
(4,20),(20,16),-0.273993 # DEPENDENCYPART_GRANDPAR
(4,20),(20,17),-0.365339 # DEPENDENCYPART_GRANDPAR
(4,20),(20,18),0.0297366 # DEPENDENCYPART_GRANDPAR
(4,20),(20,19),-0.961096 # DEPENDENCYPART_GRANDPAR
(4,20),(20,21),-0.413203 # DEPENDENCYPART_GRANDPAR
(4,20),(20,22),-0.241743 # DEPENDENCYPART_GRANDPAR
(4,20),(20,23),-0.435469 # DEPENDENCYPART_GRANDPAR
(4,20),(20,24),-0.596215 # DEPENDENCYPART_GRANDPAR
(4,22),(22,2),-0.577619 # DEPENDENCYPART_GRANDPAR
(4,22),(22,4),-0.444881 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,22),(22,6),-0.0350781 # DEPENDENCYPART_GRANDPAR
(4,22),(22,7),-0.223776 # DEPENDENCYPART_GRANDPAR
(4,22),(22,10),-0.316619 # DEPENDENCYPART_GRANDPAR
(4,22),(22,11),-0.458887 # DEPENDENCYPART_GRANDPAR
(4,22),(22,13),-0.397178 # DEPENDENCYPART_GRANDPAR
(4,22),(22,14),-0.397471 # DEPENDENCYPART_GRANDPAR
(4,22),(22,15),-0.498769 # DEPENDENCYPART_GRANDPAR
(4,22),(22,16),-0.194207 # DEPENDENCYPART_GRANDPAR
(4,22),(22,17),-0.298659 # DEPENDENCYPART_GRANDPAR
(4,22),(22,18),0.278055 # DEPENDENCYPART_GRANDPAR
(4,22),(22,19),-0.865452 # DEPENDENCYPART_GRANDPAR
(4,22),(22,20),-0.307626 # DEPENDENCYPART_GRANDPAR
(4,22),(22,21),-0.399617 # DEPENDENCYPART_GRANDPAR
(4,22),(22,23),-0.184651 # DEPENDENCYPART_GRANDPAR
(4,22),(22,24),-0.419367 # DEPENDENCYPART_GRANDPAR
(4,24),(24,16),-0.0392484 # DEPENDENCYPART_GRANDPAR
(4,24),(24,17),-0.154585 # DEPENDENCYPART_GRANDPAR
(4,24),(24,19),-0.82114 # DEPENDENCYPART_GRANDPAR
(4,24),(24,21),-0.248926 # DEPENDENCYPART_GRANDPAR
(4,24),(24,22),-0.124742 # DEPENDENCYPART_GRANDPAR
(4,24),(24,23),-0.39109 # DEPENDENCYPART_GRANDPAR
(4,24),(24,25),-1.37991 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.413228 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-0.538227 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.407125 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.355456 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-1.05058 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.496351 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.0773778 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.171557 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),-0.487643 # DEPENDENCYPART_GRANDPAR
(5,6),(6,16),-0.0543524 # DEPENDENCYPART_GRANDPAR
(5,6),(6,17),0.23281 # DEPENDENCYPART_GRANDPAR
(5,6),(6,20),-0.075232 # DEPENDENCYPART_GRANDPAR
(5,6),(6,22),-0.122678 # DEPENDENCYPART_GRANDPAR
(5,6),(6,24),-0.498753 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),0.142461 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),0.01441 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.1369 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.19157 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),0.112954 # DEPENDENCYPART_GRANDPAR
(6,2),(2,7),-0.241312 # DEPENDENCYPART_GRANDPAR
(6,2),(2,12),-0.610596 # DEPENDENCYPART_GRANDPAR
(6,2),(2,20),-0.293665 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),0.198302 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),0.218098 # DEPENDENCYPART_GRANDPAR
(6,3),(3,5),0.0823224 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-9.97131e-05 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),0.315877 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.0694908 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),0.0759557 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-0.85339 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.442386 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.518471 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.308455 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.822046 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-0.46289 # DEPENDENCYPART_GRANDPAR
(6,4),(4,12),-0.703059 # DEPENDENCYPART_GRANDPAR
(6,4),(4,14),-0.755695 # DEPENDENCYPART_GRANDPAR
(6,4),(4,15),-0.669498 # DEPENDENCYPART_GRANDPAR
(6,4),(4,16),-0.316833 # DEPENDENCYPART_GRANDPAR
(6,4),(4,17),-0.476303 # DEPENDENCYPART_GRANDPAR
(6,4),(4,20),-0.417375 # DEPENDENCYPART_GRANDPAR
(6,4),(4,22),-0.5986 # DEPENDENCYPART_GRANDPAR
(6,4),(4,24),-0.580573 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-0.763949 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,1),-0.257658 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.0300029 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.434887 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),0.0572031 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.18533 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.455051 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.18246 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.0386352 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.389245 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-0.304166 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-0.182649 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-0.52034 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-0.0543779 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-0.271019 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.615754 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),-0.0647623 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.0140639 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),-0.408227 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),-0.0554831 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.479067 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.252394 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.341523 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),-0.262111 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.0661418 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.225705 # DEPENDENCYPART_GRANDPAR
(6,8),(8,18),-0.32839 # DEPENDENCYPART_GRANDPAR
(6,8),(8,20),-0.205744 # DEPENDENCYPART_GRANDPAR
(6,8),(8,22),-0.23601 # DEPENDENCYPART_GRANDPAR
(6,8),(8,23),-0.481472 # DEPENDENCYPART_GRANDPAR
(6,8),(8,24),-0.165293 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.277338 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.137414 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.0625414 # DEPENDENCYPART_GRANDPAR
(6,13),(13,9),-0.0694946 # DEPENDENCYPART_GRANDPAR
(6,13),(13,10),-0.410789 # DEPENDENCYPART_GRANDPAR
(6,13),(13,11),-0.0528466 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),-0.353881 # DEPENDENCYPART_GRANDPAR
(6,13),(13,15),-0.271069 # DEPENDENCYPART_GRANDPAR
(6,16),(16,1),-0.30425 # DEPENDENCYPART_GRANDPAR
(6,16),(16,2),-0.182741 # DEPENDENCYPART_GRANDPAR
(6,16),(16,3),-0.520416 # DEPENDENCYPART_GRANDPAR
(6,16),(16,4),-0.0545256 # DEPENDENCYPART_GRANDPAR
(6,16),(16,5),-0.271094 # DEPENDENCYPART_GRANDPAR
(6,16),(16,6),-0.620029 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,16),(16,7),-0.0578309 # DEPENDENCYPART_GRANDPAR
(6,16),(16,8),-0.285077 # DEPENDENCYPART_GRANDPAR
(6,16),(16,10),-0.440514 # DEPENDENCYPART_GRANDPAR
(6,16),(16,11),-0.0805971 # DEPENDENCYPART_GRANDPAR
(6,16),(16,12),-0.45631 # DEPENDENCYPART_GRANDPAR
(6,16),(16,13),-0.278322 # DEPENDENCYPART_GRANDPAR
(6,16),(16,14),-0.374238 # DEPENDENCYPART_GRANDPAR
(6,16),(16,15),-0.28804 # DEPENDENCYPART_GRANDPAR
(6,16),(16,17),-0.225367 # DEPENDENCYPART_GRANDPAR
(6,16),(16,18),-0.325159 # DEPENDENCYPART_GRANDPAR
(6,16),(16,19),-0.322032 # DEPENDENCYPART_GRANDPAR
(6,16),(16,20),-0.193863 # DEPENDENCYPART_GRANDPAR
(6,16),(16,22),-0.235854 # DEPENDENCYPART_GRANDPAR
(6,16),(16,23),-0.47824 # DEPENDENCYPART_GRANDPAR
(6,16),(16,24),-0.180595 # DEPENDENCYPART_GRANDPAR
(6,17),(17,1),-0.304166 # DEPENDENCYPART_GRANDPAR
(6,17),(17,2),-0.182649 # DEPENDENCYPART_GRANDPAR
(6,17),(17,3),-0.52034 # DEPENDENCYPART_GRANDPAR
(6,17),(17,4),-0.0543779 # DEPENDENCYPART_GRANDPAR
(6,17),(17,5),-0.271019 # DEPENDENCYPART_GRANDPAR
(6,17),(17,6),-0.615754 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,17),(17,7),-0.0647623 # DEPENDENCYPART_GRANDPAR
(6,17),(17,8),-0.280802 # DEPENDENCYPART_GRANDPAR
(6,17),(17,9),-0.0321169 # DEPENDENCYPART_GRANDPAR
(6,17),(17,10),-0.447445 # DEPENDENCYPART_GRANDPAR
(6,17),(17,11),-0.0875285 # DEPENDENCYPART_GRANDPAR
(6,17),(17,12),-0.454581 # DEPENDENCYPART_GRANDPAR
(6,17),(17,13),-0.285254 # DEPENDENCYPART_GRANDPAR
(6,17),(17,14),-0.38117 # DEPENDENCYPART_GRANDPAR
(6,17),(17,15),-0.294971 # DEPENDENCYPART_GRANDPAR
(6,17),(17,16),-0.078516 # DEPENDENCYPART_GRANDPAR
(6,17),(17,18),-0.32839 # DEPENDENCYPART_GRANDPAR
(6,17),(17,19),-0.323848 # DEPENDENCYPART_GRANDPAR
(6,17),(17,20),-0.205744 # DEPENDENCYPART_GRANDPAR
(6,17),(17,22),-0.23601 # DEPENDENCYPART_GRANDPAR
(6,17),(17,23),-0.481472 # DEPENDENCYPART_GRANDPAR
(6,17),(17,24),-0.165293 # DEPENDENCYPART_GRANDPAR
(6,20),(20,4),-0.0666156 # DEPENDENCYPART_GRANDPAR
(6,20),(20,6),-0.490224 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,20),(20,8),-0.142373 # DEPENDENCYPART_GRANDPAR
(6,20),(20,13),-0.232676 # DEPENDENCYPART_GRANDPAR
(6,20),(20,15),-0.242393 # DEPENDENCYPART_GRANDPAR
(6,20),(20,16),0.0418399 # DEPENDENCYPART_GRANDPAR
(6,20),(20,17),-0.100205 # DEPENDENCYPART_GRANDPAR
(6,20),(20,18),-0.403505 # DEPENDENCYPART_GRANDPAR
(6,20),(20,19),-0.405698 # DEPENDENCYPART_GRANDPAR
(6,20),(20,21),-0.40995 # DEPENDENCYPART_GRANDPAR
(6,20),(20,22),-0.227342 # DEPENDENCYPART_GRANDPAR
(6,20),(20,23),-0.547457 # DEPENDENCYPART_GRANDPAR
(6,20),(20,24),-0.041849 # DEPENDENCYPART_GRANDPAR
(6,22),(22,2),-0.195096 # DEPENDENCYPART_GRANDPAR
(6,22),(22,4),-0.0662835 # DEPENDENCYPART_GRANDPAR
(6,22),(22,6),-0.706706 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,22),(22,7),-0.0883522 # DEPENDENCYPART_GRANDPAR
(6,22),(22,10),-0.471035 # DEPENDENCYPART_GRANDPAR
(6,22),(22,11),-0.111118 # DEPENDENCYPART_GRANDPAR
(6,22),(22,13),-0.308844 # DEPENDENCYPART_GRANDPAR
(6,22),(22,14),-0.40476 # DEPENDENCYPART_GRANDPAR
(6,22),(22,15),-0.318561 # DEPENDENCYPART_GRANDPAR
(6,22),(22,16),-0.169468 # DEPENDENCYPART_GRANDPAR
(6,22),(22,17),-0.329585 # DEPENDENCYPART_GRANDPAR
(6,22),(22,18),-0.287343 # DEPENDENCYPART_GRANDPAR
(6,22),(22,19),-0.406785 # DEPENDENCYPART_GRANDPAR
(6,22),(22,20),-0.243322 # DEPENDENCYPART_GRANDPAR
(6,22),(22,21),-0.511213 # DEPENDENCYPART_GRANDPAR
(6,22),(22,23),-0.508527 # DEPENDENCYPART_GRANDPAR
(6,22),(22,24),-0.11102 # DEPENDENCYPART_GRANDPAR
(6,24),(24,16),0.103692 # DEPENDENCYPART_GRANDPAR
(6,24),(24,17),-0.0690154 # DEPENDENCYPART_GRANDPAR
(6,24),(24,19),-0.408127 # DEPENDENCYPART_GRANDPAR
(6,24),(24,21),-0.318312 # DEPENDENCYPART_GRANDPAR
(6,24),(24,22),-0.219598 # DEPENDENCYPART_GRANDPAR
(6,24),(24,23),-0.602708 # DEPENDENCYPART_GRANDPAR
(6,24),(24,25),-0.262151 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),0.156704 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),0.326871 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.505211 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),0.196555 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),-0.323952 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-0.914411 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,12),-0.377079 # DEPENDENCYPART_GRANDPAR
(7,2),(2,20),-0.1778 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),0.166291 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),0.212763 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.38379 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),0.479484 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),0.203708 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.466375 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.339107 # DEPENDENCYPART_GRANDPAR
(7,4),(4,6),0.758047 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-0.9423 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),-0.719976 # DEPENDENCYPART_GRANDPAR
(7,4),(4,9),-0.149567 # DEPENDENCYPART_GRANDPAR
(7,4),(4,10),-0.49862 # DEPENDENCYPART_GRANDPAR
(7,4),(4,11),-0.420143 # DEPENDENCYPART_GRANDPAR
(7,4),(4,12),-0.343326 # DEPENDENCYPART_GRANDPAR
(7,4),(4,14),-0.53818 # DEPENDENCYPART_GRANDPAR
(7,4),(4,15),-0.944634 # DEPENDENCYPART_GRANDPAR
(7,4),(4,16),-0.509576 # DEPENDENCYPART_GRANDPAR
(7,4),(4,17),-0.578849 # DEPENDENCYPART_GRANDPAR
(7,4),(4,20),-0.139595 # DEPENDENCYPART_GRANDPAR
(7,4),(4,22),-0.41918 # DEPENDENCYPART_GRANDPAR
(7,4),(4,24),-0.904272 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.672442 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),0.414116 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),0.230222 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.510889 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),0.110639 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.340081 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-0.932667 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.722007 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.164736 # DEPENDENCYPART_GRANDPAR
(7,6),(6,13),-0.837983 # DEPENDENCYPART_GRANDPAR
(7,6),(6,16),-0.510949 # DEPENDENCYPART_GRANDPAR
(7,6),(6,17),-0.58088 # DEPENDENCYPART_GRANDPAR
(7,6),(6,20),-0.195978 # DEPENDENCYPART_GRANDPAR
(7,6),(6,22),-0.415337 # DEPENDENCYPART_GRANDPAR
(7,6),(6,24),-0.89494 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),0.168475 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.262388 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.933454 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.171162 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.762822 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),0.227425 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.590502 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),0.173346 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.011086 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.0895641 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.0932001 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),-0.33791 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),-0.0352632 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),-0.434926 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),-0.207542 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.277769 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.236449 # DEPENDENCYPART_GRANDPAR
(7,8),(8,20),0.0466756 # DEPENDENCYPART_GRANDPAR
(7,8),(8,22),-0.0524982 # DEPENDENCYPART_GRANDPAR
(7,8),(8,23),-0.271503 # DEPENDENCYPART_GRANDPAR
(7,8),(8,24),-0.397301 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),0.255379 # DEPENDENCYPART_GRANDPAR
