# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,0,24,9,24,25,26,
(10,1),(10,2),0.00863324 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0556119 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0108805 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0450317 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.00734221 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0186352 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00175663 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0108805 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0450317 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0117985 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0675355 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.107938 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.107938 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0434512 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0366218 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.126943 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0611309 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0579556 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0381324 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0401981 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0381431 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0630192 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.038197 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.00320456 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.116069 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.116069 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.040496 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0592241 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.105831 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0340433 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0304724 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0714422 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0347921 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.071453 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0337691 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0714428 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.00201122 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.00802861 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0189231 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0358359 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0150539 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.02838 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.036873 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0223479 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0064044 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0223619 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.00656896 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0194566 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.0153564 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0161264 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0371892 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0171533 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0262722 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0369147 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0190771 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00636275 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.019091 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0066106 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0161858 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.015398 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0143585 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0692971 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0174724 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.00422209 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0511036 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.00960721 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0511143 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0113875 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0511037 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.0340429 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.043307 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0235368 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0124562 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0587363 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0139065 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0587471 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00655835 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0587365 # DEPENDENCYPART_SIBL
(11,8),(11,23),0.0144804 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00822981 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0204312 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0117919 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0201174 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0118026 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0320165 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.012605 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.0913075 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0291339 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0493025 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0070667 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0493133 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.022323 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0493067 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.0458811 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0203682 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0139428 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0203682 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0621908 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0203691 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.0415962 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.00860441 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00774918 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.00245495 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.00775203 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.00962988 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.00430182 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0682805 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.00430271 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.0160496 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.00245491 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.00784521 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.00962992 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.00991174 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.0386609 # DEPENDENCYPART_SIBL
(11,19),(11,23),-0.00962988 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.107484 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.107484 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0434512 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0366218 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.126943 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0692808 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.118604 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0409109 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0227677 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.0646373 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0228216 # DEPENDENCYPART_SIBL
(13,2),(13,23),-0.0025598 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.00666901 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0193758 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0353832 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0146007 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.026526 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0135043 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00711494 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.00622417 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.00566476 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.00331894 # DEPENDENCYPART_SIBL
(13,5),(13,23),-0.0147819 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0165791 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0367365 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0167001 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0258665 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0148577 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.00707329 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.00295335 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.00570639 # DEPENDENCYPART_SIBL
(13,6),(13,19),-4.81281e-05 # DEPENDENCYPART_SIBL
(13,6),(13,23),-0.0148235 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0143585 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0692968 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0588938 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.00376088 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.00967522 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0363836 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0117172 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.036373 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.0340429 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0433067 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0612773 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.00660828 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0139745 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0440164 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.00622869 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0440058 # DEPENDENCYPART_SIBL
(13,8),(13,23),0.0144804 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0912189 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0358432 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.019641 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.00460343 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0318096 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.00380107 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.0907631 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0199287 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0164738 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0157871 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.00596529 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0128819 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.0150824 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0351518 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0231806 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.00737226 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0231699 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.00407682 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00388583 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0682805 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.00388672 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.0160495 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.00247905 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.00740513 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.00960578 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.00916756 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.0383327 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.00960574 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.00714487 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.00439628 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.00439628 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.00323398 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.056953 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.00135925 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.000104416 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0136867 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0290525 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.00439628 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0602973 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0150735 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,1),(14,20),0.0632578 # DEPENDENCYPART_SIBL
(14,1),(14,23),-0.0887987 # DEPENDENCYPART_SIBL
(14,1),(14,24),0.0603005 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.029788 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.029788 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.029788 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0104141 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.00411084 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.00921381 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0320851 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0281991 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.029788 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0363367 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.00202977 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0253286 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0363412 # DEPENDENCYPART_SIBL
(14,2),(14,23),-0.0549737 # DEPENDENCYPART_SIBL
(14,2),(14,24),-0.0363367 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.00439628 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.00323398 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.056953 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.00135925 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.000104416 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0136867 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0290525 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.00439628 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0602973 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0150735 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.0632578 # DEPENDENCYPART_SIBL
(14,3),(14,23),-0.0887987 # DEPENDENCYPART_SIBL
(14,3),(14,24),0.0603005 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.00323398 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.056953 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.00135925 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.000104416 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0136867 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0290525 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.00439628 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0602973 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0150735 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.0632578 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.0887987 # DEPENDENCYPART_SIBL
(14,5),(14,24),0.0603005 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.056953 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.00210511 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.000858881 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0122905 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0290525 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.00300003 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0636098 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0150735 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0809672 # DEPENDENCYPART_SIBL
(14,6),(14,20),0.0665702 # DEPENDENCYPART_SIBL
(14,6),(14,23),-0.0887987 # DEPENDENCYPART_SIBL
(14,6),(14,24),0.063613 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.00184242 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0056535 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.107691 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0167671 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.104414 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.012248 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.00595885 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0672058 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0122525 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.0142293 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.012248 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0518408 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.170725 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0438775 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.177715 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0760242 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0290367 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0448726 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0760287 # DEPENDENCYPART_SIBL
(14,9),(14,23),0.112981 # DEPENDENCYPART_SIBL
(14,9),(14,24),-0.0760242 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0207526 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.00768195 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0183861 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0747781 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0329085 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.037758 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0747827 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.00727377 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.0747781 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0296867 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0112593 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0473504 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0188176 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.081481 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0503109 # DEPENDENCYPART_SIBL
(14,11),(14,23),-0.0925428 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.0473536 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.00385659 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0194032 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.131742 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0683336 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0192571 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.00574044 # DEPENDENCYPART_SIBL
(14,12),(14,24),0.0194032 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0602973 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0150735 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0632578 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.0887987 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.0603005 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0168736 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.107775 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.217796 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0690014 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.217794 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.111078 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.113494 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0657108 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.113494 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0273345 # DEPENDENCYPART_SIBL
(14,17),(14,23),0.0534848 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.0273345 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.0698185 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.218362 # DEPENDENCYPART_SIBL
(14,23),(14,24),-0.0931112 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.107484 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0434512 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.118604 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.107484 # DEPENDENCYPART_SIBL
(15,2),(15,16),0.0646373 # DEPENDENCYPART_SIBL
(15,2),(15,17),0.051318 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.0228216 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.0433635 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0025598 # DEPENDENCYPART_SIBL
(15,2),(15,27),-0.0591 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.0193758 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0135043 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.00783131 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.00566476 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.0483478 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.00331894 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0278468 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.0147819 # DEPENDENCYPART_SIBL
(15,5),(15,27),-0.0274133 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.00376088 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0206909 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.0117172 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.016768 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.036373 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0289734 # DEPENDENCYPART_SIBL
(15,7),(15,23),-0.0340429 # DEPENDENCYPART_SIBL
(15,7),(15,27),-0.083231 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0934841 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.00737226 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.166741 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0231699 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.0148756 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.00407682 # DEPENDENCYPART_SIBL
(15,12),(15,27),0.0738575 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.00566476 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0483478 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.00331894 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0278468 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.0147819 # DEPENDENCYPART_SIBL
(15,13),(15,27),-0.0274133 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.150547 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.00916756 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.000204305 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0383327 # DEPENDENCYPART_SIBL
(15,16),(15,27),-0.129497 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0493349 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.136642 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.00505778 # DEPENDENCYPART_SIBL
(15,17),(15,27),-0.224837 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0218224 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.00960574 # DEPENDENCYPART_SIBL
(15,19),(15,27),-0.0887528 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.00520494 # DEPENDENCYPART_SIBL
(15,21),(15,27),-0.0888488 # DEPENDENCYPART_SIBL
(15,23),(15,27),-0.0635348 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0067395 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0623931 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0418914 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0623931 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.00109532 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0736571 # DEPENDENCYPART_SIBL
(17,23),(17,24),0.00247451 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0562379 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.00249594 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0562268 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0104225 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.00797057 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0197845 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.0143585 # DEPENDENCYPART_SIBL
(20,7),(20,11),0.0587964 # DEPENDENCYPART_SIBL
(20,7),(20,13),0.0205935 # DEPENDENCYPART_SIBL
(20,7),(20,14),0.01272 # DEPENDENCYPART_SIBL
(20,7),(20,15),0.0205858 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.0260696 # DEPENDENCYPART_SIBL
(20,7),(20,19),0.0181357 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.0289734 # DEPENDENCYPART_SIBL
(20,7),(20,23),-0.034043 # DEPENDENCYPART_SIBL
(20,7),(20,24),-0.0363729 # DEPENDENCYPART_SIBL
(20,7),(20,25),0.0292827 # DEPENDENCYPART_SIBL
(20,7),(20,27),-0.0833161 # DEPENDENCYPART_SIBL
(20,8),(20,11),0.0611799 # DEPENDENCYPART_SIBL
