# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,18,16,17,18,13,18,18,20,
(11,12),(11,13),-0.0912779 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0862974 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.017531 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0360381 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.185992 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.370768 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0201754 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0990186 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0402675 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0263372 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0651585 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.226385 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.028137 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.231562 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.118316 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0317812 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.101804 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.125964 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.076684 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0755852 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.145136 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.142112 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.0423211 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.062431 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.223841 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0243826 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.229017 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.116812 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0280267 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.100302 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.124499 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0756956 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0745968 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.142528 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.139505 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0468204 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0290921 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0223081 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0190795 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0467002 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0210708 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.00981388 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0640367 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.116086 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.115649 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.00902368 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.00730208 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0175629 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.00314894 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.00731102 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0820964 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.00863894 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0295526 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0553424 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0272292 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0202033 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0395541 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.0459293 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0980236 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.241136 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.116812 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0280267 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.100302 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.124463 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0731642 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0720655 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.131791 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.128768 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.0501485 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0848419 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0100695 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0264906 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0564092 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0261471 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0191212 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0504077 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.0567829 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0974794 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.00540755 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.00243318 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0308057 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.094482 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0976223 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.000659864 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.000543822 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0316311 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.100302 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.124463 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0736424 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0725437 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.147409 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.144385 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0546164 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0314121 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0501676 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0476899 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0834002 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.08197 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0898606 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0291549 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.024661 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.073589 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0723837 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0939151 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0480702 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.116255 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.116255 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.159268 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.113494 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.113494 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.149158 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.221751 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.150017 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.150017 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0276968 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.00370485 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.00293964 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.00326494 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.00477618 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.038878 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.020453 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0234524 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0388787 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.0210299 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.00721179 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0179909 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0410297 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0271058 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.0339037 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0205795 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0157962 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.0195153 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0275623 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.00944013 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.069183 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.02607 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0127207 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0210226 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0225958 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0505054 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0210937 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.0214178 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0287049 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0933996 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0119116 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0708681 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0581921 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0697811 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0157312 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0190332 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.0831214 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.0116076 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0337137 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.029213 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0490677 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0475941 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0714422 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0386463 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0185896 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0468887 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0829481 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0724058 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0718374 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0381324 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.00178078 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0229279 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.043673 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0599517 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.00832091 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.118703 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0532458 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0387768 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0712357 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0257246 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.107346 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0436755 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0480927 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0468638 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0298934 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0373767 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.00352832 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0218226 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.088777 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.023219 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0112033 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0694111 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0467147 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0534237 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0886223 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.0146377 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.0573546 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.0497738 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.0174101 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.065441 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.0512103 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.0627993 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.0686428 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.0232375 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0883361 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.0173162 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0277518 # DEPENDENCYPART_SIBL
(17,8),(17,9),0.0214826 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.00675852 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.017537 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.0414824 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.0302208 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.0370187 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.0343799 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.0172222 # DEPENDENCYPART_SIBL
(17,8),(17,19),0.0202342 # DEPENDENCYPART_SIBL
(17,8),(17,20),-0.0269878 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.00857936 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0691827 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.0260689 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.0127207 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0236848 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.025258 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.0538266 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0206632 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.02149 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.0287049 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.0931937 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.00924599 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.0735315 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.06618 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.077769 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0851547 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.0189287 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.0826492 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.0110632 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0340078 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.029213 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0464054 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.0449319 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0774118 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.037731 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.0180327 # DEPENDENCYPART_SIBL
(17,12),(17,20),-0.046404 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.0822575 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0697435 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0691752 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0692808 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.00285611 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.0236449 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.0430282 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0591 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0109846 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.106315 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0404855 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.026375 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.058906 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0131084 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.12315 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0309153 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0356909 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.0345341 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.0172772 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0229192 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.000493629 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.030584 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0230391 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.02322 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0115319 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0694108 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0470429 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.0534237 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0886223 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.0248358 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.034849 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.00530823 # DEPENDENCYPART_SIBL
(18,2),(18,8),0.00927556 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.00633784 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.0142615 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.00380183 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.0405465 # DEPENDENCYPART_SIBL
(18,2),(18,15),-0.0323541 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.0428569 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.0307353 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0266719 # DEPENDENCYPART_SIBL
(18,2),(18,20),-0.026889 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.0103155 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.000777264 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.0276221 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.00401682 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.0377409 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.0112567 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0334208 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0345199 # DEPENDENCYPART_SIBL
(18,5),(18,16),0.00963286 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.00851896 # DEPENDENCYPART_SIBL
(18,5),(18,19),0.0170634 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0258379 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.00812137 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.00192142 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.00915097 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.011461 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.00405557 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.043347 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0351545 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.0540539 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.0419322 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.0410228 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.0352302 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.0131043 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.0329008 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0141456 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.00120262 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0218931 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0144376 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.01399 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.0191986 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.0884459 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.0395423 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.00243746 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.0316878 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.0153085 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0229998 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0148073 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.033328 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0212063 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.00125885 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.017978 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0162189 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.00338624 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.0213185 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.0138629 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0131813 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.01839 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.0900485 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0400136 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0417966 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0137798 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0111473 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0314101 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.035552 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0298638 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0318383 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0879351 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.0860055 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.119205 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.115136 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0674854 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0211844 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0411252 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.010608 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0287598 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0735323 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0010785 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.00401172 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0141401 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.00310619 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0247881 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0430272 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0512117 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0356343 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0256548 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0265499 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0623325 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0651887 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0466805 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0467434 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.00579622 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.000832975 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.00431006 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.123758 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.177018 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.0428713 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.0959508 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.0785202 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.0928882 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),0.317868 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.0351894 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.0483004 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.0623648 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.0283259 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-0.228671 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.102539 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.019254 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.0464586 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.078265 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.0463333 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.167331 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.259359 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.317704 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.223486 # DEPENDENCYPART_GRANDPAR
(0,3),(3,18),-0.220907 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),0.20343 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.28267 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.0600354 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.305815 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.0589842 # DEPENDENCYPART_GRANDPAR
(0,4),(4,18),-0.146797 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.116289 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.0079272 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.180149 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.0351719 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),-0.0604438 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.0567307 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.0482619 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.034637 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.175208 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.0113419 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.292096 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.110926 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),-0.233805 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.102005 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),-0.0237004 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.132526 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),0.0731708 # DEPENDENCYPART_GRANDPAR
