# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,16,14,21,21,21,18,19,22,10,22,
(10,16),(10,19),-0.00311292 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0160274 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.0122295 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0224121 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.00115606 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0284163 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0246144 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.00419594 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.019278 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.0154801 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.0123466 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0083472 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.0268744 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0357165 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0324857 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0537042 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0317014 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0330911 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0119426 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0105164 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0764154 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.171471 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0157667 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0361578 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.116173 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.125589 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.104552 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.404856 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.380094 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0423657 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0273725 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0472339 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.138623 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.129237 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0208991 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0623931 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.0474304 # DEPENDENCYPART_SIBL
(12,13),(12,22),0.0475888 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.03611 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.00617448 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.00580675 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.0158902 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0157278 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.00577388 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.010342 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0156639 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.00894293 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0124178 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0725358 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.0498746 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0540521 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.0222279 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.00502681 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0271531 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.030219 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0302203 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0159613 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.0148682 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.009769 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.00266219 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.0272383 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.0283221 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0230403 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0181508 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.042055 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.0791338 # DEPENDENCYPART_SIBL
(16,3),(16,9),0.0638388 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.0429871 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.00100536 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.0985186 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0109772 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.00809296 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0145981 # DEPENDENCYPART_SIBL
(16,3),(16,19),0.00640244 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.024738 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.0969727 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.09155 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.129059 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.0685856 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0378957 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0699491 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.0430342 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0227639 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0599741 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.00214427 # DEPENDENCYPART_SIBL
(16,6),(16,23),-0.056487 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0254624 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0356565 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0382271 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.00312462 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0710636 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0879661 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.111 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0486983 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0513967 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0127397 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0695881 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0186838 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0074715 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.00852003 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.00508643 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.0301544 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.0271623 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.030386 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0568885 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.046404 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0577604 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0449284 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0376047 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0796384 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.016136 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0182999 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0266482 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0328365 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0109564 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0810505 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0333615 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0290677 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0368287 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0302582 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.020375 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0159408 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.004701 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0149953 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0886223 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.00955608 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0371668 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.0887529 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0467619 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0851818 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.0694054 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0293112 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0127397 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0695881 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.028007 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.0423833 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.00886398 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0312928 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.0282329 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.030386 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.11562 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0486766 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0444134 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0381169 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0822575 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0258149 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.00680907 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0333808 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0114393 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.0836108 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0293344 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0243663 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.021854 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.034283 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0338466 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0188627 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.00988177 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.034875 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0726589 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.069423 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0285114 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0701108 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0945311 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.00909993 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0286768 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.103947 # DEPENDENCYPART_SIBL
(21,8),(21,9),-0.00526783 # DEPENDENCYPART_SIBL
(21,8),(21,10),0.00203239 # DEPENDENCYPART_SIBL
(21,8),(21,11),0.0181226 # DEPENDENCYPART_SIBL
(21,8),(21,14),-0.0112987 # DEPENDENCYPART_SIBL
(21,8),(21,15),-0.0173571 # DEPENDENCYPART_SIBL
(21,8),(21,16),-0.0141509 # DEPENDENCYPART_SIBL
(21,8),(21,17),-0.013348 # DEPENDENCYPART_SIBL
(21,8),(21,18),-0.0215369 # DEPENDENCYPART_SIBL
(21,8),(21,19),-0.0112987 # DEPENDENCYPART_SIBL
(21,8),(21,22),-0.00946664 # DEPENDENCYPART_SIBL
(21,9),(21,10),-0.00209914 # DEPENDENCYPART_SIBL
(21,9),(21,11),0.020016 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.0100523 # DEPENDENCYPART_SIBL
(21,9),(21,15),0.0110119 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.0105684 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.0287203 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.0140333 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.0100523 # DEPENDENCYPART_SIBL
(21,9),(21,22),-0.0123237 # DEPENDENCYPART_SIBL
(21,10),(21,11),-0.0193431 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.00737053 # DEPENDENCYPART_SIBL
(21,10),(21,15),-0.0300172 # DEPENDENCYPART_SIBL
(21,10),(21,16),-0.0049274 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.00572578 # DEPENDENCYPART_SIBL
(21,10),(21,18),-0.011096 # DEPENDENCYPART_SIBL
(21,10),(21,19),-0.00737053 # DEPENDENCYPART_SIBL
(21,10),(21,22),0.0329121 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.0261235 # DEPENDENCYPART_SIBL
(21,11),(21,15),-0.0322247 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0233745 # DEPENDENCYPART_SIBL
(21,11),(21,17),-0.00918779 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.0267595 # DEPENDENCYPART_SIBL
(21,11),(21,19),-0.0261235 # DEPENDENCYPART_SIBL
(21,11),(21,22),0.0167626 # DEPENDENCYPART_SIBL
(21,14),(21,15),0.00631165 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.0053259 # DEPENDENCYPART_SIBL
(21,14),(21,17),-0.0179373 # DEPENDENCYPART_SIBL
(21,14),(21,18),0.0019534 # DEPENDENCYPART_SIBL
(21,14),(21,19),-0.0203092 # DEPENDENCYPART_SIBL
(21,14),(21,22),-0.00798087 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.0124437 # DEPENDENCYPART_SIBL
(21,15),(21,17),0.0145305 # DEPENDENCYPART_SIBL
(21,15),(21,18),-0.0158287 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.0184102 # DEPENDENCYPART_SIBL
(21,15),(21,22),0.0319545 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.0135987 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.0158714 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.0129369 # DEPENDENCYPART_SIBL
(21,16),(21,22),0.00226614 # DEPENDENCYPART_SIBL
(21,17),(21,18),-0.0103837 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.00558376 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.00359997 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.024277 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.0104436 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.00798087 # DEPENDENCYPART_SIBL
(22,2),(22,3),0.0222951 # DEPENDENCYPART_SIBL
(22,2),(22,6),0.00272451 # DEPENDENCYPART_SIBL
(22,2),(22,7),-0.0274226 # DEPENDENCYPART_SIBL
(22,2),(22,8),-0.00703606 # DEPENDENCYPART_SIBL
(22,2),(22,10),-0.0281661 # DEPENDENCYPART_SIBL
(22,2),(22,11),-0.0186181 # DEPENDENCYPART_SIBL
(22,2),(22,12),-0.0829989 # DEPENDENCYPART_SIBL
(22,2),(22,14),-0.00669214 # DEPENDENCYPART_SIBL
(22,2),(22,15),-0.0292921 # DEPENDENCYPART_SIBL
(22,2),(22,16),-0.00139913 # DEPENDENCYPART_SIBL
(22,2),(22,17),-0.005365 # DEPENDENCYPART_SIBL
(22,2),(22,18),-0.00756774 # DEPENDENCYPART_SIBL
(22,2),(22,19),-0.00669214 # DEPENDENCYPART_SIBL
(22,2),(22,21),-0.0286641 # DEPENDENCYPART_SIBL
(22,2),(22,23),-0.0536698 # DEPENDENCYPART_SIBL
(22,3),(22,6),-0.0309063 # DEPENDENCYPART_SIBL
(22,3),(22,7),-0.046567 # DEPENDENCYPART_SIBL
(22,3),(22,8),-0.0355342 # DEPENDENCYPART_SIBL
(22,3),(22,10),-0.0643307 # DEPENDENCYPART_SIBL
(22,3),(22,11),-0.0582603 # DEPENDENCYPART_SIBL
(22,3),(22,12),-0.111197 # DEPENDENCYPART_SIBL
(22,3),(22,14),-0.0306854 # DEPENDENCYPART_SIBL
(22,3),(22,15),-0.0689282 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.0298973 # DEPENDENCYPART_SIBL
(22,3),(22,17),-0.04424 # DEPENDENCYPART_SIBL
(22,3),(22,18),-0.0360659 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.0306854 # DEPENDENCYPART_SIBL
(22,3),(22,21),-0.0648287 # DEPENDENCYPART_SIBL
(22,3),(22,23),-0.111207 # DEPENDENCYPART_SIBL
(22,6),(22,7),-0.102511 # DEPENDENCYPART_SIBL
(22,6),(22,8),-0.113468 # DEPENDENCYPART_SIBL
(22,6),(22,10),-0.0348492 # DEPENDENCYPART_SIBL
(22,6),(22,11),-0.0429115 # DEPENDENCYPART_SIBL
(22,6),(22,12),-0.0888668 # DEPENDENCYPART_SIBL
(22,6),(22,14),-0.0661767 # DEPENDENCYPART_SIBL
(22,6),(22,15),-0.0386378 # DEPENDENCYPART_SIBL
(22,6),(22,16),-0.112098 # DEPENDENCYPART_SIBL
(22,6),(22,17),-0.0197163 # DEPENDENCYPART_SIBL
(22,6),(22,18),-0.115755 # DEPENDENCYPART_SIBL
(22,6),(22,19),-0.0661767 # DEPENDENCYPART_SIBL
(22,6),(22,21),-0.0353085 # DEPENDENCYPART_SIBL
(22,6),(22,23),-0.0653934 # DEPENDENCYPART_SIBL
(22,7),(22,8),0.000419023 # DEPENDENCYPART_SIBL
(22,7),(22,10),0.00100851 # DEPENDENCYPART_SIBL
(22,7),(22,11),0.0222367 # DEPENDENCYPART_SIBL
(22,7),(22,12),-0.0785491 # DEPENDENCYPART_SIBL
(22,7),(22,14),-0.00561004 # DEPENDENCYPART_SIBL
(22,7),(22,15),0.0132325 # DEPENDENCYPART_SIBL
(22,7),(22,16),0.00327193 # DEPENDENCYPART_SIBL
(22,7),(22,17),-0.0273561 # DEPENDENCYPART_SIBL
(22,7),(22,18),-0.000193004 # DEPENDENCYPART_SIBL
(22,7),(22,19),-0.00561004 # DEPENDENCYPART_SIBL
(22,7),(22,21),0.000549075 # DEPENDENCYPART_SIBL
(22,7),(22,23),0.0212421 # DEPENDENCYPART_SIBL
(22,8),(22,10),-0.00208763 # DEPENDENCYPART_SIBL
(22,8),(22,11),0.0181401 # DEPENDENCYPART_SIBL
(22,8),(22,12),-0.0719613 # DEPENDENCYPART_SIBL
(22,8),(22,14),-0.0112782 # DEPENDENCYPART_SIBL
(22,8),(22,15),-0.0173396 # DEPENDENCYPART_SIBL
(22,8),(22,16),-0.0139511 # DEPENDENCYPART_SIBL
(22,8),(22,17),-0.0131836 # DEPENDENCYPART_SIBL
(22,8),(22,18),-0.0213371 # DEPENDENCYPART_SIBL
(22,8),(22,19),-0.0112782 # DEPENDENCYPART_SIBL
(22,8),(22,21),-0.0012945 # DEPENDENCYPART_SIBL
(22,8),(22,23),0.00919489 # DEPENDENCYPART_SIBL
(22,10),(22,11),-0.0232019 # DEPENDENCYPART_SIBL
(22,10),(22,12),-0.0862162 # DEPENDENCYPART_SIBL
(22,10),(22,14),-0.0112265 # DEPENDENCYPART_SIBL
(22,10),(22,15),-0.0338759 # DEPENDENCYPART_SIBL
(22,10),(22,16),-0.00748458 # DEPENDENCYPART_SIBL
(22,10),(22,17),-0.00948133 # DEPENDENCYPART_SIBL
(22,10),(22,18),-0.0136532 # DEPENDENCYPART_SIBL
(22,10),(22,19),-0.0112265 # DEPENDENCYPART_SIBL
(22,10),(22,21),-0.0334406 # DEPENDENCYPART_SIBL
(22,10),(22,23),-0.0320118 # DEPENDENCYPART_SIBL
(22,11),(22,12),-0.0556468 # DEPENDENCYPART_SIBL
(22,11),(22,14),-0.0261205 # DEPENDENCYPART_SIBL
(22,11),(22,15),-0.0322237 # DEPENDENCYPART_SIBL
(22,11),(22,16),-0.0228787 # DEPENDENCYPART_SIBL
(22,11),(22,17),-0.00910341 # DEPENDENCYPART_SIBL
(22,11),(22,18),-0.0262637 # DEPENDENCYPART_SIBL
(22,11),(22,19),-0.0261205 # DEPENDENCYPART_SIBL
(22,11),(22,21),-0.0277404 # DEPENDENCYPART_SIBL
(22,11),(22,23),0.0734489 # DEPENDENCYPART_SIBL
(22,12),(22,14),-0.0989198 # DEPENDENCYPART_SIBL
(22,12),(22,15),-0.0690154 # DEPENDENCYPART_SIBL
(22,12),(22,16),-0.171964 # DEPENDENCYPART_SIBL
(22,12),(22,17),-0.113318 # DEPENDENCYPART_SIBL
(22,12),(22,18),-0.175336 # DEPENDENCYPART_SIBL
(22,12),(22,19),-0.0989198 # DEPENDENCYPART_SIBL
(22,12),(22,21),-0.103125 # DEPENDENCYPART_SIBL
(22,12),(22,23),-0.0374513 # DEPENDENCYPART_SIBL
(22,14),(22,15),0.00631244 # DEPENDENCYPART_SIBL
(22,14),(22,16),0.00582149 # DEPENDENCYPART_SIBL
(22,14),(22,17),-0.0178531 # DEPENDENCYPART_SIBL
(22,14),(22,18),0.00244899 # DEPENDENCYPART_SIBL
(22,14),(22,19),-0.0203063 # DEPENDENCYPART_SIBL
(22,14),(22,21),0.003253 # DEPENDENCYPART_SIBL
(22,14),(22,23),-0.000736599 # DEPENDENCYPART_SIBL
(22,15),(22,16),-0.0119479 # DEPENDENCYPART_SIBL
(22,15),(22,17),0.0146148 # DEPENDENCYPART_SIBL
(22,15),(22,18),-0.0153329 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.0184072 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.0197119 # DEPENDENCYPART_SIBL
(22,15),(22,23),0.0763823 # DEPENDENCYPART_SIBL
(22,16),(22,17),-0.0134343 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.0156717 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.0129164 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.00231838 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.0167926 # DEPENDENCYPART_SIBL
(22,17),(22,18),-0.00985732 # DEPENDENCYPART_SIBL
(22,17),(22,19),0.00561733 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.00847183 # DEPENDENCYPART_SIBL
(22,17),(22,23),0.0978416 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0242565 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.0028724 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.0144991 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.003253 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.000736599 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.0647525 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.10166 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.432711 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.0412975 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.688127 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.621519 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.0696078 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.233563 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),0.0660775 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.0231422 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.212947 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.724985 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),-1.14452 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),0.0654084 # DEPENDENCYPART_GRANDPAR
(0,2),(2,22),-0.047926 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.0606534 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.0034466 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.535285 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),-0.0749342 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.281985 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.119566 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.145195 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.195471 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.62906 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.0283354 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),0.113186 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),-1.21506 # DEPENDENCYPART_GRANDPAR
(0,3),(3,18),0.187461 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),-0.0653925 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),-0.0292229 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.0600021 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.117944 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.0764506 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.144523 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),0.419348 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.346742 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.562304 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.109629 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.323632 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.0396907 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.278577 # DEPENDENCYPART_GRANDPAR
(0,5),(5,21),-0.155068 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),-0.204227 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.186989 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.349641 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.0105063 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.0478354 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.166565 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.303145 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.321457 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.186202 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),-0.0698759 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.124783 # DEPENDENCYPART_GRANDPAR
(0,6),(6,18),-0.252492 # DEPENDENCYPART_GRANDPAR
(0,6),(6,21),-0.284761 # DEPENDENCYPART_GRANDPAR
(0,6),(6,22),-0.0992533 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),0.202147 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),-0.248362 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.26394 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.232451 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.00447755 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.164594 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),0.32368 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),0.206648 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.0610111 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),0.174371 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.0157465 # DEPENDENCYPART_GRANDPAR
