# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,0,5,12,12,11,9,12,0,12,15,16,18,18,12,20,12,20,
(18,12),(18,16),-0.0199697 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.00670603 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.00415085 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.00777573 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0374581 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.108714 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.108714 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0676055 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0166469 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0358826 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.010221 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.010221 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0559812 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0209457 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0144527 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0537356 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0563944 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.00419508 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.00385011 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0563944 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.00419508 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.00385011 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0131412 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0244957 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0149056 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.0126555 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0208029 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0182316 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.00431035 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0208029 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0182316 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.00431035 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.054572 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0162467 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.011846 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.0264584 # DEPENDENCYPART_SIBL
(20,3),(20,5),-0.00456806 # DEPENDENCYPART_SIBL
(20,3),(20,6),-0.0752032 # DEPENDENCYPART_SIBL
(20,3),(20,7),0.0331171 # DEPENDENCYPART_SIBL
(20,3),(20,9),-0.0348545 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.0282424 # DEPENDENCYPART_SIBL
(20,3),(20,11),0.000208519 # DEPENDENCYPART_SIBL
(20,3),(20,12),-0.00456806 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.0752032 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.0297703 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.0348545 # DEPENDENCYPART_SIBL
(20,3),(20,16),-0.0348545 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.0213931 # DEPENDENCYPART_SIBL
(20,3),(20,18),-0.0163279 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.0187783 # DEPENDENCYPART_SIBL
(20,3),(20,21),0.00943122 # DEPENDENCYPART_SIBL
(20,4),(20,5),0.00638055 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.0717781 # DEPENDENCYPART_SIBL
(20,4),(20,7),0.0145491 # DEPENDENCYPART_SIBL
(20,4),(20,9),-0.000646353 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.0252888 # DEPENDENCYPART_SIBL
(20,4),(20,11),0.018034 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.00638055 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.0717781 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0252932 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.000646353 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.000646353 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.0252969 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0265171 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.022517 # DEPENDENCYPART_SIBL
(20,4),(20,21),0.00915563 # DEPENDENCYPART_SIBL
(20,5),(20,6),-0.0831263 # DEPENDENCYPART_SIBL
(20,5),(20,7),0.0172827 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.00812605 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.0144277 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.0211417 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.0287778 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.0831263 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.0147328 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.00812605 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.00812605 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.0102562 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.0265596 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.0062761 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.054905 # DEPENDENCYPART_SIBL
(20,6),(20,7),-0.0770864 # DEPENDENCYPART_SIBL
(20,6),(20,9),-0.175516 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.113525 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.095522 # DEPENDENCYPART_SIBL
(20,6),(20,12),-0.102667 # DEPENDENCYPART_SIBL
(20,6),(20,13),-0.13427 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.113529 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.175516 # DEPENDENCYPART_SIBL
(20,6),(20,16),-0.175516 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.116881 # DEPENDENCYPART_SIBL
(20,6),(20,18),-0.0805541 # DEPENDENCYPART_SIBL
(20,6),(20,19),-0.114102 # DEPENDENCYPART_SIBL
(20,6),(20,21),-0.0374514 # DEPENDENCYPART_SIBL
(20,7),(20,9),0.0263954 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.0332187 # DEPENDENCYPART_SIBL
(20,7),(20,11),0.0247142 # DEPENDENCYPART_SIBL
(20,7),(20,12),0.017569 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.00606844 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.0332242 # DEPENDENCYPART_SIBL
(20,7),(20,15),0.0263954 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.0263954 # DEPENDENCYPART_SIBL
(20,7),(20,17),0.0328436 # DEPENDENCYPART_SIBL
(20,7),(20,18),0.0761893 # DEPENDENCYPART_SIBL
(20,7),(20,19),0.0367675 # DEPENDENCYPART_SIBL
(20,7),(20,21),0.0945966 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.0255568 # DEPENDENCYPART_SIBL
(20,9),(20,11),0.00442667 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.000349913 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.0725521 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.0270848 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.0290821 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.0290821 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.0187421 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.0136769 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.0161273 # DEPENDENCYPART_SIBL
(20,9),(20,21),0.00919489 # DEPENDENCYPART_SIBL
(20,10),(20,11),0.0174818 # DEPENDENCYPART_SIBL
(20,10),(20,12),0.00582829 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.0738738 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.027389 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.00874302 # DEPENDENCYPART_SIBL
(20,10),(20,16),-0.00874302 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.0254343 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.0268485 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.0226544 # DEPENDENCYPART_SIBL
(20,10),(20,21),0.0502029 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.0286505 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.0829989 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0146055 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.00773492 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.00773492 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.0101288 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0264323 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.00614876 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.0553819 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.0831263 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.0147328 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.00812605 # DEPENDENCYPART_SIBL
(20,12),(20,16),-0.00812605 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.0102562 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.0265596 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.0062761 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.054905 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.113529 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.175516 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.175516 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.116881 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.0805541 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.114102 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0374514 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.00878015 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.00878015 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.0254364 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.0268507 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.0226566 # DEPENDENCYPART_SIBL
(20,14),(20,21),0.0453926 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.0290821 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0187421 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0136769 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0161273 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.00919489 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0187421 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0136769 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.0161273 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.00919489 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0105829 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0404412 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0966214 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0225202 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0331732 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0921461 # DEPENDENCYPART_SIBL
(0,1),(1,3),0.010444 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.210343 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.058641 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.291459 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.70553 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.31593 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.445077 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.0263621 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.354079 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.00122179 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.723597 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),-0.178704 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.127872 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),-0.240056 # DEPENDENCYPART_GRANDPAR
(0,3),(3,20),-0.157247 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.347588 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.0824466 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.449666 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.553034 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.182602 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.00264112 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.112951 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.281524 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),1.00865 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.232536 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),0.263349 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.251322 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.0285221 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),0.277994 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),-0.0244116 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.504344 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),0.605363 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.0927017 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.332143 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.327267 # DEPENDENCYPART_GRANDPAR
(0,6),(6,20),0.0443767 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.0714304 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),0.0113491 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.0819503 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),0.210343 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),0.110286 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),-0.0337534 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),0.355867 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.016217 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),0.215888 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.420477 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.179134 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),0.130633 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-0.240485 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),-0.214005 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),0.0928522 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),0.292756 # DEPENDENCYPART_GRANDPAR
(0,9),(9,21),-0.463914 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.347588 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.247531 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.0181201 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.551642 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.186722 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),0.00240762 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),0.420933 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),0.348856 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),0.527025 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.0751335 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.137934 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),0.245962 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.0415356 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),0.264981 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),0.333983 # DEPENDENCYPART_GRANDPAR
(0,11),(11,20),-0.0297718 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),0.553034 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),0.182602 # DEPENDENCYPART_GRANDPAR
(0,12),(12,4),0.00264112 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),0.349609 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),0.528417 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),0.0710136 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),-0.137701 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),0.206149 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),0.00507503 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),-0.0285221 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),0.277994 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),0.354914 # DEPENDENCYPART_GRANDPAR
(0,12),(12,20),-0.0244116 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),0.479726 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),0.375733 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),0.379156 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.167868 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),0.139054 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),0.513593 # DEPENDENCYPART_GRANDPAR
(0,13),(13,20),0.0443767 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.038662 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),0.126518 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),0.12966 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.0916591 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.177419 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),0.0928522 # DEPENDENCYPART_GRANDPAR
(0,15),(15,18),0.292756 # DEPENDENCYPART_GRANDPAR
(0,15),(15,19),-0.131322 # DEPENDENCYPART_GRANDPAR
(0,15),(15,21),-0.463914 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),0.0349374 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),0.126462 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),0.129604 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.0916783 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.224683 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),0.292756 # DEPENDENCYPART_GRANDPAR
(0,16),(16,19),-0.131322 # DEPENDENCYPART_GRANDPAR
(0,16),(16,20),-0.156955 # DEPENDENCYPART_GRANDPAR
(0,16),(16,21),-0.463085 # DEPENDENCYPART_GRANDPAR
(0,17),(17,19),-0.132589 # DEPENDENCYPART_GRANDPAR
(0,18),(18,3),0.232403 # DEPENDENCYPART_GRANDPAR
(0,18),(18,9),0.129336 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),0.195072 # DEPENDENCYPART_GRANDPAR
(0,18),(18,12),0.193089 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),0.0636945 # DEPENDENCYPART_GRANDPAR
(0,18),(18,14),-0.228348 # DEPENDENCYPART_GRANDPAR
(0,18),(18,15),-0.130284 # DEPENDENCYPART_GRANDPAR
(0,18),(18,16),0.173841 # DEPENDENCYPART_GRANDPAR
(0,18),(18,17),-0.025837 # DEPENDENCYPART_GRANDPAR
(0,18),(18,19),0.0717102 # DEPENDENCYPART_GRANDPAR
(0,18),(18,20),-0.0889421 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.223007 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),0.0811183 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),0.214107 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),-0.21868 # DEPENDENCYPART_GRANDPAR
(0,19),(19,21),-0.502171 # DEPENDENCYPART_GRANDPAR
(0,20),(20,3),0.188598 # DEPENDENCYPART_GRANDPAR
(0,20),(20,4),0.00559268 # DEPENDENCYPART_GRANDPAR
(0,20),(20,5),0.42221 # DEPENDENCYPART_GRANDPAR
(0,20),(20,6),0.135587 # DEPENDENCYPART_GRANDPAR
(0,20),(20,7),0.350134 # DEPENDENCYPART_GRANDPAR
(0,20),(20,9),0.0770101 # DEPENDENCYPART_GRANDPAR
(0,20),(20,10),-0.134749 # DEPENDENCYPART_GRANDPAR
(0,20),(20,11),0.190976 # DEPENDENCYPART_GRANDPAR
(0,20),(20,12),0.196003 # DEPENDENCYPART_GRANDPAR
(0,20),(20,13),0.0277109 # DEPENDENCYPART_GRANDPAR
(0,20),(20,14),-0.187537 # DEPENDENCYPART_GRANDPAR
(0,20),(20,15),-0.18261 # DEPENDENCYPART_GRANDPAR
(0,20),(20,16),0.121515 # DEPENDENCYPART_GRANDPAR
(0,20),(20,17),-0.0791765 # DEPENDENCYPART_GRANDPAR
(0,20),(20,18),0.125695 # DEPENDENCYPART_GRANDPAR
(0,20),(20,19),-0.0237426 # DEPENDENCYPART_GRANDPAR
(0,20),(20,21),-0.323609 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.220921 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.143757 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.0160512 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),0.0151628 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.0834395 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.166114 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.0184472 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.0596787 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),0.0475265 # DEPENDENCYPART_GRANDPAR
(1,3),(3,20),-0.187662 # DEPENDENCYPART_GRANDPAR
(2,1),(1,3),-0.170022 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.256469 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.605933 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.255851 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.0337355 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.192361 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.353814 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),0.324518 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.0953653 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),0.1082 # DEPENDENCYPART_GRANDPAR
(2,3),(3,20),0.0817845 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.254582 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.476361 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.140396 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),0.320505 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.1259 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.247008 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.360981 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.0839804 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.358888 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.196151 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.271222 # DEPENDENCYPART_GRANDPAR
(2,5),(5,16),-0.157099 # DEPENDENCYPART_GRANDPAR
(2,5),(5,20),-0.0103721 # DEPENDENCYPART_GRANDPAR
(2,8),(8,1),-0.236936 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),-0.175208 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.0269565 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.67787 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,1),0.0645813 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.699763 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,5),-0.561506 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.490148 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.0924568 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.355895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,1),-0.187149 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.202853 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.410061 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.0290549 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.077041 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.0515855 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.334268 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.0824503 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.199704 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),-0.199529 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.136869 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.0709289 # DEPENDENCYPART_GRANDPAR
(3,5),(5,20),-0.0675338 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.200432 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.0678761 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.0605753 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.274748 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.267982 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.14258 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-0.140075 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),-0.0907429 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.170235 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-0.0924568 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),-0.00408914 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),-0.183598 # DEPENDENCYPART_GRANDPAR
(3,12),(12,2),-0.202853 # DEPENDENCYPART_GRANDPAR
(3,12),(12,3),-0.410061 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,12),(12,4),-0.0290549 # DEPENDENCYPART_GRANDPAR
(3,12),(12,7),0.0150116 # DEPENDENCYPART_GRANDPAR
(3,12),(12,8),0.0180117 # DEPENDENCYPART_GRANDPAR
(3,12),(12,9),-0.241687 # DEPENDENCYPART_GRANDPAR
(3,12),(12,10),-0.00955463 # DEPENDENCYPART_GRANDPAR
(3,12),(12,11),-0.0703793 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),0.0625351 # DEPENDENCYPART_GRANDPAR
(3,12),(12,15),-0.136869 # DEPENDENCYPART_GRANDPAR
(3,12),(12,16),-0.0709289 # DEPENDENCYPART_GRANDPAR
(3,12),(12,18),-0.100357 # DEPENDENCYPART_GRANDPAR
