# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,4,2,0,4,10,10,7,7,21,10,11,21,16,14,18,16,21,18,18,0,21,22,
(14,9),(14,21),-0.0539026 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.0540158 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0127212 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.043299 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0165064 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.00561155 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.00236917 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.00236917 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0468918 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.0190253 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.0188606 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.0371786 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0486766 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0255184 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0473502 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0562268 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0562268 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0279582 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.000292042 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0401399 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0822575 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0215171 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.000474644 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0288693 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0288693 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0256378 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.00905864 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.00948785 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.00991404 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0331863 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.00554942 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.00554942 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0381637 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.243102 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0457669 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0705948 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0204639 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0204639 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0195512 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.0904169 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0253646 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0815104 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0073091 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0359056 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.04874 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0392882 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0887528 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0359056 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.04874 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0392882 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.0887528 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.121753 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.00123586 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.0582559 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0770887 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.111541 # DEPENDENCYPART_SIBL
(14,21),(14,23),-0.069403 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0109674 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0355818 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.037158 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0325233 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0533956 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0186883 # DEPENDENCYPART_SIBL
(16,2),(16,4),0.0910436 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.036033 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.00418985 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.00998441 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0426631 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0325851 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0298325 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.0383462 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.00418985 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.0312365 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.040548 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.040548 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.0104629 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.00529185 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.0101091 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.0151495 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0646172 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0529248 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.000515702 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.010071 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.0388229 # DEPENDENCYPART_SIBL
(16,4),(16,13),0.0184001 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.0646172 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0391725 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0396567 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0396567 # DEPENDENCYPART_SIBL
(16,4),(16,19),0.018205 # DEPENDENCYPART_SIBL
(16,4),(16,20),0.0404151 # DEPENDENCYPART_SIBL
(16,4),(16,21),0.0244975 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.008682 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.0199361 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.05781 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0505411 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.0191437 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.0262616 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.008682 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0141492 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0083373 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0083373 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.0191395 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.0330812 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0228645 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.00998441 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0426631 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0325851 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.0298325 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0383462 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.00418985 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0312365 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.040548 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.040548 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0104629 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.00529185 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0101091 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.0283081 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.0135797 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0600618 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.00754508 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0206715 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0269941 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0239689 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0239689 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.00226062 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.11562 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.00711165 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0364597 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0860495 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0128652 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.132845 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0537775 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.113425 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.113425 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.055488 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0555854 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.061102 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.00336444 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0498243 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0113643 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.00335492 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0322336 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0322336 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0294014 # DEPENDENCYPART_SIBL
(16,11),(16,20),0.0138086 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.0354401 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0043899 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0891221 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0265203 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0399908 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0399908 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.017406 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0291057 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0109825 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.00478912 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0129204 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00428845 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.00428845 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0272351 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0366286 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0309601 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0312365 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.040548 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.040548 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0104629 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.00529185 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0101091 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0123079 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0123079 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.00490352 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.110712 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.00156546 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.111523 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.102173 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0252256 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.102135 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.102173 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0252256 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.102135 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0194548 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0839274 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.118657 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0143266 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.010971 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.00621019 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0286658 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.00464779 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.0333623 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0274133 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.00753548 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0361369 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0110029 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0497708 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.00807936 # DEPENDENCYPART_SIBL
(17,15),(17,23),-0.0931951 # DEPENDENCYPART_SIBL
(17,16),(17,18),-1.24604e-05 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.00382879 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0734395 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0412458 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0577131 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0359056 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.04874 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.00352959 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0887528 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.121753 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.0328334 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0582559 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.029992 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.111541 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0430112 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.12615 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0675343 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0196865 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.107484 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0434595 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.00234078 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.107484 # DEPENDENCYPART_SIBL
(18,4),(18,19),0.0133124 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.118212 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.0206978 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.0591 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0127212 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.043299 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0247108 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.0620365 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.0653078 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.0247108 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.0468918 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0190253 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.104536 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.0371786 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0486766 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.115615 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0405043 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.03003 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.115615 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0279582 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.000292042 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.0201619 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0822575 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0520369 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.0138522 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0365805 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0520369 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0256378 # DEPENDENCYPART_SIBL
(18,13),(18,20),0.00905864 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.0256133 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.00991404 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0143266 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.010971 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.00783131 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0286658 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.00464779 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0333623 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.0274133 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.00753548 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0156237 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0110029 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0497708 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.00807936 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0931951 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0592957 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.00382879 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0734395 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0412458 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0577131 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0286658 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.00464779 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0333623 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0274133 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.121753 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0328334 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0582559 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.029992 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.111541 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0430112 # DEPENDENCYPART_SIBL
(19,2),(19,4),0.00550188 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.0758013 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.0226953 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.0430203 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.0271583 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.00646583 # DEPENDENCYPART_SIBL
(19,2),(19,11),0.00332049 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.0758013 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.0170245 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.0430203 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.0203947 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.00574157 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.0430203 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.0430203 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.0814382 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.0408038 # DEPENDENCYPART_SIBL
(19,2),(19,22),0.00482058 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.0925119 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.0342699 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.12945 # DEPENDENCYPART_SIBL
(19,4),(19,8),-0.106723 # DEPENDENCYPART_SIBL
(19,4),(19,10),-0.0394864 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.0487517 # DEPENDENCYPART_SIBL
(19,4),(19,12),-0.0925119 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.0233629 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.12945 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.0624543 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.0224125 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.12945 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.12945 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.00943999 # DEPENDENCYPART_SIBL
(19,4),(19,21),-0.0245799 # DEPENDENCYPART_SIBL
(19,4),(19,22),0.00261935 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.117817 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.183513 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.132532 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.103658 # DEPENDENCYPART_SIBL
(19,5),(19,11),-0.0604957 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.13427 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.113319 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.183513 # DEPENDENCYPART_SIBL
(19,5),(19,15),-0.0964172 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.0848239 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.183513 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.183513 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0246989 # DEPENDENCYPART_SIBL
(19,5),(19,21),-0.0268729 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.0149299 # DEPENDENCYPART_SIBL
(19,6),(19,7),-0.00656364 # DEPENDENCYPART_SIBL
(19,6),(19,8),-0.0463889 # DEPENDENCYPART_SIBL
(19,6),(19,10),0.0181803 # DEPENDENCYPART_SIBL
(19,6),(19,11),0.0236773 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.0482905 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.0296723 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.00656364 # DEPENDENCYPART_SIBL
(19,6),(19,15),0.00859454 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.00232188 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.00656364 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.00656364 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.00796593 # DEPENDENCYPART_SIBL
(19,6),(19,21),-0.0045527 # DEPENDENCYPART_SIBL
(19,6),(19,22),0.106042 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.0271583 # DEPENDENCYPART_SIBL
(19,7),(19,10),-0.00646583 # DEPENDENCYPART_SIBL
(19,7),(19,11),0.00332049 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.0758013 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.0170245 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.0430203 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.0203947 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.00574157 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.0430203 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.0430203 # DEPENDENCYPART_SIBL
(19,7),(19,20),-0.0814382 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.0408038 # DEPENDENCYPART_SIBL
(19,7),(19,22),0.00482058 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.00297891 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.019817 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.0815443 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0263475 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.0137074 # DEPENDENCYPART_SIBL
(19,8),(19,15),-0.00663094 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.00227328 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.0137074 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.0137074 # DEPENDENCYPART_SIBL
(19,8),(19,20),0.0338481 # DEPENDENCYPART_SIBL
(19,8),(19,21),-0.0505443 # DEPENDENCYPART_SIBL
(19,8),(19,22),-0.0772285 # DEPENDENCYPART_SIBL
(19,10),(19,11),-0.0198665 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.0869777 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.0093455 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.0265416 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.00625711 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.000810414 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.0265416 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.0265416 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.0443526 # DEPENDENCYPART_SIBL
(19,10),(19,21),-0.00958264 # DEPENDENCYPART_SIBL
(19,10),(19,22),0.0751683 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.0427497 # DEPENDENCYPART_SIBL
(19,11),(19,13),0.011736 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.0119286 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0102022 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.00767017 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0119286 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0119286 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0375239 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0206843 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.0690184 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.113319 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.183513 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.0964172 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.0848239 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.183513 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.183513 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.0246989 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.0268729 # DEPENDENCYPART_SIBL
(19,12),(19,22),-0.0149299 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.00516528 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.0162665 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.0161782 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.00516528 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.00516528 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0162545 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.0178798 # DEPENDENCYPART_SIBL
(19,13),(19,22),0.0321588 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.0203947 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.00574157 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0430203 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0430203 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0814382 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.0408038 # DEPENDENCYPART_SIBL
(19,14),(19,22),0.00482058 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0119807 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.00523403 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.00523403 # DEPENDENCYPART_SIBL
