# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,9,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(13,11),(13,17),-0.0761292 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0246734 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0546932 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0763265 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0765865 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.108932 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.140991 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.143925 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.159525 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.158621 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.120722 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0046861 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0259473 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0181412 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0525599 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0331818 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.0874112 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.0326232 # DEPENDENCYPART_SIBL
(16,1),(16,5),-0.0370211 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.00105547 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0308063 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.0177475 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.0490846 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0320808 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0874112 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.00509558 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0459621 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0456105 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0404633 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.0538409 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.0262381 # DEPENDENCYPART_SIBL
(16,2),(16,4),0.0260549 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.0216574 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.0406678 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.0278722 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.0154558 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.06428 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0257043 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0262381 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.057932 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.0113451 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.00379357 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0312112 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0877384 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.202961 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.207358 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.101256 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.201144 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.132092 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.0613304 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.202418 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.161343 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.105981 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.138514 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.215948 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0390749 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0505558 # DEPENDENCYPART_SIBL
(16,4),(16,5),-0.0459069 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.00261718 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0276538 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.00571649 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.0329493 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0291442 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.0724336 # DEPENDENCYPART_SIBL
(16,4),(16,13),0.0139414 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.0231895 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0575795 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0354072 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.00222469 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.00333261 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.0423844 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.00916462 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.0270005 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0438748 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0783834 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.00799163 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0291393 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.07231 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.030779 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.00614706 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.134273 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.0834712 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.0516135 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.136032 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.101391 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.024364 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0923479 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.156295 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.0331279 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0508657 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.00759685 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0281001 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.0405757 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.0772837 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0090913 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0280396 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.069011 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0327401 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.00606746 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.00151717 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0278052 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0952035 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.000331802 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0334766 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0433284 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0133646 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0601016 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.00923757 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0479631 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.00927756 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0429872 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0227752 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0105396 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.13623 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0776054 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.00876962 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0283613 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0670893 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0381713 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.00571096 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.105981 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.138514 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.215948 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0390749 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0505558 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0951019 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.150721 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0238749 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.069359 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0358604 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0273432 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0189189 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0173982 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0112663 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0401466 # DEPENDENCYPART_SIBL
(17,2),(17,4),0.0348611 # DEPENDENCYPART_SIBL
(17,2),(17,5),0.0304636 # DEPENDENCYPART_SIBL
(17,2),(17,6),0.0297258 # DEPENDENCYPART_SIBL
(17,2),(17,7),0.0366784 # DEPENDENCYPART_SIBL
(17,2),(17,8),0.0116717 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.0060726 # DEPENDENCYPART_SIBL
(17,2),(17,10),0.0573246 # DEPENDENCYPART_SIBL
(17,2),(17,11),0.0345105 # DEPENDENCYPART_SIBL
(17,2),(17,13),0.0449937 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.0174749 # DEPENDENCYPART_SIBL
(17,2),(17,15),0.0125998 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.039419 # DEPENDENCYPART_SIBL
(17,2),(17,18),0.0959062 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.00758958 # DEPENDENCYPART_SIBL
(17,4),(17,6),0.0117176 # DEPENDENCYPART_SIBL
(17,4),(17,7),0.0106635 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.0139878 # DEPENDENCYPART_SIBL
(17,4),(17,9),0.00628106 # DEPENDENCYPART_SIBL
(17,4),(17,10),0.0458521 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.00917311 # DEPENDENCYPART_SIBL
(17,4),(17,13),0.0219794 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.00794273 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.0192622 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.0597494 # DEPENDENCYPART_SIBL
(17,4),(17,18),0.0643855 # DEPENDENCYPART_SIBL
(17,5),(17,6),0.0057678 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.00406709 # DEPENDENCYPART_SIBL
(17,5),(17,8),0.00803801 # DEPENDENCYPART_SIBL
(17,5),(17,9),0.00283292 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.0399032 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.00555746 # DEPENDENCYPART_SIBL
(17,5),(17,13),0.0160296 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.0138925 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0339927 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.0563012 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.0683079 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.119112 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.0776593 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0895094 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.050813 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.120871 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.0309373 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0909685 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.141135 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0485228 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.032975 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.00913769 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.00440069 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0410029 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.00225844 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.0171293 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0127928 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0306937 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.057869 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.0682283 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0220145 # DEPENDENCYPART_SIBL
(17,8),(17,10),0.0539239 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.00594346 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.000782577 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0432195 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0194731 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.016035 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.0504296 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.00156197 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.0131677 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.00978636 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.0332965 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0286909 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.0386926 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.06123 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.0089546 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.0068814 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0385757 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.00458304 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.00757103 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.157943 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.0168076 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0131145 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.028772 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.0575473 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.0678718 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.0952252 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.137063 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.032368 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0533431 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0152397 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0170867 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0447917 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0974151 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0767915 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0394016 # DEPENDENCYPART_SIBL
(0,1),(1,9),0.0598196 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.0279355 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.18621 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.0227607 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.309405 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.154776 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.193281 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.195023 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),0.182398 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.00803334 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.233044 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.194818 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.181617 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.148384 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.067157 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.144133 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.0460772 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.254874 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.173822 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.158961 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.136792 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.0517193 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.114283 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.128634 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.443591 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),-0.00945015 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),-0.145489 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.215584 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.0386877 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.0138659 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.33784 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.192212 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.266671 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.124658 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.41851 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.0875168 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),-0.19296 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),0.00631605 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.0841107 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),-0.000348269 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),0.289369 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),0.0711255 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),-0.253133 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.145269 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),-0.010277 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),0.390387 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),-0.0757214 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),0.16238 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.157189 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.053455 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.0509824 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.171979 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.709302 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),0.407058 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.145222 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),0.225151 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),-0.0979104 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),0.0619573 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),0.13398 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.258358 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.0999822 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.0939378 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.404877 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.00803334 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),0.232928 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.128641 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.0778092 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.174159 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.127707 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),0.147423 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.260956 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),0.0844664 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.0967311 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.28473 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),-0.0940091 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),-0.0197505 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),-0.173491 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),0.373585 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),0.208605 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),0.205166 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),0.29011 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),0.0996883 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),0.182398 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),-0.198557 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.141744 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),-0.0794808 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),-0.403171 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.212826 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.294867 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),-0.359416 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),0.215332 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),0.0756556 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.0154947 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.133825 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.242843 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.453857 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.00894837 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),0.0759041 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),0.166977 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),-0.148358 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),0.199655 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),-0.243875 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),-0.0940101 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),-0.050366 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),0.34543 # DEPENDENCYPART_GRANDPAR
(0,16),(16,3),-0.124154 # DEPENDENCYPART_GRANDPAR
(0,16),(16,4),0.129244 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),-0.190325 # DEPENDENCYPART_GRANDPAR
(0,16),(16,6),-0.0810087 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.0841187 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),0.140622 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),0.224251 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),0.194891 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),-0.172997 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),0.14167 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.189728 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.317985 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),0.0862021 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),-0.0439972 # DEPENDENCYPART_GRANDPAR
(0,17),(17,2),0.388341 # DEPENDENCYPART_GRANDPAR
(0,17),(17,4),0.246771 # DEPENDENCYPART_GRANDPAR
(0,17),(17,5),-0.0727982 # DEPENDENCYPART_GRANDPAR
(0,17),(17,6),-0.0336197 # DEPENDENCYPART_GRANDPAR
(0,17),(17,7),0.0334082 # DEPENDENCYPART_GRANDPAR
(0,17),(17,8),-0.144623 # DEPENDENCYPART_GRANDPAR
(0,17),(17,9),0.198003 # DEPENDENCYPART_GRANDPAR
(0,17),(17,10),0.292357 # DEPENDENCYPART_GRANDPAR
(0,17),(17,11),0.312418 # DEPENDENCYPART_GRANDPAR
(0,17),(17,13),0.183583 # DEPENDENCYPART_GRANDPAR
(0,17),(17,14),-0.122287 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),-0.199897 # DEPENDENCYPART_GRANDPAR
(0,17),(17,16),-0.0549788 # DEPENDENCYPART_GRANDPAR
(0,17),(17,18),-0.00637045 # DEPENDENCYPART_GRANDPAR
(0,18),(18,16),-0.0689887 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.561921 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),0.0810701 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),0.0901906 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),-0.494611 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.111566 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.0120306 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.149185 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.0506412 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.240848 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.441373 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),0.164529 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.0482371 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),-0.694949 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-0.116345 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.0137257 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.423036 # DEPENDENCYPART_GRANDPAR
(2,3),(3,4),-0.31143 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.316865 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.184143 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.509743 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.0223462 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.351154 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.289263 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.414156 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.316528 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.184143 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.509735 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.0215201 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.168607 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.288582 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.409629 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.3085 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.221923 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.409465 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.317845 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.155261 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.543781 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),0.0163653 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),-0.247706 # DEPENDENCYPART_GRANDPAR
