# _root_ kasu honetan gutuna posta arruntaren_bidez etorri da , eta etako presoek bizi duten egoeraren erantzule egiten gaituzte " , azaldu zuen .
#goldHeads=6,1,6,6,4,9,6,7,20,11,12,14,12,15,16,9,16,17,18,0,0,21,
#predictedHeads=6,1,6,6,4,9,6,7,0,11,12,14,12,15,16,9,16,17,18,0,20,21,
(14,9),(14,13),-0.0745756 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.023028 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0217106 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0187156 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.016597 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0073696 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0180608 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0188586 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0299831 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.0577598 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.00168084 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0154616 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.00933086 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0352986 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.061402 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0169238 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.014934 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0355463 # DEPENDENCYPART_SIBL
(14,12),(14,21),0.0634272 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0296084 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0276497 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0353115 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.00152147 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.00871189 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0529646 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0127189 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.0696303 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.0256753 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0333153 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.0316061 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0145271 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.0258044 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.0353477 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0625205 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.0252131 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0673136 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.0375291 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0292133 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.116508 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.115615 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.109065 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0540121 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.116633 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.045361 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.014888 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0348098 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.0334683 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0822579 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.108377 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.107484 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.103506 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.073594 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.108502 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.00943381 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0213781 # DEPENDENCYPART_SIBL
(15,9),(15,20),0.0111455 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.019048 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0594293 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0147663 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.00423856 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0147618 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0172734 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0102337 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0301219 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.0166035 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.0578986 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0354353 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.00481189 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0121626 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.00822292 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0183751 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0354374 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.0247449 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0615409 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0274322 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0132952 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0112225 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0150613 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0356852 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.0217503 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.063566 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.0209438 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0102417 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0303002 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0275317 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.0288929 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0351935 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0259046 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0190027 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0384994 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.0253726 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.066632 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.00962047 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0695412 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.00678071 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0969727 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0760762 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.0456789 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0529658 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0501187 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0520192 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0706648 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0642661 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0380606 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.00279981 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.00279981 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.0311236 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.0101583 # DEPENDENCYPART_SIBL
(16,1),(16,8),-0.0778124 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.00681162 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.00683723 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0030525 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.00926926 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.00965697 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.00362563 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.00498117 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.00828402 # DEPENDENCYPART_SIBL
(16,1),(16,19),0.0213405 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.00505542 # DEPENDENCYPART_SIBL
(16,1),(16,21),-0.0178716 # DEPENDENCYPART_SIBL
(16,2),(16,3),0.0246328 # DEPENDENCYPART_SIBL
(16,2),(16,4),0.0285217 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.0210202 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.0170962 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0742463 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.00690494 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0267266 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0282825 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.0335486 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.0189879 # DEPENDENCYPART_SIBL
(16,2),(16,14),0.0283548 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.0264655 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.0113356 # DEPENDENCYPART_SIBL
(16,2),(16,19),0.0180408 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.000148087 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.00987484 # DEPENDENCYPART_SIBL
(16,3),(16,4),0.0126699 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.0373724 # DEPENDENCYPART_SIBL
(16,3),(16,7),0.0145151 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.073639 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.000724672 # DEPENDENCYPART_SIBL
(16,3),(16,10),0.00863245 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.0124172 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.00620042 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.00530026 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.011844 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0104885 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.00427717 # DEPENDENCYPART_SIBL
(16,3),(16,19),0.0341671 # DEPENDENCYPART_SIBL
(16,3),(16,20),0.0111823 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.0138648 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0373724 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.0145151 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.073639 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.000724672 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.00954587 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.0133306 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.00711383 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.00530026 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.0127575 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.0114019 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.00427717 # DEPENDENCYPART_SIBL
(16,4),(16,19),0.0346972 # DEPENDENCYPART_SIBL
(16,4),(16,20),0.0111823 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.0138648 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.0197859 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0791691 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.000172986 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.0415119 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0489271 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.0456349 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0202686 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0430105 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.0409665 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.0642624 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0466911 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.0280134 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.0786885 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0534723 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.023976 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.00148381 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0025928 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0220695 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.031819 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.00282286 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0019635 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0739749 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0712852 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.0158226 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0761463 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0949963 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.138413 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.137375 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.1321 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0670014 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.137145 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.138005 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0348744 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.00412317 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0130068 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.0395058 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0786358 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0775982 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0764588 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.0529928 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0773681 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0796413 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.00405244 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.00475097 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.00218985 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0951661 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.00442357 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.00179319 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.00816802 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.00385044 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0024949 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0120209 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.0285884 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.00447467 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0222854 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.00180377 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0119996 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.00383987 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.00248432 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0115225 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0316152 # DEPENDENCYPART_SIBL
(16,11),(16,20),0.0068834 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0251675 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.00574808 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0122029 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0108647 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.00803628 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0399268 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.00508684 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0178759 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0327079 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0318805 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.108573 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0409923 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0241487 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.149254 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0076899 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.00428157 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0392473 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0106949 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0138692 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.000459915 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0276458 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0124451 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0100475 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0182012 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.00865437 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.151637 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0401106 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.109827 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.000279792 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.0418753 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0418964 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.00882421 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.0419728 # DEPENDENCYPART_SIBL
(17,12),(17,21),0.0558974 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.040659 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.00551459 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.0447999 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.0581915 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0144597 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0452732 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0594654 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0460057 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0353462 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0340987 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.015565 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0305816 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0887904 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0177046 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0892637 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0255351 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0315192 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.366832 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.129824 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0317973 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.0317973 # DEPENDENCYPART_SIBL
(20,1),(20,6),-0.00765822 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.074688 # DEPENDENCYPART_SIBL
(20,1),(20,9),0.00516593 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0358347 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.0320982 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.038257 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.0051132 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.0326231 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0339787 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.0527497 # DEPENDENCYPART_SIBL
(20,1),(20,17),0.00123743 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.074688 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0581922 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.01771 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.0167103 # DEPENDENCYPART_SIBL
(20,3),(20,6),-0.0142898 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.0708974 # DEPENDENCYPART_SIBL
(20,3),(20,9),0.0104874 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.0207478 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.0170112 # DEPENDENCYPART_SIBL
(20,3),(20,12),-0.0231701 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.00113921 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.0175362 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.0188917 # DEPENDENCYPART_SIBL
(20,3),(20,16),0.0461181 # DEPENDENCYPART_SIBL
(20,3),(20,17),0.00521142 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.0708974 # DEPENDENCYPART_SIBL
(20,3),(20,21),-0.0541854 # DEPENDENCYPART_SIBL
(20,3),(20,22),0.00304666 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.0142898 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.0708974 # DEPENDENCYPART_SIBL
(20,4),(20,9),0.0104874 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.0198343 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0160978 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.0222566 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.00113921 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0166227 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.0179783 # DEPENDENCYPART_SIBL
(20,4),(20,16),0.0461181 # DEPENDENCYPART_SIBL
(20,4),(20,17),0.00521142 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.0708974 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0541854 # DEPENDENCYPART_SIBL
(20,4),(20,22),0.00410681 # DEPENDENCYPART_SIBL
(20,6),(20,8),-0.0852407 # DEPENDENCYPART_SIBL
(20,6),(20,9),-0.00943498 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.00939911 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.00207913 # DEPENDENCYPART_SIBL
(20,6),(20,12),-0.0052601 # DEPENDENCYPART_SIBL
(20,6),(20,13),-0.0243662 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.00790047 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.00994451 # DEPENDENCYPART_SIBL
(20,6),(20,16),-0.0392691 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.0210832 # DEPENDENCYPART_SIBL
(20,6),(20,19),-0.0852407 # DEPENDENCYPART_SIBL
(20,6),(20,21),0.0352677 # DEPENDENCYPART_SIBL
(20,6),(20,22),-0.0525182 # DEPENDENCYPART_SIBL
(20,8),(20,9),-0.0932515 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.173493 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.172504 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.16717 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.0652021 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.172226 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.173085 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.0865668 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0632716 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.13427 # DEPENDENCYPART_SIBL
(20,8),(20,21),0.0289801 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.0471168 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.1337 # DEPENDENCYPART_SIBL
(20,9),(20,11),-0.13271 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.131513 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.058764 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.132432 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.134705 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.0317182 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.0567359 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.0977069 # DEPENDENCYPART_SIBL
(20,9),(20,21),-0.0620583 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0558404 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.0250048 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.0311637 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.00400698 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.0255298 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.0268853 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0407568 # DEPENDENCYPART_SIBL
(20,10),(20,17),0.00234366 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.0737651 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.0626061 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.00158529 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.0333413 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.0100055 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.0277074 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.029063 # DEPENDENCYPART_SIBL
(20,11),(20,16),0.0372522 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.00365489 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.0797633 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.0701876 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.00162792 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.0015844 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.0171747 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.0185129 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0460259 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.00509587 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.0709631 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.0581885 # DEPENDENCYPART_SIBL
(20,12),(20,22),0.017519 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.00383623 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.0046636 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0105426 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0146399 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.0444698 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.149065 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.0819123 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.0216903 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.0450906 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.00418458 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.0719242 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.0541898 # DEPENDENCYPART_SIBL
(20,14),(20,22),0.0124356 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.0488975 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.00807285 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0680359 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0503681 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.00176284 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0188904 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.081703 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0687136 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0269746 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.041993 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.140799 # DEPENDENCYPART_SIBL
(20,17),(20,22),0.0869722 # DEPENDENCYPART_SIBL
