# _root_ The plan had been to make one of Shearson 's easy-to-film , black-and-white `` Where We Stand '' commercials , which have been running occasionally in response to news events since 1985 .
#goldHeads=2,3,0,3,4,5,6,7,19,9,19,19,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,19,9,19,11,19,19,17,17,6,19,17,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
(31,29),-0.773005 # DEPENDENCYPART_ARC
(31,30),-0.244009 # DEPENDENCYPART_ARC
(31,32),3.38696 # DEPENDENCYPART_ARC
(31,33),-0.190637 # DEPENDENCYPART_ARC
(32,1),-3.29851 # DEPENDENCYPART_ARC
(32,2),-4.83097 # DEPENDENCYPART_ARC
(32,3),-4.30771 # DEPENDENCYPART_ARC
(32,4),-3.9809 # DEPENDENCYPART_ARC
(32,5),-4.277 # DEPENDENCYPART_ARC
(32,6),-3.50112 # DEPENDENCYPART_ARC
(32,7),-3.76343 # DEPENDENCYPART_ARC
(32,8),-2.39468 # DEPENDENCYPART_ARC
(32,9),-3.90135 # DEPENDENCYPART_ARC
(32,10),-3.67316 # DEPENDENCYPART_ARC
(32,11),-2.95294 # DEPENDENCYPART_ARC
(32,12),-3.53011 # DEPENDENCYPART_ARC
(32,13),-2.66547 # DEPENDENCYPART_ARC
(32,14),-2.80915 # DEPENDENCYPART_ARC
(32,15),-2.95567 # DEPENDENCYPART_ARC
(32,16),-3.26164 # DEPENDENCYPART_ARC
(32,17),-2.87989 # DEPENDENCYPART_ARC
(32,18),-2.74857 # DEPENDENCYPART_ARC
(32,19),-2.7262 # DEPENDENCYPART_ARC
(32,20),-2.62627 # DEPENDENCYPART_ARC
(32,21),-1.95683 # DEPENDENCYPART_ARC
(32,22),-2.38048 # DEPENDENCYPART_ARC
(32,23),-1.96787 # DEPENDENCYPART_ARC
(32,24),-1.94334 # DEPENDENCYPART_ARC
(32,25),-1.70408 # DEPENDENCYPART_ARC
(32,26),-2.09748 # DEPENDENCYPART_ARC
(32,27),-1.63406 # DEPENDENCYPART_ARC
(32,28),-1.54343 # DEPENDENCYPART_ARC
(32,29),-1.07316 # DEPENDENCYPART_ARC
(32,30),-0.512761 # DEPENDENCYPART_ARC
(32,31),-0.0600299 # DEPENDENCYPART_ARC
(32,33),0.524554 # DEPENDENCYPART_ARC
(33,1),-3.72161 # DEPENDENCYPART_ARC
(33,2),-4.50429 # DEPENDENCYPART_ARC
(33,3),-2.40267 # DEPENDENCYPART_ARC
(33,4),-3.22467 # DEPENDENCYPART_ARC
(33,5),-3.35901 # DEPENDENCYPART_ARC
(33,6),-3.19519 # DEPENDENCYPART_ARC
(33,7),-3.6065 # DEPENDENCYPART_ARC
(33,8),-3.13435 # DEPENDENCYPART_ARC
(33,9),-3.40424 # DEPENDENCYPART_ARC
(33,10),-3.0424 # DEPENDENCYPART_ARC
(33,11),-3.02984 # DEPENDENCYPART_ARC
(33,12),-1.32135 # DEPENDENCYPART_ARC
(33,13),-2.85951 # DEPENDENCYPART_ARC
(33,14),-2.18144 # DEPENDENCYPART_ARC
(33,15),-1.78769 # DEPENDENCYPART_ARC
(33,16),-1.79003 # DEPENDENCYPART_ARC
(33,17),-1.8608 # DEPENDENCYPART_ARC
(33,18),-2.01008 # DEPENDENCYPART_ARC
(33,19),-1.64816 # DEPENDENCYPART_ARC
(33,20),-0.871731 # DEPENDENCYPART_ARC
(33,21),-1.18893 # DEPENDENCYPART_ARC
(33,22),-1.52193 # DEPENDENCYPART_ARC
(33,23),-1.38684 # DEPENDENCYPART_ARC
(33,24),-0.765743 # DEPENDENCYPART_ARC
(33,25),-1.48454 # DEPENDENCYPART_ARC
(33,26),-1.44551 # DEPENDENCYPART_ARC
(33,27),-1.23978 # DEPENDENCYPART_ARC
(33,28),-1.46022 # DEPENDENCYPART_ARC
(33,29),-1.32106 # DEPENDENCYPART_ARC
(33,30),-0.655672 # DEPENDENCYPART_ARC
(33,31),-1.22467 # DEPENDENCYPART_ARC
(33,32),-0.938296 # DEPENDENCYPART_ARC
