# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(31,27),-1.09209 # DEPENDENCYPART_ARC
(31,28),1.82194 # DEPENDENCYPART_ARC
(31,29),2.23283 # DEPENDENCYPART_ARC
(31,30),0.365742 # DEPENDENCYPART_ARC
(31,32),1.19968 # DEPENDENCYPART_ARC
(31,33),-0.564791 # DEPENDENCYPART_ARC
(32,1),-5.36875 # DEPENDENCYPART_ARC
(32,2),-5.61486 # DEPENDENCYPART_ARC
(32,3),-2.58185 # DEPENDENCYPART_ARC
(32,4),-6.87627 # DEPENDENCYPART_ARC
(32,5),-4.48305 # DEPENDENCYPART_ARC
(32,6),-3.82874 # DEPENDENCYPART_ARC
(32,7),-3.17698 # DEPENDENCYPART_ARC
(32,8),-2.386 # DEPENDENCYPART_ARC
(32,9),-2.03366 # DEPENDENCYPART_ARC
(32,10),-5.19352 # DEPENDENCYPART_ARC
(32,11),-2.66589 # DEPENDENCYPART_ARC
(32,12),-2.14867 # DEPENDENCYPART_ARC
(32,13),-1.86454 # DEPENDENCYPART_ARC
(32,14),-2.57422 # DEPENDENCYPART_ARC
(32,15),-1.46215 # DEPENDENCYPART_ARC
(32,16),-3.8312 # DEPENDENCYPART_ARC
(32,17),-1.8549 # DEPENDENCYPART_ARC
(32,18),-2.76821 # DEPENDENCYPART_ARC
(32,19),-2.04782 # DEPENDENCYPART_ARC
(32,20),-0.897168 # DEPENDENCYPART_ARC
(32,21),-1.39661 # DEPENDENCYPART_ARC
(32,22),-0.555865 # DEPENDENCYPART_ARC
(32,23),-1.83964 # DEPENDENCYPART_ARC
(32,24),-1.33588 # DEPENDENCYPART_ARC
(32,25),0.19322 # DEPENDENCYPART_ARC
(32,26),-0.251992 # DEPENDENCYPART_ARC
(32,27),-0.351874 # DEPENDENCYPART_ARC
(32,28),3.73846 # DEPENDENCYPART_ARC
(32,29),4.07604 # DEPENDENCYPART_ARC
(32,30),1.35785 # DEPENDENCYPART_ARC
(32,31),4.79567 # DEPENDENCYPART_ARC
(32,33),0.599748 # DEPENDENCYPART_ARC
(33,1),-3.70721 # DEPENDENCYPART_ARC
(33,2),-4.15854 # DEPENDENCYPART_ARC
(33,3),-3.33816 # DEPENDENCYPART_ARC
(33,4),-3.48251 # DEPENDENCYPART_ARC
(33,5),-3.64858 # DEPENDENCYPART_ARC
(33,6),-2.54182 # DEPENDENCYPART_ARC
(33,7),-2.9739 # DEPENDENCYPART_ARC
(33,8),-3.21038 # DEPENDENCYPART_ARC
(33,9),-3.43273 # DEPENDENCYPART_ARC
(33,10),-2.93423 # DEPENDENCYPART_ARC
(33,11),-2.80001 # DEPENDENCYPART_ARC
(33,12),-2.52463 # DEPENDENCYPART_ARC
(33,13),-2.95878 # DEPENDENCYPART_ARC
(33,14),-2.2753 # DEPENDENCYPART_ARC
(33,15),-1.60376 # DEPENDENCYPART_ARC
(33,16),-2.14638 # DEPENDENCYPART_ARC
(33,17),-2.51233 # DEPENDENCYPART_ARC
(33,18),-1.52045 # DEPENDENCYPART_ARC
(33,19),-1.69635 # DEPENDENCYPART_ARC
(33,20),-1.30492 # DEPENDENCYPART_ARC
(33,21),-2.20394 # DEPENDENCYPART_ARC
(33,22),-1.96733 # DEPENDENCYPART_ARC
(33,23),-1.64334 # DEPENDENCYPART_ARC
(33,24),-1.23182 # DEPENDENCYPART_ARC
(33,25),-1.40891 # DEPENDENCYPART_ARC
(33,26),-0.798445 # DEPENDENCYPART_ARC
(33,27),-1.15231 # DEPENDENCYPART_ARC
(33,28),-1.22878 # DEPENDENCYPART_ARC
(33,29),-1.20521 # DEPENDENCYPART_ARC
(33,30),-0.760441 # DEPENDENCYPART_ARC
(33,31),-1.22194 # DEPENDENCYPART_ARC
(33,32),-1.15946 # DEPENDENCYPART_ARC
