# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=6,3,1,1,6,0,6,9,7,9,12,9,9,13,12,17,14,17,9,22,20,25,22,23,7,25,28,26,9,29,30,31,31,6,
(30,26),-1.58795 # DEPENDENCYPART_ARC
(30,27),0.874573 # DEPENDENCYPART_ARC
(30,28),-0.908802 # DEPENDENCYPART_ARC
(30,29),1.24717 # DEPENDENCYPART_ARC
(30,31),4.88491 # DEPENDENCYPART_ARC
(30,32),1.39366 # DEPENDENCYPART_ARC
(30,33),2.40855 # DEPENDENCYPART_ARC
(30,34),1.02323 # DEPENDENCYPART_ARC
(31,1),-4.44221 # DEPENDENCYPART_ARC
(31,2),-2.97442 # DEPENDENCYPART_ARC
(31,3),-4.78118 # DEPENDENCYPART_ARC
(31,4),-5.76607 # DEPENDENCYPART_ARC
(31,5),-1.46725 # DEPENDENCYPART_ARC
(31,6),-2.71091 # DEPENDENCYPART_ARC
(31,7),-2.85822 # DEPENDENCYPART_ARC
(31,8),-2.75908 # DEPENDENCYPART_ARC
(31,9),-4.11339 # DEPENDENCYPART_ARC
(31,10),-2.10723 # DEPENDENCYPART_ARC
(31,11),-2.07222 # DEPENDENCYPART_ARC
(31,12),-3.26077 # DEPENDENCYPART_ARC
(31,13),-3.28124 # DEPENDENCYPART_ARC
(31,14),-3.87 # DEPENDENCYPART_ARC
(31,15),-2.09943 # DEPENDENCYPART_ARC
(31,16),-3.22777 # DEPENDENCYPART_ARC
(31,17),-3.77521 # DEPENDENCYPART_ARC
(31,18),-4.58356 # DEPENDENCYPART_ARC
(31,19),-3.45686 # DEPENDENCYPART_ARC
(31,20),-1.72723 # DEPENDENCYPART_ARC
(31,21),-1.55698 # DEPENDENCYPART_ARC
(31,22),-2.50251 # DEPENDENCYPART_ARC
(31,23),-1.89659 # DEPENDENCYPART_ARC
(31,24),-2.81659 # DEPENDENCYPART_ARC
(31,25),-2.43783 # DEPENDENCYPART_ARC
(31,26),-2.19034 # DEPENDENCYPART_ARC
(31,27),-1.1098 # DEPENDENCYPART_ARC
(31,28),-1.51094 # DEPENDENCYPART_ARC
(31,29),0.138147 # DEPENDENCYPART_ARC
(31,30),0.492859 # DEPENDENCYPART_ARC
(31,32),3.30568 # DEPENDENCYPART_ARC
(31,33),3.7984 # DEPENDENCYPART_ARC
(31,34),0.444443 # DEPENDENCYPART_ARC
(32,1),-4.03988 # DEPENDENCYPART_ARC
(32,2),-4.01508 # DEPENDENCYPART_ARC
(32,3),-4.45567 # DEPENDENCYPART_ARC
(32,4),-4.26588 # DEPENDENCYPART_ARC
(32,5),-3.48697 # DEPENDENCYPART_ARC
(32,6),-4.00849 # DEPENDENCYPART_ARC
(32,7),-3.85959 # DEPENDENCYPART_ARC
(32,8),-3.73587 # DEPENDENCYPART_ARC
(32,9),-4.1121 # DEPENDENCYPART_ARC
(32,10),-2.93156 # DEPENDENCYPART_ARC
(32,11),-3.86149 # DEPENDENCYPART_ARC
(32,12),-3.99897 # DEPENDENCYPART_ARC
(32,13),-3.18971 # DEPENDENCYPART_ARC
(32,14),-3.99081 # DEPENDENCYPART_ARC
(32,15),-2.9512 # DEPENDENCYPART_ARC
(32,16),-3.78636 # DEPENDENCYPART_ARC
(32,17),-3.94064 # DEPENDENCYPART_ARC
(32,18),-3.75155 # DEPENDENCYPART_ARC
(32,19),-3.42396 # DEPENDENCYPART_ARC
(32,20),-3.66177 # DEPENDENCYPART_ARC
(32,21),-3.65591 # DEPENDENCYPART_ARC
(32,22),-3.5945 # DEPENDENCYPART_ARC
(32,23),-2.76424 # DEPENDENCYPART_ARC
(32,24),-3.46969 # DEPENDENCYPART_ARC
(32,25),-3.3146 # DEPENDENCYPART_ARC
(32,26),-3.04208 # DEPENDENCYPART_ARC
(32,27),-2.44991 # DEPENDENCYPART_ARC
(32,28),-2.75957 # DEPENDENCYPART_ARC
(32,29),-1.47962 # DEPENDENCYPART_ARC
(32,30),-1.98927 # DEPENDENCYPART_ARC
(32,31),-1.15072 # DEPENDENCYPART_ARC
(32,33),-1.11815 # DEPENDENCYPART_ARC
(32,34),-1.46266 # DEPENDENCYPART_ARC
(33,1),-3.84837 # DEPENDENCYPART_ARC
(33,2),-2.52308 # DEPENDENCYPART_ARC
(33,3),-3.96531 # DEPENDENCYPART_ARC
(33,4),-4.71849 # DEPENDENCYPART_ARC
(33,5),-0.734662 # DEPENDENCYPART_ARC
(33,6),-1.90843 # DEPENDENCYPART_ARC
(33,7),-2.22578 # DEPENDENCYPART_ARC
(33,8),-2.21229 # DEPENDENCYPART_ARC
(33,9),-3.45366 # DEPENDENCYPART_ARC
(33,10),-1.0694 # DEPENDENCYPART_ARC
(33,11),-1.18197 # DEPENDENCYPART_ARC
(33,12),-2.48734 # DEPENDENCYPART_ARC
(33,13),-1.97717 # DEPENDENCYPART_ARC
(33,14),-2.91271 # DEPENDENCYPART_ARC
(33,15),-1.20882 # DEPENDENCYPART_ARC
(33,16),-2.37671 # DEPENDENCYPART_ARC
(33,17),-2.83176 # DEPENDENCYPART_ARC
(33,18),-3.07406 # DEPENDENCYPART_ARC
(33,19),-2.88816 # DEPENDENCYPART_ARC
(33,20),-0.865358 # DEPENDENCYPART_ARC
(33,21),-0.972176 # DEPENDENCYPART_ARC
(33,22),-1.7948 # DEPENDENCYPART_ARC
(33,23),-0.192624 # DEPENDENCYPART_ARC
(33,24),-2.01528 # DEPENDENCYPART_ARC
(33,25),-1.49796 # DEPENDENCYPART_ARC
(33,26),-1.54134 # DEPENDENCYPART_ARC
(33,27),-1.18723 # DEPENDENCYPART_ARC
(33,28),-1.0108 # DEPENDENCYPART_ARC
(33,29),1.32252 # DEPENDENCYPART_ARC
(33,30),0.11122 # DEPENDENCYPART_ARC
(33,31),2.50306 # DEPENDENCYPART_ARC
(33,32),1.47602 # DEPENDENCYPART_ARC
(33,34),-0.555937 # DEPENDENCYPART_ARC
(34,1),-4.17885 # DEPENDENCYPART_ARC
(34,2),-4.66925 # DEPENDENCYPART_ARC
(34,3),-4.78961 # DEPENDENCYPART_ARC
(34,4),-3.50827 # DEPENDENCYPART_ARC
(34,5),-3.90098 # DEPENDENCYPART_ARC
(34,6),-4.50618 # DEPENDENCYPART_ARC
(34,7),-4.31899 # DEPENDENCYPART_ARC
(34,8),-4.28805 # DEPENDENCYPART_ARC
(34,9),-4.33723 # DEPENDENCYPART_ARC
(34,10),-3.17509 # DEPENDENCYPART_ARC
(34,11),-4.03725 # DEPENDENCYPART_ARC
(34,12),-4.09733 # DEPENDENCYPART_ARC
(34,13),-3.38169 # DEPENDENCYPART_ARC
(34,14),-3.8182 # DEPENDENCYPART_ARC
(34,15),-3.24652 # DEPENDENCYPART_ARC
(34,16),-4.10011 # DEPENDENCYPART_ARC
(34,17),-3.91617 # DEPENDENCYPART_ARC
(34,18),-3.4957 # DEPENDENCYPART_ARC
(34,19),-2.94941 # DEPENDENCYPART_ARC
(34,20),-3.97397 # DEPENDENCYPART_ARC
(34,21),-3.93605 # DEPENDENCYPART_ARC
(34,22),-3.86151 # DEPENDENCYPART_ARC
(34,23),-3.17015 # DEPENDENCYPART_ARC
(34,24),-3.61011 # DEPENDENCYPART_ARC
(34,25),-3.73656 # DEPENDENCYPART_ARC
(34,26),-3.4627 # DEPENDENCYPART_ARC
(34,27),-3.31808 # DEPENDENCYPART_ARC
(34,28),-3.18198 # DEPENDENCYPART_ARC
(34,29),-2.30394 # DEPENDENCYPART_ARC
(34,30),-2.77737 # DEPENDENCYPART_ARC
(34,31),-2.24476 # DEPENDENCYPART_ARC
(34,32),-1.70266 # DEPENDENCYPART_ARC
(34,33),-1.34011 # DEPENDENCYPART_ARC
