# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,21,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(31,28),-0.433618 # DEPENDENCYPART_ARC
(31,29),0.0154694 # DEPENDENCYPART_ARC
(31,30),-0.36644 # DEPENDENCYPART_ARC
(31,32),-0.335989 # DEPENDENCYPART_ARC
(31,33),4.60237 # DEPENDENCYPART_ARC
(31,34),-1.02853 # DEPENDENCYPART_ARC
(31,35),-2.11692 # DEPENDENCYPART_ARC
(31,36),1.35523 # DEPENDENCYPART_ARC
(31,37),0.444278 # DEPENDENCYPART_ARC
(31,38),-1.9392 # DEPENDENCYPART_ARC
(31,39),-1.23917 # DEPENDENCYPART_ARC
(31,40),-0.406268 # DEPENDENCYPART_ARC
(32,1),-2.98593 # DEPENDENCYPART_ARC
(32,6),-5.75376 # DEPENDENCYPART_ARC
(32,7),-3.11105 # DEPENDENCYPART_ARC
(32,8),-2.9399 # DEPENDENCYPART_ARC
(32,9),-3.73612 # DEPENDENCYPART_ARC
(32,10),-5.30052 # DEPENDENCYPART_ARC
(32,11),-2.8882 # DEPENDENCYPART_ARC
(32,14),-2.17371 # DEPENDENCYPART_ARC
(32,15),-2.6242 # DEPENDENCYPART_ARC
(32,16),-2.22896 # DEPENDENCYPART_ARC
(32,17),-2.88894 # DEPENDENCYPART_ARC
(32,18),-3.21463 # DEPENDENCYPART_ARC
(32,19),-2.59045 # DEPENDENCYPART_ARC
(32,22),-2.17215 # DEPENDENCYPART_ARC
(32,23),-1.58444 # DEPENDENCYPART_ARC
(32,26),-1.79067 # DEPENDENCYPART_ARC
(32,27),-1.41673 # DEPENDENCYPART_ARC
(32,28),-1.09756 # DEPENDENCYPART_ARC
(32,29),-0.681176 # DEPENDENCYPART_ARC
(32,30),-0.599785 # DEPENDENCYPART_ARC
(32,31),0.385219 # DEPENDENCYPART_ARC
(32,33),2.91507 # DEPENDENCYPART_ARC
(32,34),-0.677953 # DEPENDENCYPART_ARC
(32,35),1.34433 # DEPENDENCYPART_ARC
(32,36),-1.73416 # DEPENDENCYPART_ARC
(32,37),-1.49665 # DEPENDENCYPART_ARC
(32,38),-0.349866 # DEPENDENCYPART_ARC
(32,39),-3.12749 # DEPENDENCYPART_ARC
(33,1),-2.37241 # DEPENDENCYPART_ARC
(33,2),-3.45988 # DEPENDENCYPART_ARC
(33,3),-1.33226 # DEPENDENCYPART_ARC
(33,4),-3.2007 # DEPENDENCYPART_ARC
(33,5),-2.20695 # DEPENDENCYPART_ARC
(33,6),-8.58792 # DEPENDENCYPART_ARC
(33,7),-3.15784 # DEPENDENCYPART_ARC
(33,8),-3.60624 # DEPENDENCYPART_ARC
(33,9),-3.21333 # DEPENDENCYPART_ARC
(33,10),-7.18071 # DEPENDENCYPART_ARC
(33,11),-3.75224 # DEPENDENCYPART_ARC
(33,12),-3.05433 # DEPENDENCYPART_ARC
(33,13),-2.21636 # DEPENDENCYPART_ARC
(33,14),-2.98228 # DEPENDENCYPART_ARC
(33,15),-2.80298 # DEPENDENCYPART_ARC
(33,16),-1.58608 # DEPENDENCYPART_ARC
(33,17),-1.58323 # DEPENDENCYPART_ARC
(33,18),-3.25416 # DEPENDENCYPART_ARC
(33,19),-2.82905 # DEPENDENCYPART_ARC
(33,20),-1.86697 # DEPENDENCYPART_ARC
(33,21),-3.21918 # DEPENDENCYPART_ARC
(33,22),-1.87072 # DEPENDENCYPART_ARC
(33,23),-0.235775 # DEPENDENCYPART_ARC
(33,24),-2.48674 # DEPENDENCYPART_ARC
(33,25),-2.09834 # DEPENDENCYPART_ARC
(33,26),-0.262792 # DEPENDENCYPART_ARC
(33,27),-1.40617 # DEPENDENCYPART_ARC
(33,28),-1.15759 # DEPENDENCYPART_ARC
(33,29),0.101299 # DEPENDENCYPART_ARC
(33,30),-1.15696 # DEPENDENCYPART_ARC
(33,31),0.245367 # DEPENDENCYPART_ARC
(33,32),4.40538 # DEPENDENCYPART_ARC
(33,34),1.8273 # DEPENDENCYPART_ARC
(33,35),-1.24657 # DEPENDENCYPART_ARC
(33,36),1.28983 # DEPENDENCYPART_ARC
(33,37),1.87971 # DEPENDENCYPART_ARC
(33,38),-1.90961 # DEPENDENCYPART_ARC
(33,39),1.38042 # DEPENDENCYPART_ARC
(33,40),1.3176 # DEPENDENCYPART_ARC
(34,1),-3.00124 # DEPENDENCYPART_ARC
(34,2),-3.43019 # DEPENDENCYPART_ARC
(34,3),-2.61184 # DEPENDENCYPART_ARC
(34,4),-4.18759 # DEPENDENCYPART_ARC
(34,5),-2.58184 # DEPENDENCYPART_ARC
(34,6),-4.07761 # DEPENDENCYPART_ARC
(34,7),-3.17858 # DEPENDENCYPART_ARC
(34,8),-4.11173 # DEPENDENCYPART_ARC
(34,9),-5.15533 # DEPENDENCYPART_ARC
(34,10),-3.93622 # DEPENDENCYPART_ARC
(34,11),-3.94022 # DEPENDENCYPART_ARC
(34,12),-2.39149 # DEPENDENCYPART_ARC
(34,13),-2.94872 # DEPENDENCYPART_ARC
(34,14),-4.09615 # DEPENDENCYPART_ARC
(34,15),-3.05801 # DEPENDENCYPART_ARC
(34,16),-2.33541 # DEPENDENCYPART_ARC
(34,17),-3.88443 # DEPENDENCYPART_ARC
(34,18),-2.92163 # DEPENDENCYPART_ARC
(34,19),-3.2392 # DEPENDENCYPART_ARC
(34,20),-1.94105 # DEPENDENCYPART_ARC
(34,21),-2.8617 # DEPENDENCYPART_ARC
(34,22),-3.40997 # DEPENDENCYPART_ARC
(34,23),-2.24299 # DEPENDENCYPART_ARC
(34,24),-1.61243 # DEPENDENCYPART_ARC
(34,25),-2.61266 # DEPENDENCYPART_ARC
(34,26),-2.26427 # DEPENDENCYPART_ARC
(34,27),-2.4361 # DEPENDENCYPART_ARC
(34,28),-1.8478 # DEPENDENCYPART_ARC
(34,29),-1.76172 # DEPENDENCYPART_ARC
(34,30),-2.17522 # DEPENDENCYPART_ARC
(34,31),-1.06118 # DEPENDENCYPART_ARC
(34,32),0.142282 # DEPENDENCYPART_ARC
(34,33),-0.406846 # DEPENDENCYPART_ARC
(34,35),-0.476946 # DEPENDENCYPART_ARC
(34,36),4.35159 # DEPENDENCYPART_ARC
(34,37),0.725944 # DEPENDENCYPART_ARC
(34,38),-1.8807 # DEPENDENCYPART_ARC
(34,39),1.11627 # DEPENDENCYPART_ARC
(34,40),0.0101443 # DEPENDENCYPART_ARC
(35,1),-3.58957 # DEPENDENCYPART_ARC
(35,6),-6.94993 # DEPENDENCYPART_ARC
(35,7),-4.25681 # DEPENDENCYPART_ARC
(35,8),-3.89524 # DEPENDENCYPART_ARC
(35,9),-5.14777 # DEPENDENCYPART_ARC
(35,10),-6.74656 # DEPENDENCYPART_ARC
(35,11),-3.82776 # DEPENDENCYPART_ARC
(35,14),-3.76486 # DEPENDENCYPART_ARC
(35,15),-3.44054 # DEPENDENCYPART_ARC
(35,16),-2.96821 # DEPENDENCYPART_ARC
(35,17),-4.27187 # DEPENDENCYPART_ARC
(35,18),-3.77454 # DEPENDENCYPART_ARC
(35,19),-3.43727 # DEPENDENCYPART_ARC
(35,22),-3.49583 # DEPENDENCYPART_ARC
(35,23),-2.41148 # DEPENDENCYPART_ARC
(35,26),-2.60505 # DEPENDENCYPART_ARC
(35,27),-2.49138 # DEPENDENCYPART_ARC
(35,28),-2.56558 # DEPENDENCYPART_ARC
(35,29),-2.12498 # DEPENDENCYPART_ARC
(35,30),-2.27754 # DEPENDENCYPART_ARC
(35,31),-2.1557 # DEPENDENCYPART_ARC
(35,32),-0.431692 # DEPENDENCYPART_ARC
(35,33),-1.16701 # DEPENDENCYPART_ARC
(35,34),-0.307879 # DEPENDENCYPART_ARC
(35,36),1.79839 # DEPENDENCYPART_ARC
(35,37),0.580683 # DEPENDENCYPART_ARC
(35,38),1.85673 # DEPENDENCYPART_ARC
(35,39),-0.995287 # DEPENDENCYPART_ARC
(36,1),-2.68243 # DEPENDENCYPART_ARC
(36,2),-2.28853 # DEPENDENCYPART_ARC
(36,3),-1.89054 # DEPENDENCYPART_ARC
(36,4),-4.3988 # DEPENDENCYPART_ARC
(36,5),-2.52041 # DEPENDENCYPART_ARC
(36,6),-10.5924 # DEPENDENCYPART_ARC
(36,7),-4.86641 # DEPENDENCYPART_ARC
(36,8),-4.40108 # DEPENDENCYPART_ARC
(36,9),-3.30447 # DEPENDENCYPART_ARC
(36,10),-9.20125 # DEPENDENCYPART_ARC
(36,11),-4.39969 # DEPENDENCYPART_ARC
(36,12),-1.89366 # DEPENDENCYPART_ARC
(36,13),-2.59771 # DEPENDENCYPART_ARC
(36,14),-3.47808 # DEPENDENCYPART_ARC
(36,15),-3.67758 # DEPENDENCYPART_ARC
(36,16),-1.91931 # DEPENDENCYPART_ARC
(36,17),-2.11063 # DEPENDENCYPART_ARC
(36,18),-4.49559 # DEPENDENCYPART_ARC
(36,19),-3.66677 # DEPENDENCYPART_ARC
(36,20),-2.95635 # DEPENDENCYPART_ARC
(36,21),-3.89671 # DEPENDENCYPART_ARC
(36,22),-2.10568 # DEPENDENCYPART_ARC
(36,23),-0.805556 # DEPENDENCYPART_ARC
(36,24),-1.68728 # DEPENDENCYPART_ARC
(36,25),-2.09079 # DEPENDENCYPART_ARC
(36,26),-1.41456 # DEPENDENCYPART_ARC
(36,27),-2.48001 # DEPENDENCYPART_ARC
(36,28),-1.5717 # DEPENDENCYPART_ARC
(36,29),-2.13228 # DEPENDENCYPART_ARC
(36,30),-2.3722 # DEPENDENCYPART_ARC
(36,31),-0.715364 # DEPENDENCYPART_ARC
(36,32),1.34957 # DEPENDENCYPART_ARC
(36,33),-1.32389 # DEPENDENCYPART_ARC
(36,34),0.97026 # DEPENDENCYPART_ARC
(36,35),4.21206 # DEPENDENCYPART_ARC
(36,37),2.03785 # DEPENDENCYPART_ARC
(36,38),-0.414261 # DEPENDENCYPART_ARC
(36,39),2.51122 # DEPENDENCYPART_ARC
(36,40),0.68976 # DEPENDENCYPART_ARC
(37,4),-4.68541 # DEPENDENCYPART_ARC
(37,11),-4.48339 # DEPENDENCYPART_ARC
(37,20),-3.58197 # DEPENDENCYPART_ARC
(38,1),-3.58732 # DEPENDENCYPART_ARC
(38,6),-7.17374 # DEPENDENCYPART_ARC
(38,7),-4.29896 # DEPENDENCYPART_ARC
(38,8),-3.86537 # DEPENDENCYPART_ARC
(38,9),-4.99314 # DEPENDENCYPART_ARC
(38,10),-6.60825 # DEPENDENCYPART_ARC
(38,11),-3.86158 # DEPENDENCYPART_ARC
(38,14),-3.77502 # DEPENDENCYPART_ARC
(38,15),-3.63456 # DEPENDENCYPART_ARC
(38,16),-2.97368 # DEPENDENCYPART_ARC
(38,17),-4.3474 # DEPENDENCYPART_ARC
(38,18),-3.62847 # DEPENDENCYPART_ARC
(38,19),-3.5569 # DEPENDENCYPART_ARC
(38,22),-3.46166 # DEPENDENCYPART_ARC
(38,23),-2.75327 # DEPENDENCYPART_ARC
(38,26),-2.65966 # DEPENDENCYPART_ARC
(38,27),-2.81617 # DEPENDENCYPART_ARC
(38,28),-2.47214 # DEPENDENCYPART_ARC
(38,29),-2.18914 # DEPENDENCYPART_ARC
(38,30),-2.63123 # DEPENDENCYPART_ARC
(38,31),-2.45198 # DEPENDENCYPART_ARC
(38,32),-1.27558 # DEPENDENCYPART_ARC
(38,33),-2.19962 # DEPENDENCYPART_ARC
(38,34),-1.32365 # DEPENDENCYPART_ARC
(38,35),0.420201 # DEPENDENCYPART_ARC
(38,36),-0.738334 # DEPENDENCYPART_ARC
(38,37),-0.10369 # DEPENDENCYPART_ARC
(38,39),-0.434103 # DEPENDENCYPART_ARC
(39,1),-1.90421 # DEPENDENCYPART_ARC
(39,2),-1.83318 # DEPENDENCYPART_ARC
(39,3),-1.3656 # DEPENDENCYPART_ARC
(39,4),-3.40064 # DEPENDENCYPART_ARC
(39,5),-1.94878 # DEPENDENCYPART_ARC
(39,6),-11.018 # DEPENDENCYPART_ARC
(39,7),-4.92489 # DEPENDENCYPART_ARC
(39,8),-4.15592 # DEPENDENCYPART_ARC
(39,9),-3.2077 # DEPENDENCYPART_ARC
(39,10),-8.98041 # DEPENDENCYPART_ARC
(39,11),-4.07036 # DEPENDENCYPART_ARC
(39,12),-1.52093 # DEPENDENCYPART_ARC
(39,13),-2.3399 # DEPENDENCYPART_ARC
(39,14),-3.59595 # DEPENDENCYPART_ARC
(39,15),-3.02175 # DEPENDENCYPART_ARC
(39,16),-1.61606 # DEPENDENCYPART_ARC
(39,17),-2.00541 # DEPENDENCYPART_ARC
(39,18),-4.47652 # DEPENDENCYPART_ARC
(39,19),-3.29403 # DEPENDENCYPART_ARC
(39,20),-2.30476 # DEPENDENCYPART_ARC
(39,21),-3.52249 # DEPENDENCYPART_ARC
(39,22),-1.86325 # DEPENDENCYPART_ARC
(39,23),-0.659144 # DEPENDENCYPART_ARC
(39,24),-0.827761 # DEPENDENCYPART_ARC
(39,25),-1.08367 # DEPENDENCYPART_ARC
(39,26),-1.69055 # DEPENDENCYPART_ARC
(39,27),-2.44403 # DEPENDENCYPART_ARC
(39,28),-1.94121 # DEPENDENCYPART_ARC
(39,29),-2.38651 # DEPENDENCYPART_ARC
(39,30),-2.38321 # DEPENDENCYPART_ARC
(39,31),-0.818317 # DEPENDENCYPART_ARC
(39,32),0.423649 # DEPENDENCYPART_ARC
(39,33),-1.65793 # DEPENDENCYPART_ARC
(39,34),-0.0966444 # DEPENDENCYPART_ARC
(39,35),2.2877 # DEPENDENCYPART_ARC
(39,36),0.0018184 # DEPENDENCYPART_ARC
(39,37),0.407172 # DEPENDENCYPART_ARC
(39,38),4.48431 # DEPENDENCYPART_ARC
(39,40),0.436366 # DEPENDENCYPART_ARC
(40,1),-2.99524 # DEPENDENCYPART_ARC
(40,16),-2.67807 # DEPENDENCYPART_ARC
(40,37),-1.37065 # DEPENDENCYPART_ARC
