# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,18,4,4,6,18,18,9,10,11,12,9,16,18,18,29,18,21,18,21,21,23,18,29,26,29,0,29,32,30,32,35,32,29,38,36,38,29,
(32,4),-5.12439 # DEPENDENCYPART_ARC
(32,5),-2.24872 # DEPENDENCYPART_ARC
(32,6),-3.5284 # DEPENDENCYPART_ARC
(32,7),-2.29857 # DEPENDENCYPART_ARC
(32,8),-2.49327 # DEPENDENCYPART_ARC
(32,9),-2.11242 # DEPENDENCYPART_ARC
(32,10),-2.52537 # DEPENDENCYPART_ARC
(32,11),-2.96105 # DEPENDENCYPART_ARC
(32,12),-3.09105 # DEPENDENCYPART_ARC
(32,13),-2.83815 # DEPENDENCYPART_ARC
(32,14),-2.01384 # DEPENDENCYPART_ARC
(32,15),-6.11125 # DEPENDENCYPART_ARC
(32,16),-3.0001 # DEPENDENCYPART_ARC
(32,17),-2.95332 # DEPENDENCYPART_ARC
(32,18),-2.91259 # DEPENDENCYPART_ARC
(32,19),-1.24044 # DEPENDENCYPART_ARC
(32,20),-3.26383 # DEPENDENCYPART_ARC
(32,21),-2.6026 # DEPENDENCYPART_ARC
(32,22),-1.71807 # DEPENDENCYPART_ARC
(32,23),-2.46095 # DEPENDENCYPART_ARC
(32,24),-1.31739 # DEPENDENCYPART_ARC
(32,25),-1.57429 # DEPENDENCYPART_ARC
(32,26),-1.42892 # DEPENDENCYPART_ARC
(32,27),-1.6181 # DEPENDENCYPART_ARC
(32,28),-1.51439 # DEPENDENCYPART_ARC
(32,29),-1.02802 # DEPENDENCYPART_ARC
(32,30),0.644666 # DEPENDENCYPART_ARC
(32,31),3.75682 # DEPENDENCYPART_ARC
(32,33),2.4532 # DEPENDENCYPART_ARC
(32,34),-0.82301 # DEPENDENCYPART_ARC
(32,35),3.04533 # DEPENDENCYPART_ARC
(32,36),1.47067 # DEPENDENCYPART_ARC
(32,37),-1.21669 # DEPENDENCYPART_ARC
(32,38),0.616222 # DEPENDENCYPART_ARC
(32,39),1.21097 # DEPENDENCYPART_ARC
(32,40),0.88695 # DEPENDENCYPART_ARC
(33,14),-4.1432 # DEPENDENCYPART_ARC
(33,16),-4.38704 # DEPENDENCYPART_ARC
(33,27),-3.0512 # DEPENDENCYPART_ARC
(33,28),-3.38324 # DEPENDENCYPART_ARC
(33,35),-0.729059 # DEPENDENCYPART_ARC
(34,1),-6.35849 # DEPENDENCYPART_ARC
(34,2),-5.25072 # DEPENDENCYPART_ARC
(34,5),-3.66276 # DEPENDENCYPART_ARC
(34,6),-3.95267 # DEPENDENCYPART_ARC
(34,7),-3.74028 # DEPENDENCYPART_ARC
(34,9),-4.00083 # DEPENDENCYPART_ARC
(34,10),-3.8905 # DEPENDENCYPART_ARC
(34,11),-4.55465 # DEPENDENCYPART_ARC
(34,12),-3.86237 # DEPENDENCYPART_ARC
(34,13),-3.42342 # DEPENDENCYPART_ARC
(34,15),-4.13035 # DEPENDENCYPART_ARC
(34,16),-3.6424 # DEPENDENCYPART_ARC
(34,19),-3.07814 # DEPENDENCYPART_ARC
(34,20),-3.51824 # DEPENDENCYPART_ARC
(34,21),-3.50013 # DEPENDENCYPART_ARC
(34,22),-3.67584 # DEPENDENCYPART_ARC
(34,23),-3.3589 # DEPENDENCYPART_ARC
(34,24),-2.7806 # DEPENDENCYPART_ARC
(34,26),-2.81542 # DEPENDENCYPART_ARC
(34,28),-2.53493 # DEPENDENCYPART_ARC
(34,30),-1.25321 # DEPENDENCYPART_ARC
(34,31),-1.11265 # DEPENDENCYPART_ARC
(34,32),-1.54863 # DEPENDENCYPART_ARC
(34,33),-0.11755 # DEPENDENCYPART_ARC
(34,35),-0.691531 # DEPENDENCYPART_ARC
(34,37),-2.36162 # DEPENDENCYPART_ARC
(34,38),-3.6542 # DEPENDENCYPART_ARC
(34,39),-3.9695 # DEPENDENCYPART_ARC
(35,1),-7.98118 # DEPENDENCYPART_ARC
(35,2),-4.02625 # DEPENDENCYPART_ARC
(35,3),-4.36851 # DEPENDENCYPART_ARC
(35,4),-4.22357 # DEPENDENCYPART_ARC
(35,5),-2.23121 # DEPENDENCYPART_ARC
(35,6),-2.87461 # DEPENDENCYPART_ARC
(35,7),-2.37539 # DEPENDENCYPART_ARC
(35,8),-3.35832 # DEPENDENCYPART_ARC
(35,9),-2.26069 # DEPENDENCYPART_ARC
(35,10),-2.32991 # DEPENDENCYPART_ARC
(35,11),-2.73819 # DEPENDENCYPART_ARC
(35,12),-2.8094 # DEPENDENCYPART_ARC
(35,13),-2.7983 # DEPENDENCYPART_ARC
(35,14),-3.03869 # DEPENDENCYPART_ARC
(35,15),-6.35017 # DEPENDENCYPART_ARC
(35,16),-2.92225 # DEPENDENCYPART_ARC
(35,17),-2.76208 # DEPENDENCYPART_ARC
(35,18),-2.52379 # DEPENDENCYPART_ARC
(35,19),-1.13009 # DEPENDENCYPART_ARC
(35,20),-3.24805 # DEPENDENCYPART_ARC
(35,21),-2.4227 # DEPENDENCYPART_ARC
(35,22),-2.70406 # DEPENDENCYPART_ARC
(35,23),-2.59989 # DEPENDENCYPART_ARC
(35,24),-1.50166 # DEPENDENCYPART_ARC
(35,25),-2.24368 # DEPENDENCYPART_ARC
(35,26),-1.73014 # DEPENDENCYPART_ARC
(35,27),-2.45046 # DEPENDENCYPART_ARC
(35,28),-1.76801 # DEPENDENCYPART_ARC
(35,29),-1.05795 # DEPENDENCYPART_ARC
(35,30),0.08878 # DEPENDENCYPART_ARC
(35,31),1.12822 # DEPENDENCYPART_ARC
(35,32),-0.894596 # DEPENDENCYPART_ARC
(35,33),0.618796 # DEPENDENCYPART_ARC
(35,34),3.82726 # DEPENDENCYPART_ARC
(35,36),0.363751 # DEPENDENCYPART_ARC
(35,37),-1.56697 # DEPENDENCYPART_ARC
(35,38),-0.905953 # DEPENDENCYPART_ARC
(35,39),-0.535636 # DEPENDENCYPART_ARC
(35,40),-0.571535 # DEPENDENCYPART_ARC
(36,1),-5.117 # DEPENDENCYPART_ARC
(36,2),-1.90783 # DEPENDENCYPART_ARC
(36,3),0.633013 # DEPENDENCYPART_ARC
(36,4),-1.23559 # DEPENDENCYPART_ARC
(36,5),-2.52207 # DEPENDENCYPART_ARC
(36,6),-0.118467 # DEPENDENCYPART_ARC
(36,7),-1.35659 # DEPENDENCYPART_ARC
(36,8),-0.0565894 # DEPENDENCYPART_ARC
(36,9),-0.792703 # DEPENDENCYPART_ARC
(36,10),-2.14744 # DEPENDENCYPART_ARC
(36,11),-2.02904 # DEPENDENCYPART_ARC
(36,12),-3.33335 # DEPENDENCYPART_ARC
(36,13),-0.367653 # DEPENDENCYPART_ARC
(36,14),-4.80365 # DEPENDENCYPART_ARC
(36,15),-4.23159 # DEPENDENCYPART_ARC
(36,16),-0.0377762 # DEPENDENCYPART_ARC
(36,17),-0.175345 # DEPENDENCYPART_ARC
(36,18),-0.162532 # DEPENDENCYPART_ARC
(36,19),-0.23032 # DEPENDENCYPART_ARC
(36,21),0.788881 # DEPENDENCYPART_ARC
(36,22),-0.0150977 # DEPENDENCYPART_ARC
(36,23),0.282453 # DEPENDENCYPART_ARC
(36,24),0.180484 # DEPENDENCYPART_ARC
(36,25),-1.61433 # DEPENDENCYPART_ARC
(36,26),0.714271 # DEPENDENCYPART_ARC
(36,27),-2.46637 # DEPENDENCYPART_ARC
(36,28),0.799309 # DEPENDENCYPART_ARC
(36,29),0.474151 # DEPENDENCYPART_ARC
(36,30),1.43333 # DEPENDENCYPART_ARC
(36,32),2.24892 # DEPENDENCYPART_ARC
(36,33),1.2061 # DEPENDENCYPART_ARC
(36,34),1.09027 # DEPENDENCYPART_ARC
(36,35),2.87165 # DEPENDENCYPART_ARC
(36,38),3.74842 # DEPENDENCYPART_ARC
(36,39),1.24272 # DEPENDENCYPART_ARC
(36,40),3.33085 # DEPENDENCYPART_ARC
(37,2),-5.22084 # DEPENDENCYPART_ARC
(37,5),-3.64106 # DEPENDENCYPART_ARC
(37,6),-4.73665 # DEPENDENCYPART_ARC
(37,7),-3.46685 # DEPENDENCYPART_ARC
(37,9),-3.84347 # DEPENDENCYPART_ARC
(37,10),-4.06353 # DEPENDENCYPART_ARC
(37,11),-4.84894 # DEPENDENCYPART_ARC
(37,12),-4.0885 # DEPENDENCYPART_ARC
(37,19),-3.17153 # DEPENDENCYPART_ARC
(37,20),-4.76947 # DEPENDENCYPART_ARC
(37,21),-3.78607 # DEPENDENCYPART_ARC
(37,22),-3.78552 # DEPENDENCYPART_ARC
(37,23),-3.6899 # DEPENDENCYPART_ARC
(37,24),-2.9719 # DEPENDENCYPART_ARC
(37,26),-3.03818 # DEPENDENCYPART_ARC
(37,30),-2.57393 # DEPENDENCYPART_ARC
(37,32),-2.65261 # DEPENDENCYPART_ARC
(37,33),-2.13749 # DEPENDENCYPART_ARC
(37,38),1.67477 # DEPENDENCYPART_ARC
(37,39),0.0936389 # DEPENDENCYPART_ARC
(38,1),-8.92424 # DEPENDENCYPART_ARC
(38,2),-3.48002 # DEPENDENCYPART_ARC
(38,3),-4.22348 # DEPENDENCYPART_ARC
(38,4),-4.39118 # DEPENDENCYPART_ARC
(38,5),-2.40504 # DEPENDENCYPART_ARC
(38,6),-3.69684 # DEPENDENCYPART_ARC
(38,7),-2.30847 # DEPENDENCYPART_ARC
(38,8),-2.37987 # DEPENDENCYPART_ARC
(38,9),-1.91242 # DEPENDENCYPART_ARC
(38,10),-2.42694 # DEPENDENCYPART_ARC
(38,11),-2.77084 # DEPENDENCYPART_ARC
(38,12),-3.40725 # DEPENDENCYPART_ARC
(38,13),-2.58827 # DEPENDENCYPART_ARC
(38,14),-1.60176 # DEPENDENCYPART_ARC
(38,15),-7.67753 # DEPENDENCYPART_ARC
(38,16),-2.99755 # DEPENDENCYPART_ARC
(38,17),-2.54723 # DEPENDENCYPART_ARC
(38,18),-2.11486 # DEPENDENCYPART_ARC
(38,19),-1.27449 # DEPENDENCYPART_ARC
(38,20),-4.07138 # DEPENDENCYPART_ARC
(38,21),-2.43861 # DEPENDENCYPART_ARC
(38,22),-1.67246 # DEPENDENCYPART_ARC
(38,23),-2.31834 # DEPENDENCYPART_ARC
(38,24),-1.49292 # DEPENDENCYPART_ARC
(38,25),-1.74051 # DEPENDENCYPART_ARC
(38,26),-1.81279 # DEPENDENCYPART_ARC
(38,27),-1.36191 # DEPENDENCYPART_ARC
(38,28),-1.79003 # DEPENDENCYPART_ARC
(38,29),-1.1777 # DEPENDENCYPART_ARC
(38,30),-0.38585 # DEPENDENCYPART_ARC
(38,31),-1.08813 # DEPENDENCYPART_ARC
(38,32),-1.13021 # DEPENDENCYPART_ARC
(38,33),-0.164867 # DEPENDENCYPART_ARC
(38,34),-0.364449 # DEPENDENCYPART_ARC
(38,35),-0.816617 # DEPENDENCYPART_ARC
(38,36),0.163751 # DEPENDENCYPART_ARC
(38,37),4.7869 # DEPENDENCYPART_ARC
(38,39),4.31617 # DEPENDENCYPART_ARC
(38,40),0.794777 # DEPENDENCYPART_ARC
(39,1),-4.47862 # DEPENDENCYPART_ARC
(39,2),-5.15124 # DEPENDENCYPART_ARC
(39,3),-4.54032 # DEPENDENCYPART_ARC
(39,4),-4.59467 # DEPENDENCYPART_ARC
(39,5),-4.15688 # DEPENDENCYPART_ARC
(39,6),-5.42044 # DEPENDENCYPART_ARC
(39,7),-4.77437 # DEPENDENCYPART_ARC
(39,8),-4.31464 # DEPENDENCYPART_ARC
(39,9),-4.51831 # DEPENDENCYPART_ARC
(39,10),-4.85489 # DEPENDENCYPART_ARC
(39,11),-5.27572 # DEPENDENCYPART_ARC
(39,12),-4.10729 # DEPENDENCYPART_ARC
(39,13),-2.93014 # DEPENDENCYPART_ARC
(39,14),-5.3993 # DEPENDENCYPART_ARC
(39,15),-3.48893 # DEPENDENCYPART_ARC
(39,16),-3.85955 # DEPENDENCYPART_ARC
(39,17),-3.24659 # DEPENDENCYPART_ARC
(39,18),-3.35806 # DEPENDENCYPART_ARC
(39,19),-3.0555 # DEPENDENCYPART_ARC
(39,20),-3.50682 # DEPENDENCYPART_ARC
(39,21),-3.66634 # DEPENDENCYPART_ARC
(39,22),-3.65731 # DEPENDENCYPART_ARC
(39,23),-1.91214 # DEPENDENCYPART_ARC
(39,24),-2.78431 # DEPENDENCYPART_ARC
(39,25),-2.65382 # DEPENDENCYPART_ARC
(39,26),-2.90236 # DEPENDENCYPART_ARC
(39,27),-3.45019 # DEPENDENCYPART_ARC
(39,28),-3.05241 # DEPENDENCYPART_ARC
(39,29),-2.87174 # DEPENDENCYPART_ARC
(39,30),-1.67355 # DEPENDENCYPART_ARC
(39,31),-2.60823 # DEPENDENCYPART_ARC
(39,32),-2.2229 # DEPENDENCYPART_ARC
(39,33),-1.55699 # DEPENDENCYPART_ARC
(39,34),-1.41641 # DEPENDENCYPART_ARC
(39,35),-1.87768 # DEPENDENCYPART_ARC
(39,36),-1.9658 # DEPENDENCYPART_ARC
(39,37),0.405777 # DEPENDENCYPART_ARC
(39,38),0.240566 # DEPENDENCYPART_ARC
(39,40),-0.808916 # DEPENDENCYPART_ARC
(40,13),-3.03042 # DEPENDENCYPART_ARC
(40,33),-1.65856 # DEPENDENCYPART_ARC
