# _root_ I si a això hi sumem l' esgotament a què està arribant CiU , al costat dels conflictes interns que viu la formació , jo crec que de tot això n' ha de treure un benefici electoral ERC .
#goldHeads=26,6,6,3,6,26,8,6,12,9,12,8,12,15,6,15,16,17,18,21,18,23,21,6,26,0,34,34,30,28,34,34,34,26,36,34,36,34,26,
#predictedHeads=6,6,6,3,6,12,8,6,12,9,12,0,12,15,12,15,16,17,18,21,18,23,21,34,26,23,34,34,30,28,34,34,34,26,36,34,36,34,12,
(33,11),-4.70939 # DEPENDENCYPART_ARC
(33,12),-4.16766 # DEPENDENCYPART_ARC
(33,13),-4.26886 # DEPENDENCYPART_ARC
(33,14),-4.62103 # DEPENDENCYPART_ARC
(33,15),-3.29881 # DEPENDENCYPART_ARC
(33,16),-3.68462 # DEPENDENCYPART_ARC
(33,17),-3.29173 # DEPENDENCYPART_ARC
(33,18),-3.54563 # DEPENDENCYPART_ARC
(33,19),-3.35182 # DEPENDENCYPART_ARC
(33,20),-3.14737 # DEPENDENCYPART_ARC
(33,21),-2.91725 # DEPENDENCYPART_ARC
(33,22),-2.32636 # DEPENDENCYPART_ARC
(33,23),-3.044 # DEPENDENCYPART_ARC
(33,24),-3.19318 # DEPENDENCYPART_ARC
(33,25),-3.45297 # DEPENDENCYPART_ARC
(33,26),-2.45448 # DEPENDENCYPART_ARC
(33,27),-1.18266 # DEPENDENCYPART_ARC
(33,28),-1.81409 # DEPENDENCYPART_ARC
(33,29),-1.41416 # DEPENDENCYPART_ARC
(33,30),-2.59309 # DEPENDENCYPART_ARC
(33,31),-1.58597 # DEPENDENCYPART_ARC
(33,32),-0.03599 # DEPENDENCYPART_ARC
(33,34),3.44971 # DEPENDENCYPART_ARC
(33,35),-0.861114 # DEPENDENCYPART_ARC
(33,36),0.878147 # DEPENDENCYPART_ARC
(33,37),-0.538082 # DEPENDENCYPART_ARC
(33,38),-1.0478 # DEPENDENCYPART_ARC
(33,39),0.0779867 # DEPENDENCYPART_ARC
(34,1),-0.924256 # DEPENDENCYPART_ARC
(34,2),-2.0068 # DEPENDENCYPART_ARC
(34,3),-0.80349 # DEPENDENCYPART_ARC
(34,4),-1.72963 # DEPENDENCYPART_ARC
(34,5),-2.07222 # DEPENDENCYPART_ARC
(34,6),0.902192 # DEPENDENCYPART_ARC
(34,7),-2.91127 # DEPENDENCYPART_ARC
(34,8),-1.95917 # DEPENDENCYPART_ARC
(34,9),-0.966951 # DEPENDENCYPART_ARC
(34,10),-1.37154 # DEPENDENCYPART_ARC
(34,11),-0.060595 # DEPENDENCYPART_ARC
(34,12),-1.70985 # DEPENDENCYPART_ARC
(34,13),-1.80545 # DEPENDENCYPART_ARC
(34,14),0.116477 # DEPENDENCYPART_ARC
(34,15),-0.310193 # DEPENDENCYPART_ARC
(34,16),-1.6989 # DEPENDENCYPART_ARC
(34,17),-2.00383 # DEPENDENCYPART_ARC
(34,18),-1.09095 # DEPENDENCYPART_ARC
(34,19),-0.0498473 # DEPENDENCYPART_ARC
(34,20),0.896888 # DEPENDENCYPART_ARC
(34,21),0.46012 # DEPENDENCYPART_ARC
(34,22),-0.258398 # DEPENDENCYPART_ARC
(34,23),-0.578827 # DEPENDENCYPART_ARC
(34,24),2.30919 # DEPENDENCYPART_ARC
(34,25),0.880995 # DEPENDENCYPART_ARC
(34,26),0.29312 # DEPENDENCYPART_ARC
(34,27),3.15243 # DEPENDENCYPART_ARC
(34,28),1.73574 # DEPENDENCYPART_ARC
(34,30),1.75651 # DEPENDENCYPART_ARC
(34,31),2.98458 # DEPENDENCYPART_ARC
(34,32),5.09031 # DEPENDENCYPART_ARC
(34,33),4.15935 # DEPENDENCYPART_ARC
(34,36),4.51591 # DEPENDENCYPART_ARC
(34,37),1.1077 # DEPENDENCYPART_ARC
(34,38),2.8105 # DEPENDENCYPART_ARC
(34,39),2.32492 # DEPENDENCYPART_ARC
(35,1),-3.76068 # DEPENDENCYPART_ARC
(35,3),-4.50296 # DEPENDENCYPART_ARC
(35,8),-4.39458 # DEPENDENCYPART_ARC
(35,9),-4.06986 # DEPENDENCYPART_ARC
(35,15),-3.57043 # DEPENDENCYPART_ARC
(35,16),-3.76086 # DEPENDENCYPART_ARC
(35,17),-3.44603 # DEPENDENCYPART_ARC
(35,18),-4.21307 # DEPENDENCYPART_ARC
(35,19),-3.64479 # DEPENDENCYPART_ARC
(35,23),-3.76261 # DEPENDENCYPART_ARC
(35,28),-2.23301 # DEPENDENCYPART_ARC
(35,29),-2.30071 # DEPENDENCYPART_ARC
(35,33),-1.25111 # DEPENDENCYPART_ARC
(35,36),1.54311 # DEPENDENCYPART_ARC
(35,37),-0.281577 # DEPENDENCYPART_ARC
(36,1),-2.79272 # DEPENDENCYPART_ARC
(36,2),-2.26907 # DEPENDENCYPART_ARC
(36,3),-1.90337 # DEPENDENCYPART_ARC
(36,4),-3.95899 # DEPENDENCYPART_ARC
(36,5),-3.02186 # DEPENDENCYPART_ARC
(36,6),-5.05666 # DEPENDENCYPART_ARC
(36,7),-8.56199 # DEPENDENCYPART_ARC
(36,8),-3.70442 # DEPENDENCYPART_ARC
(36,9),-1.63047 # DEPENDENCYPART_ARC
(36,10),-2.67925 # DEPENDENCYPART_ARC
(36,11),-3.44312 # DEPENDENCYPART_ARC
(36,12),-3.30389 # DEPENDENCYPART_ARC
(36,13),-3.27038 # DEPENDENCYPART_ARC
(36,14),-2.35717 # DEPENDENCYPART_ARC
(36,15),-2.49524 # DEPENDENCYPART_ARC
(36,16),-2.49581 # DEPENDENCYPART_ARC
(36,17),-0.455815 # DEPENDENCYPART_ARC
(36,18),-2.79223 # DEPENDENCYPART_ARC
(36,19),-3.20008 # DEPENDENCYPART_ARC
(36,20),-1.21332 # DEPENDENCYPART_ARC
(36,21),-2.25938 # DEPENDENCYPART_ARC
(36,22),-3.63726 # DEPENDENCYPART_ARC
(36,23),-2.96679 # DEPENDENCYPART_ARC
(36,24),-1.66374 # DEPENDENCYPART_ARC
(36,25),-2.18808 # DEPENDENCYPART_ARC
(36,26),-2.739 # DEPENDENCYPART_ARC
(36,27),-0.297049 # DEPENDENCYPART_ARC
(36,28),0.844027 # DEPENDENCYPART_ARC
(36,29),-2.1613 # DEPENDENCYPART_ARC
(36,30),-1.67274 # DEPENDENCYPART_ARC
(36,31),0.982331 # DEPENDENCYPART_ARC
(36,32),-1.45133 # DEPENDENCYPART_ARC
(36,33),0.383331 # DEPENDENCYPART_ARC
(36,34),0.420576 # DEPENDENCYPART_ARC
(36,35),4.24167 # DEPENDENCYPART_ARC
(36,37),4.24598 # DEPENDENCYPART_ARC
(36,38),2.72026 # DEPENDENCYPART_ARC
(36,39),1.02543 # DEPENDENCYPART_ARC
(37,1),-3.84285 # DEPENDENCYPART_ARC
(37,2),-3.91427 # DEPENDENCYPART_ARC
(37,3),-4.92832 # DEPENDENCYPART_ARC
(37,4),-4.45149 # DEPENDENCYPART_ARC
(37,5),-3.42134 # DEPENDENCYPART_ARC
(37,6),-5.07937 # DEPENDENCYPART_ARC
(37,7),-4.64815 # DEPENDENCYPART_ARC
(37,8),-5.30606 # DEPENDENCYPART_ARC
(37,9),-4.54099 # DEPENDENCYPART_ARC
(37,10),-3.58488 # DEPENDENCYPART_ARC
(37,11),-4.49351 # DEPENDENCYPART_ARC
(37,12),-4.02501 # DEPENDENCYPART_ARC
(37,13),-4.84865 # DEPENDENCYPART_ARC
(37,14),-5.52391 # DEPENDENCYPART_ARC
(37,15),-4.74651 # DEPENDENCYPART_ARC
(37,16),-4.91015 # DEPENDENCYPART_ARC
(37,17),-4.1653 # DEPENDENCYPART_ARC
(37,18),-5.2484 # DEPENDENCYPART_ARC
(37,19),-4.70131 # DEPENDENCYPART_ARC
(37,20),-2.43602 # DEPENDENCYPART_ARC
(37,21),-4.1513 # DEPENDENCYPART_ARC
(37,22),-3.50888 # DEPENDENCYPART_ARC
(37,23),-4.06263 # DEPENDENCYPART_ARC
(37,24),-4.25654 # DEPENDENCYPART_ARC
(37,25),-3.2966 # DEPENDENCYPART_ARC
(37,26),-3.94774 # DEPENDENCYPART_ARC
(37,27),-1.91268 # DEPENDENCYPART_ARC
(37,28),-2.22789 # DEPENDENCYPART_ARC
(37,29),-3.31374 # DEPENDENCYPART_ARC
(37,30),-2.97823 # DEPENDENCYPART_ARC
(37,31),-1.89952 # DEPENDENCYPART_ARC
(37,32),-3.06805 # DEPENDENCYPART_ARC
(37,33),-1.12514 # DEPENDENCYPART_ARC
(37,34),-2.3582 # DEPENDENCYPART_ARC
(37,35),-0.838258 # DEPENDENCYPART_ARC
(37,36),-0.789517 # DEPENDENCYPART_ARC
(37,38),1.10651 # DEPENDENCYPART_ARC
(37,39),-2.03069 # DEPENDENCYPART_ARC
(38,1),-2.8844 # DEPENDENCYPART_ARC
(38,2),-2.51426 # DEPENDENCYPART_ARC
(38,3),-2.38859 # DEPENDENCYPART_ARC
(38,4),-3.34705 # DEPENDENCYPART_ARC
(38,5),-4.05405 # DEPENDENCYPART_ARC
(38,6),-4.11868 # DEPENDENCYPART_ARC
(38,7),-9.76586 # DEPENDENCYPART_ARC
(38,8),-3.64596 # DEPENDENCYPART_ARC
(38,9),-2.05154 # DEPENDENCYPART_ARC
(38,10),-2.67043 # DEPENDENCYPART_ARC
(38,11),-3.92603 # DEPENDENCYPART_ARC
(38,12),-3.48806 # DEPENDENCYPART_ARC
(38,13),-3.19935 # DEPENDENCYPART_ARC
(38,14),-2.1336 # DEPENDENCYPART_ARC
(38,15),-2.45716 # DEPENDENCYPART_ARC
(38,16),-2.40811 # DEPENDENCYPART_ARC
(38,17),-0.644912 # DEPENDENCYPART_ARC
(38,18),-1.81908 # DEPENDENCYPART_ARC
(38,19),-3.46908 # DEPENDENCYPART_ARC
(38,20),-1.31744 # DEPENDENCYPART_ARC
(38,21),-2.78486 # DEPENDENCYPART_ARC
(38,22),-4.49467 # DEPENDENCYPART_ARC
(38,23),-2.71431 # DEPENDENCYPART_ARC
(38,24),-1.46366 # DEPENDENCYPART_ARC
(38,25),-1.66597 # DEPENDENCYPART_ARC
(38,26),-2.64787 # DEPENDENCYPART_ARC
(38,27),-0.52192 # DEPENDENCYPART_ARC
(38,28),0.213615 # DEPENDENCYPART_ARC
(38,29),-2.80825 # DEPENDENCYPART_ARC
(38,30),-1.29156 # DEPENDENCYPART_ARC
(38,31),-0.33 # DEPENDENCYPART_ARC
(38,32),-2.25518 # DEPENDENCYPART_ARC
(38,33),-0.483766 # DEPENDENCYPART_ARC
(38,34),-0.676898 # DEPENDENCYPART_ARC
(38,35),1.64075 # DEPENDENCYPART_ARC
(38,36),0.137986 # DEPENDENCYPART_ARC
(38,37),1.947 # DEPENDENCYPART_ARC
(38,39),0.154201 # DEPENDENCYPART_ARC
(39,1),-3.28551 # DEPENDENCYPART_ARC
