# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,19,17,19,14,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(28,36),2.75087 # DEPENDENCYPART_ARC
(29,1),-2.66503 # DEPENDENCYPART_ARC
(29,2),-1.55905 # DEPENDENCYPART_ARC
(29,3),-4.07105 # DEPENDENCYPART_ARC
(29,4),-2.03658 # DEPENDENCYPART_ARC
(29,5),-1.84282 # DEPENDENCYPART_ARC
(29,6),-2.20596 # DEPENDENCYPART_ARC
(29,7),-1.0875 # DEPENDENCYPART_ARC
(29,8),0.88593 # DEPENDENCYPART_ARC
(29,9),-1.15703 # DEPENDENCYPART_ARC
(29,10),-2.55289 # DEPENDENCYPART_ARC
(29,11),-1.25563 # DEPENDENCYPART_ARC
(29,12),-0.520542 # DEPENDENCYPART_ARC
(29,13),-0.335427 # DEPENDENCYPART_ARC
(29,14),0.859158 # DEPENDENCYPART_ARC
(29,15),2.56292 # DEPENDENCYPART_ARC
(29,16),-0.774486 # DEPENDENCYPART_ARC
(29,17),0.0689879 # DEPENDENCYPART_ARC
(29,18),-0.806914 # DEPENDENCYPART_ARC
(29,19),1.05975 # DEPENDENCYPART_ARC
(29,20),0.42064 # DEPENDENCYPART_ARC
(29,21),1.08326 # DEPENDENCYPART_ARC
(29,22),-1.17083 # DEPENDENCYPART_ARC
(29,23),0.261896 # DEPENDENCYPART_ARC
(29,24),3.96932 # DEPENDENCYPART_ARC
(29,25),1.44165 # DEPENDENCYPART_ARC
(29,26),2.16914 # DEPENDENCYPART_ARC
(29,27),1.17617 # DEPENDENCYPART_ARC
(29,28),5.44955 # DEPENDENCYPART_ARC
(29,30),3.13936 # DEPENDENCYPART_ARC
(29,31),3.88114 # DEPENDENCYPART_ARC
(29,32),2.12109 # DEPENDENCYPART_ARC
(29,33),0.632713 # DEPENDENCYPART_ARC
(29,34),-0.941707 # DEPENDENCYPART_ARC
(29,35),1.80478 # DEPENDENCYPART_ARC
(29,36),3.71619 # DEPENDENCYPART_ARC
(30,1),-5.08958 # DEPENDENCYPART_ARC
(30,2),-5.21777 # DEPENDENCYPART_ARC
(30,3),-4.9016 # DEPENDENCYPART_ARC
(30,4),-5.85324 # DEPENDENCYPART_ARC
(30,5),-6.70535 # DEPENDENCYPART_ARC
(30,6),-4.31637 # DEPENDENCYPART_ARC
(30,7),-5.32065 # DEPENDENCYPART_ARC
(30,8),-2.53801 # DEPENDENCYPART_ARC
(30,9),-3.91304 # DEPENDENCYPART_ARC
(30,10),-3.8437 # DEPENDENCYPART_ARC
(30,11),-3.45281 # DEPENDENCYPART_ARC
(30,12),-4.28189 # DEPENDENCYPART_ARC
(30,13),-3.27594 # DEPENDENCYPART_ARC
(30,14),-5.71262 # DEPENDENCYPART_ARC
(30,15),-2.25188 # DEPENDENCYPART_ARC
(30,16),-4.33198 # DEPENDENCYPART_ARC
(30,17),-3.92252 # DEPENDENCYPART_ARC
(30,18),-4.68778 # DEPENDENCYPART_ARC
(30,19),-3.62488 # DEPENDENCYPART_ARC
(30,20),-2.31471 # DEPENDENCYPART_ARC
(30,21),-3.20411 # DEPENDENCYPART_ARC
(30,22),-2.53111 # DEPENDENCYPART_ARC
(30,23),-3.55579 # DEPENDENCYPART_ARC
(30,24),-1.97655 # DEPENDENCYPART_ARC
(30,25),-1.26781 # DEPENDENCYPART_ARC
(30,26),-2.18216 # DEPENDENCYPART_ARC
(30,27),-2.24898 # DEPENDENCYPART_ARC
(30,28),-1.81117 # DEPENDENCYPART_ARC
(30,29),-0.978821 # DEPENDENCYPART_ARC
(30,31),0.309337 # DEPENDENCYPART_ARC
(30,32),-0.547721 # DEPENDENCYPART_ARC
(30,33),-2.25858 # DEPENDENCYPART_ARC
(30,34),-2.87493 # DEPENDENCYPART_ARC
(30,35),-1.46581 # DEPENDENCYPART_ARC
(30,36),-1.34305 # DEPENDENCYPART_ARC
(31,1),-9.12509 # DEPENDENCYPART_ARC
(31,2),-3.27693 # DEPENDENCYPART_ARC
(31,3),-3.27547 # DEPENDENCYPART_ARC
(31,4),-2.88078 # DEPENDENCYPART_ARC
(31,5),-1.43316 # DEPENDENCYPART_ARC
(31,6),-4.78336 # DEPENDENCYPART_ARC
(31,7),-3.34611 # DEPENDENCYPART_ARC
(31,8),-0.72438 # DEPENDENCYPART_ARC
(31,9),-1.20281 # DEPENDENCYPART_ARC
(31,10),-1.93077 # DEPENDENCYPART_ARC
(31,11),-3.9712 # DEPENDENCYPART_ARC
(31,12),-2.58915 # DEPENDENCYPART_ARC
(31,13),-2.81302 # DEPENDENCYPART_ARC
(31,14),-1.78334 # DEPENDENCYPART_ARC
(31,15),-0.082563 # DEPENDENCYPART_ARC
(31,16),-4.51067 # DEPENDENCYPART_ARC
(31,17),-2.43745 # DEPENDENCYPART_ARC
(31,18),-1.00038 # DEPENDENCYPART_ARC
(31,19),-0.325709 # DEPENDENCYPART_ARC
(31,20),-1.40883 # DEPENDENCYPART_ARC
(31,21),-1.5929 # DEPENDENCYPART_ARC
(31,22),-0.977296 # DEPENDENCYPART_ARC
(31,23),-1.24239 # DEPENDENCYPART_ARC
(31,24),0.291711 # DEPENDENCYPART_ARC
(31,25),0.169879 # DEPENDENCYPART_ARC
(31,26),-1.08686 # DEPENDENCYPART_ARC
(31,27),-0.768891 # DEPENDENCYPART_ARC
(31,28),0.684287 # DEPENDENCYPART_ARC
(31,29),0.797632 # DEPENDENCYPART_ARC
(31,30),4.69741 # DEPENDENCYPART_ARC
(31,32),1.15995 # DEPENDENCYPART_ARC
(31,33),1.60861 # DEPENDENCYPART_ARC
(31,34),-0.713583 # DEPENDENCYPART_ARC
(31,35),0.38723 # DEPENDENCYPART_ARC
(31,36),1.01068 # DEPENDENCYPART_ARC
(32,1),-2.92715 # DEPENDENCYPART_ARC
(32,2),-4.30462 # DEPENDENCYPART_ARC
(32,3),-2.53818 # DEPENDENCYPART_ARC
(32,4),-4.24566 # DEPENDENCYPART_ARC
(32,5),-1.2332 # DEPENDENCYPART_ARC
(32,6),-2.54755 # DEPENDENCYPART_ARC
(32,7),-3.76607 # DEPENDENCYPART_ARC
(32,8),-2.02358 # DEPENDENCYPART_ARC
(32,9),-2.5141 # DEPENDENCYPART_ARC
(32,10),-1.96028 # DEPENDENCYPART_ARC
(32,11),-2.5821 # DEPENDENCYPART_ARC
(32,12),-3.19846 # DEPENDENCYPART_ARC
(32,13),-1.76712 # DEPENDENCYPART_ARC
(32,14),-1.80821 # DEPENDENCYPART_ARC
(32,15),-0.9804 # DEPENDENCYPART_ARC
(32,16),-2.11454 # DEPENDENCYPART_ARC
(32,17),-2.88634 # DEPENDENCYPART_ARC
(32,18),-0.602684 # DEPENDENCYPART_ARC
(32,19),-1.97258 # DEPENDENCYPART_ARC
(32,20),-2.02177 # DEPENDENCYPART_ARC
(32,21),-2.35833 # DEPENDENCYPART_ARC
(32,22),-0.881113 # DEPENDENCYPART_ARC
(32,23),-1.97091 # DEPENDENCYPART_ARC
(32,24),-0.578635 # DEPENDENCYPART_ARC
(32,25),-1.52312 # DEPENDENCYPART_ARC
(32,26),-1.59618 # DEPENDENCYPART_ARC
(32,27),-1.03706 # DEPENDENCYPART_ARC
(32,28),-1.08442 # DEPENDENCYPART_ARC
(32,29),-0.728872 # DEPENDENCYPART_ARC
(32,30),0.292758 # DEPENDENCYPART_ARC
(32,31),0.7839 # DEPENDENCYPART_ARC
(32,33),3.26713 # DEPENDENCYPART_ARC
(32,34),1.03311 # DEPENDENCYPART_ARC
(32,35),1.23787 # DEPENDENCYPART_ARC
(32,36),0.407141 # DEPENDENCYPART_ARC
(33,1),-3.66394 # DEPENDENCYPART_ARC
(33,2),-4.24154 # DEPENDENCYPART_ARC
(33,3),-4.62207 # DEPENDENCYPART_ARC
(33,4),-4.08033 # DEPENDENCYPART_ARC
(33,5),-5.31411 # DEPENDENCYPART_ARC
(33,6),-3.46891 # DEPENDENCYPART_ARC
(33,7),-3.79488 # DEPENDENCYPART_ARC
(33,8),-2.06751 # DEPENDENCYPART_ARC
(33,9),-3.27588 # DEPENDENCYPART_ARC
(33,10),-4.13826 # DEPENDENCYPART_ARC
(33,11),-2.81485 # DEPENDENCYPART_ARC
(33,12),-3.29848 # DEPENDENCYPART_ARC
(33,13),-2.59752 # DEPENDENCYPART_ARC
(33,14),-2.80148 # DEPENDENCYPART_ARC
(33,15),-0.932442 # DEPENDENCYPART_ARC
(33,16),-2.56635 # DEPENDENCYPART_ARC
(33,17),-3.03671 # DEPENDENCYPART_ARC
(33,18),-3.14498 # DEPENDENCYPART_ARC
(33,19),-1.81136 # DEPENDENCYPART_ARC
(33,20),-2.11302 # DEPENDENCYPART_ARC
(33,21),-2.49502 # DEPENDENCYPART_ARC
(33,22),-2.39756 # DEPENDENCYPART_ARC
(33,23),-2.19952 # DEPENDENCYPART_ARC
(33,24),-0.420739 # DEPENDENCYPART_ARC
(33,25),-1.33895 # DEPENDENCYPART_ARC
(33,26),-1.98439 # DEPENDENCYPART_ARC
(33,27),-1.80874 # DEPENDENCYPART_ARC
(33,28),-0.542147 # DEPENDENCYPART_ARC
(33,29),-0.177824 # DEPENDENCYPART_ARC
(33,30),-0.852965 # DEPENDENCYPART_ARC
(33,31),-0.600492 # DEPENDENCYPART_ARC
(33,32),0.859022 # DEPENDENCYPART_ARC
(33,34),1.65448 # DEPENDENCYPART_ARC
(33,35),4.31541 # DEPENDENCYPART_ARC
(33,36),0.682317 # DEPENDENCYPART_ARC
(34,1),-4.941 # DEPENDENCYPART_ARC
(34,2),-3.836 # DEPENDENCYPART_ARC
(34,3),-3.80671 # DEPENDENCYPART_ARC
(34,4),-3.41715 # DEPENDENCYPART_ARC
(34,5),-2.4991 # DEPENDENCYPART_ARC
(34,6),-3.13436 # DEPENDENCYPART_ARC
(34,7),-3.39365 # DEPENDENCYPART_ARC
(34,8),-3.04531 # DEPENDENCYPART_ARC
(34,9),-2.66123 # DEPENDENCYPART_ARC
(34,10),-3.22049 # DEPENDENCYPART_ARC
(34,11),-2.85838 # DEPENDENCYPART_ARC
(34,12),-3.24888 # DEPENDENCYPART_ARC
(34,13),-2.68364 # DEPENDENCYPART_ARC
(34,14),-2.85191 # DEPENDENCYPART_ARC
(34,15),-2.01465 # DEPENDENCYPART_ARC
(34,16),-3.38696 # DEPENDENCYPART_ARC
(34,17),-2.90335 # DEPENDENCYPART_ARC
(34,18),-1.97611 # DEPENDENCYPART_ARC
(34,19),-1.86994 # DEPENDENCYPART_ARC
(34,20),-2.01402 # DEPENDENCYPART_ARC
(34,21),-2.44705 # DEPENDENCYPART_ARC
(34,22),-2.06801 # DEPENDENCYPART_ARC
(34,23),-2.22506 # DEPENDENCYPART_ARC
(34,24),-1.57628 # DEPENDENCYPART_ARC
(34,25),-1.32022 # DEPENDENCYPART_ARC
(34,26),-2.05681 # DEPENDENCYPART_ARC
(34,27),-1.36244 # DEPENDENCYPART_ARC
(34,28),-0.887872 # DEPENDENCYPART_ARC
(34,29),-1.19507 # DEPENDENCYPART_ARC
(34,30),-0.692066 # DEPENDENCYPART_ARC
(34,31),-1.4626 # DEPENDENCYPART_ARC
(34,32),0.347953 # DEPENDENCYPART_ARC
(34,33),1.96495 # DEPENDENCYPART_ARC
(34,35),0.371333 # DEPENDENCYPART_ARC
(34,36),-1.31814 # DEPENDENCYPART_ARC
(35,1),-9.79271 # DEPENDENCYPART_ARC
(35,2),-4.34541 # DEPENDENCYPART_ARC
(35,3),-4.47275 # DEPENDENCYPART_ARC
(35,4),-3.3937 # DEPENDENCYPART_ARC
(35,5),-1.84277 # DEPENDENCYPART_ARC
(35,6),-6.1138 # DEPENDENCYPART_ARC
(35,7),-3.98997 # DEPENDENCYPART_ARC
(35,8),-1.39998 # DEPENDENCYPART_ARC
(35,9),-3.01472 # DEPENDENCYPART_ARC
(35,10),-2.47102 # DEPENDENCYPART_ARC
(35,11),-5.2222 # DEPENDENCYPART_ARC
(35,12),-3.62812 # DEPENDENCYPART_ARC
(35,13),-3.57989 # DEPENDENCYPART_ARC
(35,14),-2.46307 # DEPENDENCYPART_ARC
(35,15),-0.062112 # DEPENDENCYPART_ARC
(35,16),-5.32641 # DEPENDENCYPART_ARC
(35,17),-3.27855 # DEPENDENCYPART_ARC
(35,18),-1.15315 # DEPENDENCYPART_ARC
(35,19),-1.28633 # DEPENDENCYPART_ARC
(35,20),-2.97645 # DEPENDENCYPART_ARC
(35,21),-2.68409 # DEPENDENCYPART_ARC
(35,22),-1.96251 # DEPENDENCYPART_ARC
(35,23),-1.67999 # DEPENDENCYPART_ARC
(35,24),-0.00269476 # DEPENDENCYPART_ARC
(35,25),-1.70327 # DEPENDENCYPART_ARC
(35,26),-2.25079 # DEPENDENCYPART_ARC
(35,27),-2.01314 # DEPENDENCYPART_ARC
(35,28),-1.2775 # DEPENDENCYPART_ARC
(35,29),-1.29359 # DEPENDENCYPART_ARC
(35,30),-0.85988 # DEPENDENCYPART_ARC
(35,31),-1.42776 # DEPENDENCYPART_ARC
(35,32),0.116289 # DEPENDENCYPART_ARC
(35,33),1.03306 # DEPENDENCYPART_ARC
(35,34),5.06334 # DEPENDENCYPART_ARC
(35,36),0.678066 # DEPENDENCYPART_ARC
(36,1),-5.35902 # DEPENDENCYPART_ARC
(36,2),-5.41485 # DEPENDENCYPART_ARC
(36,3),-4.78534 # DEPENDENCYPART_ARC
(36,4),-5.52051 # DEPENDENCYPART_ARC
(36,5),-4.35732 # DEPENDENCYPART_ARC
(36,6),-5.05132 # DEPENDENCYPART_ARC
(36,7),-5.1832 # DEPENDENCYPART_ARC
(36,8),-4.62175 # DEPENDENCYPART_ARC
(36,9),-5.04198 # DEPENDENCYPART_ARC
(36,10),-4.57095 # DEPENDENCYPART_ARC
(36,11),-5.03577 # DEPENDENCYPART_ARC
(36,12),-5.04971 # DEPENDENCYPART_ARC
(36,13),-4.17077 # DEPENDENCYPART_ARC
(36,14),-4.22018 # DEPENDENCYPART_ARC
(36,15),-3.93827 # DEPENDENCYPART_ARC
(36,16),-4.74231 # DEPENDENCYPART_ARC
(36,17),-4.97662 # DEPENDENCYPART_ARC
(36,18),-3.81799 # DEPENDENCYPART_ARC
(36,19),-4.55039 # DEPENDENCYPART_ARC
(36,20),-4.53151 # DEPENDENCYPART_ARC
(36,21),-4.56197 # DEPENDENCYPART_ARC
(36,22),-3.72895 # DEPENDENCYPART_ARC
(36,23),-4.46702 # DEPENDENCYPART_ARC
(36,24),-3.54847 # DEPENDENCYPART_ARC
(36,25),-4.40553 # DEPENDENCYPART_ARC
(36,26),-4.26768 # DEPENDENCYPART_ARC
(36,27),-3.77376 # DEPENDENCYPART_ARC
(36,28),-4.14446 # DEPENDENCYPART_ARC
(36,29),-3.92834 # DEPENDENCYPART_ARC
(36,30),-3.25498 # DEPENDENCYPART_ARC
(36,31),-3.72078 # DEPENDENCYPART_ARC
(36,32),-3.14441 # DEPENDENCYPART_ARC
(36,33),-2.38054 # DEPENDENCYPART_ARC
(36,34),-2.04844 # DEPENDENCYPART_ARC
(36,35),-2.2695 # DEPENDENCYPART_ARC
