# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,21,33,30,33,34,2,
(28,34),0.550171 # DEPENDENCYPART_ARC
(28,35),-0.472429 # DEPENDENCYPART_ARC
(28,36),-0.0246276 # DEPENDENCYPART_ARC
(29,1),-2.72362 # DEPENDENCYPART_ARC
(29,2),-3.34604 # DEPENDENCYPART_ARC
(29,3),-4.21113 # DEPENDENCYPART_ARC
(29,4),-3.13296 # DEPENDENCYPART_ARC
(29,5),-3.42169 # DEPENDENCYPART_ARC
(29,6),-2.09586 # DEPENDENCYPART_ARC
(29,7),-2.75747 # DEPENDENCYPART_ARC
(29,8),-3.19319 # DEPENDENCYPART_ARC
(29,9),-2.99724 # DEPENDENCYPART_ARC
(29,10),-2.22965 # DEPENDENCYPART_ARC
(29,11),-2.53781 # DEPENDENCYPART_ARC
(29,12),-1.83828 # DEPENDENCYPART_ARC
(29,13),-2.7633 # DEPENDENCYPART_ARC
(29,14),-1.78414 # DEPENDENCYPART_ARC
(29,15),-2.55185 # DEPENDENCYPART_ARC
(29,16),-1.73865 # DEPENDENCYPART_ARC
(29,17),-2.24875 # DEPENDENCYPART_ARC
(29,18),-2.74514 # DEPENDENCYPART_ARC
(29,19),-1.76964 # DEPENDENCYPART_ARC
(29,20),-1.85051 # DEPENDENCYPART_ARC
(29,21),-2.42523 # DEPENDENCYPART_ARC
(29,22),-1.20143 # DEPENDENCYPART_ARC
(29,23),-1.93561 # DEPENDENCYPART_ARC
(29,24),-0.909177 # DEPENDENCYPART_ARC
(29,25),-1.62708 # DEPENDENCYPART_ARC
(29,26),-0.968918 # DEPENDENCYPART_ARC
(29,27),-0.839617 # DEPENDENCYPART_ARC
(29,28),0.593432 # DEPENDENCYPART_ARC
(29,30),1.50475 # DEPENDENCYPART_ARC
(29,31),-0.444391 # DEPENDENCYPART_ARC
(29,32),-0.884291 # DEPENDENCYPART_ARC
(29,33),-0.803122 # DEPENDENCYPART_ARC
(29,34),-1.21512 # DEPENDENCYPART_ARC
(29,35),-3.21505 # DEPENDENCYPART_ARC
(29,36),-1.91362 # DEPENDENCYPART_ARC
(30,1),-2.8541 # DEPENDENCYPART_ARC
(30,2),-2.58133 # DEPENDENCYPART_ARC
(30,3),-2.70032 # DEPENDENCYPART_ARC
(30,4),-4.91547 # DEPENDENCYPART_ARC
(30,5),-2.9156 # DEPENDENCYPART_ARC
(30,6),-1.14118 # DEPENDENCYPART_ARC
(30,7),-4.09335 # DEPENDENCYPART_ARC
(30,8),-2.53466 # DEPENDENCYPART_ARC
(30,9),-2.20866 # DEPENDENCYPART_ARC
(30,10),-2.38213 # DEPENDENCYPART_ARC
(30,11),-2.85939 # DEPENDENCYPART_ARC
(30,12),-3.57566 # DEPENDENCYPART_ARC
(30,13),-2.1058 # DEPENDENCYPART_ARC
(30,14),-0.798515 # DEPENDENCYPART_ARC
(30,15),-2.1144 # DEPENDENCYPART_ARC
(30,16),-1.84606 # DEPENDENCYPART_ARC
(30,17),-2.48781 # DEPENDENCYPART_ARC
(30,18),-2.21268 # DEPENDENCYPART_ARC
(30,19),-2.37199 # DEPENDENCYPART_ARC
(30,20),-0.891543 # DEPENDENCYPART_ARC
(30,21),-1.3343 # DEPENDENCYPART_ARC
(30,22),-1.29007 # DEPENDENCYPART_ARC
(30,23),-0.6221 # DEPENDENCYPART_ARC
(30,24),-0.781423 # DEPENDENCYPART_ARC
(30,25),-0.415257 # DEPENDENCYPART_ARC
(30,26),-0.319088 # DEPENDENCYPART_ARC
(30,27),-0.729586 # DEPENDENCYPART_ARC
(30,28),0.731919 # DEPENDENCYPART_ARC
(30,29),3.79071 # DEPENDENCYPART_ARC
(30,31),1.13007 # DEPENDENCYPART_ARC
(30,32),0.250915 # DEPENDENCYPART_ARC
(30,33),1.42365 # DEPENDENCYPART_ARC
(30,34),0.876269 # DEPENDENCYPART_ARC
(30,35),2.79369 # DEPENDENCYPART_ARC
(30,36),1.51779 # DEPENDENCYPART_ARC
(31,1),-3.69545 # DEPENDENCYPART_ARC
(31,2),-4.1332 # DEPENDENCYPART_ARC
(31,3),-4.65681 # DEPENDENCYPART_ARC
(31,4),-3.86015 # DEPENDENCYPART_ARC
(31,5),-4.60274 # DEPENDENCYPART_ARC
(31,6),-3.09195 # DEPENDENCYPART_ARC
(31,7),-3.62741 # DEPENDENCYPART_ARC
(31,8),-4.29344 # DEPENDENCYPART_ARC
(31,9),-3.77999 # DEPENDENCYPART_ARC
(31,10),-4.00661 # DEPENDENCYPART_ARC
(31,11),-3.3062 # DEPENDENCYPART_ARC
(31,12),-3.26475 # DEPENDENCYPART_ARC
(31,13),-4.04207 # DEPENDENCYPART_ARC
(31,14),-2.78426 # DEPENDENCYPART_ARC
(31,15),-3.80971 # DEPENDENCYPART_ARC
(31,16),-2.93063 # DEPENDENCYPART_ARC
(31,17),-3.57534 # DEPENDENCYPART_ARC
(31,18),-3.7246 # DEPENDENCYPART_ARC
(31,19),-3.33387 # DEPENDENCYPART_ARC
(31,20),-2.8599 # DEPENDENCYPART_ARC
(31,21),-3.31087 # DEPENDENCYPART_ARC
(31,22),-2.55282 # DEPENDENCYPART_ARC
(31,23),-3.28989 # DEPENDENCYPART_ARC
(31,24),-2.37483 # DEPENDENCYPART_ARC
(31,25),-3.14696 # DEPENDENCYPART_ARC
(31,26),-2.35814 # DEPENDENCYPART_ARC
(31,27),-2.95784 # DEPENDENCYPART_ARC
(31,28),-1.65964 # DEPENDENCYPART_ARC
(31,29),-1.32729 # DEPENDENCYPART_ARC
(31,30),-1.40081 # DEPENDENCYPART_ARC
(31,32),-1.326 # DEPENDENCYPART_ARC
(31,33),-1.31624 # DEPENDENCYPART_ARC
(31,34),-1.37396 # DEPENDENCYPART_ARC
(31,35),-1.87755 # DEPENDENCYPART_ARC
(31,36),-1.46188 # DEPENDENCYPART_ARC
(32,1),-2.58266 # DEPENDENCYPART_ARC
(32,2),-2.83885 # DEPENDENCYPART_ARC
(32,3),-4.10622 # DEPENDENCYPART_ARC
(32,4),-1.31854 # DEPENDENCYPART_ARC
(32,5),-3.97877 # DEPENDENCYPART_ARC
(32,6),-1.82894 # DEPENDENCYPART_ARC
(32,7),-1.32513 # DEPENDENCYPART_ARC
(32,8),-3.78726 # DEPENDENCYPART_ARC
(32,9),-1.79987 # DEPENDENCYPART_ARC
(32,10),-2.28989 # DEPENDENCYPART_ARC
(32,11),-1.79745 # DEPENDENCYPART_ARC
(32,12),-0.982238 # DEPENDENCYPART_ARC
(32,13),-3.0898 # DEPENDENCYPART_ARC
(32,14),-1.61569 # DEPENDENCYPART_ARC
(32,15),-3.01749 # DEPENDENCYPART_ARC
(32,16),-0.842677 # DEPENDENCYPART_ARC
(32,17),-2.13328 # DEPENDENCYPART_ARC
(32,18),-2.78076 # DEPENDENCYPART_ARC
(32,19),-1.91966 # DEPENDENCYPART_ARC
(32,20),-1.33508 # DEPENDENCYPART_ARC
(32,21),-1.6466 # DEPENDENCYPART_ARC
(32,22),0.0636765 # DEPENDENCYPART_ARC
(32,23),-1.77531 # DEPENDENCYPART_ARC
(32,24),-0.114246 # DEPENDENCYPART_ARC
(32,25),-1.34245 # DEPENDENCYPART_ARC
(32,26),-0.823838 # DEPENDENCYPART_ARC
(32,27),-1.40412 # DEPENDENCYPART_ARC
(32,28),0.583248 # DEPENDENCYPART_ARC
(32,29),-0.376873 # DEPENDENCYPART_ARC
(32,30),-0.165261 # DEPENDENCYPART_ARC
(32,31),0.770821 # DEPENDENCYPART_ARC
(32,33),1.3329 # DEPENDENCYPART_ARC
(32,34),0.742433 # DEPENDENCYPART_ARC
(32,35),0.131007 # DEPENDENCYPART_ARC
(32,36),-0.0465907 # DEPENDENCYPART_ARC
(33,1),-2.33908 # DEPENDENCYPART_ARC
(33,2),-2.48308 # DEPENDENCYPART_ARC
(33,3),-3.3642 # DEPENDENCYPART_ARC
(33,4),-4.72213 # DEPENDENCYPART_ARC
(33,5),-3.29566 # DEPENDENCYPART_ARC
(33,6),-1.35433 # DEPENDENCYPART_ARC
(33,7),-4.57326 # DEPENDENCYPART_ARC
(33,8),-3.24099 # DEPENDENCYPART_ARC
(33,9),-1.58661 # DEPENDENCYPART_ARC
(33,10),-3.79733 # DEPENDENCYPART_ARC
(33,11),-1.70037 # DEPENDENCYPART_ARC
(33,12),-3.8619 # DEPENDENCYPART_ARC
(33,13),-2.42212 # DEPENDENCYPART_ARC
(33,14),-1.03418 # DEPENDENCYPART_ARC
(33,15),-2.46813 # DEPENDENCYPART_ARC
(33,16),-2.65383 # DEPENDENCYPART_ARC
(33,17),-0.775193 # DEPENDENCYPART_ARC
(33,18),-1.93735 # DEPENDENCYPART_ARC
(33,19),-2.66535 # DEPENDENCYPART_ARC
(33,20),-0.574811 # DEPENDENCYPART_ARC
(33,21),-0.522106 # DEPENDENCYPART_ARC
(33,22),-1.81684 # DEPENDENCYPART_ARC
(33,23),-0.959532 # DEPENDENCYPART_ARC
(33,24),-1.43118 # DEPENDENCYPART_ARC
(33,25),-0.709376 # DEPENDENCYPART_ARC
(33,26),-0.342351 # DEPENDENCYPART_ARC
(33,27),-1.00077 # DEPENDENCYPART_ARC
(33,28),-0.876376 # DEPENDENCYPART_ARC
(33,29),0.157128 # DEPENDENCYPART_ARC
(33,30),-0.0651438 # DEPENDENCYPART_ARC
(33,31),0.352971 # DEPENDENCYPART_ARC
(33,32),1.26598 # DEPENDENCYPART_ARC
(33,34),4.41503 # DEPENDENCYPART_ARC
(33,35),1.30367 # DEPENDENCYPART_ARC
(33,36),0.743323 # DEPENDENCYPART_ARC
(34,1),-3.66141 # DEPENDENCYPART_ARC
(34,2),-3.62038 # DEPENDENCYPART_ARC
(34,3),-3.40046 # DEPENDENCYPART_ARC
(34,4),-5.68556 # DEPENDENCYPART_ARC
(34,5),-3.25235 # DEPENDENCYPART_ARC
(34,6),-1.65843 # DEPENDENCYPART_ARC
(34,7),-5.21191 # DEPENDENCYPART_ARC
(34,8),-3.08323 # DEPENDENCYPART_ARC
(34,9),-2.54422 # DEPENDENCYPART_ARC
(34,10),-2.92354 # DEPENDENCYPART_ARC
(34,11),-3.57476 # DEPENDENCYPART_ARC
(34,12),-4.6284 # DEPENDENCYPART_ARC
(34,13),-2.81284 # DEPENDENCYPART_ARC
(34,14),-1.33021 # DEPENDENCYPART_ARC
(34,15),-2.72744 # DEPENDENCYPART_ARC
(34,16),-2.65404 # DEPENDENCYPART_ARC
(34,17),-3.27452 # DEPENDENCYPART_ARC
(34,18),-2.58534 # DEPENDENCYPART_ARC
(34,19),-2.26037 # DEPENDENCYPART_ARC
(34,20),-1.13581 # DEPENDENCYPART_ARC
(34,21),-2.29111 # DEPENDENCYPART_ARC
(34,22),-2.37004 # DEPENDENCYPART_ARC
(34,23),-1.18824 # DEPENDENCYPART_ARC
(34,24),-1.48998 # DEPENDENCYPART_ARC
(34,25),-0.935953 # DEPENDENCYPART_ARC
(34,26),-1.08643 # DEPENDENCYPART_ARC
(34,27),-1.694 # DEPENDENCYPART_ARC
(34,28),-0.746909 # DEPENDENCYPART_ARC
(34,29),0.786907 # DEPENDENCYPART_ARC
(34,30),-0.870577 # DEPENDENCYPART_ARC
(34,31),-0.161885 # DEPENDENCYPART_ARC
(34,32),0.539878 # DEPENDENCYPART_ARC
(34,33),0.893711 # DEPENDENCYPART_ARC
(34,35),4.20233 # DEPENDENCYPART_ARC
(34,36),-0.0852024 # DEPENDENCYPART_ARC
(35,1),-2.89687 # DEPENDENCYPART_ARC
(35,2),-3.32011 # DEPENDENCYPART_ARC
(35,3),-5.03473 # DEPENDENCYPART_ARC
(35,4),-5.31976 # DEPENDENCYPART_ARC
(35,5),-4.28349 # DEPENDENCYPART_ARC
(35,6),-1.83404 # DEPENDENCYPART_ARC
(35,7),-4.93113 # DEPENDENCYPART_ARC
(35,8),-4.17795 # DEPENDENCYPART_ARC
(35,9),-5.07185 # DEPENDENCYPART_ARC
(35,10),-3.98245 # DEPENDENCYPART_ARC
(35,11),-3.85662 # DEPENDENCYPART_ARC
(35,12),-4.31356 # DEPENDENCYPART_ARC
(35,13),-3.76034 # DEPENDENCYPART_ARC
(35,14),-1.772 # DEPENDENCYPART_ARC
(35,15),-3.49058 # DEPENDENCYPART_ARC
(35,16),-2.60386 # DEPENDENCYPART_ARC
(35,17),-2.36215 # DEPENDENCYPART_ARC
(35,18),-2.77679 # DEPENDENCYPART_ARC
(35,19),-2.71013 # DEPENDENCYPART_ARC
(35,20),-1.64819 # DEPENDENCYPART_ARC
(35,21),-2.47867 # DEPENDENCYPART_ARC
(35,22),-1.36796 # DEPENDENCYPART_ARC
(35,23),-2.15614 # DEPENDENCYPART_ARC
(35,24),-1.27107 # DEPENDENCYPART_ARC
(35,25),-1.71852 # DEPENDENCYPART_ARC
(35,26),-1.21814 # DEPENDENCYPART_ARC
(35,27),-2.30307 # DEPENDENCYPART_ARC
(35,28),-1.03182 # DEPENDENCYPART_ARC
(35,29),-2.04846 # DEPENDENCYPART_ARC
(35,30),-1.13151 # DEPENDENCYPART_ARC
(35,31),-0.707403 # DEPENDENCYPART_ARC
(35,32),-0.200041 # DEPENDENCYPART_ARC
(35,33),0.0943103 # DEPENDENCYPART_ARC
(35,34),0.548097 # DEPENDENCYPART_ARC
(35,36),-0.330993 # DEPENDENCYPART_ARC
(36,1),-3.98131 # DEPENDENCYPART_ARC
(36,2),-4.36581 # DEPENDENCYPART_ARC
(36,3),-4.49342 # DEPENDENCYPART_ARC
(36,4),-3.88213 # DEPENDENCYPART_ARC
(36,5),-4.47016 # DEPENDENCYPART_ARC
(36,6),-3.21561 # DEPENDENCYPART_ARC
(36,7),-3.47117 # DEPENDENCYPART_ARC
(36,8),-4.23645 # DEPENDENCYPART_ARC
(36,9),-3.49976 # DEPENDENCYPART_ARC
(36,10),-3.36 # DEPENDENCYPART_ARC
(36,11),-3.80877 # DEPENDENCYPART_ARC
(36,12),-3.35888 # DEPENDENCYPART_ARC
(36,13),-4.05854 # DEPENDENCYPART_ARC
(36,14),-2.9713 # DEPENDENCYPART_ARC
(36,15),-3.99147 # DEPENDENCYPART_ARC
(36,16),-3.02934 # DEPENDENCYPART_ARC
(36,17),-3.76475 # DEPENDENCYPART_ARC
(36,18),-3.88478 # DEPENDENCYPART_ARC
(36,19),-2.82907 # DEPENDENCYPART_ARC
(36,20),-2.78063 # DEPENDENCYPART_ARC
(36,21),-3.34208 # DEPENDENCYPART_ARC
(36,22),-2.59699 # DEPENDENCYPART_ARC
(36,23),-3.32407 # DEPENDENCYPART_ARC
(36,24),-2.57235 # DEPENDENCYPART_ARC
(36,25),-3.2357 # DEPENDENCYPART_ARC
(36,26),-2.53868 # DEPENDENCYPART_ARC
(36,27),-3.28245 # DEPENDENCYPART_ARC
(36,28),-2.41829 # DEPENDENCYPART_ARC
(36,29),-3.16756 # DEPENDENCYPART_ARC
(36,30),-3.04177 # DEPENDENCYPART_ARC
(36,31),-2.43029 # DEPENDENCYPART_ARC
(36,32),-2.62999 # DEPENDENCYPART_ARC
(36,33),-1.82276 # DEPENDENCYPART_ARC
(36,34),-2.1841 # DEPENDENCYPART_ARC
(36,35),-1.00402 # DEPENDENCYPART_ARC
