# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(31,7),-3.32648 # DEPENDENCYPART_ARC
(31,8),-3.29008 # DEPENDENCYPART_ARC
(31,9),-5.77456 # DEPENDENCYPART_ARC
(31,10),-2.47476 # DEPENDENCYPART_ARC
(31,11),-1.80942 # DEPENDENCYPART_ARC
(31,12),-1.74235 # DEPENDENCYPART_ARC
(31,13),-1.78037 # DEPENDENCYPART_ARC
(31,14),-2.2857 # DEPENDENCYPART_ARC
(31,15),-2.84936 # DEPENDENCYPART_ARC
(31,16),-5.11497 # DEPENDENCYPART_ARC
(31,17),-2.61999 # DEPENDENCYPART_ARC
(31,18),-1.81653 # DEPENDENCYPART_ARC
(31,19),-1.62356 # DEPENDENCYPART_ARC
(31,20),-3.16732 # DEPENDENCYPART_ARC
(31,21),-3.8328 # DEPENDENCYPART_ARC
(31,22),-2.10488 # DEPENDENCYPART_ARC
(31,23),-1.45994 # DEPENDENCYPART_ARC
(31,24),-1.37328 # DEPENDENCYPART_ARC
(31,25),-2.15755 # DEPENDENCYPART_ARC
(31,26),-4.25081 # DEPENDENCYPART_ARC
(31,27),-2.243 # DEPENDENCYPART_ARC
(31,28),-1.52706 # DEPENDENCYPART_ARC
(31,29),-2.23957 # DEPENDENCYPART_ARC
(31,30),-0.178269 # DEPENDENCYPART_ARC
(31,32),2.65162 # DEPENDENCYPART_ARC
(31,33),2.17482 # DEPENDENCYPART_ARC
(31,34),-0.271444 # DEPENDENCYPART_ARC
(32,1),-3.27758 # DEPENDENCYPART_ARC
(32,2),-1.62954 # DEPENDENCYPART_ARC
(32,3),-4.1437 # DEPENDENCYPART_ARC
(32,4),-4.5352 # DEPENDENCYPART_ARC
(32,5),-3.06334 # DEPENDENCYPART_ARC
(32,6),-1.60999 # DEPENDENCYPART_ARC
(32,7),-1.46952 # DEPENDENCYPART_ARC
(32,8),-3.75621 # DEPENDENCYPART_ARC
(32,9),-3.78419 # DEPENDENCYPART_ARC
(32,10),-1.80517 # DEPENDENCYPART_ARC
(32,11),-2.0136 # DEPENDENCYPART_ARC
(32,12),-1.36101 # DEPENDENCYPART_ARC
(32,13),-1.37793 # DEPENDENCYPART_ARC
(32,14),-2.2277 # DEPENDENCYPART_ARC
(32,15),-3.87076 # DEPENDENCYPART_ARC
(32,16),-3.26075 # DEPENDENCYPART_ARC
(32,17),-3.44792 # DEPENDENCYPART_ARC
(32,18),-1.91519 # DEPENDENCYPART_ARC
(32,19),-1.28772 # DEPENDENCYPART_ARC
(32,20),-2.35857 # DEPENDENCYPART_ARC
(32,21),-3.37263 # DEPENDENCYPART_ARC
(32,22),-1.4046 # DEPENDENCYPART_ARC
(32,23),-1.136 # DEPENDENCYPART_ARC
(32,24),-1.39533 # DEPENDENCYPART_ARC
(32,25),-2.72177 # DEPENDENCYPART_ARC
(32,26),-2.98961 # DEPENDENCYPART_ARC
(32,27),-1.60116 # DEPENDENCYPART_ARC
(32,28),-0.987793 # DEPENDENCYPART_ARC
(32,29),-2.03051 # DEPENDENCYPART_ARC
(32,30),-0.506872 # DEPENDENCYPART_ARC
(32,31),-1.84127 # DEPENDENCYPART_ARC
(32,33),-0.412374 # DEPENDENCYPART_ARC
(32,34),-0.506472 # DEPENDENCYPART_ARC
(33,1),-3.10805 # DEPENDENCYPART_ARC
(33,2),-1.56363 # DEPENDENCYPART_ARC
(33,3),-3.79551 # DEPENDENCYPART_ARC
(33,4),-4.11627 # DEPENDENCYPART_ARC
(33,5),-2.74164 # DEPENDENCYPART_ARC
(33,6),-1.37285 # DEPENDENCYPART_ARC
(33,7),-1.20834 # DEPENDENCYPART_ARC
(33,8),-3.2054 # DEPENDENCYPART_ARC
(33,9),-3.51663 # DEPENDENCYPART_ARC
(33,10),-1.54757 # DEPENDENCYPART_ARC
(33,11),-1.76998 # DEPENDENCYPART_ARC
(33,12),-1.39321 # DEPENDENCYPART_ARC
(33,13),-0.999688 # DEPENDENCYPART_ARC
(33,14),-1.95694 # DEPENDENCYPART_ARC
(33,15),-3.48207 # DEPENDENCYPART_ARC
(33,16),-3.05576 # DEPENDENCYPART_ARC
(33,17),-3.04644 # DEPENDENCYPART_ARC
(33,18),-1.61269 # DEPENDENCYPART_ARC
(33,19),-1.14045 # DEPENDENCYPART_ARC
(33,20),-2.02488 # DEPENDENCYPART_ARC
(33,21),-3.07462 # DEPENDENCYPART_ARC
(33,22),-1.09963 # DEPENDENCYPART_ARC
(33,23),-0.716426 # DEPENDENCYPART_ARC
(33,24),-1.19063 # DEPENDENCYPART_ARC
(33,25),-2.44778 # DEPENDENCYPART_ARC
(33,26),-2.62681 # DEPENDENCYPART_ARC
(33,27),-1.29291 # DEPENDENCYPART_ARC
(33,28),-0.720543 # DEPENDENCYPART_ARC
(33,29),-1.71961 # DEPENDENCYPART_ARC
(33,30),-0.40635 # DEPENDENCYPART_ARC
(33,31),-1.94796 # DEPENDENCYPART_ARC
(33,32),-1.38323 # DEPENDENCYPART_ARC
(33,34),0.616454 # DEPENDENCYPART_ARC
(34,1),-4.45998 # DEPENDENCYPART_ARC
(34,2),-4.62958 # DEPENDENCYPART_ARC
(34,3),-4.17718 # DEPENDENCYPART_ARC
(34,4),-3.88957 # DEPENDENCYPART_ARC
(34,5),-2.39373 # DEPENDENCYPART_ARC
(34,7),-3.57949 # DEPENDENCYPART_ARC
(34,8),-3.67171 # DEPENDENCYPART_ARC
(34,9),-2.32763 # DEPENDENCYPART_ARC
(34,10),-3.35384 # DEPENDENCYPART_ARC
(34,11),-3.14228 # DEPENDENCYPART_ARC
(34,12),-3.67872 # DEPENDENCYPART_ARC
(34,13),-2.44866 # DEPENDENCYPART_ARC
(34,14),-3.37574 # DEPENDENCYPART_ARC
(34,15),-2.86635 # DEPENDENCYPART_ARC
(34,16),-2.17462 # DEPENDENCYPART_ARC
(34,17),-2.48306 # DEPENDENCYPART_ARC
(34,18),-2.24831 # DEPENDENCYPART_ARC
(34,19),-3.00299 # DEPENDENCYPART_ARC
(34,20),-2.53681 # DEPENDENCYPART_ARC
(34,21),-2.44199 # DEPENDENCYPART_ARC
(34,22),-2.04946 # DEPENDENCYPART_ARC
(34,23),-1.91891 # DEPENDENCYPART_ARC
(34,24),-2.59045 # DEPENDENCYPART_ARC
(34,25),-2.26069 # DEPENDENCYPART_ARC
(34,26),-2.00853 # DEPENDENCYPART_ARC
(34,27),-1.75997 # DEPENDENCYPART_ARC
(34,28),-1.55575 # DEPENDENCYPART_ARC
(34,29),-1.35685 # DEPENDENCYPART_ARC
(34,30),-1.76923 # DEPENDENCYPART_ARC
(34,31),-1.0127 # DEPENDENCYPART_ARC
(34,32),-1.08559 # DEPENDENCYPART_ARC
(34,33),-1.01904 # DEPENDENCYPART_ARC
