# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,10,10,3,10,11,12,13,12,12,16,16,18,19,22,3,22,23,24,25,22,27,0,
(2,8),(8,6),-0.726487 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),-0.233563 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.292564 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.167375 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.288533 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.652248 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.717594 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.573668 # DEPENDENCYPART_GRANDPAR
(2,8),(8,16),-0.238226 # DEPENDENCYPART_GRANDPAR
(2,8),(8,17),-0.222753 # DEPENDENCYPART_GRANDPAR
(2,8),(8,19),-0.357923 # DEPENDENCYPART_GRANDPAR
(2,8),(8,20),-0.295884 # DEPENDENCYPART_GRANDPAR
(2,8),(8,22),-0.562931 # DEPENDENCYPART_GRANDPAR
(2,8),(8,29),-0.45516 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-0.787598 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.782387 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,3),0.787809 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),-0.217188 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),-0.402128 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),-0.677209 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.328979 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),0.334926 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.210984 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.365018 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.829002 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.898752 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.593205 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.207018 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),-0.0900469 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.339308 # DEPENDENCYPART_GRANDPAR
(2,11),(11,1),-0.77748 # DEPENDENCYPART_GRANDPAR
(2,11),(11,4),-0.234499 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),-0.431082 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),-0.700715 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),-0.287267 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),-0.315357 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.388627 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.758177 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.817513 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),-0.614018 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.27862 # DEPENDENCYPART_GRANDPAR
(2,11),(11,21),-0.840141 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),-0.898956 # DEPENDENCYPART_GRANDPAR
(2,12),(12,14),-0.592503 # DEPENDENCYPART_GRANDPAR
(2,12),(12,15),-0.202045 # DEPENDENCYPART_GRANDPAR
(2,12),(12,16),-0.088014 # DEPENDENCYPART_GRANDPAR
(2,12),(12,17),-0.338036 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),-0.993211 # DEPENDENCYPART_GRANDPAR
(2,12),(12,19),-0.377302 # DEPENDENCYPART_GRANDPAR
(2,12),(12,22),-0.440302 # DEPENDENCYPART_GRANDPAR
(2,12),(12,24),-1.00399 # DEPENDENCYPART_GRANDPAR
(2,12),(12,25),-0.607609 # DEPENDENCYPART_GRANDPAR
(2,13),(13,9),-0.212189 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.846372 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),-0.591463 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),-0.209255 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),-0.0923554 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.341545 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-0.994361 # DEPENDENCYPART_GRANDPAR
(2,13),(13,19),-0.380988 # DEPENDENCYPART_GRANDPAR
(2,13),(13,22),-0.444643 # DEPENDENCYPART_GRANDPAR
(2,14),(14,4),-0.365764 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.991068 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-1.06355 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.236182 # DEPENDENCYPART_GRANDPAR
(2,14),(14,19),-0.432666 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),-0.605305 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),-1.14784 # DEPENDENCYPART_GRANDPAR
(2,19),(19,20),-0.224226 # DEPENDENCYPART_GRANDPAR
(2,19),(19,22),-0.443482 # DEPENDENCYPART_GRANDPAR
(2,19),(19,25),-0.449106 # DEPENDENCYPART_GRANDPAR
(2,21),(21,18),-0.984849 # DEPENDENCYPART_GRANDPAR
(2,21),(21,20),-0.297449 # DEPENDENCYPART_GRANDPAR
(2,21),(21,23),-1.09764 # DEPENDENCYPART_GRANDPAR
(2,21),(21,29),-0.450441 # DEPENDENCYPART_GRANDPAR
(2,27),(27,18),-1.14963 # DEPENDENCYPART_GRANDPAR
(2,27),(27,20),-0.331902 # DEPENDENCYPART_GRANDPAR
(2,27),(27,23),-1.18757 # DEPENDENCYPART_GRANDPAR
(2,27),(27,24),-1.18919 # DEPENDENCYPART_GRANDPAR
(2,27),(27,25),-0.513617 # DEPENDENCYPART_GRANDPAR
(2,27),(27,26),-0.538037 # DEPENDENCYPART_GRANDPAR
(2,27),(27,28),-1.22243 # DEPENDENCYPART_GRANDPAR
(2,27),(27,29),-0.421843 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.0245959 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.932545 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,8),-0.363851 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.330523 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.00535 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),0.0500872 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.650979 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.646532 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.388861 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.428518 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-0.461765 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.859569 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-0.873383 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-0.834665 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-0.785378 # DEPENDENCYPART_GRANDPAR
(3,2),(2,19),-0.825489 # DEPENDENCYPART_GRANDPAR
(3,2),(2,21),-0.896864 # DEPENDENCYPART_GRANDPAR
(3,2),(2,27),-0.878502 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.968669 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.214191 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.0347673 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.0502792 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),0.223522 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.0308069 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.0197355 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),0.234048 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),-0.241716 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.185086 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.14395 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.262391 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),0.0200279 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.111331 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.980077 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.968669 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.185417 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,6),0.0676668 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),0.223809 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),0.00500705 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.0187882 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),0.251337 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.244794 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),0.0198062 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.10982 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.968669 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.487953 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.223563 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.0293057 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.0212316 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),0.232487 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.248898 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.934046 # DEPENDENCYPART_GRANDPAR
(3,7),(7,4),0.96216 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),0.257288 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.272371 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-1.05237 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),-1.04365 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.349948 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,4),0.886681 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),0.171225 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.177555 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.197295 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.144419 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),0.503042 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),0.043429 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),0.0624113 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),0.106648 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),0.0191777 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),0.639477 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),-0.10846 # DEPENDENCYPART_GRANDPAR
(3,8),(8,19),-0.0240795 # DEPENDENCYPART_GRANDPAR
(3,8),(8,20),0.061513 # DEPENDENCYPART_GRANDPAR
(3,8),(8,22),0.361932 # DEPENDENCYPART_GRANDPAR
(3,8),(8,29),-0.803105 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),0.368647 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.383732 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),0.365581 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.215763 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-0.980077 # DEPENDENCYPART_GRANDPAR
(3,10),(10,2),-0.968669 # DEPENDENCYPART_GRANDPAR
(3,10),(10,3),-0.204138 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,10),(10,4),1.21436 # DEPENDENCYPART_GRANDPAR
(3,10),(10,5),0.509106 # DEPENDENCYPART_GRANDPAR
(3,10),(10,6),0.537426 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),0.358588 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),0.578891 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),0.615926 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.191002 # DEPENDENCYPART_GRANDPAR
(3,10),(10,12),-0.172649 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.131518 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),-0.233051 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),0.0337899 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.0979471 # DEPENDENCYPART_GRANDPAR
(3,10),(10,17),-0.396569 # DEPENDENCYPART_GRANDPAR
(3,11),(11,1),-1.00049 # DEPENDENCYPART_GRANDPAR
(3,11),(11,4),1.02367 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),0.313795 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),0.33367 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.310388 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),0.340652 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),0.509742 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),0.0895462 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.134675 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),0.0561502 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),0.256863 # DEPENDENCYPART_GRANDPAR
(3,11),(11,21),-0.170057 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),-0.145915 # DEPENDENCYPART_GRANDPAR
(3,12),(12,14),-0.25074 # DEPENDENCYPART_GRANDPAR
(3,12),(12,15),0.0259118 # DEPENDENCYPART_GRANDPAR
(3,12),(12,16),-0.109081 # DEPENDENCYPART_GRANDPAR
(3,12),(12,17),-0.408149 # DEPENDENCYPART_GRANDPAR
(3,12),(12,18),-0.575981 # DEPENDENCYPART_GRANDPAR
(3,12),(12,19),-0.303403 # DEPENDENCYPART_GRANDPAR
(3,12),(12,22),-0.408137 # DEPENDENCYPART_GRANDPAR
(3,12),(12,24),-0.664733 # DEPENDENCYPART_GRANDPAR
(3,12),(12,25),-0.86753 # DEPENDENCYPART_GRANDPAR
(3,13),(13,9),0.601945 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),0.268891 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.250817 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),0.0175878 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.114537 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.412771 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.576467 # DEPENDENCYPART_GRANDPAR
(3,13),(13,19),-0.308205 # DEPENDENCYPART_GRANDPAR
(3,13),(13,22),-0.413592 # DEPENDENCYPART_GRANDPAR
(3,14),(14,4),1.15184 # DEPENDENCYPART_GRANDPAR
(3,14),(14,12),0.227602 # DEPENDENCYPART_GRANDPAR
(3,14),(14,13),0.266936 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),0.150545 # DEPENDENCYPART_GRANDPAR
(3,14),(14,19),-0.141828 # DEPENDENCYPART_GRANDPAR
(3,15),(15,1),-0.982598 # DEPENDENCYPART_GRANDPAR
(3,15),(15,2),-0.93336 # DEPENDENCYPART_GRANDPAR
(3,15),(15,3),-0.306013 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,15),(15,14),-0.0108323 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),0.00970059 # DEPENDENCYPART_GRANDPAR
(3,15),(15,17),-0.269579 # DEPENDENCYPART_GRANDPAR
(3,15),(15,26),-1.27716 # DEPENDENCYPART_GRANDPAR
(3,16),(16,1),-1.09974 # DEPENDENCYPART_GRANDPAR
(3,16),(16,3),-0.233635 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,16),(16,4),1.07563 # DEPENDENCYPART_GRANDPAR
(3,16),(16,9),0.238152 # DEPENDENCYPART_GRANDPAR
(3,16),(16,10),0.564935 # DEPENDENCYPART_GRANDPAR
(3,16),(16,11),-0.100243 # DEPENDENCYPART_GRANDPAR
(3,16),(16,12),0.151214 # DEPENDENCYPART_GRANDPAR
(3,16),(16,13),0.19073 # DEPENDENCYPART_GRANDPAR
(3,16),(16,14),-0.00826713 # DEPENDENCYPART_GRANDPAR
(3,16),(16,15),0.114935 # DEPENDENCYPART_GRANDPAR
(3,16),(16,17),-0.213569 # DEPENDENCYPART_GRANDPAR
(3,16),(16,18),-0.258369 # DEPENDENCYPART_GRANDPAR
(3,16),(16,19),-0.0922113 # DEPENDENCYPART_GRANDPAR
(3,16),(16,20),0.0550028 # DEPENDENCYPART_GRANDPAR
(3,16),(16,21),-0.153542 # DEPENDENCYPART_GRANDPAR
(3,16),(16,22),-0.230727 # DEPENDENCYPART_GRANDPAR
(3,16),(16,23),-0.256165 # DEPENDENCYPART_GRANDPAR
(3,16),(16,24),-0.335573 # DEPENDENCYPART_GRANDPAR
(3,16),(16,25),-0.645463 # DEPENDENCYPART_GRANDPAR
(3,16),(16,27),-0.117954 # DEPENDENCYPART_GRANDPAR
(3,16),(16,28),-0.400232 # DEPENDENCYPART_GRANDPAR
(3,16),(16,29),-0.83691 # DEPENDENCYPART_GRANDPAR
(3,17),(17,18),-0.564257 # DEPENDENCYPART_GRANDPAR
(3,17),(17,20),-0.10999 # DEPENDENCYPART_GRANDPAR
(3,17),(17,22),-0.276507 # DEPENDENCYPART_GRANDPAR
(3,18),(18,17),0.115769 # DEPENDENCYPART_GRANDPAR
(3,18),(18,19),-0.32906 # DEPENDENCYPART_GRANDPAR
(3,18),(18,20),-0.0588069 # DEPENDENCYPART_GRANDPAR
(3,18),(18,21),-0.414624 # DEPENDENCYPART_GRANDPAR
(3,18),(18,22),-0.417708 # DEPENDENCYPART_GRANDPAR
(3,18),(18,23),-0.59498 # DEPENDENCYPART_GRANDPAR
(3,18),(18,24),-0.667921 # DEPENDENCYPART_GRANDPAR
(3,18),(18,25),-0.893457 # DEPENDENCYPART_GRANDPAR
(3,18),(18,26),-1.40586 # DEPENDENCYPART_GRANDPAR
(3,20),(20,18),-0.359085 # DEPENDENCYPART_GRANDPAR
(3,20),(20,19),-0.172824 # DEPENDENCYPART_GRANDPAR
(3,20),(20,22),-0.155443 # DEPENDENCYPART_GRANDPAR
(3,22),(22,1),-1.10025 # DEPENDENCYPART_GRANDPAR
(3,22),(22,3),-0.221613 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,22),(22,4),1.07649 # DEPENDENCYPART_GRANDPAR
(3,22),(22,5),0.371169 # DEPENDENCYPART_GRANDPAR
(3,22),(22,6),0.386728 # DEPENDENCYPART_GRANDPAR
(3,22),(22,7),0.309411 # DEPENDENCYPART_GRANDPAR
(3,22),(22,8),0.441634 # DEPENDENCYPART_GRANDPAR
(3,22),(22,9),0.204083 # DEPENDENCYPART_GRANDPAR
(3,22),(22,10),0.565787 # DEPENDENCYPART_GRANDPAR
(3,22),(22,11),-0.110515 # DEPENDENCYPART_GRANDPAR
(3,22),(22,12),0.152066 # DEPENDENCYPART_GRANDPAR
(3,22),(22,13),0.191583 # DEPENDENCYPART_GRANDPAR
(3,22),(22,15),0.0808249 # DEPENDENCYPART_GRANDPAR
(3,22),(22,16),0.354718 # DEPENDENCYPART_GRANDPAR
(3,22),(22,17),-0.343329 # DEPENDENCYPART_GRANDPAR
(3,22),(22,18),-0.240951 # DEPENDENCYPART_GRANDPAR
(3,22),(22,19),-0.0402875 # DEPENDENCYPART_GRANDPAR
(3,22),(22,20),0.034332 # DEPENDENCYPART_GRANDPAR
(3,22),(22,21),0.224907 # DEPENDENCYPART_GRANDPAR
(3,22),(22,23),-0.194211 # DEPENDENCYPART_GRANDPAR
(3,22),(22,24),-0.273618 # DEPENDENCYPART_GRANDPAR
(3,22),(22,25),-0.611834 # DEPENDENCYPART_GRANDPAR
(3,22),(22,27),-0.0683854 # DEPENDENCYPART_GRANDPAR
(3,22),(22,28),-0.338277 # DEPENDENCYPART_GRANDPAR
(3,22),(22,29),-0.810384 # DEPENDENCYPART_GRANDPAR
(3,23),(23,21),-0.00500855 # DEPENDENCYPART_GRANDPAR
(3,23),(23,24),-0.662779 # DEPENDENCYPART_GRANDPAR
(3,23),(23,25),-0.877336 # DEPENDENCYPART_GRANDPAR
(3,23),(23,26),-1.40054 # DEPENDENCYPART_GRANDPAR
(3,23),(23,27),-0.361051 # DEPENDENCYPART_GRANDPAR
(3,23),(23,28),-0.713973 # DEPENDENCYPART_GRANDPAR
(3,23),(23,29),-0.945087 # DEPENDENCYPART_GRANDPAR
(3,28),(28,21),-0.0089676 # DEPENDENCYPART_GRANDPAR
(3,28),(28,23),-0.141544 # DEPENDENCYPART_GRANDPAR
(3,28),(28,24),-0.230262 # DEPENDENCYPART_GRANDPAR
(3,28),(28,25),-0.538838 # DEPENDENCYPART_GRANDPAR
(3,28),(28,26),-0.822625 # DEPENDENCYPART_GRANDPAR
(3,28),(28,27),-0.0212363 # DEPENDENCYPART_GRANDPAR
(3,28),(28,29),-0.941174 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.152771 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.185911 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.74048 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.386272 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.571681 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.675837 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.617159 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-0.529635 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.788961 # DEPENDENCYPART_GRANDPAR
(4,2),(2,12),-1.13697 # DEPENDENCYPART_GRANDPAR
(4,2),(2,13),-0.841512 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.897528 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-1.45363 # DEPENDENCYPART_GRANDPAR
(4,2),(2,21),-1.01576 # DEPENDENCYPART_GRANDPAR
(4,2),(2,27),-1.68539 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.219288 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.459317 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.67457 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.320357 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.505765 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.670626 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.638756 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-0.421366 # DEPENDENCYPART_GRANDPAR
(4,3),(3,10),-0.46372 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.772462 # DEPENDENCYPART_GRANDPAR
(4,3),(3,12),-1.07111 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-0.775597 # DEPENDENCYPART_GRANDPAR
(4,3),(3,14),-0.910351 # DEPENDENCYPART_GRANDPAR
(4,3),(3,15),-0.62001 # DEPENDENCYPART_GRANDPAR
(4,3),(3,16),-1.61985 # DEPENDENCYPART_GRANDPAR
(4,3),(3,17),-0.933241 # DEPENDENCYPART_GRANDPAR
(4,3),(3,18),-1.05463 # DEPENDENCYPART_GRANDPAR
(4,3),(3,20),-1.06403 # DEPENDENCYPART_GRANDPAR
(4,3),(3,22),-1.47675 # DEPENDENCYPART_GRANDPAR
(4,3),(3,23),-0.90901 # DEPENDENCYPART_GRANDPAR
(4,3),(3,28),-1.37061 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.861139 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-1.19139 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.741832 # DEPENDENCYPART_GRANDPAR
(4,5),(5,6),0.221249 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.0684925 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.0200835 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.189817 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.266761 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.0701925 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),0.0384287 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),-0.922635 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-1.1914 # DEPENDENCYPART_GRANDPAR
(4,6),(6,5),0.400298 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),0.0733043 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),0.0459451 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),0.193655 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),0.260849 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.0713324 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-1.14764 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-1.04194 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.309542 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.121755 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.870537 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-1.21042 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.751391 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-1.08091 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),0.255672 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.0535823 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-0.102856 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.0744367 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.399204 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.163263 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.218857 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),0.0990373 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),-0.0120217 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.9501 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),-0.278524 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.585421 # DEPENDENCYPART_GRANDPAR
(4,8),(8,20),-0.460704 # DEPENDENCYPART_GRANDPAR
(4,8),(8,22),-0.770236 # DEPENDENCYPART_GRANDPAR
(4,8),(8,29),-1.02429 # DEPENDENCYPART_GRANDPAR
(4,9),(9,5),0.19261 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.00480537 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.0179105 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.193349 # DEPENDENCYPART_GRANDPAR
