# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=18,0,5,5,6,10,8,10,10,11,12,18,0,15,16,17,18,19,0,
(17,3),(17,7),0.0512017 # DEPENDENCYPART_SIBL
(17,3),(17,8),0.0512136 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.0528093 # DEPENDENCYPART_SIBL
(17,3),(17,12),0.0528093 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.00397838 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.0423474 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.0528093 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.146053 # DEPENDENCYPART_SIBL
(17,4),(17,7),0.0455704 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.0455823 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.0471779 # DEPENDENCYPART_SIBL
(17,4),(17,12),0.0471779 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.00690565 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.0367161 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.0471779 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.137599 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.0489762 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.0505719 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.0505719 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.00756104 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.04011 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.0505719 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.136807 # DEPENDENCYPART_SIBL
(17,8),(17,11),0.0517861 # DEPENDENCYPART_SIBL
(17,8),(17,12),0.0517861 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.00397838 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.0413242 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.0517861 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.152487 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.0543201 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.00397838 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.0438582 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0543201 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.154808 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.00397838 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.0438582 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0543201 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.154808 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.109626 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.109626 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.149312 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0475412 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.154769 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.154808 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.144928 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.0462585 # DEPENDENCYPART_SIBL
(18,1),(18,4),-0.0303375 # DEPENDENCYPART_SIBL
(18,1),(18,5),0.0314614 # DEPENDENCYPART_SIBL
(18,1),(18,6),0.060253 # DEPENDENCYPART_SIBL
(18,1),(18,7),-0.0430874 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.0471913 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.0318467 # DEPENDENCYPART_SIBL
(18,1),(18,10),0.0314614 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.0409359 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.0409359 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.144928 # DEPENDENCYPART_SIBL
(18,1),(18,14),-0.0723215 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.0409359 # DEPENDENCYPART_SIBL
(18,1),(18,16),0.0314614 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.0441955 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0588752 # DEPENDENCYPART_SIBL
(18,2),(18,3),0.0393427 # DEPENDENCYPART_SIBL
(18,2),(18,4),0.0470743 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.135502 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.0253906 # DEPENDENCYPART_SIBL
(18,2),(18,7),0.0391156 # DEPENDENCYPART_SIBL
(18,2),(18,8),0.0369078 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.0142484 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.135502 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.0399727 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.0399727 # DEPENDENCYPART_SIBL
(18,2),(18,13),-0.232034 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.0295109 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0399727 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.135502 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.0352121 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0697988 # DEPENDENCYPART_SIBL
(18,3),(18,4),-0.0322215 # DEPENDENCYPART_SIBL
(18,3),(18,5),0.0238855 # DEPENDENCYPART_SIBL
(18,3),(18,6),0.0570907 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.0449714 # DEPENDENCYPART_SIBL
(18,3),(18,8),-0.0490753 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.0232727 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.0238855 # DEPENDENCYPART_SIBL
(18,3),(18,11),-0.04282 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.04282 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.14372 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.0742055 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.04282 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.0238855 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.0410332 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.0588808 # DEPENDENCYPART_SIBL
(18,4),(18,5),0.022208 # DEPENDENCYPART_SIBL
(18,4),(18,6),0.076214 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.0430488 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.0471527 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.0277802 # DEPENDENCYPART_SIBL
(18,4),(18,10),0.022208 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0408973 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0408973 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.140861 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.0722829 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0408973 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.022208 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.0541494 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.0588752 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.365446 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.547207 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.550406 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.508843 # DEPENDENCYPART_SIBL
(18,5),(18,10),-1.03798 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.54635 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.54635 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.439195 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.556812 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.54635 # DEPENDENCYPART_SIBL
(18,5),(18,16),-1.03798 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.352165 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.123222 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.0521958 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.0543256 # DEPENDENCYPART_SIBL
(18,6),(18,9),-0.0657069 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.0979387 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.0512614 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.0512614 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.203721 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0617233 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0512614 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.0979387 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.0350265 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.0940136 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.0478274 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.0321531 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.023815 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0415721 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.0415721 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.145234 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0729576 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0415721 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.023815 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0438888 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.0590486 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0356507 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.023268 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0495543 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0495543 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.148479 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0809399 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0495543 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.023268 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0406452 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0590244 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.00224216 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.0423298 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0423298 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.163985 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.0527917 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.0423298 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.00224216 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.026444 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.101611 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.54635 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.54635 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.439195 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.556812 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.54635 # DEPENDENCYPART_SIBL
(18,10),(18,16),-1.03798 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.352165 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.123222 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0409359 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.144928 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0723215 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0409359 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0314614 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.0441955 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0588752 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.144928 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0723215 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0409359 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.0314614 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.0441955 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0588752 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0295109 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.0399727 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.135502 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0352121 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0697988 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0612725 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0246434 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.0374166 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0588752 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0314614 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0441955 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0588752 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.352165 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.123222 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0926827 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.231754 # DEPENDENCYPART_SIBL
(19,5),(19,9),-0.352019 # DEPENDENCYPART_SIBL
(19,5),(19,10),-1.03143 # DEPENDENCYPART_SIBL
(19,5),(19,11),-0.472193 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.472193 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.25053 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.472193 # DEPENDENCYPART_SIBL
(19,5),(19,15),-0.472193 # DEPENDENCYPART_SIBL
(19,5),(19,16),-1.03143 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.227635 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.700019 # DEPENDENCYPART_SIBL
(19,6),(19,9),-0.0988524 # DEPENDENCYPART_SIBL
(19,6),(19,10),-0.101867 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.0589024 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.0589024 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.119625 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0589024 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.0589024 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.101867 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0895355 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.00663771 # DEPENDENCYPART_SIBL
(19,9),(19,10),-0.0793891 # DEPENDENCYPART_SIBL
(19,9),(19,11),-0.101818 # DEPENDENCYPART_SIBL
(19,9),(19,12),-0.101818 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.0851189 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.101818 # DEPENDENCYPART_SIBL
(19,9),(19,15),-0.101818 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.0793891 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0129503 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.0364339 # DEPENDENCYPART_SIBL
(19,10),(19,11),-0.472193 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.472193 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.25053 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.472193 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.472193 # DEPENDENCYPART_SIBL
(19,10),(19,16),-1.03143 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.227635 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.700019 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.0258927 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.065657 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.0363546 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0258927 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.0512373 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.0158793 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.0300752 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.065657 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0363546 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.0258927 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.0512373 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.0158793 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.0300752 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.0773112 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.0773112 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.168714 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.0158889 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.0242162 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.03275 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0514333 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0158009 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0298793 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0512373 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0158793 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0300752 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.227635 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.700019 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0111964 # DEPENDENCYPART_SIBL
(0,2),(2,1),-0.80018 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),-3.24919 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),-0.275967 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),-2.16699 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.464741 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-1.0019 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),-1.50978 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.953663 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),-3.28107 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.986211 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-1.50071 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.505692 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-1.0344 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-3.24919 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.275967 # DEPENDENCYPART_GRANDPAR
(0,13),(13,19),0.401263 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),-1.19836 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),0.0595167 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),-0.288303 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),-2.31245 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.199558 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),-0.71406 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),-0.297531 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.413759 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.942193 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),-3.06942 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-0.37545 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),0.172941 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.974972 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,16),-0.11144 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),0.0161205 # DEPENDENCYPART_GRANDPAR
(1,18),(18,1),-0.882128 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,18),(18,2),-0.199442 # DEPENDENCYPART_GRANDPAR
(1,18),(18,3),-0.263339 # DEPENDENCYPART_GRANDPAR
(1,18),(18,4),-0.64257 # DEPENDENCYPART_GRANDPAR
(1,18),(18,5),-0.174966 # DEPENDENCYPART_GRANDPAR
(1,18),(18,6),-0.303163 # DEPENDENCYPART_GRANDPAR
(1,18),(18,7),-0.514367 # DEPENDENCYPART_GRANDPAR
(1,18),(18,8),-0.600033 # DEPENDENCYPART_GRANDPAR
(1,18),(18,9),-0.360616 # DEPENDENCYPART_GRANDPAR
(1,18),(18,10),-0.203379 # DEPENDENCYPART_GRANDPAR
(1,18),(18,11),-0.658922 # DEPENDENCYPART_GRANDPAR
(1,18),(18,12),-0.342118 # DEPENDENCYPART_GRANDPAR
(1,18),(18,13),-0.526554 # DEPENDENCYPART_GRANDPAR
(1,18),(18,14),-0.785898 # DEPENDENCYPART_GRANDPAR
(1,18),(18,15),-0.81686 # DEPENDENCYPART_GRANDPAR
(1,18),(18,16),-0.180276 # DEPENDENCYPART_GRANDPAR
(1,18),(18,17),-0.624965 # DEPENDENCYPART_GRANDPAR
(1,18),(18,19),-0.610261 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.554323 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,18),-0.86603 # DEPENDENCYPART_GRANDPAR
(2,16),(16,1),0.165464 # DEPENDENCYPART_GRANDPAR
(2,16),(16,6),-0.480257 # DEPENDENCYPART_GRANDPAR
(2,16),(16,7),-0.555093 # DEPENDENCYPART_GRANDPAR
(2,16),(16,8),-0.779547 # DEPENDENCYPART_GRANDPAR
(2,16),(16,10),-0.478415 # DEPENDENCYPART_GRANDPAR
(2,16),(16,11),-0.867018 # DEPENDENCYPART_GRANDPAR
(2,16),(16,12),-0.966911 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),-0.250869 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-0.981614 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-1.14444 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.429341 # DEPENDENCYPART_GRANDPAR
(2,16),(16,18),-0.954114 # DEPENDENCYPART_GRANDPAR
(2,18),(18,1),0.120686 # DEPENDENCYPART_GRANDPAR
(2,18),(18,2),-0.300805 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,18),(18,3),0.0137095 # DEPENDENCYPART_GRANDPAR
(2,18),(18,4),-0.163844 # DEPENDENCYPART_GRANDPAR
(2,18),(18,5),-0.103073 # DEPENDENCYPART_GRANDPAR
(2,18),(18,6),-0.120146 # DEPENDENCYPART_GRANDPAR
(2,18),(18,7),-0.087608 # DEPENDENCYPART_GRANDPAR
(2,18),(18,8),-0.312063 # DEPENDENCYPART_GRANDPAR
(2,18),(18,9),-0.124756 # DEPENDENCYPART_GRANDPAR
(2,18),(18,10),-0.197906 # DEPENDENCYPART_GRANDPAR
(2,18),(18,11),-0.399533 # DEPENDENCYPART_GRANDPAR
(2,18),(18,12),-0.499426 # DEPENDENCYPART_GRANDPAR
(2,18),(18,13),-0.0171927 # DEPENDENCYPART_GRANDPAR
(2,18),(18,14),-0.51413 # DEPENDENCYPART_GRANDPAR
(2,18),(18,15),-0.676953 # DEPENDENCYPART_GRANDPAR
(2,18),(18,16),-0.384956 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.211738 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-0.521052 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.363373 # DEPENDENCYPART_GRANDPAR
(3,1),(1,18),-0.334505 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.162206 # DEPENDENCYPART_GRANDPAR
(3,2),(2,16),-0.305663 # DEPENDENCYPART_GRANDPAR
(3,2),(2,18),-0.420989 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.265787 # DEPENDENCYPART_GRANDPAR
(4,1),(1,18),-0.360028 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.203382 # DEPENDENCYPART_GRANDPAR
(4,2),(2,16),-0.270736 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-0.446512 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.224967 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.108601 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.36908 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.115841 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.408006 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.786878 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,7),-0.126294 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.0814115 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.11135 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.279414 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),0.123104 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.00119473 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.114808 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),0.15765 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.389139 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),-0.161784 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.266664 # DEPENDENCYPART_GRANDPAR
(5,1),(1,18),-0.66005 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.057824 # DEPENDENCYPART_GRANDPAR
(5,2),(2,16),-0.311961 # DEPENDENCYPART_GRANDPAR
(5,2),(2,18),-0.642736 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.0257184 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.0192379 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.0115461 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.0187829 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),0.0867515 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-0.572179 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,3),-0.305451 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.330511 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.389184 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),-0.048592 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.27546 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.0402546 # DEPENDENCYPART_GRANDPAR
(5,7),(7,18),-0.470934 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-0.161281 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),-0.305451 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-0.330511 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.389184 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),-0.048592 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),-0.199964 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.0535903 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.161668 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.0942594 # DEPENDENCYPART_GRANDPAR
(5,8),(8,18),-0.488241 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),-0.142914 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),-0.0536431 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),-0.0787517 # DEPENDENCYPART_GRANDPAR
