# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,8,5,8,8,8,9,23,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,28,26,0,33,31,33,33,34,0,
(9,8),(8,4),0.458451 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),0.483205 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),0.529099 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),0.346039 # DEPENDENCYPART_GRANDPAR
(9,8),(8,26),-0.16569 # DEPENDENCYPART_GRANDPAR
(9,8),(8,30),-0.260962 # DEPENDENCYPART_GRANDPAR
(10,5),(5,1),-0.0681933 # DEPENDENCYPART_GRANDPAR
(10,5),(5,2),-0.00431725 # DEPENDENCYPART_GRANDPAR
(10,5),(5,3),-0.190814 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),-0.120658 # DEPENDENCYPART_GRANDPAR
(10,5),(5,6),-0.0887008 # DEPENDENCYPART_GRANDPAR
(10,5),(5,7),0.122974 # DEPENDENCYPART_GRANDPAR
(10,5),(5,18),-0.519624 # DEPENDENCYPART_GRANDPAR
(10,7),(7,1),-0.377757 # DEPENDENCYPART_GRANDPAR
(10,7),(7,2),-0.187946 # DEPENDENCYPART_GRANDPAR
(10,7),(7,3),-0.490774 # DEPENDENCYPART_GRANDPAR
(10,7),(7,4),-0.420272 # DEPENDENCYPART_GRANDPAR
(10,7),(7,5),-0.394962 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),-0.210806 # DEPENDENCYPART_GRANDPAR
(10,7),(7,20),-0.601333 # DEPENDENCYPART_GRANDPAR
(10,7),(7,21),-0.657445 # DEPENDENCYPART_GRANDPAR
(10,7),(7,26),-0.474295 # DEPENDENCYPART_GRANDPAR
(10,7),(7,30),-0.427186 # DEPENDENCYPART_GRANDPAR
(10,8),(8,1),-0.377757 # DEPENDENCYPART_GRANDPAR
(10,8),(8,2),-0.187946 # DEPENDENCYPART_GRANDPAR
(10,8),(8,3),-0.490774 # DEPENDENCYPART_GRANDPAR
(10,8),(8,4),-0.420272 # DEPENDENCYPART_GRANDPAR
(10,8),(8,5),-0.394962 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),-0.210806 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),-0.222085 # DEPENDENCYPART_GRANDPAR
(10,8),(8,26),-0.474295 # DEPENDENCYPART_GRANDPAR
(10,8),(8,30),-0.427186 # DEPENDENCYPART_GRANDPAR
(10,9),(9,1),-0.231677 # DEPENDENCYPART_GRANDPAR
(10,9),(9,3),-0.350493 # DEPENDENCYPART_GRANDPAR
(10,9),(9,4),-0.281134 # DEPENDENCYPART_GRANDPAR
(10,9),(9,5),-0.240165 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),-0.0628836 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),0.0068295 # DEPENDENCYPART_GRANDPAR
(10,21),(21,1),-0.275008 # DEPENDENCYPART_GRANDPAR
(10,21),(21,2),-0.210014 # DEPENDENCYPART_GRANDPAR
(10,21),(21,3),-0.39324 # DEPENDENCYPART_GRANDPAR
(10,21),(21,4),-0.33438 # DEPENDENCYPART_GRANDPAR
(10,21),(21,5),-0.288629 # DEPENDENCYPART_GRANDPAR
(10,21),(21,6),-0.190688 # DEPENDENCYPART_GRANDPAR
(10,21),(21,7),-0.268113 # DEPENDENCYPART_GRANDPAR
(10,21),(21,8),-0.329165 # DEPENDENCYPART_GRANDPAR
(10,21),(21,9),0.161567 # DEPENDENCYPART_GRANDPAR
(10,21),(21,10),-0.509012 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,21),(21,11),-0.452884 # DEPENDENCYPART_GRANDPAR
(10,21),(21,12),-0.210409 # DEPENDENCYPART_GRANDPAR
(10,21),(21,13),-0.580211 # DEPENDENCYPART_GRANDPAR
(10,21),(21,14),-0.249999 # DEPENDENCYPART_GRANDPAR
(10,21),(21,15),-0.471657 # DEPENDENCYPART_GRANDPAR
(10,21),(21,16),-0.483484 # DEPENDENCYPART_GRANDPAR
(10,21),(21,17),-0.358492 # DEPENDENCYPART_GRANDPAR
(10,21),(21,18),-0.54301 # DEPENDENCYPART_GRANDPAR
(10,21),(21,19),-0.726393 # DEPENDENCYPART_GRANDPAR
(10,21),(21,20),-0.614135 # DEPENDENCYPART_GRANDPAR
(10,21),(21,22),-0.765464 # DEPENDENCYPART_GRANDPAR
(10,21),(21,23),-0.738318 # DEPENDENCYPART_GRANDPAR
(10,21),(21,26),-0.419104 # DEPENDENCYPART_GRANDPAR
(10,21),(21,28),-0.341732 # DEPENDENCYPART_GRANDPAR
(10,21),(21,30),-0.440981 # DEPENDENCYPART_GRANDPAR
(10,21),(21,31),-0.803185 # DEPENDENCYPART_GRANDPAR
(10,33),(33,1),-0.318705 # DEPENDENCYPART_GRANDPAR
(10,33),(33,2),-0.197485 # DEPENDENCYPART_GRANDPAR
(10,33),(33,3),-0.436937 # DEPENDENCYPART_GRANDPAR
(10,33),(33,4),-0.378078 # DEPENDENCYPART_GRANDPAR
(10,33),(33,5),-0.332327 # DEPENDENCYPART_GRANDPAR
(10,33),(33,6),-0.204871 # DEPENDENCYPART_GRANDPAR
(10,33),(33,7),-0.254004 # DEPENDENCYPART_GRANDPAR
(10,33),(33,8),-0.315057 # DEPENDENCYPART_GRANDPAR
(10,33),(33,9),0.144162 # DEPENDENCYPART_GRANDPAR
(10,33),(33,10),-0.277963 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,33),(33,11),0.0109932 # DEPENDENCYPART_GRANDPAR
(10,33),(33,13),-0.116335 # DEPENDENCYPART_GRANDPAR
(10,33),(33,14),-0.0199269 # DEPENDENCYPART_GRANDPAR
(10,33),(33,15),-0.126228 # DEPENDENCYPART_GRANDPAR
(10,33),(33,16),-0.138348 # DEPENDENCYPART_GRANDPAR
(10,33),(33,17),-0.115174 # DEPENDENCYPART_GRANDPAR
(10,33),(33,19),-0.262517 # DEPENDENCYPART_GRANDPAR
(10,33),(33,20),-0.336472 # DEPENDENCYPART_GRANDPAR
(10,33),(33,21),-0.392583 # DEPENDENCYPART_GRANDPAR
(10,33),(33,22),-0.415373 # DEPENDENCYPART_GRANDPAR
(10,33),(33,23),-0.519484 # DEPENDENCYPART_GRANDPAR
(10,33),(33,24),-0.312185 # DEPENDENCYPART_GRANDPAR
(10,33),(33,25),-0.570964 # DEPENDENCYPART_GRANDPAR
(10,33),(33,26),-0.168394 # DEPENDENCYPART_GRANDPAR
(10,33),(33,27),-0.170144 # DEPENDENCYPART_GRANDPAR
(10,33),(33,28),-0.184176 # DEPENDENCYPART_GRANDPAR
(10,33),(33,29),-0.463347 # DEPENDENCYPART_GRANDPAR
(10,33),(33,30),-0.111645 # DEPENDENCYPART_GRANDPAR
(10,33),(33,31),-0.4537 # DEPENDENCYPART_GRANDPAR
(10,33),(33,32),-0.260641 # DEPENDENCYPART_GRANDPAR
(11,8),(8,1),-0.353948 # DEPENDENCYPART_GRANDPAR
(11,8),(8,2),-0.450507 # DEPENDENCYPART_GRANDPAR
(11,8),(8,3),-0.425514 # DEPENDENCYPART_GRANDPAR
(11,8),(8,4),-0.504833 # DEPENDENCYPART_GRANDPAR
(11,8),(8,5),-0.520774 # DEPENDENCYPART_GRANDPAR
(11,8),(8,6),-0.119297 # DEPENDENCYPART_GRANDPAR
(11,8),(8,7),-0.225543 # DEPENDENCYPART_GRANDPAR
(11,8),(8,26),-0.50213 # DEPENDENCYPART_GRANDPAR
(11,8),(8,30),-0.513977 # DEPENDENCYPART_GRANDPAR
(11,10),(10,5),-0.162843 # DEPENDENCYPART_GRANDPAR
(11,10),(10,7),-0.403462 # DEPENDENCYPART_GRANDPAR
(11,10),(10,8),0.0187463 # DEPENDENCYPART_GRANDPAR
(11,10),(10,9),-0.119956 # DEPENDENCYPART_GRANDPAR
(11,10),(10,21),-0.554665 # DEPENDENCYPART_GRANDPAR
(11,10),(10,33),-0.7538 # DEPENDENCYPART_GRANDPAR
(11,12),(12,7),-0.538072 # DEPENDENCYPART_GRANDPAR
(11,12),(12,8),-0.115863 # DEPENDENCYPART_GRANDPAR
(11,12),(12,9),-0.259714 # DEPENDENCYPART_GRANDPAR
(11,12),(12,10),-0.191827 # DEPENDENCYPART_GRANDPAR
(11,12),(12,11),-0.474624 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,18),(18,17),-0.268352 # DEPENDENCYPART_GRANDPAR
(12,7),(7,1),-0.56537 # DEPENDENCYPART_GRANDPAR
(12,7),(7,2),-0.353044 # DEPENDENCYPART_GRANDPAR
(12,7),(7,3),-0.618998 # DEPENDENCYPART_GRANDPAR
(12,7),(7,4),-0.576044 # DEPENDENCYPART_GRANDPAR
(12,7),(7,5),-0.374327 # DEPENDENCYPART_GRANDPAR
(12,7),(7,6),-0.347708 # DEPENDENCYPART_GRANDPAR
(12,7),(7,20),-0.485766 # DEPENDENCYPART_GRANDPAR
(12,7),(7,21),-0.448779 # DEPENDENCYPART_GRANDPAR
(12,7),(7,26),-0.406065 # DEPENDENCYPART_GRANDPAR
(12,7),(7,30),-0.383516 # DEPENDENCYPART_GRANDPAR
(12,8),(8,1),-0.56537 # DEPENDENCYPART_GRANDPAR
(12,8),(8,2),-0.353044 # DEPENDENCYPART_GRANDPAR
(12,8),(8,3),-0.618998 # DEPENDENCYPART_GRANDPAR
(12,8),(8,4),-0.576044 # DEPENDENCYPART_GRANDPAR
(12,8),(8,5),-0.374327 # DEPENDENCYPART_GRANDPAR
(12,8),(8,6),-0.347708 # DEPENDENCYPART_GRANDPAR
(12,8),(8,7),0.0155241 # DEPENDENCYPART_GRANDPAR
(12,8),(8,26),-0.406065 # DEPENDENCYPART_GRANDPAR
(12,8),(8,30),-0.383516 # DEPENDENCYPART_GRANDPAR
(12,9),(9,1),-0.526916 # DEPENDENCYPART_GRANDPAR
(12,9),(9,3),-0.586908 # DEPENDENCYPART_GRANDPAR
(12,9),(9,4),-0.531651 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),-0.322025 # DEPENDENCYPART_GRANDPAR
(12,9),(9,6),-0.317696 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),0.193788 # DEPENDENCYPART_GRANDPAR
(12,10),(10,5),-0.144279 # DEPENDENCYPART_GRANDPAR
(12,10),(10,7),-0.180302 # DEPENDENCYPART_GRANDPAR
(12,10),(10,8),-0.0868291 # DEPENDENCYPART_GRANDPAR
(12,10),(10,9),0.0503495 # DEPENDENCYPART_GRANDPAR
(12,10),(10,21),-0.44404 # DEPENDENCYPART_GRANDPAR
(12,10),(10,33),-0.397829 # DEPENDENCYPART_GRANDPAR
(12,11),(11,8),-0.0140854 # DEPENDENCYPART_GRANDPAR
(12,11),(11,10),-0.0825571 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-0.572648 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,18),-0.398595 # DEPENDENCYPART_GRANDPAR
(13,5),(5,1),-0.439132 # DEPENDENCYPART_GRANDPAR
(13,5),(5,2),-0.208227 # DEPENDENCYPART_GRANDPAR
(13,5),(5,3),-0.260523 # DEPENDENCYPART_GRANDPAR
(13,5),(5,4),-0.304425 # DEPENDENCYPART_GRANDPAR
(13,5),(5,6),-0.254158 # DEPENDENCYPART_GRANDPAR
(13,5),(5,7),-0.506638 # DEPENDENCYPART_GRANDPAR
(13,5),(5,18),-0.0422009 # DEPENDENCYPART_GRANDPAR
(13,6),(6,3),-0.275219 # DEPENDENCYPART_GRANDPAR
(13,6),(6,4),-0.316706 # DEPENDENCYPART_GRANDPAR
(13,6),(6,5),-0.0279394 # DEPENDENCYPART_GRANDPAR
(13,7),(7,1),-0.389448 # DEPENDENCYPART_GRANDPAR
(13,7),(7,2),-0.178318 # DEPENDENCYPART_GRANDPAR
(13,7),(7,3),-0.201435 # DEPENDENCYPART_GRANDPAR
(13,7),(7,4),-0.25246 # DEPENDENCYPART_GRANDPAR
(13,7),(7,5),0.0207842 # DEPENDENCYPART_GRANDPAR
(13,7),(7,6),-0.164181 # DEPENDENCYPART_GRANDPAR
(13,7),(7,20),-0.236613 # DEPENDENCYPART_GRANDPAR
(13,7),(7,21),-0.211475 # DEPENDENCYPART_GRANDPAR
(13,7),(7,26),-0.131915 # DEPENDENCYPART_GRANDPAR
(13,7),(7,30),-0.114117 # DEPENDENCYPART_GRANDPAR
(13,8),(8,1),-0.389448 # DEPENDENCYPART_GRANDPAR
(13,8),(8,2),-0.178318 # DEPENDENCYPART_GRANDPAR
(13,8),(8,3),-0.201435 # DEPENDENCYPART_GRANDPAR
(13,8),(8,4),-0.25246 # DEPENDENCYPART_GRANDPAR
(13,8),(8,5),0.0207842 # DEPENDENCYPART_GRANDPAR
(13,8),(8,6),-0.164181 # DEPENDENCYPART_GRANDPAR
(13,8),(8,7),-0.356974 # DEPENDENCYPART_GRANDPAR
(13,8),(8,26),-0.131915 # DEPENDENCYPART_GRANDPAR
(13,8),(8,30),-0.114117 # DEPENDENCYPART_GRANDPAR
(13,9),(9,1),-0.456868 # DEPENDENCYPART_GRANDPAR
(13,9),(9,3),-0.275219 # DEPENDENCYPART_GRANDPAR
(13,9),(9,4),-0.316706 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),-0.0279394 # DEPENDENCYPART_GRANDPAR
(13,9),(9,6),-0.177515 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),-0.0334556 # DEPENDENCYPART_GRANDPAR
(13,10),(10,5),0.378736 # DEPENDENCYPART_GRANDPAR
(13,10),(10,7),-0.534883 # DEPENDENCYPART_GRANDPAR
(13,10),(10,8),-0.238501 # DEPENDENCYPART_GRANDPAR
(13,10),(10,9),-0.254136 # DEPENDENCYPART_GRANDPAR
(13,10),(10,21),-0.312031 # DEPENDENCYPART_GRANDPAR
(13,10),(10,33),-0.574636 # DEPENDENCYPART_GRANDPAR
(13,11),(11,8),-0.11903 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),-0.317509 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),-0.110947 # DEPENDENCYPART_GRANDPAR
(13,11),(11,18),-0.0422009 # DEPENDENCYPART_GRANDPAR
(13,12),(12,7),-0.175758 # DEPENDENCYPART_GRANDPAR
(13,12),(12,8),0.120624 # DEPENDENCYPART_GRANDPAR
(13,12),(12,9),-0.322162 # DEPENDENCYPART_GRANDPAR
(13,12),(12,10),-0.113946 # DEPENDENCYPART_GRANDPAR
(13,12),(12,11),0.371471 # DEPENDENCYPART_GRANDPAR
(13,15),(15,12),-0.28699 # DEPENDENCYPART_GRANDPAR
(13,15),(15,13),-0.340244 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,15),(15,14),-0.0361387 # DEPENDENCYPART_GRANDPAR
(13,15),(15,16),0.150245 # DEPENDENCYPART_GRANDPAR
(14,6),(6,3),-0.292942 # DEPENDENCYPART_GRANDPAR
(14,6),(6,4),-0.329197 # DEPENDENCYPART_GRANDPAR
(14,6),(6,5),-0.370089 # DEPENDENCYPART_GRANDPAR
(14,9),(9,1),-0.35007 # DEPENDENCYPART_GRANDPAR
(14,9),(9,3),-0.292942 # DEPENDENCYPART_GRANDPAR
(14,9),(9,4),-0.329197 # DEPENDENCYPART_GRANDPAR
(14,9),(9,5),-0.370089 # DEPENDENCYPART_GRANDPAR
(14,9),(9,6),-0.151276 # DEPENDENCYPART_GRANDPAR
(14,9),(9,8),-0.0951818 # DEPENDENCYPART_GRANDPAR
(14,10),(10,5),-0.300363 # DEPENDENCYPART_GRANDPAR
(14,10),(10,7),-0.277023 # DEPENDENCYPART_GRANDPAR
(14,10),(10,8),-0.247192 # DEPENDENCYPART_GRANDPAR
(14,10),(10,9),0.0219275 # DEPENDENCYPART_GRANDPAR
(14,10),(10,21),-0.342578 # DEPENDENCYPART_GRANDPAR
(14,10),(10,33),-0.202506 # DEPENDENCYPART_GRANDPAR
(14,11),(11,8),-0.109046 # DEPENDENCYPART_GRANDPAR
(14,11),(11,10),-0.0625797 # DEPENDENCYPART_GRANDPAR
(14,11),(11,12),0.258263 # DEPENDENCYPART_GRANDPAR
(14,11),(11,18),-0.34132 # DEPENDENCYPART_GRANDPAR
(14,12),(12,7),-0.121757 # DEPENDENCYPART_GRANDPAR
(14,12),(12,8),-0.0919255 # DEPENDENCYPART_GRANDPAR
(14,12),(12,9),-0.0944239 # DEPENDENCYPART_GRANDPAR
(14,12),(12,10),-0.0814526 # DEPENDENCYPART_GRANDPAR
(14,12),(12,11),-0.198764 # DEPENDENCYPART_GRANDPAR
(14,13),(13,5),-0.225278 # DEPENDENCYPART_GRANDPAR
(14,13),(13,6),-0.146542 # DEPENDENCYPART_GRANDPAR
(14,13),(13,7),-0.138877 # DEPENDENCYPART_GRANDPAR
(14,13),(13,8),-0.109046 # DEPENDENCYPART_GRANDPAR
(14,13),(13,9),-0.0324244 # DEPENDENCYPART_GRANDPAR
(14,13),(13,10),-0.0625797 # DEPENDENCYPART_GRANDPAR
(14,13),(13,11),0.0429575 # DEPENDENCYPART_GRANDPAR
(14,13),(13,12),0.431703 # DEPENDENCYPART_GRANDPAR
(14,13),(13,15),-0.279732 # DEPENDENCYPART_GRANDPAR
(15,12),(12,7),-0.533215 # DEPENDENCYPART_GRANDPAR
(15,12),(12,8),-0.584007 # DEPENDENCYPART_GRANDPAR
(15,12),(12,9),-0.172345 # DEPENDENCYPART_GRANDPAR
(15,12),(12,10),-0.355766 # DEPENDENCYPART_GRANDPAR
(15,12),(12,11),-0.540073 # DEPENDENCYPART_GRANDPAR
(15,13),(13,5),-0.978131 # DEPENDENCYPART_GRANDPAR
(15,13),(13,6),-0.356623 # DEPENDENCYPART_GRANDPAR
(15,13),(13,7),-0.719864 # DEPENDENCYPART_GRANDPAR
(15,13),(13,8),-0.770656 # DEPENDENCYPART_GRANDPAR
(15,13),(13,9),-0.276869 # DEPENDENCYPART_GRANDPAR
(15,13),(13,10),-0.476913 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),-0.606413 # DEPENDENCYPART_GRANDPAR
(15,13),(13,12),-0.270676 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-0.512156 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,6),-0.294967 # DEPENDENCYPART_GRANDPAR
(15,14),(14,9),-0.215827 # DEPENDENCYPART_GRANDPAR
(15,14),(14,10),-0.50093 # DEPENDENCYPART_GRANDPAR
(15,14),(14,11),-0.638437 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),-0.377674 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),-0.627455 # DEPENDENCYPART_GRANDPAR
(15,16),(16,9),-0.435585 # DEPENDENCYPART_GRANDPAR
(15,16),(16,13),-0.751072 # DEPENDENCYPART_GRANDPAR
(15,16),(16,14),-0.239027 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-0.429372 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,9),(9,1),-0.920124 # DEPENDENCYPART_GRANDPAR
(16,9),(9,3),-0.783637 # DEPENDENCYPART_GRANDPAR
(16,9),(9,4),-0.764577 # DEPENDENCYPART_GRANDPAR
(16,9),(9,5),-0.827367 # DEPENDENCYPART_GRANDPAR
(16,9),(9,6),-0.361168 # DEPENDENCYPART_GRANDPAR
(16,9),(9,8),-0.775781 # DEPENDENCYPART_GRANDPAR
(16,13),(13,5),-0.774813 # DEPENDENCYPART_GRANDPAR
(16,13),(13,6),-0.39443 # DEPENDENCYPART_GRANDPAR
(16,13),(13,7),-0.717709 # DEPENDENCYPART_GRANDPAR
(16,13),(13,8),-0.781616 # DEPENDENCYPART_GRANDPAR
(16,13),(13,9),-0.335734 # DEPENDENCYPART_GRANDPAR
(16,13),(13,10),-0.502842 # DEPENDENCYPART_GRANDPAR
(16,13),(13,11),-0.430071 # DEPENDENCYPART_GRANDPAR
(16,13),(13,12),-0.170841 # DEPENDENCYPART_GRANDPAR
(16,13),(13,15),-0.154969 # DEPENDENCYPART_GRANDPAR
(16,14),(14,6),-0.362614 # DEPENDENCYPART_GRANDPAR
(16,14),(14,9),-0.304531 # DEPENDENCYPART_GRANDPAR
(16,14),(14,10),-0.560234 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),-0.515729 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),-0.326973 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),-0.421478 # DEPENDENCYPART_GRANDPAR
(16,15),(15,12),-0.1845 # DEPENDENCYPART_GRANDPAR
(16,15),(15,13),-0.419764 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),-0.160343 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-0.488249 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,7),(7,1),-0.647946 # DEPENDENCYPART_GRANDPAR
(17,7),(7,2),-0.238032 # DEPENDENCYPART_GRANDPAR
(17,7),(7,3),-0.541416 # DEPENDENCYPART_GRANDPAR
(17,7),(7,4),-0.575956 # DEPENDENCYPART_GRANDPAR
(17,7),(7,5),-0.512067 # DEPENDENCYPART_GRANDPAR
(17,7),(7,6),-0.244501 # DEPENDENCYPART_GRANDPAR
(17,7),(7,20),-0.282822 # DEPENDENCYPART_GRANDPAR
(17,7),(7,21),-0.215251 # DEPENDENCYPART_GRANDPAR
(17,7),(7,26),-0.25611 # DEPENDENCYPART_GRANDPAR
(17,7),(7,30),-0.313454 # DEPENDENCYPART_GRANDPAR
(17,8),(8,1),-0.647946 # DEPENDENCYPART_GRANDPAR
(17,8),(8,2),-0.238032 # DEPENDENCYPART_GRANDPAR
(17,8),(8,3),-0.541416 # DEPENDENCYPART_GRANDPAR
(17,8),(8,4),-0.575956 # DEPENDENCYPART_GRANDPAR
(17,8),(8,5),-0.512067 # DEPENDENCYPART_GRANDPAR
(17,8),(8,6),-0.244501 # DEPENDENCYPART_GRANDPAR
(17,8),(8,7),-0.0282849 # DEPENDENCYPART_GRANDPAR
(17,8),(8,26),-0.25611 # DEPENDENCYPART_GRANDPAR
(17,8),(8,30),-0.313454 # DEPENDENCYPART_GRANDPAR
(17,10),(10,5),-0.538424 # DEPENDENCYPART_GRANDPAR
(17,10),(10,7),-0.189592 # DEPENDENCYPART_GRANDPAR
(17,10),(10,8),-0.238278 # DEPENDENCYPART_GRANDPAR
(17,10),(10,9),-0.206689 # DEPENDENCYPART_GRANDPAR
(17,10),(10,21),-0.191147 # DEPENDENCYPART_GRANDPAR
(17,10),(10,33),-0.382795 # DEPENDENCYPART_GRANDPAR
(17,13),(13,5),-0.576076 # DEPENDENCYPART_GRANDPAR
(17,13),(13,6),-0.335684 # DEPENDENCYPART_GRANDPAR
(17,13),(13,7),-0.0663636 # DEPENDENCYPART_GRANDPAR
(17,13),(13,8),-0.115049 # DEPENDENCYPART_GRANDPAR
(17,13),(13,9),-0.26912 # DEPENDENCYPART_GRANDPAR
(17,13),(13,10),-0.371973 # DEPENDENCYPART_GRANDPAR
(17,13),(13,11),-0.373603 # DEPENDENCYPART_GRANDPAR
(17,13),(13,12),0.00105961 # DEPENDENCYPART_GRANDPAR
(17,13),(13,15),-0.0630587 # DEPENDENCYPART_GRANDPAR
(17,14),(14,6),-0.335076 # DEPENDENCYPART_GRANDPAR
(17,14),(14,9),-0.269125 # DEPENDENCYPART_GRANDPAR
(17,14),(14,10),-0.464697 # DEPENDENCYPART_GRANDPAR
(17,14),(14,11),-0.43703 # DEPENDENCYPART_GRANDPAR
(17,14),(14,12),-0.0215671 # DEPENDENCYPART_GRANDPAR
(17,14),(14,13),-0.228717 # DEPENDENCYPART_GRANDPAR
(17,15),(15,12),0.129539 # DEPENDENCYPART_GRANDPAR
(17,15),(15,13),-0.265886 # DEPENDENCYPART_GRANDPAR
(17,15),(15,14),-0.0978179 # DEPENDENCYPART_GRANDPAR
(17,15),(15,16),0.00506181 # DEPENDENCYPART_GRANDPAR
(17,16),(16,9),-0.235869 # DEPENDENCYPART_GRANDPAR
(17,16),(16,13),-0.167453 # DEPENDENCYPART_GRANDPAR
(17,16),(16,14),-0.0742263 # DEPENDENCYPART_GRANDPAR
(17,16),(16,15),0.176407 # DEPENDENCYPART_GRANDPAR
(17,19),(19,10),-0.612854 # DEPENDENCYPART_GRANDPAR
(17,19),(19,11),-0.677001 # DEPENDENCYPART_GRANDPAR
(17,19),(19,12),-0.163172 # DEPENDENCYPART_GRANDPAR
(17,19),(19,13),-0.470436 # DEPENDENCYPART_GRANDPAR
(17,19),(19,14),-0.246311 # DEPENDENCYPART_GRANDPAR
(17,19),(19,15),-0.124931 # DEPENDENCYPART_GRANDPAR
(17,19),(19,16),-0.0474558 # DEPENDENCYPART_GRANDPAR
(17,19),(19,17),-0.293781 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,19),(19,18),-0.208386 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),-0.0173546 # DEPENDENCYPART_GRANDPAR
(17,19),(19,21),0.0502165 # DEPENDENCYPART_GRANDPAR
(17,29),(29,22),-0.0777586 # DEPENDENCYPART_GRANDPAR
(17,29),(29,23),0.0476324 # DEPENDENCYPART_GRANDPAR
(17,29),(29,24),-0.147119 # DEPENDENCYPART_GRANDPAR
(17,29),(29,25),-0.217916 # DEPENDENCYPART_GRANDPAR
(17,29),(29,26),-0.161554 # DEPENDENCYPART_GRANDPAR
(17,29),(29,27),0.0465916 # DEPENDENCYPART_GRANDPAR
(17,29),(29,28),-0.271173 # DEPENDENCYPART_GRANDPAR
(17,29),(29,31),-0.0757176 # DEPENDENCYPART_GRANDPAR
(17,29),(29,32),-0.120205 # DEPENDENCYPART_GRANDPAR
(17,31),(31,22),-0.0777409 # DEPENDENCYPART_GRANDPAR
(17,31),(31,24),-0.147083 # DEPENDENCYPART_GRANDPAR
(17,31),(31,25),-0.217899 # DEPENDENCYPART_GRANDPAR
(17,31),(31,27),0.0486611 # DEPENDENCYPART_GRANDPAR
(17,31),(31,28),-0.27117 # DEPENDENCYPART_GRANDPAR
(17,31),(31,29),-0.194622 # DEPENDENCYPART_GRANDPAR
(17,31),(31,30),-0.215865 # DEPENDENCYPART_GRANDPAR
(17,31),(31,32),-0.115831 # DEPENDENCYPART_GRANDPAR
(18,17),(17,7),-0.298412 # DEPENDENCYPART_GRANDPAR
(18,17),(17,8),-0.378421 # DEPENDENCYPART_GRANDPAR
(18,17),(17,10),-0.354859 # DEPENDENCYPART_GRANDPAR
(18,17),(17,13),-0.129494 # DEPENDENCYPART_GRANDPAR
(18,17),(17,14),-0.0795135 # DEPENDENCYPART_GRANDPAR
(18,17),(17,15),0.0936755 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),0.0829796 # DEPENDENCYPART_GRANDPAR
(18,17),(17,19),-0.256809 # DEPENDENCYPART_GRANDPAR
(18,17),(17,29),-0.427535 # DEPENDENCYPART_GRANDPAR
(18,17),(17,31),-0.478316 # DEPENDENCYPART_GRANDPAR
(19,10),(10,5),0.259715 # DEPENDENCYPART_GRANDPAR
(19,10),(10,7),-0.272519 # DEPENDENCYPART_GRANDPAR
(19,10),(10,8),-0.0598409 # DEPENDENCYPART_GRANDPAR
(19,10),(10,9),-0.0974458 # DEPENDENCYPART_GRANDPAR
(19,10),(10,21),-0.529208 # DEPENDENCYPART_GRANDPAR
