# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,4,19,0,12,6,13,10,12,12,13,14,19,19,15,18,19,20,0,
(19,4),(19,18),-0.0378369 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.115103 # DEPENDENCYPART_SIBL
(19,5),(19,6),0.0250789 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.0995396 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.054526 # DEPENDENCYPART_SIBL
(19,5),(19,9),-0.0150277 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.0213449 # DEPENDENCYPART_SIBL
(19,5),(19,11),-0.0241868 # DEPENDENCYPART_SIBL
(19,5),(19,12),0.00736806 # DEPENDENCYPART_SIBL
(19,5),(19,13),0.106229 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.241759 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.0618782 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.0918802 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.220887 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.010166 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0680033 # DEPENDENCYPART_SIBL
(19,6),(19,7),-0.10649 # DEPENDENCYPART_SIBL
(19,6),(19,8),-0.0253878 # DEPENDENCYPART_SIBL
(19,6),(19,9),-0.0846672 # DEPENDENCYPART_SIBL
(19,6),(19,10),-0.0405529 # DEPENDENCYPART_SIBL
(19,6),(19,11),0.0215034 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.104664 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.0392203 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.239368 # DEPENDENCYPART_SIBL
(19,6),(19,15),-0.0438334 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.110416 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0434597 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.101866 # DEPENDENCYPART_SIBL
(19,6),(19,20),-0.123461 # DEPENDENCYPART_SIBL
(19,7),(19,8),0.00320122 # DEPENDENCYPART_SIBL
(19,7),(19,9),-0.0416974 # DEPENDENCYPART_SIBL
(19,7),(19,10),-0.0251697 # DEPENDENCYPART_SIBL
(19,7),(19,11),-0.0616815 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.0618455 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.0209121 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.101074 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.0123802 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.132251 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.0976882 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.0590476 # DEPENDENCYPART_SIBL
(19,7),(19,20),-0.121592 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.0613855 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.0172612 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.0224486 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.0626409 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0168919 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.211458 # DEPENDENCYPART_SIBL
(19,8),(19,15),-0.0245784 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.0941519 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.00504399 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.059843 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.120511 # DEPENDENCYPART_SIBL
(19,9),(19,10),-0.0685469 # DEPENDENCYPART_SIBL
(19,9),(19,11),-0.0513186 # DEPENDENCYPART_SIBL
(19,9),(19,12),-0.10402 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.0334985 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.216475 # DEPENDENCYPART_SIBL
(19,9),(19,15),-0.0132941 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.171323 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0950034 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.101222 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.105163 # DEPENDENCYPART_SIBL
(19,10),(19,11),0.134538 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.0756009 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.0158796 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.166543 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.0090107 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.0837581 # DEPENDENCYPART_SIBL
(19,10),(19,17),0.0187829 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.072803 # DEPENDENCYPART_SIBL
(19,10),(19,20),-0.103024 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.0245508 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.187773 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.184885 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0926982 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.156199 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.0531346 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0217528 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.100779 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.0242985 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.14785 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.057889 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.113621 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.00291034 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.0411264 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.071472 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.170371 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.0265018 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.0575927 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.102941 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.0148115 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0907017 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.0618782 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0918802 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.220887 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.010166 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0680033 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.0893307 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0141142 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0509426 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.119038 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.115825 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0835149 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.125099 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.609437 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.134127 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.071472 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.13308 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0072508 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.145722 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.150989 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0853361 # DEPENDENCYPART_SIBL
(20,1),(20,9),-0.129804 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0223052 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.171615 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.10428 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.00692294 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.0546054 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0960537 # DEPENDENCYPART_SIBL
(20,1),(20,16),-0.125459 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.13308 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.127306 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.0092066 # DEPENDENCYPART_SIBL
(20,2),(20,3),-0.303801 # DEPENDENCYPART_SIBL
(20,2),(20,4),-0.007063 # DEPENDENCYPART_SIBL
(20,2),(20,7),0.00147398 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.108461 # DEPENDENCYPART_SIBL
(20,2),(20,9),-0.105674 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.209853 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.0411815 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.298094 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.303473 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.115627 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.114205 # DEPENDENCYPART_SIBL
(20,2),(20,16),0.0163585 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.518335 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.321121 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.297021 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.0338956 # DEPENDENCYPART_SIBL
(20,3),(20,7),-0.0156192 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.242509 # DEPENDENCYPART_SIBL
(20,3),(20,9),-0.143009 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.189216 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.193047 # DEPENDENCYPART_SIBL
(20,3),(20,12),-0.197897 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.438006 # DEPENDENCYPART_SIBL
(20,3),(20,14),-0.220086 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.264567 # DEPENDENCYPART_SIBL
(20,3),(20,16),0.000373882 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.258061 # DEPENDENCYPART_SIBL
(20,3),(20,18),-0.254456 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.431554 # DEPENDENCYPART_SIBL
(20,4),(20,7),-0.121801 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.0752652 # DEPENDENCYPART_SIBL
(20,4),(20,9),-0.114271 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.049444 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.139793 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.0394403 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.0090335 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0520551 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.0874066 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.0970264 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.17951 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0624672 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.00709604 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.103153 # DEPENDENCYPART_SIBL
(20,7),(20,9),-0.121936 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.0745834 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.180619 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.116677 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.0577336 # DEPENDENCYPART_SIBL
(20,7),(20,14),-0.0840586 # DEPENDENCYPART_SIBL
(20,7),(20,15),-0.114423 # DEPENDENCYPART_SIBL
(20,7),(20,16),-0.126169 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.194589 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.139704 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.0416041 # DEPENDENCYPART_SIBL
(20,8),(20,9),-0.0978536 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.0440825 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.0684545 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.0583173 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.0363752 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.109183 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.0902773 # DEPENDENCYPART_SIBL
(20,8),(20,16),0.00960888 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0776317 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.0813442 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.0299234 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.13939 # DEPENDENCYPART_SIBL
(20,9),(20,11),-0.127376 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.0641199 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.0888263 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.139097 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.0971686 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.0855822 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.189437 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.0871468 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.0823745 # DEPENDENCYPART_SIBL
(20,10),(20,11),0.0216969 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.0953788 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.0592044 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.0900488 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.0715843 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.043779 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.0895643 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.118406 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.0527526 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.0761511 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.0281203 # DEPENDENCYPART_SIBL
(20,11),(20,14),0.0336106 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.00134224 # DEPENDENCYPART_SIBL
(20,11),(20,16),0.107578 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.158918 # DEPENDENCYPART_SIBL
(20,11),(20,18),0.0531242 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.0216685 # DEPENDENCYPART_SIBL
(20,12),(20,13),0.0428143 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.065657 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.107166 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0255353 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.105677 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.00671933 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.0492661 # DEPENDENCYPART_SIBL
(20,13),(20,14),-0.220022 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.263657 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.000459449 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.257189 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.252873 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.431396 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.0603933 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.0418771 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.18609 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.0773112 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.0321408 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.00243842 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0861028 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.102952 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0308392 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.174124 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.139495 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.040394 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.321121 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.297021 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0492661 # DEPENDENCYPART_SIBL
(0,5),(5,1),-0.0979165 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-1.37033 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.900852 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.785779 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.56406 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.697199 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.20559 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),-0.768141 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),-0.274523 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),-0.318909 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),-0.150212 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.499559 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.414772 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),-0.458381 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.447564 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),-0.63256 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.831636 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.0676061 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.403998 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.465009 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.664118 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.637993 # DEPENDENCYPART_GRANDPAR
(0,13),(13,19),-0.706375 # DEPENDENCYPART_GRANDPAR
(0,13),(13,20),0.154778 # DEPENDENCYPART_GRANDPAR
(0,14),(14,1),-0.0979165 # DEPENDENCYPART_GRANDPAR
(0,14),(14,2),-1.37033 # DEPENDENCYPART_GRANDPAR
(0,14),(14,3),-0.900852 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),-0.785779 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.463915 # DEPENDENCYPART_GRANDPAR
(0,14),(14,6),-0.877773 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),-0.839119 # DEPENDENCYPART_GRANDPAR
(0,14),(14,8),-0.838392 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),-0.837042 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),-1.01493 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-1.20544 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.551566 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-1.20543 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),-0.690122 # DEPENDENCYPART_GRANDPAR
(0,14),(14,19),-0.697199 # DEPENDENCYPART_GRANDPAR
(0,14),(14,20),0.170636 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),-0.50783 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.649985 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.610366 # DEPENDENCYPART_GRANDPAR
(0,19),(19,1),0.20559 # DEPENDENCYPART_GRANDPAR
(0,19),(19,2),-0.768141 # DEPENDENCYPART_GRANDPAR
(0,19),(19,3),-0.274523 # DEPENDENCYPART_GRANDPAR
(0,19),(19,4),-0.318909 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),-0.150212 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),-0.499559 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),-0.414772 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),-0.458381 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),-0.447564 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),-0.63256 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.831636 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),-0.0676061 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),-0.56725 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.42773 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.545056 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),-0.612304 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-2.04561 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.860772 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),0.154778 # DEPENDENCYPART_GRANDPAR
(0,20),(20,1),0.53027 # DEPENDENCYPART_GRANDPAR
(0,20),(20,2),-0.812378 # DEPENDENCYPART_GRANDPAR
(0,20),(20,3),0.182203 # DEPENDENCYPART_GRANDPAR
(0,20),(20,4),-0.160814 # DEPENDENCYPART_GRANDPAR
(0,20),(20,7),-0.225593 # DEPENDENCYPART_GRANDPAR
(0,20),(20,8),-0.310321 # DEPENDENCYPART_GRANDPAR
(0,20),(20,9),-0.349771 # DEPENDENCYPART_GRANDPAR
(0,20),(20,10),-0.340916 # DEPENDENCYPART_GRANDPAR
(0,20),(20,11),-0.59156 # DEPENDENCYPART_GRANDPAR
(0,20),(20,12),0.258113 # DEPENDENCYPART_GRANDPAR
(0,20),(20,13),-0.129391 # DEPENDENCYPART_GRANDPAR
(0,20),(20,14),-0.204266 # DEPENDENCYPART_GRANDPAR
(0,20),(20,15),-0.429942 # DEPENDENCYPART_GRANDPAR
(0,20),(20,16),-0.437527 # DEPENDENCYPART_GRANDPAR
(0,20),(20,17),-2.08985 # DEPENDENCYPART_GRANDPAR
(0,20),(20,18),-0.597915 # DEPENDENCYPART_GRANDPAR
(0,20),(20,19),-0.262531 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),0.0190127 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.456948 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.209464 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.210594 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.0645396 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),-0.213314 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.156569 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),0.183593 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.109248 # DEPENDENCYPART_GRANDPAR
(2,12),(12,1),0.00746306 # DEPENDENCYPART_GRANDPAR
(2,12),(12,2),-0.432162 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,12),(12,4),0.11833 # DEPENDENCYPART_GRANDPAR
(2,12),(12,5),-0.249214 # DEPENDENCYPART_GRANDPAR
(2,12),(12,6),-0.17151 # DEPENDENCYPART_GRANDPAR
(2,12),(12,7),0.201881 # DEPENDENCYPART_GRANDPAR
(2,12),(12,8),-0.0744154 # DEPENDENCYPART_GRANDPAR
(2,12),(12,9),-0.124201 # DEPENDENCYPART_GRANDPAR
(2,12),(12,10),-0.152049 # DEPENDENCYPART_GRANDPAR
(2,12),(12,11),-0.395562 # DEPENDENCYPART_GRANDPAR
(2,12),(12,13),-0.184228 # DEPENDENCYPART_GRANDPAR
(2,12),(12,14),-0.0362377 # DEPENDENCYPART_GRANDPAR
(2,12),(12,15),-0.264892 # DEPENDENCYPART_GRANDPAR
(2,12),(12,16),-0.316514 # DEPENDENCYPART_GRANDPAR
(2,12),(12,18),0.00412691 # DEPENDENCYPART_GRANDPAR
(2,12),(12,19),-0.233121 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.0314605 # DEPENDENCYPART_GRANDPAR
(3,2),(2,4),0.222518 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),0.160599 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),0.257732 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-0.360105 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.128579 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.107786 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.41514 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,3),-0.337929 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,5),-0.141357 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),-0.0298577 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),0.0344418 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),0.074599 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),0.00209387 # DEPENDENCYPART_GRANDPAR
(3,12),(12,1),-0.199292 # DEPENDENCYPART_GRANDPAR
(3,12),(12,2),-0.118335 # DEPENDENCYPART_GRANDPAR
(3,12),(12,4),0.0778996 # DEPENDENCYPART_GRANDPAR
(3,12),(12,5),-0.123633 # DEPENDENCYPART_GRANDPAR
(3,12),(12,6),0.0352148 # DEPENDENCYPART_GRANDPAR
(3,12),(12,7),0.141342 # DEPENDENCYPART_GRANDPAR
(3,12),(12,8),0.147965 # DEPENDENCYPART_GRANDPAR
(3,12),(12,9),-0.0646594 # DEPENDENCYPART_GRANDPAR
(3,12),(12,10),-0.251761 # DEPENDENCYPART_GRANDPAR
(3,12),(12,11),-0.272497 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),-0.307343 # DEPENDENCYPART_GRANDPAR
(3,12),(12,14),0.120653 # DEPENDENCYPART_GRANDPAR
(3,12),(12,15),-0.0245971 # DEPENDENCYPART_GRANDPAR
(3,12),(12,16),-0.454312 # DEPENDENCYPART_GRANDPAR
(3,12),(12,18),-0.19166 # DEPENDENCYPART_GRANDPAR
(3,12),(12,19),-0.391429 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),-0.161973 # DEPENDENCYPART_GRANDPAR
(3,13),(13,2),-0.146675 # DEPENDENCYPART_GRANDPAR
(3,13),(13,3),-0.418738 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,13),(13,4),0.280604 # DEPENDENCYPART_GRANDPAR
(3,13),(13,5),-0.140895 # DEPENDENCYPART_GRANDPAR
(3,13),(13,6),0.0461878 # DEPENDENCYPART_GRANDPAR
(3,13),(13,7),0.0950268 # DEPENDENCYPART_GRANDPAR
(3,13),(13,8),0.162357 # DEPENDENCYPART_GRANDPAR
(3,13),(13,9),-0.0863875 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),-0.225004 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),-0.238702 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.546046 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.0968722 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.0374035 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.406794 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.236187 # DEPENDENCYPART_GRANDPAR
(3,13),(13,19),-0.540098 # DEPENDENCYPART_GRANDPAR
(3,13),(13,20),-0.314892 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.201098 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-0.421397 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,6),-0.262645 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.332714 # DEPENDENCYPART_GRANDPAR
(4,2),(2,12),-0.401892 # DEPENDENCYPART_GRANDPAR
